AccNum,Gene,TE_t1-t0,TE_t2-t1,ER_t1
NM_000986,RPL24,0.9749398219804419,0.15898357387752898,1.3428090804380601
NM_033625,RPL34,0.9301637764436301,0.6344601297769431,1.6254031303569298
NM_001300981,PPIA,0.6814982140868451,0.17161315914507097,1.20011591650003
NM_001272068,SHISA5,0.544649067030801,0.63041030479433,1.10672945843641
NM_005694,COX17,0.426915833442787,0.708993082349955,1.6970118444516498
NM_003517,HIST2H2AC,0.4263325677127998,0.37942729160282884,1.14349639814483
NM_006014,LAGE3,0.414962363061115,0.5004143226485399,1.00628139089477
NM_000992,RPL29,0.4066818747970604,1.3235099488438968,1.59351309807592
NM_001330282,MZT2B,0.37745829354754895,0.20578677165200793,1.1174713890336
NM_001256530,TSPO,0.365211206598682,0.15737990939286695,1.04213739680419
NM_001193375,NDUFA11,0.34993345390794595,0.2356511466308442,1.4435124427023198
NM_018648,NOP10,0.3244542291251631,0.5252498220828229,1.23431700655778
NM_001001795,C8orf82,0.3122277021271751,0.24587992482029697,1.1647414653685801
NM_053045,TMEM203,0.29926839430645913,-0.06739237782446394,1.0329059027924201
NM_172251,MRPL54,0.23407335876940027,0.5649587812068257,1.0166329063228001
NM_004074,COX8A,0.198947260171135,0.8757444190340959,1.58439689973079
NM_001308226,RPS15,0.18616151780203016,0.880523926509927,1.37511222227293
NM_016145,WDR83OS,0.18023469837841904,0.40421826279331535,1.10021061944184
NM_006848,CCDC85B,0.15846284387606024,0.48491257335601,1.08597411994066
NM_001318015,ZDHHC12,0.08469757199411987,0.419203062864,1.24439450980834
NM_013258,PYCARD,0.05772548255785803,0.6818637511017069,1.0210055907151299
NM_003511,HIST1H2AL,0.02972326389498897,0.6628075217859359,1.1788030660461202
NM_003509,HIST1H2AI,0.022877669081380114,0.527149357683079,1.1717282157614
NM_021066,HIST1H2AJ,-0.048534892794375006,0.573816067096903,1.09282669372695
NM_017621,ALKBH4,-0.07276874104190001,0.7007589960314,1.04561515077094
NM_006763,BTG2,-0.098132447784818,0.995380159538056,1.09593001475187
NM_001323918,JMJD8,-0.11371776728684505,0.5622878682354681,1.14275015246764
NM_001270639,JOSD2,-0.12443475314055985,0.20188309332846988,1.25930622228825
NM_000421,KRT10,-0.12706068277917004,1.0232992058583703,1.2902841062932902
NM_001346186,RHBDD2,-0.1804030538701525,0.2352676769413029,1.04881158975867
NM_012083,FRAT2,-0.21337368902618992,0.025758598411010025,1.14792039913229
NM_144488,RGS3,-0.2504695227453999,0.7593340330662879,1.07329362956531
NM_001317980,RPL26L1,-0.3063394576833189,1.2521641591912578,1.15205152474574
NM_019554,S100A4,-0.318732207816138,1.049495598836464,1.4932546999991203
NM_004995,MMP14,-0.45771615137403704,0.326598006776006,1.02508935384875
NM_004965,HMGN1,-0.521733417847993,0.47645090528338285,1.1355425490067
NM_001351355,TAPBPL,-0.5838380149123836,0.375467819044325,1.10038984743595
NM_018641,CHST12,-0.7263387635184113,0.6231275717345571,1.06955884700964
NM_004642,CDK2AP1,-0.8096533163967421,1.1334074073824438,1.2253583401047299
NM_024299,PPDPF,-1.278862265724406,1.266758282621796,1.2770106693366599
