AccNum,Gene,TE_t1-t0,TE_t2-t1,ER_t1
NM_007104,RPL10A,1.2079949734760898,-0.0700509616875603,1.0060069999999999
NM_001089591,UQCRHL,1.1014875468683905,0.20397453969528945,1.338262
NM_006573,TNFSF13B,1.0624140027384321,-0.6859838103918802,1.25390003989281
NM_001016,RPS12,1.0061858911363901,0.13592247128079982,1.630204
NM_012459,TIMM8B,0.9943706979727303,-0.21602386532641038,1.4223757334654599
NM_001272051,C16orf91,0.986676541937231,-0.02525167167096598,1.4322979999999998
NM_021173,POLD4,0.97590114469055,0.2725702762149098,1.137393
NM_138336,COPS9,0.9529141060800799,-0.07421668034715978,1.07735722734212
NM_001113203,NACA,0.934835144878132,0.06827958536925159,1.144349
NM_033625,RPL34,0.9301637764436301,0.6344601297769431,1.948511
NM_001321026,BOLA1,0.903069442721559,0.011368290638697959,1.07034415983556
NM_014501,UBE2S,0.7625383076121603,-0.37008008168908013,1.27963441582928
NM_001099668,HIGD1A,0.7572836315399549,-0.2695692099620808,1.1112739999999999
NM_001195304,BBIP1,0.7187679141778496,-0.29560963337696117,1.233572
NM_001170330,C4orf3,0.7124602214345503,0.03061555273644978,1.604759
NM_001318236,LAMTOR4,0.6962976356869296,-0.05634744329955399,1.1866649999999999
NM_017854,TMEM160,0.6896617047395106,0.11744259045201842,1.2185618545636
NM_001300981,PPIA,0.6814982140868451,0.17161315914507097,1.53294829112147
NM_002812,PSMD8,0.6807714350708997,0.16684362725457302,1.138052
NM_003845,DYRK4,0.676865456014515,0.26471224911951996,1.7273209999999999
NM_021064,HIST1H2AG,0.6707442616637811,0.11158827885544603,1.03637250198212
NM_198527,HDDC3,0.661791340066544,0.20521776454804508,1.030842
NM_207043,ENSA,0.6494532726140001,-0.7345768946281611,1.02312762919312
NM_006764,IFRD2,0.6427708738475,0.23784751691445016,1.7464369999999998
NM_001320845,SAT2,0.620561060558953,0.11567044078777189,1.000348
NM_005258,GCHFR,0.600472969061479,-0.4181479467238661,1.2029418047800302
NM_002979,SCP2,0.599732478007991,-0.09336005679066006,1.152042
NM_023007,JMJD4,0.58910033051354,-0.150960575811512,1.17004927139519
NM_020243,TOMM22,0.586413425511828,0.0236714103809244,1.276553
NM_024326,FBXL15,0.56799648423815,0.3063240357695832,1.06005
NM_017592,MED29,0.552210554086727,-0.2525138500580779,1.1942979999999999
NM_001100418,REX1BD,0.5519782000139131,-0.13217376981131096,1.433327
NM_014267,C11orf58,0.5402671547743682,-0.30163007215489224,1.153874
NM_002434,MPG,0.539830517848113,0.5616144878560057,1.4869940000000001
NM_021018,HIST1H3F,0.534565307403962,-0.159467653300572,1.139006
NM_001011667,CHCHD7,0.5245628941365641,-0.19387730931151004,1.5367774192692802
NM_080596,HIST1H2AH,0.47900921999346296,0.07045481800744813,1.19079911448216
NM_001354723,VHL,0.477935958132948,-0.10167663997074006,1.63422
NM_003529,HIST1H3A,0.473791814738043,-0.01980615689613896,1.0606277713629302
NM_017622,BORCS6,0.4613235679710208,0.015216921364296088,1.182341
NM_021058,HIST1H2BJ,0.461169561450422,-0.443872721791686,1.0956700000000001
NM_001257097,RHNO1,0.4602281058487999,0.5364321023434748,1.00758563788799
NM_080654,CCDC34,0.45876336953267005,0.015575475484086998,1.12360419947277
NM_182498,ZNF428,0.453637976070275,-0.16660845527880402,1.043512
NM_006821,ACOT2,0.4404021518853379,0.38426916466433203,1.501745
NM_016062,FAM96B,0.43580774689425733,0.33024423040621587,1.22985819543255
NM_001865,COX7A2,0.42959209252140695,0.18001369739168038,1.391238
NM_001300862,MPND,0.42825731335573813,-0.3181475583051381,1.1301558294121001
NM_005694,COX17,0.426915833442787,0.708993082349955,1.8885349999999999
NM_003517,HIST2H2AC,0.4263325677127998,0.37942729160282884,1.071885
NM_006014,LAGE3,0.414962363061115,0.5004143226485399,2.0848400000000002
NM_013299,SAC3D1,0.4143171372402701,-0.23029755244285988,1.1546400834096
NM_004322,BAD,0.41257378788202004,0.21624337933578996,1.4664724758017298
NM_016565,COA4,0.41039548169515805,0.7218947684257759,1.36268566526693
NM_032356,NAA38,0.4081561868094029,0.024586046089724145,1.2038520000000001
NM_000992,RPL29,0.4066818747970604,1.3235099488438968,2.32204746301618
NM_001040431,COA3,0.3975474408140177,-0.41353572943236794,1.16357
NM_004707,ATG12,0.388133477762047,0.6268182956593251,1.57092536955728
NM_017914,C19orf24,0.3858294933999918,0.3664441416808021,1.171408
NM_001330282,MZT2B,0.37745829354754895,0.20578677165200793,1.028671
NM_001004125,TUSC1,0.3711745598408107,-0.03680778438651569,1.7997599999999998
NM_002097,GTF3A,0.3678438527131802,0.20730630813945994,1.0272290000000002
NM_001304999,OXLD1,0.354514197743926,-0.1464979379298919,1.27465964613732
NM_001193375,NDUFA11,0.34993345390794595,0.2356511466308442,1.12235383959741
NM_030573,THAP7,0.34237167250467015,-0.02983718676983016,1.0657929176780798
NM_001302688,APOE,0.3311440247096997,0.17961252499747898,1.018684
NM_018648,NOP10,0.3244542291251631,0.5252498220828229,1.097191
NM_024112,C9orf16,0.31821398336933343,0.3041718507924075,1.0546879999999998
NM_001323935,SNAP47,0.3131226346956648,-0.11464603718588084,1.2238149999999999
NM_001320557,ZSCAN16,0.30796945035146395,0.2960720582487491,1.2763513739805
NM_001013649,C2orf68,0.30594458004761893,0.4188827252089581,1.063275
NM_001271641,MTCH1,0.2937800026530548,-0.12891839444657982,1.3645496687031
NM_031434,TMUB1,0.28175602172986003,-0.5125931340600702,1.122716
NM_001039618,CREBZF,0.2757670076298999,-0.31530309536965007,1.471049
NM_014417,BBC3,0.269903714732929,-0.3000072820827919,1.5221879999999999
NM_003510,HIST1H2AK,0.26218487621752495,0.36295280043896,1.162117
NM_032036,IFI27L2,0.2612794511067329,0.11912317276655604,1.497575
NM_004597,SNRPD2,0.26118286126705115,0.46765994232422187,1.013696
NM_019896,POLE4,0.25230992761633503,-0.23837845395122798,1.07595593199146
NM_001320327,CHCHD2,0.2508345319577648,0.7166440059031403,1.41692306865722
