sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Synonyms","Chromosome"
"HGNC:4715","HIST1H1A","histone cluster 1 H1 family member a","H1F1","H1.1,H1a","6p22.2"
"HGNC:4719","HIST1H1B","histone cluster 1 H1 family member b","H1F5","H1.5,H1b,H1s-3","6p22.1"
"HGNC:4716","HIST1H1C","histone cluster 1 H1 family member c","H1F2","H1.2,H1s-1,H1c","6p22.2"
"HGNC:4717","HIST1H1D","histone cluster 1 H1 family member d","H1F3","H1.3,H1d,H1s-2","6p22.2"
"HGNC:4718","HIST1H1E","histone cluster 1 H1 family member e","H1F4","H1.4,H1e,H1s-4","6p22.2"
"HGNC:19163","HIST1H1PS1","histone cluster 1 H1 pseudogene 1","","dJ34B20.16,FLJ39701,H1F6P","6p22.2"
"HGNC:4770","HIST1H1PS2","histone cluster 1 H1 pseudogene 2","H3FEP","pH3/e","6p22.2"
"HGNC:4720","HIST1H1T","histone cluster 1 H1 family member t","H1FT","H1t","6p22.2"
"HGNC:18729","HIST1H2AA","histone cluster 1 H2A family member a","","bA317E16.2,H2AFR","6p22.2"
"HGNC:4734","HIST1H2AB","histone cluster 1 H2A family member b","H2AFM","H2A/m","6p22.2"
"HGNC:4733","HIST1H2AC","histone cluster 1 H2A family member c","H2AFL","","6p22.2"
"HGNC:4729","HIST1H2AD","histone cluster 1 H2A family member d","H2AFG","H2A/g,H2A.3","6p22.2"
"HGNC:4724","HIST1H2AE","histone cluster 1 H2A family member e","H2AFA","H2A/a,H2A.1","6p22.2"
"HGNC:4737","HIST1H2AG","histone cluster 1 H2A family member g","H2AFP","pH2A/f,H2A/p,H2A.1b","6p22.1"
"HGNC:13671","HIST1H2AH","histone cluster 1 H2A family member h","","H2AFALii,dJ86C11.1,H2A/S","6p22.1"
"HGNC:4725","HIST1H2AI","histone cluster 1 H2A family member i","H2AFC","H2A/c","6p22.1"
"HGNC:4727","HIST1H2AJ","histone cluster 1 H2A family member j","H2AFE","H2A/E","6p22.1"
"HGNC:4726","HIST1H2AK","histone cluster 1 H2A family member k","H2AFD","H2A/d","6p22.1"
"HGNC:4730","HIST1H2AL","histone cluster 1 H2A family member l","H2AFI","H2A/i,dJ193B12.9","6p22.1"
"HGNC:4735","HIST1H2AM","histone cluster 1 H2A family member m","H2AFN","H2A/n,H2A.1","6p22.1"
"HGNC:18720","HIST1H2APS1","histone cluster 1 H2A pseudogene 1","","bA317E16.5,H2AFSP","6p22.2"
"HGNC:18804","HIST1H2APS2","histone cluster 1 H2A pseudogene 2","H2AFTP","dJ139G21.2,H2A/T","6p22.2"
"HGNC:18805","HIST1H2APS3","histone cluster 1 H2A pseudogene 3","","dJ34B20.8,H2AFUP","6p22.2"
"HGNC:4732","HIST1H2APS4","histone cluster 1 H2A pseudogene 4","H2AFK,H2AFKP","pH2A/k,dJ34B20.2","6p22.2"
"HGNC:4728","HIST1H2APS5","histone cluster 1 H2A pseudogene 5","H2AFFP","pH2A/f","6p22.2"
"HGNC:18730","HIST1H2BA","histone cluster 1 H2B family member a","","bA317E16.3,STBP,TSH2B,H2BFU","6p22.2"
"HGNC:4751","HIST1H2BB","histone cluster 1 H2B family member b","H2BFF","H2B/f","6p22.2"
"HGNC:4757","HIST1H2BC","histone cluster 1 H2B family member c","H2BFL","H2B/l,H2B.1","6p22.2"
"HGNC:4747","HIST1H2BD","histone cluster 1 H2B family member d","H2BFB","H2B/b","6p22.2"
"HGNC:4753","HIST1H2BE","histone cluster 1 H2B family member e","H2BFH","H2B/h,H2B.h","6p22.2"
"HGNC:4752","HIST1H2BF","histone cluster 1 H2B family member f","H2BFG","H2B/g","6p22.2"
"HGNC:4746","HIST1H2BG","histone cluster 1 H2B family member g","H2BFA","H2B/a,H2B.1A","6p22.2"
"HGNC:4755","HIST1H2BH","histone cluster 1 H2B family member h","H2BFJ","H2B/j","6p22.2"
"HGNC:4756","HIST1H2BI","histone cluster 1 H2B family member i","H2BFK","H2B/k","6p22.2"
"HGNC:4761","HIST1H2BJ","histone cluster 1 H2B family member j","H2BFR","H2B/r","6p22.1"
"HGNC:13954","HIST1H2BK","histone cluster 1 H2B family member k","H2BFT","H2BFAiii","6p22.1"
"HGNC:4748","HIST1H2BL","histone cluster 1 H2B family member l","H2BFC","H2B/c,dJ97D16.4","6p22.1"
"HGNC:4750","HIST1H2BM","histone cluster 1 H2B family member m","H2BFE","H2B/e,dJ160A22.3","6p22.1"
"HGNC:4749","HIST1H2BN","histone cluster 1 H2B family member n","H2BFD","H2B/d","6p22.1"
"HGNC:4758","HIST1H2BO","histone cluster 1 H2B family member o","H2BFN","H2B/n,H2B.2","6p22.1"
"HGNC:18719","HIST1H2BPS1","histone cluster 1 H2B pseudogene 1","","bA317E16.4,H2BFVP","6p22.2"
"HGNC:4754","HIST1H2BPS2","histone cluster 1 H2B pseudogene 2","H2BFIP","pH2B/i","6p22.1"
"HGNC:4766","HIST1H3A","histone cluster 1 H3 family member a","H3FA","H3/A","6p22.2"
