HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Synonyms	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:2579	CYC1	cytochrome c1	Approved	gene with protein product		UQCR4	8q24.3	1537	ENSG00000179091	OTTHUMG00000165242	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:7427	MT-CYB	mitochondrially encoded cytochrome b	Approved	gene with protein product	MTCYB	COB, CYTB, UQCR3	mitochondria	4519	ENSG00000198727		642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:12582	UQCRB	ubiquinol-cytochrome c reductase binding protein	Approved	gene with protein product	UQBP	QP-C, QCR7, UQCR6	8q22.1	7381	ENSG00000156467	OTTHUMG00000164711	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:12585	UQCRC1	ubiquinol-cytochrome c reductase core protein 1	Approved	gene with protein product		D3S3191, QCR1, UQCR1	3p21.31	7384	ENSG00000010256	OTTHUMG00000133539	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:12586	UQCRC2	ubiquinol-cytochrome c reductase core protein 2	Approved	gene with protein product		QCR2, UQCR2	16p12.2	7385	ENSG00000140740	OTTHUMG00000131585	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:12587	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	Approved	gene with protein product		RIS1, RIP1, UQCR5, RISP	19q12	7386	ENSG00000169021	OTTHUMG00000181997	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:12590	UQCRH	ubiquinol-cytochrome c reductase hinge protein	Approved	gene with protein product		QCR6, UQCR8	1p33	7388	ENSG00000173660	OTTHUMG00000007813	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:29594	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII	Approved	gene with protein product		QP-C, QCR8, UQCR7	5q31.1	27089	ENSG00000164405	OTTHUMG00000059836	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:30863	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X	Approved	gene with protein product		HSPC051, UCRC, QCR9, UCCR7.2	22q12.2	29796	ENSG00000184076	OTTHUMG00000151283	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
HGNC:30862	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI	Approved	gene with protein product	UQCR	QCR10	19p13.3	10975	ENSG00000127540	OTTHUMG00000180084	642	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits
