HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Synonyms	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:7455	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	Approved	gene with protein product	MTND1	ND1, NAD1	mitochondria	4535	ENSG00000198888		1149	NADH:ubiquinone oxidoreductase core subunits
HGNC:7456	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	Approved	gene with protein product	MTND2	ND2, NAD2	mitochondria	4536	ENSG00000198763		1149	NADH:ubiquinone oxidoreductase core subunits
HGNC:7458	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	Approved	gene with protein product	MTND3	ND3, NAD3	mitochondria	4537	ENSG00000198840		1149	NADH:ubiquinone oxidoreductase core subunits
HGNC:7459	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	Approved	gene with protein product	MTND4, LHON	ND4, NAD4	mitochondria	4538	ENSG00000198886		1149	NADH:ubiquinone oxidoreductase core subunits
HGNC:7460	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	Approved	gene with protein product	MTND4L	ND4L, NAD4L	mitochondria	4539	ENSG00000212907		1149	NADH:ubiquinone oxidoreductase core subunits
HGNC:7461	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	Approved	gene with protein product	MTND5	ND5, NAD5	mitochondria	4540	ENSG00000198786		1149	NADH:ubiquinone oxidoreductase core subunits
HGNC:7462	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	Approved	gene with protein product	MTND6	NAD6, ND6	mitochondria	4541	ENSG00000198695		1149	NADH:ubiquinone oxidoreductase core subunits
HGNC:7707	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	Approved	gene with protein product		CI-75k	2q33.3	4719	ENSG00000023228	OTTHUMG00000132892	1149	NADH:ubiquinone oxidoreductase core subunits
HGNC:7708	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	Approved	gene with protein product		CI-49	1q23.3	4720	ENSG00000158864	OTTHUMG00000034344	1149	NADH:ubiquinone oxidoreductase core subunits
HGNC:7710	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	Approved	gene with protein product		CI-30	11p11.2	4722	ENSG00000213619	OTTHUMG00000166893	1149	NADH:ubiquinone oxidoreductase core subunits
