"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001350073",75.0870689144576,0.874507588450602,0.386535782040733,2.26242337470958,0.0236712581017149,0.21948117381775
"NM_001005291",57.4080462756424,0.587855935774683,0.432729932661472,1.35848225741889,0.174310708743634,0.593606166148872
"NM_032846",19.5255116766939,-0.208661776259384,0.464368925414947,-0.449344830886196,0.65318292244961,0.91661400197376
"NM_018210",25.3711187611737,0.409480336119798,0.407548238670798,1.00474078223304,0.315021685115077,0.742762487278162
"NM_004537",370.705645150056,-0.169919356766392,0.262480772018428,-0.647359254012188,0.517399460359853,0.86133914444526
"NM_001135642",179.677994095122,0.102940239652757,0.274983924741777,0.374350027004025,0.708143917075055,0.934500236689001
"NM_003772",29.1087804272618,0.513279315245485,0.504136432887176,1.0181357302545,0.308613457248913,0.737176643575931
"NM_001206427",200.306144937143,0.0278640146643756,0.360030762598423,0.0773934273373605,0.938310569326555,0.992611577603564
"NM_001136050",29.4058738972818,0.0897345510881568,0.44244912570635,0.202813263434298,0.839280990659977,0.973326969850654
"NM_001731",286.129377060879,-0.460737477645324,0.348793499607221,-1.32094628530682,0.186519275132269,0.608788157504847
"NM_001283009",67.5363852552731,0.00424703321376255,0.344945778066893,0.0123121762427803,0.990176552855503,0.99837107798167
"NM_053042",83.4250837208855,-0.373758260638281,0.44085289715842,-0.847807200649905,0.396545352284337,0.795114490231283
"NM_001286076",384.018424528841,0.485356404547093,0.313067412762175,1.55032553616751,0.121063401174481,0.497404837265985
"NM_006594",45.5364841063855,0.183288218733906,0.44449389074052,0.412352616204805,0.680080988228922,0.924836333030708
"NM_001170569",33.3059370088696,0.172212263486391,0.424997032082833,0.405208155554428,0.685324510681336,0.926631231141611
"NM_031438",18.7670160659926,-0.668611230352274,0.578733695184655,-1.15530033228658,0.247967459940029,0.677189077046904
"NM_021133",57.4885424209943,-0.0328972040205631,0.345333159896281,-0.0952622216483458,0.924106548903595,0.98932073731013
"NM_021141",239.917402509776,-0.746964835550413,0.306887060174755,-2.4340056407887,0.0149327623761408,0.171788987168853
"NM_006811",481.420661968717,0.310870598251707,0.281732701233679,1.10342390815989,0.269843118886997,0.695713247921216
"NM_001127266",41.9564641234153,0.0713655241759701,0.409431655834833,0.174303875039792,0.861626654021209,0.979205660997069
"NM_018489",48.6771067176482,0.654112479958856,0.341682298452745,1.914387964846,0.055570602191629,0.346735441019407
"NM_001244666",48.5689692542346,-0.343283991401158,0.351928872750812,-0.9754357143758,0.32934417522187,0.751814194119541
"NM_001102420",894.597395872059,0.41837527910426,0.221350629303743,1.89010205401384,0.0587443124706557,0.355369609385489
"NM_001038707",369.849173137497,-0.569868749353737,0.322702278080624,-1.76592725884433,0.0774080533367282,0.397506369712933
"NM_001184819",105.687805145265,-0.365606157667457,0.292830245101719,-1.24852594219036,0.21183851415027,0.643678204775163
"NM_031905",101.342539150324,-0.725629362728181,0.275708873851276,-2.63186800117142,0.008491684773274,0.123397587678997
"NM_001331039",68.0373333165223,-0.4029434356028,0.374778190645496,-1.07515177152863,0.282306783853296,0.710851828745053
"NM_001289108",300.531527344298,-0.0230984074466304,0.239431482518421,-0.0964718891754483,0.923145798960098,0.989059197100827
"NM_001025579",181.55765553034,-0.270620891751131,0.206502244271765,-1.31049855029655,0.19002723432466,0.612829566222079
"NM_001145777",404.407629299615,-0.213837295639146,0.308455168900826,-0.69325243081888,0.488151149855721,0.840265165057135
"NM_001034996",54.1515622129612,-0.351261468852251,0.479544221514414,-0.732490254481552,0.463869388854609,0.82842700877515
"NM_001354199",45.4946429179791,0.657950657917487,0.518826902928272,1.26815061864371,0.20474416784245,0.631618600461456
"NM_001135147",320.584940304004,-0.0451875098855878,0.282722197955967,-0.159830074229352,0.87301493280591,0.979205660997069
"NM_002199",141.902492995772,0.181443789310112,0.313853468556584,0.578116246873339,0.563185638810078,0.874785233861925
"NM_001322828",19.4821491891385,0.0351289208578633,0.489348479785922,0.0717871257579699,0.942771318542114,0.9938557881312
"NM_005171",123.167748184814,0.342257923399444,0.238397175116658,1.43566266350246,0.151098354281988,0.552193985668522
"NM_032627",79.0650695022604,-0.165624967790514,0.438807679301671,-0.377443184344662,0.705844279491216,0.933574158407305
"NM_001289125",105.810299672928,-0.0216843319804266,0.370268404586957,-0.0585638194126124,0.953299529124106,0.994731670412569
"NM_001099402",193.256825957873,-0.563143814379436,0.238187825170749,-2.364284631155,0.0180649274570395,0.19220525899378
"NM_015939",28.1296915094173,-0.141021743573371,0.612741528686904,-0.230148826170765,0.817976125252512,0.967830332900015
"NM_001330513",77.5872037874813,0.31507621590168,0.339244892280458,0.928757434735974,0.353014808142003,0.767987678209157
"NM_016577",187.615592132905,-0.254462369327312,0.293274152206304,-0.867660403799616,0.385580268411958,0.789177589787034
"NM_021211",106.513360518836,-0.0862988947536494,0.308440976894297,-0.279790628413242,0.779638142111945,0.952951485996506
"NM_015950",14.6975954912002,-0.293361799864632,0.586614955833178,-0.500092602391915,0.617009874778822,0.898723383139422
"NM_001265589",81.8333798006452,0.356095186983515,0.362710268397745,0.981762078467058,0.326217074292601,0.748699370009868
"NM_014051",56.3969093480162,1.11574698556235,0.482689671051295,2.31152032553806,0.0208041317969096,0.206248502302576
"NM_032378",35.1668819334753,0.0702660918718841,0.474297686779941,0.148147658802488,0.882226238103555,0.979205660997069
"NM_002305",343.896173214426,-0.477632507875566,0.553599298237589,-0.862776577564555,0.388260319498305,0.792303578813613
"NM_004356",113.978473615897,-0.615068613792236,0.431918243176347,-1.42403944151327,0.154435054977986,0.555780852602959
"NM_014895",19.8200009271404,-0.523219593174926,0.529121115526482,-0.988846556717579,0.322738221729338,0.747237090310024
"NM_006963",94.9000253283914,-0.242014714505259,0.425784528060034,-0.5683971552652,0.569765321629244,0.876635303994618
"NM_032142",35.5184787876246,-0.0248835521638033,0.422958289115777,-0.0588321657339404,0.953085788272533,0.994731670412569
"NM_018129",34.7770396309703,-0.136371488343626,0.403131601662893,-0.33828032280551,0.735151950703339,0.942292158837719
"NM_000292",45.9036716640896,0.0158442119914876,0.394723181766887,0.0401400594729821,0.967981464681685,0.995287334855329
"NM_016027",39.7682567858398,0.0879733550994475,0.43346607167129,0.202953266354282,0.839171559998911,0.973326969850654
"NM_032927",65.5916519415296,-0.343350251444989,0.336751230619314,-1.01959612980045,0.307920041255685,0.736394312608875
"NM_003146",444.050942987438,0.494702824359905,0.223607484300976,2.21237149510628,0.0269410067787062,0.235196535599428
