"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_017847",112.294090079776,-0.0516968582326148,0.279398228189191,-0.18502929874562,0.853206055254559,0.980061675040736
"NM_001003803",182.333378063801,0.13185096862876,0.238676308879434,0.552425874389418,0.580656607282061,0.934557454975239
"NM_001003800",354.785989070897,-0.0342578574638076,0.361791762852413,-0.0946894345899814,0.924561510245092,0.990440598043654
"NM_016649",208.700788094935,0.13533334271407,0.299185840269803,0.452338728972024,0.651024979476943,0.94608859212758
"NM_016647",148.352947598746,0.170341667763497,0.614663736360479,0.277129847893934,0.781680403732271,0.966687354824456
"NM_016640",657.000988705469,0.121676648440039,0.170812470198325,0.71234054690951,0.476253921530359,0.908114205389167
"NM_001304467",50.6280955173752,0.381272044632034,0.432268464069807,0.88202604705964,0.377762721852068,0.878727279680277
"NM_001080825",170.759319909529,0.45097923912754,0.795527049316864,0.566893658128665,0.570786433138103,0.930921331041732
"NM_002223",1195.0406538132,0.173610047601486,0.22236268079195,0.780751729486121,0.434948529372704,0.901821772987896
"NM_001253384",175.525277661876,0.0833286267023258,0.431642482420726,0.193050105344137,0.846919727682897,0.979285213574016
"NM_001145313",63.740470821701,0.321968153714363,0.324973213514717,0.990752900007196,0.321806253177809,0.849866539257014
"NM_018476",266.171404496893,-0.24343301267346,0.18568578229944,-1.31099435648172,0.189859670282937,0.728672886063227
"NM_003363",640.362296497441,-0.0232004780677801,0.169877644263666,-0.13657169646037,0.891369349787838,0.987403475578306
"NM_207118",80.8372427066867,-0.394597831186873,0.213208444351437,-1.8507608007141,0.0642039727178797,0.4862462009629
"NM_001282730",259.973567698763,-0.000379636162415054,0.191431582872206,-0.00198314278510923,0.998417682027065,0.99994943870006
"NM_007100",275.67567054392,0.196844054190152,0.185870175415567,1.0590405574754,0.289581309369103,0.830337399032004
"NM_000485",509.606123928397,0.150293456512097,0.191491963002455,0.78485516653339,0.43253849096708,0.901821772987896
"NM_007108",1057.08698589165,0.0386835737399802,0.211488059308747,0.182911384531204,0.854867550034,0.980061675040736
"NM_001350532",510.422739354193,0.327431601657209,0.13170371096304,2.48612282268262,0.0129143385625742,0.208035413538242
"NM_001350531",66.4882992414204,-0.0701497061143544,0.300984250330906,-0.23306769718758,0.81570883811905,0.973340714624224
"NM_001350530",536.506369851102,-0.575066389310097,0.299556333140085,-1.91972702857586,0.0548923883174005,0.4516891685438
"NM_014177",134.110077755049,0.286604251415279,0.346237453626679,0.827767904405576,0.407801954562404,0.892695237521537
"NM_020992",527.797853785508,-0.0675960454383078,0.33332716878136,-0.202791886678299,0.83929769967455,0.978066445521912
"NM_005802",697.001399583635,-0.274941646119161,0.214360105318278,-1.28261574471114,0.199626731323123,0.740147370427727
"NM_005258",104.661615838024,-0.652463756671235,0.279716980157634,-2.33258544512936,0.0196699135793121,0.268654033331117
