"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_017847",112.294090079776,-0.697612873385521,0.31328169894566,-2.22679101822199,0.025961243954867,0.0458409589390912
"NM_001003803",182.333378063801,1.48717908415614,0.233138915963501,6.37893968928363,1.78318237689723e-10,9.97732996597257e-10
"NM_001003800",354.785989070897,-1.26280150801769,0.375675918371642,-3.36141191453335,0.000775450860356734,0.00185504562103302
"NM_016649",208.700788094935,-0.440756344101724,0.312651327470016,-1.40973763862875,0.158617166517501,0.22794085620051
"NM_016647",148.352947598746,-0.104175951250138,0.631264791790845,-0.165027342891403,0.868922460598335,0.901211065090825
"NM_016640",657.000988705469,0.0991121824727066,0.176066476585611,0.562924779292177,0.57348610608164,0.654967694052645
"NM_001304467",50.6280955173752,0.246438026370893,0.464650786946454,0.530372557830817,0.595853648747641,0.675211952083488
"NM_001080825",170.759319909529,3.40087667448681,0.784036082749527,4.33765326534503,1.44012107139818e-05,4.55525232005997e-05
"NM_002223",1195.0406538132,-3.39945263702148,0.243365441826717,-13.9685101200276,2.42649717791769e-44,1.11423634779094e-42
"NM_001253384",175.525277661876,0.727091501555893,0.444801941021393,1.63464102671468,0.102124321831948,0.155364305300318
"NM_001145313",63.740470821701,0.308211676269505,0.308533183037858,0.998957950761771,0.317815061429116,0.406620070587452
"NM_018476",266.171404496893,0.542301569342299,0.191802259888961,2.82739926868564,0.00469277768142182,0.00975170186594547
"NM_003363",640.362296497441,-0.2860264108073,0.176390451465599,-1.62155268854268,0.104899159807543,0.159155758448532
"NM_207118",80.8372427066867,-0.166337342382931,0.250760867866366,-0.663330541955112,0.507118879908572,0.595164490374485
"NM_001282730",259.973567698763,0.328336727622193,0.203459195204394,1.61377187839728,0.106576916432475,0.161339439616422
"NM_007100",275.67567054392,0.025168317176643,0.200389538117284,0.125596961862912,0.900050967994147,0.925648037810813
"NM_000485",509.606123928397,0.0844519834981837,0.204600681509343,0.4127649178643,0.679778856975172,0.749266528794541
"NM_007108",1057.08698589165,1.49980019990794,0.213941473056456,7.01032940682875,2.37757678236809e-12,1.56998665215876e-11
"NM_001350532",510.422739354193,-2.12128992924284,0.165216845991405,-12.8394287913787,9.85992728027305e-38,3.193578488389e-36
"NM_001350531",66.4882992414204,0.307944692796936,0.314874537024903,0.977991728726482,0.328078414960354,0.417478346159138
"NM_001350530",536.506369851102,0.17339778615058,0.30175638211819,0.574628397031435,0.565542642612773,0.648192296684791
"NM_014177",134.110077755049,0.555405901200647,0.356647426455438,1.55729681472984,0.119400031327936,0.178285600880248
"NM_020992",527.797853785508,-3.60497692224345,0.365584355087072,-9.86086212957565,6.15188735263265e-23,8.33111524534489e-22
"NM_005802",697.001399583635,1.2217005921373,0.213857773834906,5.71267796456364,1.11212014182412e-08,5.20553013074092e-08
"NM_005258",104.661615838024,1.25421992210758,0.308863011436089,4.06076440256138,4.89123101004246e-05,0.000142683226616427
"NM_003824",216.714382438258,0.00711511385453399,0.209306900423574,0.03399368984078,0.972882182572214,0.980088030419313
"NM_003825",726.022827627047,-0.494328832366791,0.33274386228066,-1.48561367587252,0.13738133558581,0.201113387931591
"NM_003826",318.716841911353,1.74637874296075,0.35897269142994,4.86493481162643,1.14494537534371e-06,4.22350579362706e-06
"NM_003827",1794.62390249599,1.8987364308995,0.210666020415374,9.01301703594975,2.00464124478924e-19,2.16154973628422e-18
"NM_003820",60.860734125532,-0.0675028654451496,0.396878815895399,-0.17008432484071,0.864943820863783,0.898686752757038
"NM_003821",144.747742370785,0.21217478106685,0.199336651346939,1.06440426099848,0.287145604338194,0.373785170847535
"NM_003795",1089.04558241514,1.54724049921291,0.124149017395419,12.4627687892598,1.19160416487636e-35,3.51325360788271e-34
"NM_012181",2517.82395163738,1.73409232271709,0.16637163951645,10.4230043519264,1.94703710226755e-25,3.13014616642208e-24
"NM_012180",148.614550113016,1.83237212258658,0.359869589578088,5.09176706132592,3.54741761070843e-07,1.40038867142097e-06
"NM_001018088",1853.19269978787,-1.3648205774109,0.172844923842407,-7.89621440462602,2.87501957824099e-15,2.35846061911145e-14
"NM_001025780",207.297622239577,-1.92438365105488,0.27622014401419,-6.96684761324295,3.24121414003722e-12,2.11925539925511e-11
"NM_001300829",674.360250565184,0.836895411524752,0.23742359292506,3.52490416480601,0.000423636023019809,0.00105578659511175
"NM_001688",771.669945990817,0.0682284020416477,0.164305245991487,0.415253947796547,0.677956009951893,0.748082933229612
"NM_014171",145.874213060873,1.42176313692205,0.328747366934743,4.32478942775615,1.52677630982525e-05,4.80651801241283e-05
"NM_001867",400.259741480253,0.280063716808738,0.299007263513091,0.936645195565547,0.348941095687945,0.438853983086208
"NM_144643",202.094212582491,0.202170653805756,0.193621673898812,1.04415301104881,0.296414602947768,0.383228588600755
"NM_000159",507.66562620853,1.67462933713306,0.27953972367721,5.99066678289626,2.08982433864798e-09,1.05016958904386e-08
"NM_000158",504.252565778495,-2.24855126128719,0.435965083318281,-5.15764070868403,2.50080905918173e-07,1.0106962257391e-06
"NM_021021",376.899197989626,-0.117067704832901,0.57066583369559,-0.20514230556748,0.837460944171522,0.878470912948728
"NM_001143679",442.962458508503,-1.02540214199529,0.155624249723724,-6.58896119220277,4.42914527599644e-11,2.63587129122731e-10
"NM_001297658",149.027782028619,0.559571319590479,0.265783829451073,2.10536254499068,0.0352597615462342,0.0604431441223796
"NM_001286495",143.891143111005,0.269777050902702,0.364559763853725,0.740007750857953,0.459295291288583,0.54903790804844
"NM_023009",172.400358426454,-1.82261388723844,0.502502712979895,-3.62707273047372,0.00028665257063348,0.000733617565458523
"NM_173531",96.0857411076681,-0.283326253710649,0.245954171819957,-1.15194733886461,0.249342713788271,0.332873564439146
"NM_001286499",100.519268360294,1.53358914342021,0.313373916149258,4.89379959335789,9.89075593478522e-07,3.67397210222845e-06
"NM_001297656",1757.95701104308,1.58734605595949,0.142108484044943,11.1699598136412,5.7206756506694e-29,1.14270496122121e-27
"NM_006885",287.28673757729,1.76185832243033,1.31731846741754,1.3374581515465,0.181073133625443,0.254221461547582
"NM_001319119",282.07507323261,0.206675951498716,0.223432249838802,0.925005014485712,0.35496329907858,0.445236539974545
"NM_001193653",244.667645516641,-0.803396073060641,0.224789321999242,-3.57399571258705,0.000351574687769442,0.000887545578286839
