"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_017847",112.294090079776,-0.405183063238439,0.261988445494145,-1.54656844684203,0.121967343218462,0.185058692046243
"NM_001003803",182.333378063801,0.735339462489309,0.228118947623098,3.22349138531117,0.00126638107594534,0.00340686356794724
"NM_001003800",354.785989070897,-0.857090031657523,0.365648216074136,-2.34402902565712,0.0190766867362724,0.0375517928117311
"NM_016649",208.700788094935,0.439599628389955,0.285364000506221,1.54048733410706,0.123441607831496,0.186940569858539
"NM_016647",148.352947598746,-0.557043557086757,0.615215384634498,-0.905444777551684,0.365229802816139,0.461250612300909
"NM_016640",657.000988705469,0.505514711131979,0.166333868272124,3.03915682586634,0.00237241320442325,0.00597590841845579
"NM_001304467",50.6280955173752,-0.755353186646402,0.372739242062325,-2.02649225358488,0.0427143657493931,0.0751404188325959
"NM_001080825",170.759319909529,-0.0928587780223004,0.773167270144342,-0.120101796348628,0.904402509412846,0.930369003503108
"NM_002223",1195.0406538132,-0.744003966014211,0.223517827971724,-3.32861129139252,0.000872801258452882,0.00244433300211655
"NM_001253384",175.525277661876,-1.11528586016072,0.425124940072324,-2.62343079653475,0.00870491272888824,0.0189826017204741
"NM_001145313",63.740470821701,-0.107834540818034,0.228988289205904,-0.470917273507687,0.637699812248524,0.715018453531533
"NM_018476",266.171404496893,1.34015592285864,0.215910085491801,6.2070093659869,5.40023811649513e-10,4.89760528385881e-09
"NM_003363",640.362296497441,0.212190698538616,0.169781957871102,1.24978355297157,0.211378625733844,0.292554169342354
"NM_207118",80.8372427066867,1.80224857300033,0.226527640075103,7.95597646451803,1.77724185923905e-15,3.68835388449871e-14
"NM_001282730",259.973567698763,-0.194723944602465,0.187415141832854,-1.03899793100031,0.298805698512244,0.391194089974248
"NM_007100",275.67567054392,0.411009454899721,0.181048216869783,2.27016571610497,0.023197530289331,0.0443630906707222
"NM_000485",509.606123928397,-0.170902463558825,0.189644854703735,-0.901171106518079,0.367497350819509,0.463724547228029
"NM_007108",1057.08698589165,0.720772290937546,0.212882689149643,3.38577220072078,0.000709782771731827,0.00203559380694088
"NM_001350532",510.422739354193,-0.276258834325651,0.130203307524351,-2.1217497433695,0.0338587589832743,0.0615080307303576
"NM_001350531",66.4882992414204,-0.527393308224791,0.241316454265343,-2.1854842423836,0.0288533600782264,0.0535363411762794
"NM_001350530",536.506369851102,0.462769363756448,0.297753549231948,1.55420267852443,0.120136078809375,0.182661706886186
"NM_014177",134.110077755049,-0.184484540923706,0.315978263295375,-0.583851999816996,0.559319889651708,0.646738917267315
"NM_020992",527.797853785508,0.951738754118228,0.34055007385991,2.79471016796707,0.00519462633754824,0.0120130432523909
"NM_005802",697.001399583635,-0.547795354616118,0.208044277507216,-2.63307100382569,0.00846166557598957,0.0185229336855224
"NM_005258",104.661615838024,-0.177232395903602,0.259851830781729,-0.682051749916184,0.495206228725427,0.587570206046356
"NM_003824",216.714382438258,0.354938994105587,0.197273995215496,1.79921835981404,0.0719841463107319,0.117579909442669
"NM_003825",726.022827627047,0.900045393686075,0.331873036558828,2.71201723110317,0.00668751163659921,0.0150770931084728
"NM_003826",318.716841911353,0.290530506570726,0.357092758325726,0.81359954744788,0.41587439723772,0.511677923302953
"NM_003827",1794.62390249599,0.643680462399169,0.211549605568893,3.04269280327043,0.00234471559482386,0.00590800302826952
"NM_003820",60.860734125532,-2.54420468056692,0.393950424396306,-6.45818489589316,1.05966228067999e-10,1.08966558849847e-09
"NM_003821",144.747742370785,-0.658233438553322,0.187800409473676,-3.50496274421375,0.000456671183549812,0.00137379621858547
"NM_003795",1089.04558241514,0.880420134630506,0.126836366334781,6.94138566148028,3.88272420135464e-12,5.00370425303605e-11
"NM_012181",2517.82395163738,-0.291235534916208,0.166239365249035,-1.75190475781667,0.0797901863130109,0.128662681864976
"NM_012180",148.614550113016,-0.144652491881175,0.357803875939486,-0.404278716940562,0.686007774299147,0.756236495122819
"NM_001018088",1853.19269978787,-0.668767852434026,0.167752520593088,-3.98663370344362,6.70173685331216e-05,0.000239583344330936
"NM_001025780",207.297622239577,0.188697438124208,0.258533119655057,0.729877233431347,0.46546522962114,0.561029896616821
"NM_001300829",674.360250565184,0.760191127979551,0.238403866709941,3.18866945603887,0.00142929209665309,0.00380034737179972
"NM_001688",771.669945990817,0.82176724097764,0.157501614960333,5.21751628505273,1.81338284779946e-07,1.05144622307095e-06
"NM_014171",145.874213060873,1.40490334449955,0.336581678629818,4.17403392311412,2.99253167736183e-05,0.000115844612897873
"NM_001867",400.259741480253,1.52583086672204,0.295222157952841,5.16841580355151,2.36086602151023e-07,1.33403956943895e-06
"NM_144643",202.094212582491,-0.313274212330935,0.173864394159063,-1.80183075347981,0.0715720376152012,0.117064601954034
"NM_000159",507.66562620853,0.521194606952487,0.271029214932073,1.92302002233638,0.0544775353595703,0.0925527338981431
"NM_000158",504.252565778495,0.67245212300246,0.423792045916952,1.58675022214607,0.112569226815559,0.172887162100902
