"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_017847",112.294090079776,0.254490890402764,0.376596670672835,0.675765109521773,0.499189790116804,0.84934549042446
"NM_001003803",182.333378063801,0.198871703310498,0.338663624505199,0.587224871289492,0.557052690634082,0.873861887171093
"NM_001003800",354.785989070897,-0.144923895879202,0.514702821880631,-0.28156810050055,0.778274703019229,0.955062951485738
"NM_016649",208.700788094935,0.109524941850572,0.413693949962521,0.264748715470688,0.791203046547695,0.958769100738106
"NM_016647",148.352947598746,0.0696199606648984,0.872849053418887,0.0797617416117965,0.93642675310931,0.985874797284203
"NM_016640",657.000988705469,0.473525911629016,0.239011980145262,1.98118065605425,0.0475710177262598,0.292603873466371
"NM_001304467",50.6280955173752,0.473272911897,0.554668705171014,0.853253315870924,0.393518842720301,0.792931855429876
"NM_001080825",170.759319909529,-0.0961946238690721,1.11456337375423,-0.0863070024856958,0.931222372070999,0.985852034865232
"NM_002223",1195.0406538132,-0.156740672831303,0.314941860239005,-0.497681294929657,0.618708694090909,0.898937677964517
"NM_001253384",175.525277661876,0.984725372825436,0.605402054234962,1.62656430703695,0.103829665128186,0.440573034718114
"NM_001145313",63.740470821701,-0.0878776672679575,0.366859545816155,-0.239540358892544,0.81068660530709,0.963930171226486
"NM_018476",266.171404496893,0.62680914169766,0.291533951995869,2.15003822850294,0.0315521910286839,0.23299630898261
"NM_003363",640.362296497441,-0.932954197209021,0.244749747862203,-3.81186990122778,0.000137919467164734,0.00503185635911518
"NM_207118",80.8372427066867,-0.00161195632284625,0.365959877154086,-0.00440473511845546,0.996485541218969,0.999441594317397
"NM_001282730",259.973567698763,-0.101868431235787,0.271271412093636,-0.375522177031409,0.707272156314142,0.931449567982528
"NM_007100",275.67567054392,0.483437039973799,0.261687482422322,1.84738312852736,0.0646916326395894,0.344105979768144
"NM_000485",509.606123928397,0.295626996919471,0.272534560431185,1.08473213984953,0.278040308647955,0.694384799993052
"NM_007108",1057.08698589165,0.650190142817035,0.303303598989562,2.14369412358807,0.0320574033663572,0.233277461655004
"NM_001350532",510.422739354193,0.157077328815474,0.183182167443326,0.85749246778659,0.391172775779729,0.791122231751761
"NM_001350531",66.4882992414204,0.268953513797681,0.366286279414544,0.734271330685835,0.462783387266831,0.832497079547695
"NM_001350530",536.506369851102,-0.0630637585485683,0.423436908883277,-0.148933069426766,0.881606446578486,0.977615586803231
"NM_014177",134.110077755049,0.248818912954106,0.466831451857686,0.53299517837534,0.594036917988379,0.891501685711335
"NM_020992",527.797853785508,-1.00805788086925,0.48015045045713,-2.09946253285719,0.0357761472904427,0.246156833744073
"NM_005802",697.001399583635,0.403407690340002,0.296915137480298,1.35866326575138,0.174253317500085,0.567584185416095
"NM_005258",104.661615838024,0.600472479740259,0.396551511615108,1.51423576043023,0.129966054876308,0.490666397381616
"NM_003824",216.714382438258,0.423240447914394,0.278965551485391,1.51717818082122,0.129221703585212,0.489559702060618
"NM_003825",726.022827627047,0.14520563326138,0.46879430705226,0.309742740210352,0.756756598059048,0.949708364324997
"NM_003826",318.716841911353,0.265419672201534,0.509736500730382,0.520699757269147,0.602575943519192,0.894924440047503
"NM_003827",1794.62390249599,-0.325010211502108,0.301814143425056,-1.07685547076694,0.281544839170311,0.696920438775591
"NM_003820",60.860734125532,0.0968111594823334,0.507105479921126,0.190909314364718,0.848596642582991,0.972303391305954
"NM_003821",144.747742370785,-0.117044871965916,0.260597315196767,-0.44914074374688,0.653330130391977,0.912761832852861
"NM_003795",1089.04558241514,0.37568760885514,0.181405007139929,2.07098808780591,0.0383599092831493,0.254776122337792
"NM_012181",2517.82395163738,0.204548908619202,0.235582922709614,0.868267131872435,0.385248111063545,0.78733396525722
"NM_012180",148.614550113016,0.447836853482595,0.509930576835471,0.878231025607019,0.379818358194239,0.783115591865301
