"","S24_0_8","S24_1_8","S24_2_8","S24_0_9","S24_1_9","S24_2_9","L24_0_8","L24_1_8","L24_2_8","L24_0_9","L24_1_9","L24_2_9","S15_0_8","S15_1_8","S15_2_8","totalRPF_0_9","totalRPF_1_9","totalRPF_2_9","RNA_0_8","RNA_1_8","RNA_2_8","RNA_0_9","RNA_1_9","RNA_2_9","totalRPF_0_8","totalRPF_1_8","totalRPF_2_8","S15_0_9","S15_1_9","S15_2_9"
"NM_017847",98.0752151834592,97.5271704169926,91.2323459634369,82.9166013714605,118.077865527909,94.7077557205408,102.977068807538,78.3263582631163,95.4026962486216,83.3676337769637,92.8570557659529,69.6461476709573,99.7854125761499,79.3964692989952,103.491716821851,120.534836626085,140.213141932909,56.9136739830371,163.097186281877,187.024445541119,142.5311597776,214.510990234821,173.174451846474,187.887559236883,119.626838720577,131.960321504364,88.9429633494397,93.1217955471477,118.652650354164,42.8431740428304
"NM_001003803",115.001902067914,153.762595294533,329.910907625358,100.220935570722,130.664846117178,369.749457265125,125.526791904079,171.471216738174,355.591867835771,101.893774616289,140.011029397101,356.424402786664,87.7423455410973,145.814669577962,293.226530995244,118.948851933637,146.925473195654,375.112851251835,94.8929083821829,109.042521251889,222.083435002307,75.2313425468091,94.6914490392051,145.185841228501,125.709559333488,193.094481749324,312.288626871366,121.774655715501,121.511750362698,236.494320716424
"NM_001003800",478.925670083694,145.897500906066,187.072386167451,603.488655199239,277.512952991988,204.983909641718,482.564074265979,143.951144915998,166.954718435088,670.028760355597,279.29661304603,184.35744971724,513.550787137599,169.480924849778,170.330117269296,569.368504589007,269.984879679324,240.589621837384,741.350846735804,308.623378331104,359.642577578362,874.310197165619,423.978830382747,307.452369660354,416.666361984382,134.196937123082,171.956395808917,667.372868087892,272.329275812871,207.360962367299
"NM_016649",136.409182539431,313.030756660993,182.464691926874,149.970896393598,392.593918379595,119.357719538216,145.821542690966,239.212931992761,143.104044372932,159.78796473918,264.7876980826,125.636187955452,123.871546646255,257.275097632321,194.04696904097,225.209826327685,407.214763273235,111.240362785027,149.752871040632,241.876138049645,167.391245785321,162.662362263371,330.140457461012,124.689016584477,167.274816855044,367.550500009331,175.909416402225,155.202992578579,419.572926252376,107.964798587933
"NM_016647",105.542871161895,124.268491337781,49.7630977982383,209.094038241074,198.994169316069,171.252380207005,167.619608350955,146.068073517703,78.0567514761449,223.085612606875,257.533240600885,196.647946365056,153.979214233886,125.2021246638,47.4337035433482,129.257752434552,163.333394060144,150.045140500734,133.443152412445,138.781390684222,69.6082408216185,214.510990234821,215.82825771999,182.763353075877,96.3097430377525,77.5360081155586,61.2718191962807,193.406806136384,212.288175633655,157.662880477616
"NM_016640",533.688480592225,817.57656168116,608.215639756246,536.434360177101,939.827883998785,613.654362408436,513.382029164585,891.226941318161,583.257392974527,555.784225179758,1016.34949318828,701.923919664158,436.13107048369,713.804796101544,543.331513314716,590.779297937062,940.472191369138,667.442176710162,520.428294408534,642.359579738401,477.313651348241,601.850740374473,603.124815051514,585.867571075008,558.596509618965,828.293317465247,567.25845513976,549.179819893435,835.571977494085,736.902593536684
"NM_001304467",33.3555300370141,86.5160382731386,47.9200201020073,21.6304177490767,43.1553620203524,51.8946606687895,34.576242081363,84.6771440682339,32.5236464483937,30.1049788639036,47.8794193793194,39.6027114207404,21.5054768483082,48.0959381330452,43.1215486757711,23.7897703867273,44.7488750849709,38.8047777157071,62.2734711258075,122.259796555148,53.0348501498046,79.2979016033934,96.3976012741457,63.1985426524062,37.5101104462826,84.9913935112854,33.6006750431216,28.6528601683531,35.738750106676,47.9843549279701
"NM_001080825",41.3210297473458,116.403396949314,175.09238114195,47.5869190479686,83.3138239004025,609.762262858277,38.3345292641198,120.664930297233,162.618232241969,50.9468873081445,87.0534897805808,703.289530402805,21.5054768483082,107.643290107292,146.613265497622,39.6496173112122,94.7184522631884,605.354532365031,38.5502440302618,135.477071858408,162.419228583777,33.5491122168203,75.0706983373878,450.93014216852,32.4411766021903,102.88431846103,158.120823732337,44.1731594262111,70.047950209085,567.243624327075
"NM_002223",2556.42756328459,744.824438587839,180.621614230643,2196.92942938122,834.336999060146,230.931239976113,2179.80656599897,569.453793858873,173.459447724767,1950.64824587396,588.336501767092,223.96016113798,2002.59000411446,555.775285092967,153.081497798987,2212.44864596564,833.074891165208,271.63344400995,4120.4280061576,1377.24008659962,454.110904407702,3111.93431805112,1439.13941017242,715.680793820491,2600.36306201932,848.422858033709,187.76847818215,1658.28428224344,644.727051924435,234.780593754711
"NM_001253384",83.637746958483,99.4934440141094,107.820045229516,146.365826768752,220.571850326246,131.034018188693,100.722096497883,134.424966208321,151.777016759171,177.542183043534,240.84798839294,96.9583624438818,112.688698685135,138.943821273242,114.272103990793,109.432943778946,191.674348280625,155.219110862828,367.710019980959,297.388694323334,253.572877278753,433.088539526225,301.988945584492,245.961895728283,77.047794430202,84.9913935112854,154.167803139029,150.427515883854,252.315575753133,133.670703013631
"NM_001145313",33.3555300370141,92.0216043450657,67.2723359124333,41.0977937232456,86.3107240407048,67.4630588694263,31.5696123351575,80.4432868648222,62.8790498002279,30.1049788639036,73.2700205653222,66.9149261936649,21.5054768483082,64.8913451001403,58.214090712291,56.3024565819213,91.7351939241903,62.0876443451314,42.9983491106766,111.025112547378,51.3775110826232,54.8985472638877,104.075286331379,102.484123220118,40.5514707527379,108.103088238038,59.2953088996264,28.6528601683531,66.4740751984174,54.839262774823
"NM_018476",248.921865947866,121.908963021241,394.418626993445,260.286026913889,110.885305191183,504.675575003978,260.073473046774,107.963358686998,351.255381642652,297.962098499148,130.580234670871,461.576429662423,291.614266063059,142.760959220309,465.712725698328,325.919854298164,151.400360704152,499.288139942098,167.545291362292,56.8342838040149,258.544894480297,203.327952829214,63.1276326928034,244.253827007948,284.874082037984,151.344323533254,395.302059330843,371.293313014909,133.662925398968,527.827904207671
"NM_003363",800.034877156442,628.027786919102,781.464943201965,745.528398418175,675.501291624127,638.304326226111,736.624287820342,512.296721612815,650.472928967874,694.730281474698,506.361132223712,554.437959890366,795.702643387402,578.678112775369,750.314946958417,739.068866680995,685.403603384804,556.201813925135,321.746267483339,530.67360342586,603.271420454027,391.406309196237,616.774032931039,695.183969176468,845.498165194585,642.654221111649,737.238340652022,656.628045524759,576.823426721751,563.816170403649
"NM_207118",87.1226530817531,102.246227050073,63.5861805199712,100.941949495691,112.084065247304,70.0577919028658,68.4008267261746,119.60646599638,88.8979669589428,76.4203309622167,140.011029397101,62.8180939777262,98.9251935022176,127.49240743204,75.4627101825994,90.4011274695638,122.31359189892,75.0225702503671,23.7232270955457,32.3823244929852,18.2307297389953,27.4492736319439,40.0945775211049,25.6210308050295,90.2270224248418,128.232628806501,84.9899427561312,90.7340571997849,107.931025322162,73.6902593536684
"NM_001282730",240.956366237534,259.548114819416,293.049353700737,225.677358515366,191.202228951284,223.147040875795,261.576787919876,238.154467691908,286.208088745865,229.26099288665,214.006495710594,278.584590683829,260.646379401495,271.016794241763,314.787305333129,209.3499794032,216.286229577359,279.394399553091,260.955498051003,284.832282785237,384.502663586083,228.743946932866,269.57205312062,343.321812787396,249.391545129338,268.393874246165,294.500034201478,229.222881346825,218.721150652857,274.196313874115
"NM_007100",272.320521346966,249.716746833832,280.147809827119,225.677358515366,286.503653412895,295.7995658121,304.421261803304,361.9947908917,299.217547325222,219.225999932016,401.896944487015,300.434362502169,200.431044226232,263.382518347628,353.596699141323,237.897703867273,337.108192306781,271.63344400995,257.99009466406,222.050225094756,253.572877278753,257.209860328955,242.27361736157,230.589277245266,252.432905435793,279.576952339755,229.275194411889,259.06961068886,309.497575923814,315.325760955232
"NM_000485",399.768516712273,616.230145336401,279.226270979004,483.079329729379,785.187836759189,377.533656365444,520.898603530099,868.99919100025,427.143890022238,603.643422348015,914.061642696098,434.264214889499,495.48618658502,736.707623783946,312.631227899341,365.569471609376,626.484251189593,424.265569691731,496.705067312989,553.142971441401,336.439830637823,508.319882073035,629.570174693093,302.328163499348,361.921876468186,423.465890477282,349.842322507796,518.139221377719,775.530877314869,361.596388921489
"NM_007108",833.390407193456,756.228825451116,1503.95140012454,848.633389688774,996.169606636468,1580.19241736464,927.545276704389,1078.57512256913,1942.74581451738,933.25434478101,1281.13719127088,1881.81159785449,897.208494111417,1014.59526633043,1666.64785631855,602.674183130425,1029.96994153908,1650.49654550808,514.497487634648,429.561447355926,891.64841814359,585.584504148136,530.613345066537,848.910154006645,553.527575774873,550.95298074421,1620.73844325646,914.503787039937,1187.95605354591,1658.8876989384
"NM_001350532",723.366942444499,485.669578487846,163.112376116448,777.253011116821,496.286663234052,197.1997105414,720.087824216212,436.087291951404,173.459447724767,729.466795548432,517.242818446284,188.454281933179,595.27159916117,344.30584282545,146.613265497622,912.734190504105,570.548157333379,188.849918216441,1070.5106226865,713.732866376001,271.803607017749,1262.66658706942,643.219392572619,295.495888618007,817.112135667669,550.95298074421,207.533581148693,558.730773282886,376.686426124365,178.227604018175
"NM_001350531",42.814560943033,81.7969816400583,73.723107849242,43.2608354981533,94.7020444335511,60.9762262858277,43.5961313199794,44.4555006358228,67.215535993347,30.8769013988754,64.5646715872641,51.8932080685565,30.9678866615638,54.9667864377659,51.7458584109253,49.1655254659031,85.0228626614447,64.6746295261785,84.5139965278816,126.885842911289,84.5242924262511,88.447659480708,113.459123623552,81.9872985760945,50.6893384409224,82.0092393529947,59.2953088996264,48.9486361209366,84.3434502517554,53.1255358131098
"NM_001350530",422.669328379477,602.466230156584,649.684887921445,443.423563856071,374.612517537781,694.091086445059,378.083690585339,483.718185489786,444.489834794714,366.663204111646,288.001962024088,589.943839095168,495.48618658502,738.234478962773,733.066327488109,593.158274975734,461.65922795995,716.594895150058,444.810508041482,537.943104842652,513.775110826232,342.607600517225,368.528882747177,551.706196668302,538.320774242596,788.779774867895,561.328924249797,614.842624445911,508.205026516933,848.294846048043
"NM_014177",80.1528408352129,197.020614431102,166.79853150891,74.9854481967991,168.425787884986,83.0314570700632,81.1790031475478,242.388324895319,179.964177014445,66.3853380075822,197.32124350265,117.442523523575,64.5164305449245,203.071738783969,178.95442700445,64.2323800441637,157.366877382148,62.0876443451314,96.3756100756545,177.772352828837,157.447211382232,96.5807775938766,227.771323364574,117.856741703136,79.0753679678389,199.058790065905,144.285251655758,56.1118511630249,162.253925484309,123.388341243352
"NM_020992",1741.45737417127,417.243257308182,90.3108071153214,1067.82162287942,417.767879558134,67.4630588694263,1593.5137654889,378.930219705346,86.7297238623833,1074.51616868087,445.423689377305,105.152026875759,1777.21260674419,427.519450071513,97.023484520485,952.383807815317,374.398921544256,90.5444813366499,425.535386026351,161.250758699763,21.5454078733581,215.527629998967,220.946714424812,17.080687203353,1531.83180768467,363.822807311467,112.66108690929,1017.17653597654,458.88555136972,82.2588941622345
"NM_005802",407.734016422605,543.871276962503,969.458868217532,318.688154836396,417.767879558134,910.751294737256,349.520707996387,461.490435171874,871.633724816952,309.540936523726,324.274249432663,882.18453716546,444.733261223013,519.894188390536,963.766612903484,367.948448648049,443.759677925961,830.422243116132,751.729758590105,833.349207870497,1869.47846778061,802.128773911248,760.943896783522,1696.11223929295,436.942097360751,647.127452349086,1041.62092633677,350.997537062326,473.895826414524,908.275289708006
"NM_005258",62.2304664869665,109.324811999693,117.035433710672,72.1013924969222,83.3138239004025,107.681420887738,52.6160205585958,136.541894810027,119.253370310777,50.9468873081445,92.1316100177813,125.636187955452,64.5164305449245,229.028276824025,202.671278776124,42.8215866961092,76.0730876444505,116.414333147121,72.6523829801088,99.7904285396075,157.447211382232,72.1814232543709,88.7199162169129,146.893909948836,41.5652575215564,90.9557018278669,86.9664530527854,100.285010589236,155.820950465107,166.231515286182
"NM_003824",242.947741165117,179.717406776474,209.189318522224,250.912845889289,204.388589568613,204.983909641718,264.583417666082,207.459002967173,253.684442297471,284.067492869654,229.966302170368,199.379167842348,225.37739737027,161.083221366231,247.948904885684,242.655657944619,215.54041499261,201.784844121677,223.887955714213,137.459663153896,236.999486606939,252.126661508225,155.259853379598,177.639146914871,211.881434683056,158.054170389408,252.993317971739,253.100264820453,207.284750618721,209.074689329013
"NM_003825",1261.53601662379,756.62208017054,729.858767707496,852.959473238589,502.879843542717,644.791158809709,1311.64222678214,771.620475321781,865.128995527273,775.782147646746,573.827586803662,756.548349210007,1150.11290184752,658.074582074364,750.314946958417,831.848971189232,476.57551965494,628.637398994455,644.975236660149,368.101117195771,409.362749593804,605.917299431057,323.31584852125,312.57657582136,1279.39890224888,814.128085213366,867.6880202312,710.352158340421,476.040151420924,670.067242029868
"NM_003826",160.803525402322,193.874576675715,759.348010847192,142.039743218937,207.385489708916,422.941484450634,142.81491294476,190.523574153526,700.342520188745,151.29681685449,190.792231769106,411.048832332513,194.409510708706,202.308311194555,802.060805369343,174.458316169334,218.523673331608,447.548436321155,174.95879982965,176.450625298511,830.326872657878,172.828759904832,180.852136903707,374.067049753431,179.440258080865,218.442792094795,737.238340652022,158.784600099624,230.872325689127,414.721924734599
"NM_003827",1265.02092274706,1177.40462995353,3802.26928732465,986.347049357895,935.632223802362,3374.45030998804,1375.53310888901,1330.48962617212,4106.65242488385,1066.02502079617,1035.93652838891,3681.68655139022,1185.38188387875,1295.53661923457,4674.37587645359,873.877565539117,923.3184559199,3469.14712778421,575.288257066984,635.750942086771,1710.3739173312,418.85558282818,649.190925394911,1446.734206124,1066.50368079701,1084.01303653868,3761.29909453297,1021.95201267126,974.953102910121,3934.71710409355
"NM_003820",52.2735918490519,13.3706604603942,30.4107819878123,53.3550304477224,8.99070042090675,31.1367964012737,55.6226503048013,23.2862146187643,36.8601326415129,36.2803591436787,14.5089149634301,32.7746577275093,73.1186212842478,23.6662552718159,34.4972389406169,34.0986708876425,10.4414041864932,51.7397036209428,235.749569261986,72.034150402763,192.251331793042,269.409537498708,58.0091759879815,193.011765397889,47.647978134467,11.9286166331629,27.671144153159,56.1118511630249,7.86252502346872,37.7019931576908
