"Gene","TEfc","RNAfc","L24","S15","L24overS15"
"ODR4",-0.796731752068007,-0.126206592664276,"noChange","noChange","noChange"
"DMAC2L",-0.188181448274544,0.848024943143149,"noChange","noChange","noChange"
"BICD2",0.296601368163905,-0.134068052178053,"noChange","noChange","noChange"
"ESF1",-0.504956481747696,-0.967037025230995,"noChange","noChange","noChange"
"THEM6",0.349597083751844,-0.4904269211788,"noChange","noChange","noChange"
"MRPS30",0.0432871432221944,-0.229295162530474,"noChange","noChange","noChange"
"EEF1AKMT2",0.000264673866891312,-0.914605496793117,"noChange","noChange","noChange"
"TMEM120B",-0.116207807167599,1.54104960424969,"noChange","noChange","noChange"
"ITPR2",-0.351027320458941,-1.26803410890553,"noChange","noChange","noChange"
"RPL15",0.769303336324103,-0.262813645814986,"noChange","noChange","noChange"
"FSD1L",-0.489331931371187,-0.489017108261173,"noChange","noChange","noChange"
"BEX1",-0.21338210573696,2.07223858266169,"noChange","noChange","noChange"
"USP4",-0.269740308768845,0.179407687771853,"noChange","noChange","noChange"
"GTF2H5",0.183505146260105,-0.715324369112609,"noChange","noChange","noChange"
"SUPT7L",-0.0771042659277116,0.392134379850105,"noChange","noChange","noChange"
"ATP5ME",0.04441606394876,0.0623307622736122,"noChange","noChange","noChange"
"APRT",0.604691037913309,-0.88756654414084,"noChange","noChange","noChange"
"ELOB",0.353324070789113,0.859605170769311,"noChange","noChange","noChange"
"SNX14",-0.100517694690854,-1.2599258735956,"noChange","noChange","noChange"
"LARP1B",-0.516065206586281,-0.531729693627677,"noChange","noChange","noChange"
"MIER1",-0.400364831289071,0.231782832639916,"noChange","noChange","noChange"
"TIMM21",-0.186545214368454,-0.556383741393735,"noChange","noChange","noChange"
"PDLIM1",0.240941722772124,-3.30310229698715,"noChange","noChange","noChange"
"TOPORS",-0.381902980789873,1.16088912486787,"noChange","noChange","noChange"
"GCHFR",0.155418766043362,0.688591513808345,"noChange","up","noChange"
"FADD",0.259215722400797,0.506464289689822,"noChange","noChange","noChange"
"SNAP23",-0.0545109100929684,0.0620787020015683,"noChange","noChange","noChange"
"NAPG",-0.0968111724446731,1.75362529799764,"noChange","noChange","noChange"
"NAPA",0.129629969361403,1.29709406919102,"noChange","noChange","noChange"
"TNFRSF14",0.88398485865567,1.56198043067674,"noChange","noChange","noChange"
"RIPK2",0.349132360286004,0.3940557096595,"noChange","noChange","noChange"
"SNX3",0.204926656261808,1.50952692134194,"noChange","noChange","noChange"
"FKBP8",0.287910164699265,2.81074172438199,"noChange","noChange","noChange"
"FBXO8",-0.28890917564429,1.85862651394227,"noChange","noChange","noChange"
"VPS13C",-0.279187478827409,0.0126405734146541,"noChange","noChange","noChange"
"ABHD17B",-0.207248105393085,-0.376566508507466,"noChange","noChange","noChange"
"CIRBP",0.024727274202561,1.10255017055187,"noChange","noChange","noChange"
"ATP5PB",-0.237869290569608,-0.340873069036855,"noChange","noChange","noChange"
"CRIPT",-0.225920141016374,1.11767415966682,"noChange","noChange","noChange"
"COX7C",0.110561801162084,-0.483138090154237,"noChange","noChange","noChange"
"SCLT1",-0.000560122571457865,1.01345860018118,"noChange","noChange","noChange"
"GCDH",-0.0175500937345975,0.807588216390107,"noChange","noChange","noChange"
"GBE1",-0.309591564479327,-1.3658609692679,"noChange","noChange","noChange"
"SNTB1",0.340221620140689,0.483502240445927,"noChange","noChange","noChange"
"GSTK1",0.366503394408617,-0.793583555241077,"noChange","noChange","noChange"
"TSSC4",0.136078733511752,1.06575113033648,"noChange","noChange","noChange"
"FAM214A",-0.366206825448951,1.54723183958229,"noChange","noChange","noChange"
"MARCKSL1",-0.906747325040327,0.583022764391926,"noChange","noChange","noChange"
"ZNF100",-0.235740463775797,-0.486350759450807,"noChange","noChange","noChange"
"PIF1",0.612875608923455,1.15534746003695,"noChange","noChange","noChange"
"KIF2C",-0.0527743666688954,1.25936236782338,"noChange","noChange","noChange"
"ZFHX3",1.75302766279532,-0.670064037464058,"noChange","noChange","noChange"
"DNPEP",0.121504702030099,-0.65839913518398,"noChange","noChange","noChange"
"CYBC1",0.00299588666707922,-0.156190144393594,"noChange","noChange","noChange"
"ZNF326",-0.169198493303228,1.01523305098244,"noChange","noChange","noChange"
"UCP2",0.274748840903231,1.21535977768218,"noChange","noChange","noChange"
"ECHDC1",0.111384853272934,-0.962603014693824,"noChange","noChange","noChange"
"MBNL3",0.0366262523712503,1.23997777800891,"noChange","noChange","noChange"
"UGCG",-0.217220429428984,0.458829802595384,"noChange","noChange","noChange"
"PHETA2",0.257087812005117,0.722695511468383,"noChange","noChange","noChange"
"PEX16",0.0377485816024802,0.437687332729246,"noChange","noChange","noChange"
"SNRNP40",-0.1283939055843,-0.241544306058454,"noChange","noChange","noChange"
"C5orf15",-0.157609166476768,0.401741315809372,"noChange","noChange","noChange"
"TJP2",-0.024713431835778,1.07863065049147,"noChange","noChange","noChange"
"DDX23",-0.0175239962782585,0.162149989219116,"noChange","noChange","noChange"
"XAB2",0.0019061461189393,-0.632750587069054,"noChange","noChange","noChange"
"SDR39U1",1.12141541366613,-0.277619034417148,"noChange","up","noChange"
"DDX58",-0.219959095475243,-0.0431006444042869,"noChange","noChange","noChange"
"MRPS22",-0.104190751010924,-0.174188974564011,"noChange","noChange","noChange"
"NELFA",0.33478374661019,-0.014753411342209,"noChange","noChange","noChange"
"ISG20L2",0.504486804424619,-0.699127500256801,"noChange","noChange","noChange"
"WDR75",-0.385770633254922,-1.16205874807773,"noChange","noChange","noChange"
"TMEM50A",-0.323062503583927,0.117167127926916,"noChange","noChange","noChange"
"AKR7A2",0.548776937725717,-0.669419385507437,"noChange","noChange","noChange"
"YARS",-0.223941256905916,0.0450121019415923,"noChange","noChange","noChange"
"PDXK",0.0979342920586989,-0.61970531949003,"noChange","noChange","noChange"
"MADD",0.0482563872495521,-0.459384382735797,"noChange","noChange","noChange"
"MKNK1",0.0336310608964499,0.712663090447813,"noChange","noChange","noChange"
"KHSRP",0.237159939232343,-0.884714346196193,"noChange","noChange","noChange"
"SLC35A1",-0.561258477943471,-0.713373812544451,"noChange","down","noChange"
"SURF1",0.0184967352150821,0.447409362838891,"noChange","noChange","noChange"
"AGPAT1",0.638899563353896,-0.568779528463128,"noChange","noChange","noChange"
"SMARCA4",0.0917006986031808,-1.34213325877785,"noChange","noChange","noChange"
"MAD2L2",0.523349463835948,-0.296293248986143,"noChange","noChange","noChange"
