"Gene","TEfc","RNAfc","L24","S15","L24overS15"
"GCHFR",0.155418766043362,0.688591513808345,"noChange","up","noChange"
"SDR39U1",1.12141541366613,-0.277619034417148,"noChange","up","noChange"
"SLC35A1",-0.561258477943471,-0.713373812544451,"noChange","down","noChange"
"PPDPF",1.24871737560604,0.320899205149765,"up","up","noChange"
"BAD",0.53868798403321,1.36452985944583,"noChange","up","down"
"ANKRD26",-0.241224581601211,-1.08924706708141,"down","noChange","noChange"
"KIFAP3",-0.274097485146461,0.0285856296559506,"noChange","down","noChange"
"ZNF566",-0.267318022515665,-0.855329594804406,"noChange","down","noChange"
"CDK2AP1",0.967282420077639,-1.81818890408779,"up","up","noChange"
"TMEM160",0.347994069334259,-0.501613551738074,"noChange","up","noChange"
"PRR14",0.338930406314115,-0.482382370947556,"noChange","up","noChange"
"ABCE1",-0.302794232560854,-1.34671009639079,"noChange","down","noChange"
"MITD1",-0.632525082262367,-0.326831984120286,"noChange","down","noChange"
"MAX",1.09610943847054,0.841425332888462,"noChange","up","noChange"
"PPP6C",-0.529693675853703,0.0275446481733367,"noChange","down","noChange"
"CRYZL1",-0.660135432521005,-0.733458037795146,"down","noChange","noChange"
"MEAF6",0.345206092679978,0.226779551509987,"noChange","up","noChange"
"PTS",-0.361614488305265,0.765691657264462,"noChange","down","noChange"
"OXLD1",0.270823868966464,0.741777682717039,"noChange","up","noChange"
"TMX3",-0.201589475347696,-0.636649632044046,"noChange","down","up"
"MPC1",-0.40714238018435,0.453299071870081,"noChange","noChange","up"
"NT5C3A",-0.552648933674468,1.73846803033198,"noChange","down","noChange"
"CLK3",0.129314339466622,2.53250586523822,"noChange","up","down"
"CDKN2AIPNL",0.679004270708844,-0.377579397370068,"noChange","up","noChange"
"RPL26L1",0.949211624751192,-1.06401823980878,"up","up","noChange"
"RAB11A",-0.420633706498043,-0.439545360710902,"noChange","down","noChange"
"MRPL54",0.782889083004624,0.347527570945062,"up","noChange","noChange"
"HIST1H2BF",0.743571462467587,1.66115094524259,"noChange","up","noChange"
"HIST1H3A",0.518773742913542,1.86600012806042,"noChange","up","noChange"
"UBE2S",1.12456951387324,2.27690279893657,"noChange","up","noChange"
"MAFG",0.419386105803258,2.00467633703509,"noChange","up","noChange"
"SEC11A",-0.407773122378294,-0.524862711805169,"noChange","down","noChange"
"ZNF569",-0.80565899889927,-0.349465543343226,"noChange","down","noChange"
