"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001003806",5.37437979178055,1.0776824884829,2.25254505352624,0.478428827337257,0.632345019935104,1
"NM_017847",105.820694019964,0.143794127275487,0.383847188092983,0.374612949465332,0.707948340964269,1
"NM_001143986",0.397531613684874,-1.99838004344408,6.21176309280808,-0.321708992050548,0.747673165052368,1
"NM_001143980",2.95774210466669,-1.81359313385385,2.31938227751781,-0.781929374658647,0.434256080640258,1
"NM_001003803",189.953210447143,0.0513173550977957,0.393441050881447,0.130432132038146,0.896224546036216,1
"NM_001003800",328.241350398423,-0.227385117925906,0.437157278114731,-0.520144875333013,0.602962602960033,1
"NM_016649",200.396537538058,-0.11136921250618,0.362225150926987,-0.307458530201921,0.758494383399772,1
"NM_016647",144.314497075859,0.392124917251323,0.681074056667217,0.575744903821702,0.564787619075326,1
"NM_016644",0.395233570093079,0,8.16084380113998,0,1,1
"NM_017417",0.450604254942155,0,8.16084380113997,0,1,1
"NM_016642",0.166368481954158,0,8.16084380113997,0,1,1
"NM_016640",642.915478831012,0.0644458207377611,0.19369849017869,0.332712044777989,0.739351656653971,1
"NM_001304464",0.0508759294988151,0,8.16084380113997,0,1,1
"NM_003279",1.87409440302007,0,2.79643796939601,0,1,1
"NM_001304467",49.0270973209722,0.0127700342762236,0.512386760569295,0.0249226468342688,0.980116663281645,1
"NM_001080825",192.279858871842,0.182322200603312,0.907684421770848,0.200865186435182,0.840803990076826,1
"NM_001040",0.0711536036291283,0,8.16084380113997,0,1,1
"NM_002223",1029.1823396831,-0.205022407773948,0.522455179043107,-0.392421045857852,0.694747138240076,1
"NM_001143981",2.89477611578855,0,6.78046129777152,0,1,1
"NM_001253384",170.711685064013,-0.324418348829964,0.483733013708474,-0.670655794904001,0.502439829667338,1
"NM_001145313",63.0147408242284,0.104263510696384,0.328526406275352,0.317367215252086,0.750964980785638,1
"NM_018476",269.355878848208,-0.128902112999614,0.244540516577913,-0.527119656094061,0.598110497644632,1
"NM_003363",612.909889320662,-0.113078531529633,0.187508343611141,-0.60305866582736,0.546469662596083,1
"NM_207118",78.1217838228045,-0.123186410699912,0.282534553102275,-0.436004762416864,0.662833274251277,1
"NM_205852",1.54242501254623,0,4.06870677757302,0,1,1
"NM_001282735",39.3777250170923,0.191548864649394,1.08031192731583,0.177308849237016,0.859265800239342,1
"NM_001007531",7.41396138414031,-0.954667101230322,0.875220604747782,-1.09077311028964,0.275372731281345,1
"NM_001282730",254.143296420407,-0.0266076144919478,0.231893831113421,-0.11474050156571,0.908650810305353,1
"NM_004108",0.197931024006093,0,8.16084380113997,0,1,1
"NM_004109",56.2533201355213,0.35938771787528,0.671479941564489,0.535217354427503,0.592499567199865,1
"NM_004106",196.209415534677,-0.105548723932751,0.571021856820844,-0.184841828157668,0.853353098985727,1
"NM_001291976",0.0470245695183078,0.951546260175817,8.15103360568544,0.116739337145182,0.907066616845956,1
"NM_130759",0.190712889714474,0,8.16084380113997,0,1,1
"NM_181776",0.0340285946896825,0,8.16084380113997,0,1,1
"NM_001462",41.4777247045002,-1.70476731895249,1.14354243211071,-1.49077749201304,0.136019923012996,1
"NM_001463",0.040973557060414,0,8.16084380113997,0,1,1
"NM_004101",16.0111900445875,1.05876365946409,2.14391457617528,0.493846010111519,0.621414936440098,1
