"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001003806",5.37437979178055,-0.492258090601405,1.20705006159317,-0.407819117254905,0.683406477333589,1
"NM_017847",105.820694019964,-0.105413719274916,0.343718970039217,-0.306685776647385,0.75908255700539,1
"NM_001143986",0.397531613684874,-1.09155209304982,6.03587870648014,-0.180843941061627,0.856490071724663,1
"NM_001143980",2.95774210466669,-2.41359589702442,2.03709250871544,-1.18482390303737,0.236087079674667,0.681152587826857
"NM_001003803",189.953210447143,-1.2957044482096,0.394634554409423,-3.28330206701906,0.00102598664901987,0.0262020667750563
"NM_001003800",328.241350398423,0.344243005467252,0.418139406466263,0.823273291499797,0.41035259836273,0.857116315887764
"NM_016649",200.396537538058,-0.338981501894365,0.340310932103473,-0.996093483683021,0.319204725704352,0.771860101793534
"NM_016647",144.314497075859,0.07447050169705,0.666950536538977,0.111658207943728,0.911094417269938,1
"NM_016644",0.395233570093079,-0.122324505526469,8.07073473538031,-0.0151565513595962,0.98790728466881,1
"NM_017417",0.450604254942155,0,8.16084380113997,0,1,1
"NM_016642",0.166368481954158,0,8.16084380113997,0,1,1
"NM_016640",642.915478831012,-0.319073422119894,0.186515545880422,-1.71070685080834,0.0871352423960963,0.429945744287561
"NM_001304464",0.0508759294988151,0.33359338894595,8.14163692452126,0.0409737491414315,0.96731682343253,1
"NM_003279",1.87409440302007,1.16539768187704,2.09713399091168,0.555709690905545,0.578409330643935,0.981781486397385
"NM_001304467",49.0270973209722,-0.174428020545759,0.472344642914485,-0.369281250803428,0.711918099179219,1
"NM_001080825",192.279858871842,-3.02305686362384,0.912708025131364,-3.31218394095826,0.000925706590833177,0.0244862356217751
"NM_001040",0.0711536036291283,0,8.16084380113997,0,1,1
"NM_002223",1029.1823396831,0.90484097962034,0.505173202402619,1.79114999631193,0.0732692279303093,0.395698191607483
"NM_001143981",2.89477611578855,0.670270101647985,6.48770075114671,0.10331396705212,0.917713790833401,1
"NM_001253384",170.711685064013,-0.294169224474516,0.47188989989551,-0.623385295043726,0.533031358854304,0.951585732080343
"NM_001145313",63.0147408242284,-0.725544617082187,0.29019321755996,-2.50021217994964,0.0124118943162521,0.146210840162689
"NM_018476",269.355878848208,-0.777968984740496,0.238196019644434,-3.26608725830853,0.00109044642532226,0.0271445082247662
"NM_003363",612.909889320662,0.161146940486186,0.178762024325961,0.901460705056378,0.367343417567664,0.820117787030924
"NM_207118",78.1217838228045,0.0750791283021059,0.225210231660868,0.33337352281207,0.738852346896307,1
"NM_205852",1.54242501254623,-1.22533301424392,3.99664262818592,-0.306590588210811,0.759155018378081,1
"NM_001282735",39.3777250170923,1.01350936882245,0.772864876139909,1.31136683799689,0.18973385701778,0.613150953386892
"NM_001007531",7.41396138414031,-1.30797405795107,0.777417394486895,-1.68246049963206,0.0924795783115436,0.44214450672011
"NM_001282730",254.143296420407,-0.126691475651374,0.220768295135995,-0.573866259071896,0.566058307041917,0.973356480606547
"NM_004108",0.197931024006093,-1.22453708365351,8.12700593624147,-0.150675057119477,0.880232050102181,1
"NM_004109",56.2533201355213,0.623634681982023,0.509318635145467,1.22444897741451,0.220782902786426,0.658670435601899
"NM_004106",196.209415534677,1.11556971905247,0.525538569836024,2.12271711931731,0.0337775635818555,0.270383687474843
"NM_001291976",0.0470245695183078,0,8.16084380113997,0,1,1
"NM_130759",0.190712889714474,0,8.16084380113997,0,1,1
"NM_181776",0.0340285946896825,0,8.16084380113997,0,1,1
"NM_001462",41.4777247045002,1.37122111413457,0.572697681795718,2.3943193026992,0.0166512459003182,0.175658609839362
"NM_001463",0.040973557060414,0.0130889433731566,8.15293545204118,0.00160542708207995,0.998719055067964,1
"NM_004101",16.0111900445875,1.48943566546193,0.873489708895093,1.70515536736657,0.0881654516607844,0.433563397202314
"NM_000331",0.138519028643011,0,8.16084380113997,0,1,1
"NM_007101",9.25480924273667,0.957490502191057,1.10614270253611,0.865612095072152,0.386702920532726,0.83490364055641
"NM_007100",268.882435220492,-0.0983317239332107,0.202413622397986,-0.485795979382608,0.627111825234558,1
"NM_000334",1.91584995359775,-2.19030550037323,2.20652784318769,-0.992648022609575,0.320881513234467,0.773584621094985
"NM_007105",2.13233015414613,0.154873262511664,1.2210548930542,0.126835626631234,0.899070497466518,1
"NM_181435",2.86179521338343,-0.762266853446272,2.41273723469634,-0.315934467493808,0.752052249519174,1
"NM_000339",0.0151207666471261,0.0130880814143444,8.15293548577784,0.0016053213516991,0.998719139428494,1
"NM_000486",22.0505216899723,-3.1911279373921,1.56697742655755,-2.0364862207381,0.0417015553640989,0.301810530200883
