"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001003806",5.37437979178055,-4.2788810477379,1.85510404175613,-2.30654505161193,0.0210801958306449,0.140862957496496
"NM_017847",105.820694019964,-0.220044279516795,0.378314859574945,-0.5816432369694,0.560807013098021,0.903780503372141
"NM_001143986",0.397531613684874,-0.352284640529454,6.12743214426852,-0.0574930300711652,0.954152458124182,1
"NM_001143980",2.95774210466669,-0.369533189837865,2.05866010547048,-0.179501797725571,0.857543705875019,1
"NM_001003803",189.953210447143,0.559391113481296,0.395938492791113,1.41282326337595,0.157707696335683,0.450160848420574
"NM_001003800",328.241350398423,-0.868397547333173,0.430332844540646,-2.01796715809627,0.0435946818200827,0.21914721706426
"NM_016649",200.396537538058,-0.141341801499252,0.357407735277215,-0.395463745040728,0.692500672887451,1
"NM_016647",144.314497075859,-0.32362275191757,0.680692107742888,-0.47543191442409,0.634479151491608,0.962145566334459
"NM_016644",0.395233570093079,-0.489718342444555,8.13494264424241,-0.0601993601996884,0.951996855279131,1
"NM_017417",0.450604254942155,0,8.16084380113997,0,1,1
"NM_016642",0.166368481954158,0,8.16084380113997,0,1,1
"NM_016640",642.915478831012,0.0667689002138565,0.193510664755886,0.345039898953816,0.730064375471641,1
"NM_001304464",0.0508759294988151,0,8.16084380113997,0,1,1
"NM_003279",1.87409440302007,-2.54978323658377,2.52530569585148,-1.00969290204053,0.312642444166936,0.655488556585047
"NM_001304467",49.0270973209722,0.385632436771047,0.515518902761385,0.748047132133083,0.454431728989828,0.805604045562623
"NM_001080825",192.279858871842,0.261166376339728,0.908295400572617,0.287534623840527,0.773702994694296,1
"NM_001040",0.0711536036291283,0,8.16084380113997,0,1,1
"NM_002223",1029.1823396831,-2.28615749778309,0.515048951873062,-4.43871886248694,9.04959313498148e-06,0.00100882569092064
"NM_001143981",2.89477611578855,-4.1526682338,6.6425879348285,-0.62515818752307,0.531867241288391,0.87845304873779
"NM_001253384",170.711685064013,0.319184585639713,0.482159608838361,0.661989473586777,0.507977967879377,0.855019593611399
"NM_001145313",63.0147408242284,0.171582447420733,0.325629323000667,0.526925664555038,0.598245210666089,0.934016443256974
"NM_018476",269.355878848208,0.214156024005232,0.244047368444508,0.877518267745336,0.380205201011146,0.729244839132489
"NM_003363",612.909889320662,0.0916077364748687,0.186498753698243,0.491197579921047,0.623286710451245,0.954366910452527
"NM_207118",78.1217838228045,0.039208211097718,0.270496427109315,0.144949090517461,0.884751067048676,1
"NM_205852",1.54242501254623,-0.50052998746391,4.01375838568821,-0.124703566923371,0.900758233451074,1
"NM_001282735",39.3777250170923,-3.18354503521017,0.976637858753257,-3.25969857371102,0.00111530676214156,0.0192139113443614
"NM_001007531",7.41396138414031,0.367411661433469,0.805087814126738,0.456362219110214,0.64812952914212,0.972375978313014
"NM_001282730",254.143296420407,0.354753280063468,0.232929835946987,1.52300489381792,0.12775748107266,0.401816673085726
"NM_004108",0.197931024006093,-0.489715177670186,8.13494186663036,-0.06019897691943,0.951997160538909,1
"NM_004109",56.2533201355213,-1.77259133039818,0.628176278982559,-2.82180558181726,0.00477541176344204,0.0518768682502201
"NM_004106",196.209415534677,-2.00503639806365,0.553239244074647,-3.6241760134303,0.000289884147367462,0.00766784163118941
"NM_001291976",0.0470245695183078,0,8.16084380113997,0,1,1
"NM_130759",0.190712889714474,0,8.16084380113997,0,1,1
"NM_181776",0.0340285946896825,0,8.16084380113997,0,1,1
"NM_001462",41.4777247045002,-2.61355260930664,0.786763418329179,-3.32190407995449,0.000894054229969845,0.0164109957896232
"NM_001463",0.040973557060414,0,8.16084380113997,0,1,1
"NM_004101",16.0111900445875,-5.68288628824149,1.68375549871304,-3.3751256002342,0.000737820090255627,0.0144083362207486
"NM_000331",0.138519028643011,0,8.16084380113997,0,1,1
"NM_007101",9.25480924273667,-5.20659931574378,1.81278418349942,-2.87215619108773,0.00407681416159624,0.046572078616457
"NM_007100",268.882435220492,0.0832513728226635,0.21885839367321,0.380389216174961,0.703656518337232,1
"NM_000334",1.91584995359775,-1.20637525420684,2.41800921623916,-0.498912595578594,0.617840960274177,0.949070084222524
"NM_007105",2.13233015414613,-1.82327564443301,1.8161525941516,-1.00392205495527,0.315416185013435,0.658973988348715
"NM_181435",2.86179521338343,-1.63610035876415,2.67880479742877,-0.610757588733061,0.54136007453579,0.887181852036669
"NM_000339",0.0151207666471261,0,8.16084380113998,0,1,1
"NM_000486",22.0505216899723,2.4169140583308,1.25285693213665,1.92912214981238,0.0537156998290918,0.247335611257785
"NM_000485",493.309027130439,0.0678574713941614,0.223837960697492,0.303154438964302,0.761772168577514,1
"NM_007108",1080.68414652559,0.593490510625635,0.353772920047625,1.67760299614153,0.0934246275232445,0.338759218498919
"NM_000483",8.85352463758459,-5.17711544019303,2.16016914153665,-2.3966250330334,0.0165468470151936,0.121313322226461
"NM_000482",0.0421798179489707,0,8.16084380113997,0,1,1
"NM_000481",35.3222982819125,-0.464893050851433,0.619119593607942,-0.750893778279978,0.452716585013148,0.803911165727797
"NM_016643",18.4085446455196,-0.847616933475414,0.839953988974681,-1.00912305269255,0.312915623489659,0.655811676119302
"NM_001350532",459.070590209213,-1.3511237610937,0.384504584850225,-3.51393407082519,0.000441522382774774,0.0101272619683311
"NM_001350531",64.9896271341171,0.282355673615162,0.352621779619923,0.800732370869157,0.423286598176681,0.774064877030158
"NM_001350530",530.870678571909,0.047651977908264,0.32551163982544,0.146391010575898,0.883612723384074,1
"NM_030613",0.205674933598852,0,8.16084380113997,0,1,1
"NM_014177",130.453062275318,0.831808874573408,0.393187848693504,2.11555081709002,0.0343830286082427,0.189513871381375
"NM_020992",445.750584858165,-2.20844326677484,0.600656943525032,-3.67671312315863,0.000236258478149799,0.00683489391923095
"NM_005802",699.623561319399,0.717922817051355,0.318291810213927,2.25554913451537,0.0240988818328182,0.152816606124695
"NM_005258",105.35529000135,0.519603036048703,0.403096915506613,1.2890275664741,0.197388503195377,0.510389970250487
"NM_001012964",0.0357849072447122,0,8.16084380113997,0,1,1
"NM_003824",209.354797492953,0.127910320975495,0.22169720836609,0.576959547295137,0.5639667829075,0.906320755316066
"NM_003825",679.895433047615,0.132561501265793,0.337117843426593,0.393220067850424,0.694156949077279,1
"NM_003826",327.360632639666,1.00085954539937,0.455164722364748,2.19889524873444,0.0278853715418294,0.166578185965666
"NM_003827",1879.79623565282,0.773648401753261,0.41575218346797,1.8608402613786,0.0627667379846538,0.270892930630254
