"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_017847",111.667980405223,-0.470946627117783,0.275135210146234,-1.71169159653348,0.0869535180795385,0.27107717159851
"NM_001003803",186.385071069707,-0.363225736810119,0.223858736281478,-1.62256672597938,0.104682058310268,0.303633046864906
"NM_001003800",347.159046887619,0.114965660460882,0.371353679757243,0.309585354145503,0.756876295176888,0.892977187737403
"NM_016649",209.060123986147,-0.20815689002019,0.289266796688174,-0.719601739305672,0.471770240825587,0.713938731728849
"NM_016647",147.595363341837,0.473003131684641,0.623575277829729,0.758534131325517,0.448131288215374,0.69751518446604
"NM_016640",659.790952120042,-0.205408921980053,0.165743543824124,-1.2393177872317,0.215227834038342,0.4687187656665
"NM_001304467",50.6372787656548,-0.646973922259933,0.395288553059427,-1.63671302205068,0.10169044676199,0.298238158310573
"NM_001080825",176.985478640233,-0.169566116202697,0.691180691331131,-0.245328201915092,0.806202316862542,0.917871269156953
"NM_002223",1152.05322429768,-0.500534776711911,0.224859284933378,-2.22599114312852,0.026014774675851,0.125713368720324
"NM_001253384",174.316149568634,0.486806575201571,0.433144105574731,1.12389056883421,0.261059452791373,0.523528279704959
"NM_001145313",64.267121467812,-0.619889543103429,0.245256724708099,-2.52751293095516,0.0114873593692115,0.0717161711621489
"NM_018476",269.471453184207,-0.146708355468267,0.197290082558423,-0.743617487335295,0.457107920665028,0.70418530181153
"NM_003363",641.919471963033,-0.215784651313868,0.170285981934982,-1.26718975256729,0.205087449016806,0.455865266422167
"NM_207118",81.1165607921448,-0.106361832379074,0.194304903627134,-0.54739654220554,0.58410633033154,0.794615190096329
"NM_001282730",261.094812198679,-0.00127044455791942,0.187993370631584,-0.00675792212061107,0.99460799931856,0.999056064214109
"NM_004109",61.3753741223291,0.360076943394621,0.314624381534704,1.14446611428588,0.252430383101251,0.514123289749448
"NM_004106",226.758904254726,0.274761315955026,0.39132303480079,0.702134276595546,0.482595428089085,0.722898288902005
"NM_007100",276.797739442244,-0.120309467048163,0.17895401811622,-0.672292627539824,0.501397422281,0.738861199937427
