"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_017847",111.667980405223,-0.212822025952775,0.284071437144983,-0.749184881421766,0.453745780221949,0.878859370330936
"NM_001003803",186.385071069707,0.209420107933019,0.22690361818695,0.922947415322722,0.356034609344558,0.819685877723418
"NM_001003800",347.159046887619,-0.0632987393825405,0.372048645050722,-0.170135653561944,0.864903454760439,0.986801108419124
"NM_016649",209.060123986147,-0.431836756079778,0.292130287445521,-1.47823342747475,0.139345309546749,0.575720682870357
"NM_016647",147.595363341837,0.253094718451966,0.622084888639793,0.406849166526717,0.684118773178488,0.954738578781469
"NM_016640",659.790952120042,0.294864754032234,0.166021058773657,1.77606838680769,0.0757216460691847,0.438967381594349
"NM_001304467",50.6372787656548,0.64274240519818,0.397920683832407,1.61525256492795,0.106256011451959,0.513623903204715
"NM_001080825",176.985478640233,0.218561779157895,0.691962335278214,0.315857913090052,0.752110358201709,0.969275457939371
"NM_002223",1152.05322429768,-0.0584586607687981,0.226357590256298,-0.258258009826873,0.796207790536338,0.975681565208808
"NM_001253384",174.316149568634,-0.0633490196569511,0.432347750956839,-0.146523301015795,0.883508296870451,0.988401321003088
"NM_001145313",64.267121467812,0.215765173493024,0.253656202532012,0.850620530226514,0.394980181187008,0.841915380689499
"NM_018476",269.471453184207,-0.208733508719901,0.203550297066844,-1.02546403384199,0.305144287494624,0.770882429668605
"NM_003363",641.919471963033,-0.187995624633536,0.172171792580919,-1.09190722716777,0.274873880746379,0.741755825921264
"NM_207118",81.1165607921448,0.144700107002911,0.196419232261681,0.736690116017424,0.461310818887118,0.884484835556975
"NM_001282730",261.094812198679,-0.123047613013401,0.190319565874517,-0.646531597778704,0.517935140553811,0.906250766299964
"NM_004109",61.3753741223291,-0.378074479129981,0.318016358017001,-1.18885230145856,0.23449779270957,0.696855286765856
"NM_004106",226.758904254726,0.154264152545327,0.388606969233395,0.396967025191659,0.69139177709328,0.956519378766209
"NM_007100",276.797739442244,0.410496352003971,0.178663344242677,2.29759693430118,0.0215847403073308,0.233705629919508
"NM_000485",508.350133908325,0.231965000381021,0.188017226329172,1.23374333783069,0.217298559409156,0.679217639322057
"NM_007108",1074.36325754929,0.0940022266970072,0.210889971217383,0.445740620828815,0.655784618582998,0.948223075623692
"NM_000481",37.0722355012554,0.13775684830231,0.425530899650371,0.32372936587095,0.746142936332026,0.968267353771012
"NM_016643",19.177631091128,-0.843729591693346,0.469859216174492,-1.79570723026961,0.0725410913797587,0.43132294344673
"NM_001350532",498.578151422594,0.401427627323128,0.136395871349682,2.9431068796355,0.00324936216313763,0.0719778435128055
"NM_001350531",66.646711519413,-0.342390383744536,0.271365231537753,-1.26173269067781,0.20704498949929,0.669774775676146
"NM_001350530",540.625931089795,-0.700872305754311,0.298322475398712,-2.34937815133636,0.0188047978282081,0.217765872212031
"NM_014177",135.251632685118,0.259794429080151,0.320871836685924,0.809651703195264,0.418140383316356,0.85923400469561
"NM_020992",511.897110665831,-0.109837924594336,0.338604693968451,-0.324383939593496,0.745647377295128,0.968267353771012
"NM_005802",706.66411981436,-0.349859302786456,0.210258649730642,-1.6639472537023,0.0961229706627847,0.487589766428517
"NM_005258",106.006448841549,-0.768055682701583,0.251291473451531,-3.05643351981747,0.00223987144950588,0.0573811099716918
"NM_003824",216.613399126891,0.243330041922371,0.196769662624345,1.23662376952343,0.216226791218,0.678398941809394
"NM_003825",723.616984636947,0.240071597435538,0.330433083064906,0.726536202757824,0.467510122203237,0.88622365935669
"NM_003826",326.757446570125,-0.190428287754682,0.361251796225616,-0.527134507687685,0.598100184860109,0.933817432947227
"NM_003827",1844.54202832834,0.0530448530520518,0.208378289132404,0.254560363619969,0.799062676034323,0.975681565208808
"NM_003820",59.6707209495373,0.234573674264023,0.423340993451084,0.554101015240158,0.579509715370101,0.926639872689475
"NM_003821",144.361332244883,0.247514983806157,0.205883924474644,1.20220645899257,0.229283547467008,0.690996313341649
"NM_003795",1115.04151787403,0.606019443191285,0.121978309254781,4.96825580624722,6.75578050401689e-07,0.000120828385384806
"NM_012181",2576.8367386718,-0.144678061428838,0.164552333800754,-0.879222178665784,0.379280821305109,0.832899993670928
"NM_012180",152.384615040873,0.0996785532153504,0.368712747782161,0.270342031337201,0.786897132389828,0.975681565208808
"NM_001018088",1821.51811880922,0.0687794941229786,0.171173707586245,0.401811090574902,0.687823059408941,0.95553526829268
