"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_017847",111.667980405223,-0.783030314309246,0.420670602680367,-1.8613858665665,0.0626897050252428,0.50293173954342
"NM_001003803",186.385071069707,0.133645901026449,0.329012316707469,0.406203337199913,0.684593202239851,0.979381002404455
"NM_001003800",347.159046887619,0.128991632647157,0.532852951549214,0.242077354122047,0.808720225202128,0.990854997372582
"NM_016649",209.060123986147,-0.48284924842649,0.438026580322284,-1.10232864880306,0.270318818735564,0.834257734826504
"NM_016647",147.595363341837,0.262979675274736,0.896111746592866,0.293467501430061,0.769164836590469,0.98600929012354
"NM_016640",659.790952120042,-0.322760035273726,0.245922001018238,-1.3124488005845,0.189368750368357,0.745121513641921
"NM_001304467",50.6372787656548,0.0362095659503663,0.605340885016286,0.0598168186663819,0.952301530203679,0.99589123475602
"NM_001080825",176.985478640233,0.378248599147753,0.974511106046316,0.388141907055676,0.697911020890043,0.98120390350978
"NM_002223",1152.05322429768,-0.644453190575789,0.333990629978425,-1.92955470223048,0.0536620360212723,0.472482897639127
"NM_001253384",174.316149568634,0.393882735747122,0.621867628464223,0.633386781556492,0.526481094869325,0.96046362555676
"NM_001145313",64.267121467812,-0.263672141037482,0.397462748875516,-0.663388309428876,0.507081891238071,0.95669225942847
"NM_018476",269.471453184207,-0.544897201175796,0.294843098998013,-1.84809209721225,0.0645890208419914,0.510057860418604
"NM_003363",641.919471963033,-0.242235549155823,0.24875313418185,-0.973798983287332,0.33015635802869,0.884320041079379
"NM_207118",81.1165607921448,0.0469401610683815,0.432555411893565,0.108518260961977,0.913584595899874,0.992645179288416
"NM_001282730",261.094812198679,-0.176427746861196,0.277579932585296,-0.635592584874566,0.5250420038088,0.959480732788152
"NM_004109",61.3753741223291,-0.746064988985189,0.644901143185202,-1.15686721425292,0.247326615495465,0.817761195636838
"NM_004106",226.758904254726,1.23558917810062,0.734938828323837,1.68121363368243,0.0927214262676189,0.589746992858633
"NM_007100",276.797739442244,-0.399009135501808,0.27611583367317,-1.44507879245383,0.148435755144016,0.695356643288003
"NM_000485",508.350133908325,0.412955104664707,0.284620088936805,1.45089935923812,0.146807886374096,0.693780400449315
"NM_007108",1074.36325754929,0.159190399502532,0.303427213696102,0.52464114066568,0.599832681431136,0.974105243209917
"NM_000481",37.0722355012554,0.101607801062446,0.758382619790826,0.133979601339586,0.893418704763416,0.992645179288416
"NM_016643",19.177631091128,0.142109100479846,0.93204527801021,0.152470168384126,0.878816117504543,0.992645179288416
"NM_001350532",498.578151422594,-0.265030768244923,0.222736745095457,-1.18988345695426,0.234092201417579,0.804429626688896
"NM_001350531",66.646711519413,0.0662661440783026,0.408732692774367,0.162125871626529,0.871206733100384,0.992645179288416
"NM_001350530",540.625931089795,-0.231361155999514,0.425072019347039,-0.544286957195894,0.58624402082267,0.967258647061898
"NM_014177",135.251632685118,-0.238105596747044,0.482209356019518,-0.493780541117095,0.621461177101809,0.976690681547689
"NM_020992",511.897110665831,1.41774326964481,0.584202244175501,2.42680216274368,0.0152325597852852,0.252431615764713
"NM_005802",706.66411981436,-0.4093391927371,0.294139561908352,-1.39164956281753,0.164028542522626,0.719683661084513
"NM_005258",106.006448841549,-0.447634594429638,0.393091449318341,-1.13875434127575,0.254805630473137,0.824755532102952
"NM_003824",216.613399126891,-0.244090978324603,0.298272741083026,-0.818348258839581,0.413158357275187,0.929274584034474
"NM_003825",723.616984636947,0.122985226541376,0.473705590469492,0.259623760022518,0.795154006789333,0.990511325325827
"NM_003826",326.757446570125,-0.341784375858301,0.508981163695138,-0.671506924494002,0.501897649731249,0.95669225942847
"NM_003827",1844.54202832834,0.522088270198,0.296113575333346,1.76313520786835,0.0778776883468076,0.557678983978781
"NM_003820",59.6707209495373,0.200242980701353,0.558888734744116,0.3582877382437,0.720127993327482,0.98120390350978
"NM_003821",144.361332244883,0.605596500230055,0.28259851846971,2.14295709513765,0.0321165436842265,0.370918453878674
"NM_003795",1115.04151787403,0.0177573489794135,0.176439652955974,0.10064262019289,0.919834162428028,0.992645179288416
"NM_012181",2576.8367386718,-0.930713187005232,0.232055438029604,-4.01073637794473,6.05296657630536e-05,0.00679762223185548
"NM_012180",152.384615040873,-0.0537675220150727,0.504123483582904,-0.106655459953852,0.91506231878454,0.992645179288416
"NM_001018088",1821.51811880922,-0.620687310085618,0.243130567640509,-2.55289705489999,0.0106831066526812,0.207379163345883
"NM_020733",127.879317436394,-0.00420918880037946,1.02280976780022,-0.00411531932221597,0.996716459518293,0.999197443776135
"NM_020731",16.5651322518175,-0.406023564611902,0.886073550960645,-0.458227834666442,0.646788764315262,0.976690681547689
"NM_001025780",202.376653236099,0.120343509109883,0.40077163462369,0.300279507612562,0.763963962967822,0.984462490802649
"NM_001300829",683.722019794295,-0.034020529792935,0.340737943299394,-0.0998436788797612,0.920468430549253,0.992645179288416
"NM_002224",40.4264036307468,0.461339057507169,1.04945382641815,0.439599195213521,0.660227423700349,0.976690681547689
"NM_175856",13.3955629524499,-0.62435458992557,0.966779158979081,-0.645808904884637,0.518403120293439,0.958063985803541
"NM_001688",775.594958722013,-0.159034579352084,0.231185526069292,-0.687908893156304,0.491510155923026,0.954682650787716
"NM_014171",149.790802295927,0.01793562835852,0.485954865272031,0.0369080127399895,0.970558350859182,0.997515436053845
"NM_001867",403.52252065612,0.198991158617059,0.436347957204429,0.456037791243358,0.648362802888904,0.976690681547689
"NM_144643",203.02708440199,-0.68273745439011,0.257076681727191,-2.65577356064768,0.00791267264237842,0.176084314239841
"NM_144641",63.6968737444359,0.0982056981407527,0.741265891174727,0.132483767714066,0.894601661336736,0.992645179288416
"NM_000159",517.163754422568,-0.622070269701172,0.389755762916065,-1.59605149914136,0.110477295896423,0.633604349030673
"NM_000158",495.477671941287,-0.563712397801637,0.621096490898444,-0.907608408777518,0.364085150068543,0.905447819622388
"NM_021021",374.924106991162,0.370146255853839,0.810659371158345,0.456598997091639,0.647959300193503,0.976690681547689
"NM_001347869",31.3795656163798,0.223531579728877,0.616824643582305,0.362390805968261,0.717060009043617,0.98120390350978
"NM_001143679",437.324895807936,0.492340893689871,0.222565825714502,2.21211361676624,0.0269588154950288,0.346153523945593
"NM_001297658",149.464473452685,-0.573396927048717,0.340572873752565,-1.68362477237487,0.092254208105667,0.589746992858633
"NM_001286495",144.307166990098,-0.59414958595639,0.506529718421752,-1.17298070448392,0.240803543577129,0.812338775861541
"NM_023009",170.913368086435,-2.55211926463598,0.703556763162623,-3.62745324650667,0.000286230583882066,0.0204771479935778
"NM_173531",96.1877225203485,-0.206440888253667,0.333098999429647,-0.619758355945675,0.535416889548241,0.96090089783718
"NM_001286499",101.423883699128,-0.078940920029957,0.379306548478526,-0.208119053959402,0.83513600997484,0.991274595633997
"NM_001297656",1794.05074551712,-0.428168429715173,0.197256736105996,-2.1706149973256,0.0299602874605371,0.358558186237754
"NM_006885",292.667676558298,3.46666297635147,1.87423486016135,1.84964171248689,0.0643652065974037,0.509792099630017
"NM_152695",32.4821420389368,-0.242348774089469,0.784558067145102,-0.308898454095746,0.757398772794387,0.984410561698072
"NM_001319119",282.279429339475,0.0328820272589856,0.307474396737038,0.106942326281259,0.914834734195036,0.992645179288416
"NM_001193653",242.555084397995,0.27129681044856,0.333121476320873,0.814408045512018,0.415411231093534,0.931084165676805
"NM_006272",8.40778233347725,1.15533329125372,1.29843303515025,0.889790431987913,0.373578425119105,0.912026290820185
"NM_182976",460.499473031836,-0.284154165047848,0.39072612945723,-0.727246384680173,0.467075035936016,0.95203362271511
"NM_006270",29.1318903561225,-0.964421309023806,0.899272750899407,-1.07244582698546,0.283519833792268,0.845917378673377
"NM_003355",1327.56956864129,1.31142976689209,1.10491141886252,1.18690941599841,0.235263352824565,0.806593348093593
"NM_001002030",364.625193328792,0.1653857182015,0.240454359011463,0.68780503244533,0.491575566614963,0.954682650787716
"NM_001170704",241.676484821697,-0.252791152677934,0.358201023210915,-0.705724261789968,0.480359630009735,0.953464419550592
"NM_003358",324.237797380406,-0.058729822014072,0.448065826822117,-0.13107409335501,0.895716694836865,0.992645179288416
"NM_003359",97.0617306762453,0.196263883009974,0.839599413732983,0.233758956711697,0.815172114616658,0.990854997372582
"NM_001002034",27.5100356018135,-0.305011940825952,0.593460728055955,-0.513954717484176,0.607283650325628,0.976690681547689
"NM_004813",221.402142842064,-0.0760997710122716,0.339378458935876,-0.224232767309048,0.822576187933128,0.991037802448901
"NM_004814",597.986898967382,-0.333500591952351,0.269995404081666,-1.23520840321962,0.216752952641074,0.778738092968285
"NM_020199",272.40948300833,-0.264537268380855,0.239532187570912,-1.10439131819201,0.269423425221544,0.834257734826504
"NM_004817",823.74266968242,-0.35275275849091,0.301791044069209,-1.16886423710445,0.242458334311637,0.814208133790608
"NM_004818",711.996690971516,-0.442288249163759,0.310210582454629,-1.42576776608982,0.153935388215643,0.700946713525075
"NM_020196",850.787692475061,0.431343499322464,0.267953152208075,1.6097720656315,0.107447625672559,0.624970407258721
"NM_020195",138.509901007114,1.41839921106386,0.507541623554054,2.79464608465319,0.00519565605016444,0.134891521861527
"NM_014314",94.454587894878,-0.255108284572431,0.451498409581576,-0.565025876411949,0.572056163797095,0.96465542836786
