,te_T0,te_T1,te_T2
NM_017847,-0.5873250232,-0.342747056,-1.125777149
NM_001003803,0.6084136987,0.7975795963,0.9312255942
NM_001003800,-0.6397286089,-0.7941577553,-0.6651652815
NM_016649,0.4024486505,0.5023209288,0.01947193307
NM_016647,-0.5541830578,-0.4939761106,-0.2309946471
NM_016640,0.1040431209,0.5679418793,0.2451818693
NM_001304467,-1.156358994,-0.6931612965,-0.6569506461
NM_001080825,0.07638385844,-0.03131613054,0.3469349189
NM_002223,-0.5156658604,-0.6814944314,-1.325947288
NM_001253384,-2.027588577,-1.052607479,-0.6587240944
NM_001145313,0.05252448509,-0.04540908953,-0.3090809617
NM_018476,0.7855085615,1.402578783,0.8576813227
NM_003363,1.216932762,0.2747885621,0.0325532001
NM_207118,1.876181099,1.86433225,1.911272301
NM_001282730,-0.0211007264,-0.1323873842,-0.308814998
NM_004109,0.3634337225,0.5686891858,-0.1773758711
NM_004106,2.321056805,1.845149052,3.080738449
NM_007100,-0.0005098167016,0.4735493745,0.07454025228
NM_000485,-0.3945547436,-0.1082303665,0.304724887
NM_007108,0.1426673379,0.7835785402,0.9427689107
NM_000481,-0.4890001656,-0.05434038444,0.04726836127
NM_016643,-2.243059887,-1.608582637,-1.466470977
NM_001350532,-0.361186258,-0.21389198,-0.4789226416
NM_001350531,-0.7240970357,-0.4649071594,-0.3986406474
NM_001350530,0.5978882604,0.5247248531,0.2933640354
NM_014177,-0.361487854,-0.1219024969,-0.3600076791
NM_020992,2.030792726,1.014487791,2.432232673
NM_005802,-0.8795476693,-0.4855196528,-0.8948587066
NM_005258,-0.7055919259,-0.1149023756,-0.5625371232
NM_003824,0.003920808325,0.4174352247,0.173344205
NM_003825,0.8260179315,0.9622441435,1.085229558
NM_003826,0.0969980524,0.3530095803,0.01122511813
NM_003827,1.040313848,0.7061224921,1.228210973
NM_003820,-2.568540305,-2.48165604,-2.28141249
NM_003821,-0.4690878383,-0.5958408174,0.00975591045
NM_003795,0.5766228885,0.9426154455,0.9603727816
NM_012181,-0.4236982446,-0.2287662775,-1.159479544
NM_012180,-0.5208503491,-0.08262286846,-0.1363903265
NM_001018088,-0.49270731,-0.6066184217,-1.22730557
NM_020733,1.003804142,-0.5465032557,-0.5507090714
NM_020731,-2.260216109,-1.063430248,-1.469452389
NM_001025780,0.4901704717,0.2511610576,0.3715048583
NM_001300829,0.324771712,0.822565395,0.78854479
NM_002224,-0.627425853,-1.384537269,-0.9231925698
NM_175856,-0.05786069357,-0.9379485307,-1.562302461
NM_001688,0.5121983987,0.8843472853,0.7253127658
NM_014171,1.585236232,1.46735701,1.485292814
NM_001867,1.197589364,1.588298521,1.787289715
NM_144643,-0.4975082646,-0.2509635194,-0.9337009536
NM_144641,-0.818672301,-0.7826096727,-0.6844025589
NM_000159,0.1196968703,0.5839527328,-0.03811765336
NM_000158,0.5773820537,0.7355615198,0.1718495093
NM_021021,-0.4521193068,-0.6362272757,-0.2660791744
NM_001347869,0.1781760248,-0.03899830668,0.1845339761
NM_001143679,0.1225563001,0.03788414139,0.5302251621
NM_001297658,-1.527746779,-1.299267194,-1.872664076
NM_001286495,-0.9860961451,-1.342697338,-1.936846255
NM_023009,1.467610794,1.561196892,-0.9909248298
NM_173531,0.09191776202,0.2664896032,0.06004883349
NM_001286499,-2.038191435,-2.143531096,-2.222471733
NM_001297656,0.2079169285,0.5997153612,0.1715469281
NM_006885,1.135140029,0.05570927434,3.522388926
NM_152695,-0.8334196613,-0.53074081,-0.7730880718
NM_001319119,-0.283562704,-0.004739375875,0.02814282003
NM_001193653,0.5195887069,0.5068328053,0.7781297424
NM_006272,0.7508751782,-1.276728736,-0.1213917946
NM_182976,0.907209154,0.8782924344,0.5941383011
NM_006270,0.9762652747,0.7501577558,-0.2142655342
NM_003355,0.3224386928,-1.402351082,-0.09091070958
NM_001002030,0.7525765862,1.08815009,1.253535857
NM_001170704,0.6122160361,0.1952240532,-0.05756700313
NM_003358,0.05019210531,0.4295264159,0.3707969224
NM_003359,0.6674783274,0.1752052851,0.3714714787
NM_001002034,-1.051788556,-0.1267205555,-0.4317328909
NM_004813,-0.9570874838,-0.4881703676,-0.5642700235
NM_004814,0.2905256284,0.4961461578,0.162645653
NM_020199,1.224658709,1.188080306,0.9235430123
NM_004817,0.3732142434,0.2036634309,-0.1490892794
NM_004818,-0.5178799959,-0.1991553217,-0.6414434672
NM_020196,1.713395336,0.8874521701,1.318795944
NM_020195,-0.04893344129,-0.3972181792,1.021181829
NM_014314,-0.4765687311,-0.4607026099,-0.7158105269
NM_020191,0.2083313565,0.8043249743,0.5197355214
NM_005663,0.7970034615,0.6823625956,0.7788997548
NM_001303095,0.2973420098,-0.3802186144,0.6401499627
NM_001303096,0.1295821715,0.3983035065,-0.05925564522
NM_014313,1.483630624,1.142306248,1.419402019
NM_003688,-1.004286446,-1.34948699,-0.01705179557
NM_003689,-0.09627947982,0.2268234951,0.5270931187
NM_003680,1.32225378,1.104645363,1.250602421
NM_003681,0.6320950825,0.2519386342,0.5898430689
NM_003682,0.09244949837,-0.7147522614,-0.5023310163
NM_003684,0.08971383113,0.2921990139,0.132865653
NM_003685,1.192548812,-0.09449804662,0.4133452296
NM_006416,0.5798784795,0.5451246842,0.8135023116
NM_006417,-0.4092110213,0.5721816459,-0.04282190582
NM_003172,-0.09013518434,0.1963087591,0.1443340575
NM_001324229,-0.7530976666,-0.7387372875,-1.344464799
NM_006411,1.128739993,-0.7216838246,0.5706362239
NM_001128844,1.127229769,0.003951034483,0.3738976786
NM_001127325,-0.3456116371,-0.2695656608,0.3127179062
NM_001127322,2.608763029,1.809073957,2.313187445
NM_001308174,0.7203224268,0.5368875909,1.510776291
NM_001098398,0.9174503679,0.8594935517,0.2575032737
NM_001257360,0.09314537377,-0.1679312092,0.1419767137
NM_002887,0.04084194815,0.5561623539,0.2129217374
NM_002886,-0.3998759026,-0.4467519157,-0.472184676
NM_002881,0.6839955157,0.720474203,0.6644607843
NM_001346791,1.11608716,1.53338727,1.214084921
NM_024298,0.421173982,0.1020292683,0.3656502619
NM_024299,1.244157937,-0.0430381312,1.193832576
NM_024292,1.163870824,1.674580225,1.408921293
NM_024293,-1.075223139,-0.9449790413,-1.520313212
NM_024294,-0.06608694867,-0.5328102997,-0.6720989487
NM_002014,0.5499921311,0.8072417867,0.9064010117
NM_024297,-0.5394842151,-0.2245999573,-1.132728987
NM_003433,-0.7019539094,-1.543237658,-1.954010607
NM_001077269,2.401921773,0.9367797873,2.422602566
NM_032505,-0.65115524,-0.2754793336,-0.397660292
NM_032501,0.4918129236,0.325420056,0.5112613937
NM_001469,0.2797597501,0.6178953965,0.3828263022
NM_004104,2.214330874,0.5028866496,1.707208554
NM_001077268,-0.6600041198,-0.7462832336,-0.2114974802
NM_001303115,0.2272869853,1.056513168,0.986083486
NM_002087,2.074699712,1.239290454,1.757728454
NM_002086,1.053139749,1.08901597,0.983546519
NM_002080,1.658065661,1.492351433,1.727292466
NM_001104595,-0.5507572421,-0.4470835916,-0.521318308
NM_001329684,0.2054332679,0.6237277348,0.7591943885
NM_001288726,0.1624891371,0.7883628486,0.3713357524
NM_014008,-0.003652851568,-0.07448993172,-0.279694382
NM_014007,-0.4444902509,-0.7921892916,-0.5366014648
NM_001461,0.5538577121,0.1797331269,0.09908652003
NM_014003,-0.1739863211,-0.2625762865,-0.4392027999
NM_014000,0.6907516354,0.4687133161,-0.07779628278
NM_001282187,0.5216231744,0.1557259209,0.7774514699
NM_018230,-0.01362892786,0.31543565,-0.378946635
NM_015352,0.2908106222,0.07681799046,0.06372742188
NM_015355,-0.2199656237,-0.2108248789,-0.498646332
NM_015354,0.8785743379,0.1114793383,0.1370056334
NM_005006,0.596338666,1.053815496,0.4872615034
NM_005642,0.6919937825,0.4588694417,0.6634066843
NM_018238,0.6452024536,0.8715858269,0.4705960204
NM_006532,0.3154804071,0.04053110349,0.01062644656
NM_000333,-0.3624568837,-1.268946294,-0.6661787417
NM_002229,-1.175285532,-0.8035779201,-0.8341361543
NM_002228,-1.849889688,-2.327111375,-1.69960428
NM_002558,-0.02074800674,-0.1910699917,0.5581636163
NM_133372,-0.4952802526,-0.807808902,-1.000847743
NM_001009954,0.2053601549,0.08980996719,-0.4747161743
NM_001080495,-0.04875288811,-1.244920585,-0.7542690574
NM_002221,-0.7139523235,-1.037867892,-0.8563383174
NM_002556,1.099699887,0.6426101689,0.6819283014
NM_001113756,-0.6035247468,-0.6214201071,-0.1834746864
NM_001317946,2.608739793,1.581707211,2.937928739
NM_001039469,1.401178644,-0.1784953095,0.9100957277
NM_001004067,0.4463443354,-0.3084412277,0.9868977071
NM_001039465,0.3776730339,0.4560491532,0.3170515697
NM_000487,1.102174891,0.08022363775,0.2994222465
NM_001291978,0.3988340142,0.5345493074,0.7063629131
NM_005687,0.9515728915,1.043595954,1.063649572
NM_001348913,0.6046698236,0.8353988251,0.5723431384
NM_005680,0.05184852103,0.2809573523,0.03902421575
NM_001318966,1.173219934,0.9286338339,0.6550712173
NM_033109,0.001382826417,0.3639458087,0.02032705865
NM_001130009,-0.8432837835,-1.103070912,-1.102664674
NM_000484,1.617708682,1.595224031,1.656601089
NM_018050,2.871046219,1.6842249,1.666513052
NM_018053,-0.2624714427,-0.7233056909,0.4418150854
NM_018052,1.547491155,-0.1985806037,0.8774349223
NM_001177701,0.4870795545,0.001383389452,0.6864163143
NM_033102,-1.789547387,-2.307830548,-1.631385552
NM_033104,-0.8726118622,-1.39112049,-0.9127632618
NM_033107,0.1986506382,0.5023627088,0.3724192423
NM_002592,0.9664494361,1.351515953,0.9404035183
NM_001206651,0.8062672464,0.721519701,0.9346112447
NM_001349205,0.0323019258,-0.04698415278,-0.7839251657
NM_004586,0.5273499529,0.6482308576,0.5257852798
NM_001287045,-0.08581951947,-0.02761861658,-0.02061791667
NM_005641,0.951504396,-0.132909096,0.5041838027
NM_013237,-1.231883356,-1.387534731,-1.334016862
NM_001353366,-0.1420212499,-0.2123674482,0.01949899234
NM_016034,0.8802775461,0.9757760085,0.7750382337
NM_001300813,0.4499246558,0.02353494435,0.1641170771
NM_001012968,1.993419632,1.124311194,1.500920066
NM_001256182,0.08879427407,-1.465706202,-1.048956753
NM_004322,-0.6617027898,-0.2589202479,-0.07274133476
NM_001142353,0.3609686404,-0.3600644426,-0.06211452893
NM_018292,-0.1222638879,-0.07928283356,-0.4377481327
NM_033360,2.010509579,1.526519931,1.840788477
NM_134442,0.505468797,0.3852908353,0.4942654732
NM_079834,2.75503424,0.8688370484,1.997820962
NM_001270399,0.2989759399,1.191407981,1.347371613
NM_000138,0.3925504201,0.293678716,-1.365445755
NM_005647,0.3819031688,-0.6614571761,-0.5588458517
NM_014911,1.580740508,0.2974945637,1.462019614
NM_014912,-0.8703490902,-1.838426169,-0.5305042644
NM_014913,-0.3203679141,-0.5220044299,-0.4875621507
