AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	174.0	25	8.0	199.0	144.0	2.0	11.0
NM_001142964	10.0	1	0	11.0	6.0	0	5.0
NM_015475	533.0	58	0	591.0	471.0	36.0	3.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	1.0	0	0	1.0	1.0	0	0
NM_032773	592.0	114	4.0	706.0	607.0	9.0	9.0
NM_001195076	27.0	0	1.0	27.0	22.0	0	5.0
NM_001350073	98.0	7	4.0	105.0	39.0	64.0	1.0
NM_001005291	2597.0	356	8.0	2953.0	2751.0	56.0	8.0
NM_138803	0	0	0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	206.0	57	20.0	263.0	202.0	20.0	4.0
NM_018210	107.0	14	1.0	121.0	87.0	30.0	2.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1761.0	144	11.0	1905.0	1043.0	802.0	15.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	251.0	22	0	273.0	157.0	95.0	15.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	62.0	20	0	82.0	55.0	20.0	1.0
NM_003772	176.0	0	0	176.0	115.0	41.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	55.0	3	0	58.0	32.0	24.0	0
NM_001114086	1.0	0	1.0	1.0	1.0	0	0
NM_001204375	144.0	19	0	163.0	148.0	1.0	1.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	19	0	19	3	0	0
NM_194460	269.0	30	4.0	299.0	163.0	9.0	6.0
NM_001031743	0	1	0	1	0	1	0
NM_001329941	69.0	0	0	69.0	41.0	0	20.0
NM_002178	14.0	2	0	16.0	16.0	0	0
NM_001145297	1079.0	178	5.0	1257.0	1044.0	19.0	15.0
NM_152559	8.0	3	0	11.0	10.0	1	0
NM_001300901	411.0	0	117.0	411.0	410.0	0	1.0
NM_181708	98.0	4	0	102.0	79.0	1.0	0
NM_006012	562.0	118	4.0	680.0	641.0	8.0	4.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	622.0	41	32.0	663.0	100.0	260.0	3.0
