AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	42.0	8	2.0	50.0	49.0	0	1.0
NM_001142964	1.0	0	0	1.0	1.0	0	0
NM_015475	99.0	12	0	111.0	108.0	3.0	0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	104.0	27	0	131.0	129.0	2.0	0
NM_001195076	12.0	0	0	12.0	10.0	0	2.0
NM_001350073	25.0	1	1.0	26.0	6.0	20.0	0
NM_001005291	679.0	106	1.0	785.0	766.0	16.0	3.0
NM_138803	0	0	0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	139.0	31	3.0	170.0	151.0	16.0	3.0
NM_018210	34.0	8	0	42.0	23.0	15.0	4.0
NM_015038	0	0	0	0	0	0	0
NM_004537	400.0	32	1.0	432.0	296.0	131.0	5.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	470.0	53	0	523.0	353.0	147.0	23.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	0	0	0	0	0	0	0
NM_003772	45.0	0	0	45.0	41.0	4.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	8.0	0	0	8.0	5.0	3.0	0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	0	0	0	0	0	0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	1.0	0	0	1.0	0	1.0	0
NM_194460	110.0	13	1.0	123.0	118.0	3.0	2.0
NM_001031743	3.0	0	0	3.0	2.0	1.0	0
NM_001329941	1.0	0	0	1.0	1.0	0	0
NM_002178	0	0	0	0	0	0	0
NM_001145297	357.0	55	1.0	412.0	406.0	2.0	4.0
NM_152559	5.0	2	1.0	7.0	7.0	0	0
NM_001300901	11.0	0	2.0	11.0	11.0	0	0
NM_181708	19.0	1	0	20.0	20.0	0	0
NM_006012	186.0	63	3.0	249.0	247.0	1.0	1.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	200.0	10	5.0	210.0	120.0	88.0	2.0
NM_001136050	50.0	8	0	58.0	42.0	15.0	1.0
NM_000797	1.0	0	0	1.0	1.0	0	0
NM_014975	0	0	0	0	0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	0	0	0	0	0	0	0
NM_001731	198.0	0	0	198.0	122.0	75.0	1.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	59.0	7	1.0	66.0	50.0	16.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	89.0	3	4.0	92.0	72.0	20.0	0
NM_001324321	46.0	4	2.0	50.0	49.0	1.0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	315.0	27	0	342.0	189.0	150.0	3.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	163.0	12	4.0	175.0	140.0	35.0	0
NM_001330332	55.0	15	19.0	70.0	58.0	11.0	1.0
NM_004288	13.0	1	0	14.0	11.0	2.0	1.0
NM_001281432	43.0	10	42.0	53.0	51.0	0	2.0
NM_001170569	48.0	1	0	49.0	43.0	6.0	0
NM_014429	2.0	0	0	2.0	2.0	0	0
NM_021025	9.0	0	0	9.0	9.0	0	0
NM_031438	43.0	3	0	46.0	40.0	6.0	0
NM_014297	36.0	4	0	40.0	37.0	0	3.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	94.0	4	0	98.0	84.0	14.0	0
NM_021141	1815.0	471	4.0	2286.0	2165.0	62.0	59.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	0	0	0	0	0
NM_015896	3.0	0	0	3.0	2.0	1.0	0
NM_006811	1577.0	262	0	1839.0	1572.0	239.0	28.0
NM_001320820	253.0	18	0	271.0	266.0	1.0	4.0
NM_001348397	17.0	5	0	22.0	20.0	2.0	0
NM_001355224	0	0	1.0	0	0	0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	28.0	0	0	28.0	19.0	9.0	0
NM_003294	143.0	0	0	143.0	142.0	0	1.0
NM_001297573	4.0	0	2.0	4.0	3.0	1.0	0
NM_018489	121.0	8	0	129.0	107.0	21.0	1.0
NM_024759	16.0	3	0	19.0	12.0	3.0	4.0
