AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	197.0	48	8.0	245.0	222.0	2.0	21.0
NM_001142964	15.0	2	0	17.0	14.0	0	3.0
NM_015475	768.0	62	0	830.0	806.0	20.0	4.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	752.0	144	4.0	896.0	873.0	4.0	19.0
NM_001195076	18.0	0	0	18.0	15.0	0	3.0
NM_001350073	84.0	7	4.0	91.0	37.0	52.0	2.0
NM_001005291	4439.0	690	7.0	5129.0	5080.0	42.0	7.0
NM_138803	0	0	0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	345.0	112	25.0	457.0	429.0	20.0	8.0
NM_018210	108.0	17	1.0	125.0	98.0	19.0	8.0
NM_015038	0	0	0	0	0	0	0
NM_004537	2266.0	197	14.0	2463.0	1796.0	643.0	24.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	399.0	60	0	459.0	299.0	141.0	19.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	63.0	20	0	83.0	68.0	15.0	0
NM_003772	315.0	0	0	315.0	266.0	49.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	64.0	3	1.0	67.0	46.0	20.0	1.0
NM_001114086	3.0	1	4.0	4.0	4.0	0	0
NM_001204375	184.0	11	0	195.0	185.0	4.0	6.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	15	0	15	15	0	0
NM_194460	214.0	25	1.0	239.0	236.0	1.0	2.0
NM_001031743	1.0	0	0	1.0	1.0	0	0
NM_001329941	79.0	0	1.0	79.0	58.0	0	21.0
NM_002178	13.0	0	1.0	13.0	12.0	1.0	0
NM_001145297	1448.0	191	5.0	1639.0	1618.0	6.0	15.0
NM_152559	6.0	2	0	8.0	7.0	1	0
NM_001300901	551.0	0	83.0	551.0	547.0	0	4.0
NM_181708	142.0	3	1.0	145.0	144.0	0	1.0
NM_006012	537.0	151	3.0	688.0	676.0	9.0	3.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	852.0	40	11.0	892.0	674.0	211.0	7.0
NM_001136050	224.0	48	0	272.0	207.0	64.0	1.0
NM_000797	0	0	1.0	0	0	0	0
NM_014975	20.0	4	0	24.0	24.0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	92.0	10	1.0	102.0	59.0	37.0	6.0
NM_001731	2150.0	6	2.0	2156.0	1225.0	917.0	14.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	272.0	23	1.0	295.0	209.0	86.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	600.0	15	30.0	615.0	483.0	129.0	3.0
NM_001324321	180.0	17	1.0	197.0	192.0	0	5.0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	1314.0	213	1.0	1527.0	880.0	636.0	11.0
NM_001321449	0	1	0	1	1	0	0
NM_006594	513.0	29	9.0	542.0	496.0	43.0	3.0
NM_001330332	18.0	4	2.0	22.0	21.0	1.0	0
NM_004288	657.0	65	1.0	722.0	600.0	117.0	5.0
NM_001281432	394.0	51	175.0	445.0	438.0	1.0	6.0
NM_001170569	139.0	2	0	141.0	101.0	38.0	2.0
NM_014429	11.0	1	5.0	12.0	12.0	0	0
NM_021025	0	0	0	0	0	0	0
NM_031438	158.0	11	1.0	169.0	151.0	14.0	4.0
NM_014297	528.0	107	2.0	635.0	625.0	0	10.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	526.0	45	0	571.0	479.0	91.0	1.0
NM_021141	9364.0	2442	9.0	11806.0	11285.0	249.0	272.0
NM_002367	0	0	0	0	0	0	0
NM_030630	2.0	0	0	2.0	2.0	0	0
NM_015896	3.0	1	0	4.0	4.0	0	0
NM_006811	5130.0	913	2.0	6043.0	5095.0	849.0	99.0
NM_001320820	260.0	21	1.0	281.0	272.0	1.0	8.0
NM_001348397	918.0	177	53.0	1095.0	1033.0	52.0	10.0
NM_001355224	5.0	0	1.0	5.0	1.0	4.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	240.0	12	7.0	252.0	201.0	45.0	6.0
NM_003294	1319.0	0	0	1319.0	1311.0	0	8.0
NM_001297573	330.0	31	42.0	361.0	268.0	90.0	3.0
NM_018489	607.0	34	2.0	641.0	588.0	52.0	1.0
NM_024759	149.0	19	5.0	168.0	143.0	8.0	17.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	862.0	195	38.0	1057.0	893.0	76.0	88.0
NM_001102420	1312.0	62	9.0	1374.0	534.0	803.0	37.0
NM_024508	0	0	0	0	0	0	0
NM_007069	16.0	0	0	16.0	11.0	4.0	1.0
NM_016212	0	0	0	0	0	0	0
NM_001113511	801.0	155	19.0	956.0	900.0	0	56.0
NM_145719	12.0	1	0	13.0	9.0	4.0	0
NM_198517	293.0	58	27.0	351.0	351.0	0	0
NM_001318043	616.0	152	3.0	768.0	744.0	9.0	15.0
NM_001038707	1549.0	172	1.0	1721.0	694.0	990.0	37.0
NM_001037666	144.0	6	1.0	150.0	137.0	6.0	7.0
NM_001098409	0	0	0	0	0	0	0
