AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	403.0	9	68.0	412.0	93.0	19.0	285.0
NM_001142964	67.0	0	4.0	67.0	16.0	0	51.0
NM_015475	166.0	18	69.0	184.0	113.0	4.0	59.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	222.0	55	521.0	277.0	250.0	11.0	5.0
NM_001195076	11.0	0	2.0	11.0	7.0	0	4.0
NM_001350073	103.0	12	31.0	115.0	48.0	53.0	12.0
NM_001005291	918.0	108	274.0	1026.0	841.0	23.0	156.0
NM_138803	2.0	0	24.0	2.0	1.0	1.0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	198.0	21	119.0	219.0	89.0	11.0	119.0
NM_018210	214.0	15	141.0	229.0	101.0	12.0	116.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1748.0	76	1750.0	1824.0	773.0	224.0	803.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	178.0	11	28.0	189.0	83.0	30.0	74.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	39.0	5	13.0	44.0	28.0	5.0	9.0
NM_003772	156.0	0	0	156.0	80.0	21.0	55.0
NM_000682	0	0	0	0	0	0	0
NM_014650	134.0	4	31.0	138.0	65.0	15.0	56.0
NM_001114086	5.0	0	10.0	5.0	2.0	0	3.0
NM_001204375	196.0	4	102.0	200.0	71.0	4.0	124.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	3.0	6	0	9.0	2	4.0	0
NM_194460	59.0	4	41.0	63.0	36.0	7.0	18.0
NM_001031743	1.0	0	3.0	1.0	1.0	0	0
NM_001329941	64.0	0	3.0	64.0	31.0	0	29.0
NM_002178	8.0	0	1.0	8.0	6.0	0	2.0
NM_001145297	915.0	79	131.0	994.0	536.0	27.0	422.0
NM_152559	4.0	1	2.0	5.0	4.0	0	1.0
NM_001300901	111.0	0	27.0	111.0	80.0	0	30.0
NM_181708	61.0	0	14.0	61.0	27.0	3.0	28.0
NM_006012	250.0	30	4.0	280.0	213.0	15.0	38.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	172.0	12	50.0	184.0	64.0	102.0	18.0
NM_001136050	30.0	5	16.0	35.0	24.0	5.0	3.0
NM_000797	2.0	0	2.0	2.0	1.0	0	0
NM_014975	6.0	2	8.0	8.0	7.0	0	1.0
NM_001270616	1.0	0	1.0	1.0	1.0	0	0
NM_000417	27.0	4	58.0	31.0	12.0	2.0	16.0
NM_001731	563.0	0	23.0	563.0	144.0	66.0	346.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	181.0	26	93.0	207.0	177.0	17.0	12.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	541.0	4	148.0	545.0	308.0	51.0	183.0
NM_001324321	120.0	19	356.0	139.0	135.0	1.0	2.0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	546.0	20	144.0	566.0	151.0	185.0	216.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	280.0	26	138.0	306.0	273.0	16.0	11.0
NM_001330332	8.0	3	6.0	11.0	8.0	0	3.0
NM_004288	254.0	29	316.0	283.0	170.0	16.0	82.0
NM_001281432	62.0	24	192.0	86.0	46.0	12.0	17.0
NM_001170569	77.0	0	24.0	77.0	24.0	8.0	45.0
NM_014429	5.0	1	18.0	6.0	6.0	0	0
NM_021025	0	0	0	0	0	0	0
NM_031438	110.0	4	31.0	114.0	53.0	8.0	51.0
NM_014297	206.0	39	32.0	245.0	187.0	28.0	19.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	1.0	0	0	0	0
NM_021133	272.0	8	45.0	280.0	157.0	15.0	104.0
NM_021141	2605.0	570	1505.0	3175.0	2285.0	182.0	647.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	1.0	0	0	0	0
NM_015896	9.0	2	0	11.0	7.0	0	2.0
NM_006811	1748.0	98	298.0	1846.0	772.0	111.0	924.0
NM_001320820	153.0	3	102.0	156.0	48.0	6.0	98.0
NM_001348397	726.0	88	903.0	814.0	490.0	35.0	257.0
NM_001355224	18.0	0	130.0	18.0	8.0	10.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	1.0	0	0	0	0
NM_001127266	391.0	7	46.0	398.0	184.0	52.0	156.0
NM_003294	247.0	6	0	253.0	161.0	6	86.0
NM_001297573	209.0	9	908.0	218.0	112.0	33.0	70.0
NM_018489	1023.0	52	1106.0	1075.0	897.0	41.0	132.0
NM_024759	161.0	10	241.0	171.0	41.0	24.0	100.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	317.0	39	145.0	356.0	208.0	23.0	107.0
NM_001102420	927.0	10	437.0	937.0	61.0	182.0	694.0
NM_024508	0	0	0	0	0	0	0
NM_007069	2.0	0	2.0	2.0	1.0	1.0	0
NM_016212	0	0	0	0	0	0	0
NM_001113511	194.0	31	1223.0	225.0	183.0	0	42.0
NM_145719	18.0	1	1.0	19.0	15.0	3.0	1.0
NM_198517	332.0	33	55.0	365.0	278.0	8.0	69.0
NM_001318043	235.0	22	95.0	257.0	179.0	34.0	24.0
NM_001038707	1457.0	30	167.0	1487.0	107.0	216.0	1147.0
NM_001037666	52.0	7	5.0	59.0	34.0	2.0	20.0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	451.0	19	82.0	470.0	187.0	13.0	263.0
NM_001353349	0	0	1.0	0	0	0	0
NM_007366	14.0	1	16.0	15.0	13.0	1.0	0
NM_002432	159.0	10	129.0	169.0	121.0	25.0	17.0
NM_001289984	475.0	25	207.0	500.0	278.0	20.0	198.0
NM_001017920	0	0	1.0	0	0	0	0
NM_001012643	33.0	1	13.0	34.0	17.0	0	15.0
NM_001164471	0	0	0	0	0	0	0
