AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	88.0	10	5.0	98.0	90.0	2.0	6.0
NM_001142964	5.0	0	0	5.0	5.0	0	0
NM_015475	245.0	18	0	263.0	246.0	16.0	1.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	308.0	49	1.0	357.0	350.0	0	7.0
NM_001195076	13.0	1	1.0	14.0	11.0	0	3.0
NM_001350073	50.0	10	1.0	60.0	20.0	40.0	0
NM_001005291	1349.0	268	6.0	1617.0	1575.0	38.0	4.0
NM_138803	1.0	0	0	1.0	0	1.0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	332.0	105	20.0	437.0	407.0	24.0	6.0
NM_018210	72.0	10	0	82.0	68.0	11.0	3.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1051.0	100	2.0	1151.0	867.0	276.0	8.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	1038.0	122	0	1160.0	748.0	373.0	39.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	0	0	0	0	0	0	0
NM_003772	123.0	0	0	123.0	95.0	28.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	24.0	1	0	25.0	18.0	7.0	0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	1.0	0	0	1.0	1.0	0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	6	0	6	6	0	0
NM_194460	142.0	15	3.0	157.0	144.0	8.0	5.0
NM_001031743	1.0	0	0	1.0	1.0	0	0
NM_001329941	13.0	0	0	13.0	13.0	0	0
NM_002178	0	0	0	0	0	0	0
NM_001145297	848.0	138	0	986.0	965.0	15.0	6.0
NM_152559	12.0	1	0	13.0	12.0	0	1.0
NM_001300901	33.0	0	5.0	33.0	33.0	0	0
NM_181708	39.0	1	0	40.0	39.0	0	1.0
NM_006012	266.0	101	1.0	367.0	346.0	20.0	1.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	604.0	37	12.0	641.0	437.0	202.0	2.0
NM_001136050	129.0	23	1.0	152.0	122.0	27.0	3.0
NM_000797	0	0	0	0	0	0	0
NM_014975	2.0	0	1.0	2.0	2.0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	4.0	0	0	4.0	1.0	3.0	0
NM_001731	647.0	2	1.0	649.0	266.0	380.0	3.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	154.0	14	0	168.0	94.0	74.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	263.0	13	11.0	276.0	208.0	67.0	1.0
NM_001324321	84.0	11	0	95.0	95.0	0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	828.0	93	0	921.0	514.0	397.0	10.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	439.0	29	4.0	468.0	396.0	72.0	0
NM_001330332	199.0	35	37.0	234.0	194.0	39.0	1.0
NM_004288	22.0	5	0	27.0	23.0	4.0	0
NM_001281432	162.0	18	76.0	180.0	176.0	2.0	2.0
NM_001170569	111.0	1	0	112.0	72.0	40.0	0
NM_014429	4.0	0	1.0	4.0	4.0	0	0
NM_021025	21.0	0	0	21.0	17.0	4.0	0
NM_031438	113.0	20	0	133.0	117.0	15.0	1.0
NM_014297	44.0	7	0	51.0	50.0	1.0	0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	234.0	21	0	255.0	187.0	67.0	1.0
NM_021141	5295.0	1427	4.0	6722.0	6409.0	172.0	141.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	0	0	0	0	0
NM_015896	5.0	1	0	6.0	6.0	0	0
NM_006811	3522.0	567	3.0	4089.0	3304.0	732.0	53.0
NM_001320820	612.0	43	0	655.0	642.0	5.0	8.0
NM_001348397	41.0	11	2.0	52.0	47.0	5.0	0
NM_001355224	1.0	0	1.0	1.0	0	1.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	60.0	2	2.0	62.0	31.0	31.0	0
NM_003294	264.0	0	0	264.0	263.0	0	1.0
NM_001297573	9.0	2	0	11.0	10.0	1.0	0
NM_018489	339.0	17	1.0	356.0	301.0	53.0	2.0
NM_024759	50.0	3	0	53.0	42.0	6.0	5.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	603.0	109	7.0	712.0	542.0	86.0	84.0
NM_001102420	2737.0	128	2.0	2865.0	748.0	2071.0	46.0
NM_024508	0	0	0	0	0	0	0
NM_007069	2.0	1	0	3.0	3.0	0	0
NM_016212	0	0	0	0	0	0	0
NM_001113511	169.0	22	1.0	191.0	181.0	0	10.0
NM_145719	8.0	1	0	9.0	8.0	1	0
NM_198517	5.0	1	0	6.0	6.0	0	0
NM_001318043	87.0	25	0	112.0	110.0	1.0	1.0
NM_001038707	358.0	34	1.0	392.0	129.0	253.0	10.0
NM_001037666	37.0	4	0	41.0	31.0	7.0	3.0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	914.0	86	4.0	1000.0	882.0	114.0	4.0
NM_001353349	0	0	0	0	0	0	0
NM_007366	0	0	0	0	0	0	0
NM_002432	145.0	17	0	162.0	124.0	38.0	0
NM_001289984	37.0	5	2.0	42.0	35.0	6.0	1.0
NM_001017920	0	0	0	0	0	0	0
NM_001012643	17.0	0	1.0	17.0	11.0	6.0	0
NM_001164471	0	0	0	0	0	0	0
NM_080656	94.0	1	0	95.0	93.0	2.0	0
NM_004297	1.0	0	0	1.0	1.0	0	0
NM_138434	0	0	0	0	0	0	0
NM_018558	0	0	0	0	0	0	0
NM_031905	120.0	6	0	126.0	51.0	75.0	0
NM_001331039	148.0	11	0	159.0	119.0	39.0	1.0
NM_001243476	3.0	0	1.0	3.0	3.0	0	0
NM_001289108	636.0	4	5.0	640.0	194.0	417.0	29.0
NM_032827	1.0	0	0	1.0	0	1.0	0
NM_005941	0	0	0	0	0	0	0
NM_001025579	1138.0	92	9.0	1230.0	798.0	403.0	29.0
NM_002490	1228.0	133	1.0	1361.0	1348.0	0	13.0
NM_030966	0	0	0	0	0	0	0
NM_001145777	579.0	35	83.0	614.0	451.0	152.0	11.0
NM_001017526	0	1	0	1	1	0	0
NM_173806	0	0	0	0	0	0	0
NM_182983	0	0	0	0	0	0	0
NM_014241	121.0	16	4.0	137.0	128.0	8.0	1.0
NM_001034996	760.0	43	1.0	803.0	718.0	39.0	46.0
NM_001037442	11.0	2	0	13.0	13.0	0	0
NM_001058	0	0	0	0	0	0	0
NM_138782	1414.0	373	9.0	1787.0	1751.0	6.0	30.0
NM_006753	140.0	8	0	148.0	144.0	3.0	1.0
NM_001354199	117.0	21	0	138.0	98.0	37.0	3.0
NM_001135147	1090.0	113	84.0	1203.0	1006.0	183.0	14.0
NM_001129885	1.0	0	0	1.0	1.0	0	0
NM_033070	17.0	1	0	18.0	18.0	0	0
NM_001001959	1.0	0	0	1.0	1.0	0	0
NM_053278	0	0	0	0	0	0	0
NM_002027	161.0	9	10.0	170.0	167.0	1.0	2.0
NM_020547	17.0	2	1.0	19.0	19.0	0	0
NM_172175	3.0	3	1.0	6.0	2.0	4.0	0
NM_002199	806.0	149	27.0	955.0	707.0	229.0	19.0
NM_004101	0	0	0	0	0	0	0
NM_001321601	0	0	0	0	0	0	0
NM_001347830	0	0	0	0	0	0	0
NM_001322828	25.0	3	0	28.0	8.0	20.0	0
NM_005171	602.0	44	0	646.0	434.0	209.0	3.0
NM_015634	434.0	35	0	469.0	456.0	8.0	5.0
NM_032627	78.0	2	2.0	80.0	29.0	51.0	0
NM_001278419	0	0	0	0	0	0	0
NM_001005496	0	0	0	0	0	0	0
NM_006340	15.0	2	0	17.0	15.0	0	2.0
NM_001289125	168.0	18	3.0	186.0	128.0	56.0	2.0
NM_006065	3.0	0	0	3.0	3.0	0	0
NM_001009812	0	0	0	0	0	0	0
NM_004778	15.0	1	0	16.0	13.0	3.0	0
NM_006646	1.0	1	9.0	2.0	1	1.0	0
NM_014010	4.0	1	151.0	5.0	5.0	0	0
NM_032935	0	0	0	0	0	0	0
NM_001098816	0	0	0	0	0	0	0
NM_001099402	791.0	92	12.0	883.0	594.0	289.0	0
NM_001126128	0	0	0	0	0	0	0
NM_001031803	18.0	5	1.0	23.0	21.0	2.0	0
NM_013309	0	0	0	0	0	0	0
NM_003988	0	0	0	0	0	0	0
NM_003460	0	0	0	0	0	0	0
NM_015939	221.0	16	0	237.0	202.0	33.0	2.0
NM_001080505	0	0	0	0	0	0	0
NM_001330513	106.0	2	1.0	108.0	40.0	68.0	0
NM_001001413	0	0	0	0	0	0	0
NM_012163	4.0	2	1.0	6.0	0	6.0	0
NM_016577	2290.0	883	11.0	3173.0	2789.0	326.0	58.0
NM_001080779	185.0	40	2.0	225.0	221.0	0	4.0
NM_021211	274.0	0	1.0	274.0	131.0	143.0	0
NM_152791	14.0	0	0	14.0	13.0	1.0	0
NM_198956	0	0	0	0	0	0	0
NM_004488	3.0	0	0	3.0	3.0	0	0
NM_015950	581.0	47	1.0	628.0	598.0	14.0	16.0
NM_001265589	596.0	2	0	598.0	512.0	82.0	4.0
NM_001289088	163.0	11	12.0	174.0	156.0	17.0	1.0
NM_019078	0	0	0	0	0	0	0
NM_033337	0	0	0	0	0	0	0
NM_003041	0	0	0	0	0	0	0
NM_014051	28.0	4	0	32.0	24.0	8.0	0
NM_001004741	0	0	0	0	0	0	0
NM_032378	1049.0	20	42.0	1069.0	1043.0	18.0	8.0
NM_001005170	0	0	0	0	0	0	0
NM_002305	361.0	142	0	503.0	464.0	33.0	6.0
NM_004356	358.0	136	0	494.0	433.0	42.0	19.0
NM_001258283	0	0	0	0	0	0	0
NM_001136112	0	0	0	0	0	0	0
NM_052955	0	0	0	0	0	0	0
NM_014895	280.0	30	2.0	310.0	261.0	42.0	7.0
NM_001161425	4.0	2	0	6.0	4.0	2	0
NM_181501	0	0	0	0	0	0	0
NM_014712	275.0	40	3.0	315.0	297.0	16.0	2.0
NM_018957	40.0	11	0	51.0	47.0	4.0	0
NM_001099269	25.0	1	0	26.0	15.0	11.0	0
NM_006963	245.0	25	0	270.0	196.0	74.0	0
NM_017696	169.0	27	5.0	196.0	196.0	0	0
NM_032142	839.0	116	3.0	955.0	930.0	23.0	2.0
NM_018129	498.0	95	4.0	593.0	545.0	32.0	16.0
NM_015016	546.0	144	39.0	690.0	677.0	0	13.0
NM_003389	7.0	1	0	8.0	6.0	0	2.0
NM_000292	173.0	39	0	212.0	189.0	23.0	0
NM_000745	8.0	1	0	9.0	6.0	3.0	0
NM_000609	0	0	0	0	0	0	0
NM_016027	297.0	21	0	318.0	265.0	45.0	8.0
NM_032927	87.0	6	0	93.0	57.0	35.0	1.0
NM_144492	0	0	0	0	0	0	0
NM_014912	19.0	1	0	20.0	13.0	7.0	0
NM_001454	1.0	0	0	1.0	1.0	0	0
NM_003146	2542.0	523	8.0	3065.0	2607.0	457.0	1.0
NM_032756	27.0	0	0	27.0	20.0	7.0	0
NM_001350065	422.0	36	281.0	458.0	435.0	19.0	4.0
NM_001190158	0	0	0	0	0	0	0
NM_182491	113.0	4	0	117.0	13.0	103.0	1.0
NM_002074	1797.0	338	7.0	2135.0	1541.0	565.0	29.0
NM_021123	0	0	0	0	0	0	0
NM_178155	77.0	15	17.0	92.0	73.0	17.0	2.0
NM_199352	0	0	0	0	0	0	0
NM_001005187	0	0	0	0	0	0	0
NM_001282931	15.0	0	0	15.0	3.0	12.0	0
NM_004048	5195.0	1080	2.0	6275.0	6050.0	213.0	12.0
NM_002825	0	0	0	0	0	0	0
NM_013234	2011.0	341	0	2352.0	1975.0	353.0	24.0
NM_001935	15.0	6	0	21.0	20.0	1.0	0
NM_001282468	0	0	0	0	0	0	0
NM_001172288	0	0	0	0	0	0	0
NM_020844	0	0	3.0	0	0	0	0
NM_001282748	306.0	66	9.0	372.0	237.0	129.0	6.0
NM_004824	1133.0	107	19.0	1240.0	1104.0	129.0	7.0
NM_001348223	0	0	0	0	0	0	0
NM_138290	0	0	0	0	0	0	0
NM_018004	2.0	0	2.0	2.0	2.0	0	0
NM_031490	643.0	119	4.0	762.0	702.0	38.0	22.0
NM_001199860	111.0	34	1.0	145.0	123.0	19.0	3.0
NM_001256134	0	0	0	0	0	0	0
NM_213606	0	0	0	0	0	0	0
NM_003931	241.0	9	0	250.0	161.0	81.0	8.0
NM_003857	1.0	0	0	1.0	1.0	0	0
NM_014264	589.0	68	4.0	657.0	498.0	154.0	5.0
NM_181599	0	0	0	0	0	0	0
NM_018665	3.0	0	0	3.0	3.0	0	0
NM_004577	31.0	0	3.0	31.0	14.0	17.0	0
NM_148842	219.0	65	2.0	284.0	135.0	148.0	1.0
NM_001288565	399.0	86	0	485.0	460.0	25.0	0
NM_005092	175.0	21	0	196.0	185.0	0	11.0
NM_001007530	0	0	0	0	0	0	0
NM_007128	0	0	0	0	0	0	0
NM_002559	0	0	0	0	0	0	0
NM_207123	702.0	61	280.0	763.0	702.0	49.0	12.0
NM_017780	176.0	12	1.0	188.0	171.0	17.0	0
NM_001304958	8.0	1	1.0	9.0	7.0	2.0	0
NM_001203	0	0	1.0	0	0	0	0
NM_006495	66.0	0	0	66.0	57.0	9.0	0
NM_138433	0	0	0	0	0	0	0
NM_003151	8.0	1	0	9.0	7.0	2.0	0
NM_203374	37.0	0	0	37.0	37.0	0	0
NM_001823	62.0	8	6.0	70.0	68.0	0	2.0
NM_001242844	214.0	2	0	216.0	155.0	61.0	0
NM_014819	1788.0	213	3.0	2001.0	1711.0	271.0	19.0
NM_018425	1479.0	174	30.0	1653.0	1605.0	2.0	46.0
NM_001190986	2.0	1	0	3.0	3.0	0	0
NM_001291535	0	0	0	0	0	0	0
NM_032361	83.0	113	0	196.0	196.0	0	0
NM_201553	0	0	0	0	0	0	0
NM_002276	20.0	0	0	20.0	18.0	2.0	0
NM_001144927	290.0	18	4.0	308.0	253.0	54.0	1.0
NM_014278	299.0	27	15.0	326.0	295.0	30.0	1.0
NM_001184889	463.0	2	7.0	465.0	203.0	261.0	1.0
NM_021005	0	0	0	0	0	0	0
NM_001002036	0	0	0	0	0	0	0
NM_002168	4277.0	728	2.0	5005.0	4947.0	33.0	25.0
NM_001098817	220.0	28	17.0	248.0	205.0	40.0	3.0
NM_001288780	0	0	0	0	0	0	0
NM_001258329	1.0	0	1.0	1.0	1.0	0	0
NM_001142883	0	0	0	0	0	0	0
NM_000593	124.0	9	0	133.0	131.0	2.0	0
NM_001198784	13.0	0	0	13.0	4.0	9.0	0
NM_002147	17.0	0	0	17.0	17.0	0	0
NM_182492	0	1	0	1	1	0	0
NM_001005183	0	0	0	0	0	0	0
NM_174983	83.0	21	1.0	104.0	73.0	30.0	1.0
NM_052959	0	0	0	0	0	0	0
NM_003320	0	0	0	0	0	0	0
NM_144607	81.0	4	1.0	85.0	51.0	32.0	2.0
NM_000883	18.0	0	2.0	18.0	17.0	0	1.0
NM_001004725	0	0	0	0	0	0	0
NM_001319086	494.0	98	272.0	592.0	574.0	7.0	11.0
NM_003462	0	0	0	0	0	0	0
NM_001329964	5.0	0	0	5.0	5.0	0	0
NM_001214909	29.0	0	1.0	29.0	24.0	5.0	0
NM_001080493	9.0	2	0	11.0	10.0	1.0	0
NM_001204268	0	0	0	0	0	0	0
NM_002739	0	0	0	0	0	0	0
NM_021156	393.0	124	0	517.0	457.0	39.0	21.0
NM_032656	198.0	30	0	228.0	211.0	16.0	1.0
NM_001289933	0	0	0	0	0	0	0
NM_016231	70.0	8	3.0	78.0	73.0	3.0	2.0
NM_014518	12.0	1	0	13.0	6.0	7.0	0
NM_001352289	317.0	96	26.0	413.0	179.0	233.0	1.0
NM_144644	0	0	0	0	0	0	0
NM_030934	1621.0	163	3.0	1784.0	1596.0	175.0	13.0
NM_006042	0	0	0	0	0	0	0
NM_001100878	7.0	0	0	7.0	5.0	0	2.0
NM_001198844	1.0	20	4.0	21.0	1.0	20	0
NM_005194	1917.0	0	0	1917.0	1143.0	768.0	6.0
NM_001351100	1117.0	128	10.0	1245.0	1096.0	149.0	0
NM_080746	8.0	0	0	8.0	8.0	0	0
NM_001316335	0	0	0	0	0	0	0
NM_001294335	0	0	0	0	0	0	0
NM_032899	1917.0	62	4.0	1979.0	1625.0	332.0	22.0
NM_001135789	0	0	0	0	0	0	0
NM_005626	1114.0	84	38.0	1198.0	1157.0	35.0	6.0
NM_030821	30.0	0	0	30.0	18.0	12.0	0
NM_001013736	0	0	0	0	0	0	0
NM_015205	130.0	31	1.0	161.0	152.0	3.0	6.0
NM_020823	147.0	34	26.0	181.0	179.0	0	2.0
NM_194283	546.0	86	5.0	632.0	588.0	38.0	6.0
NM_019098	0	0	31.0	0	0	0	0
NM_003530	54770.0	1	382.0	54771.0	54752.0	10.0	9.0
NM_001290062	2.0	0	0	2.0	1.0	1.0	0
NM_006045	4.0	1	0	5.0	5.0	0	0
NM_003802	0	0	1.0	0	0	0	0
NM_014646	5376.0	610	803.0	5986.0	5882.0	35.0	69.0
NM_012459	682.0	0	2.0	682.0	678.0	0	4.0
NM_000137	603.0	193	0	796.0	771.0	9.0	16.0
NM_152531	55.0	6	1.0	61.0	53.0	6.0	2.0
NM_006401	7414.0	64	14.0	7478.0	5822.0	1572.0	84.0
NM_001352769	0	0	0	0	0	0	0
NM_003914	12.0	3	0	15.0	14.0	1.0	0
NM_001195014	45.0	12	11.0	57.0	29.0	28.0	0
NM_001102651	12.0	0	1.0	12.0	10.0	2.0	0
NM_001145369	0	0	0	0	0	0	0
NM_052972	16.0	2	0	18.0	18.0	0	0
NM_018135	269.0	51	0	320.0	295.0	0	25.0
NM_001253790	0	0	0	0	0	0	0
NM_001034077	0	0	0	0	0	0	0
NM_025225	1.0	0	0	1.0	1.0	0	0
NM_152259	373.0	34	1.0	407.0	404.0	0	3.0
NM_012279	167.0	19	9.0	186.0	181.0	0	5.0
NM_024114	0	0	0	0	0	0	0
NM_025265	37.0	6	0	43.0	38.0	5.0	0
NM_024814	968.0	299	15.0	1267.0	1085.0	144.0	38.0
NM_012384	231.0	19	3.0	250.0	236.0	12.0	2.0
NM_002153	0	0	0	0	0	0	0
NM_001040451	399.0	70	10.0	469.0	443.0	2.0	24.0
NM_024913	44.0	7	13.0	51.0	38.0	12.0	1.0
NM_003278	3.0	0	0	3.0	3.0	0	0
NM_001267598	62.0	16	59.0	78.0	59.0	18.0	1.0
NM_014801	0	0	23.0	0	0	0	0
NM_006272	31.0	0	0	31.0	16.0	15.0	0
NM_014462	488.0	77	0	565.0	242.0	315.0	8.0
NM_005310	0	0	0	0	0	0	0
NM_004779	1247.0	86	8.0	1333.0	1056.0	251.0	26.0
NM_001669	10.0	2	0	12.0	11.0	1.0	0
NM_001349660	252.0	16	3.0	268.0	164.0	104.0	0
NM_001199479	66.0	0	3.0	66.0	54.0	12.0	0
NM_007344	321.0	16	2.0	337.0	326.0	7.0	4.0
NM_020124	0	0	0	0	0	0	0
NM_007102	0	0	0	0	0	0	0
