AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	223.0	5	48.0	228.0	62.0	16.0	147.0
NM_001142964	38.0	0	1.0	38.0	7.0	0	30.0
NM_015475	87.0	9	21.0	96.0	62.0	5.0	25.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	202.0	29	411.0	231.0	206.0	14.0	4.0
NM_001195076	19.0	0	2.0	19.0	14.0	0	5.0
NM_001350073	126.0	12	38.0	138.0	53.0	72.0	12.0
NM_001005291	883.0	87	309.0	970.0	763.0	33.0	163.0
NM_138803	0	0	3.0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	182.0	24	77.0	206.0	86.0	8.0	109.0
NM_018210	278.0	14	211.0	292.0	127.0	10.0	153.0
NM_015038	0	0	0	0	0	0	0
NM_004537	573.0	30	747.0	603.0	293.0	78.0	224.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	832.0	86	116.0	918.0	417.0	219.0	275.0
NM_001144954	5.0	0	32.0	5.0	1.0	0	4.0
NM_000729	0	0	0	0	0	0	0
NM_002561	0	0	0	0	0	0	0
NM_003772	100.0	0	0	100.0	53.0	14.0	31.0
NM_000682	0	0	0	0	0	0	0
NM_014650	80.0	1	17.0	81.0	45.0	14.0	22.0
NM_001114086	0	0	1.0	0	0	0	0
NM_001204375	1.0	1	6.0	2.0	2.0	0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	2	0	2	0	0	0
NM_194460	90.0	8	71.0	98.0	50.0	12.0	33.0
NM_001031743	0	0	2.0	0	0	0	0
NM_001329941	19.0	0	0	19.0	13.0	0	5.0
NM_002178	0	0	0	0	0	0	0
NM_001145297	1013.0	102	217.0	1115.0	663.0	28.0	410.0
NM_152559	13.0	0	10.0	13.0	11.0	0	1.0
NM_001300901	11.0	0	4.0	11.0	9.0	0	2.0
NM_181708	28.0	1	11.0	29.0	16.0	1.0	12.0
NM_006012	192.0	25	7.0	217.0	154.0	18.0	39.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	133.0	8	55.0	141.0	36.0	91.0	14.0
NM_001136050	46.0	9	22.0	55.0	37.0	10.0	5.0
NM_000797	3.0	0	2.0	3.0	3.0	0	0
NM_014975	0	0	6.0	0	0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	2.0	0	0	2.0	1.0	0	1.0
NM_001731	304.0	0	38.0	304.0	101.0	45.0	156.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	198.0	23	110.0	221.0	178.0	22.0	19.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	447.0	4	88.0	451.0	236.0	47.0	161.0
NM_001324321	116.0	10	270.0	126.0	117.0	7.0	1.0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	530.0	5	149.0	535.0	128.0	178.0	213.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	363.0	26	152.0	389.0	334.0	42.0	7.0
NM_001330332	105.0	7	73.0	112.0	69.0	21.0	18.0
NM_004288	10.0	1	15.0	11.0	7.0	0	3.0
NM_001281432	27.0	2	94.0	29.0	16.0	7.0	3.0
NM_001170569	82.0	1	26.0	83.0	23.0	10.0	50.0
NM_014429	5.0	0	10.0	5.0	5.0	0	0
NM_021025	7.0	0	0	7.0	6.0	1.0	0
NM_031438	73.0	2	12.0	75.0	39.0	4.0	31.0
NM_014297	18.0	6	8.0	24.0	14.0	3.0	5.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	1.0	0	0	0	0
NM_021133	214.0	6	23.0	220.0	134.0	18.0	66.0
NM_021141	2195.0	468	1163.0	2663.0	2020.0	167.0	411.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	0	0	0	0	0
NM_015896	3.0	1	0	4.0	4.0	0	0
NM_006811	2023.0	144	401.0	2167.0	944.0	147.0	1040.0
NM_001320820	421.0	13	224.0	434.0	158.0	14.0	244.0
NM_001348397	78.0	11	79.0	89.0	51.0	2.0	35.0
NM_001355224	2.0	0	31.0	2.0	0	2.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	1.0	0	1.0	1.0	0	1.0	0
NM_001127266	204.0	5	42.0	209.0	99.0	26.0	82.0
NM_003294	78.0	2	0	80.0	53.0	2	25.0
NM_001297573	10.0	0	45.0	10.0	6.0	0	4.0
NM_018489	1246.0	48	1357.0	1294.0	1074.0	70.0	143.0
NM_024759	81.0	3	120.0	84.0	28.0	13.0	41.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	390.0	48	170.0	438.0	253.0	33.0	132.0
NM_001102420	2861.0	48	1134.0	2909.0	218.0	861.0	1830.0
NM_024508	0	0	0	0	0	0	0
NM_007069	1.0	0	1.0	1.0	0	0	1.0
NM_016212	0	0	0	0	0	0	0
NM_001113511	110.0	18	709.0	128.0	113.0	1.0	14.0
NM_145719	9.0	0	1.0	9.0	7.0	0	2.0
NM_198517	28.0	2	5.0	30.0	19.0	0	10.0
NM_001318043	44.0	3	13.0	47.0	32.0	7.0	5.0
NM_001038707	518.0	7	65.0	525.0	42.0	109.0	364.0
NM_001037666	30.0	2	0	32.0	19.0	4.0	9.0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	422.0	26	75.0	448.0	202.0	23.0	218.0
NM_001353349	0	0	1.0	0	0	0	0
NM_007366	0	0	3.0	0	0	0	0
NM_002432	30.0	4	18.0	34.0	23.0	8.0	2.0
NM_001289984	67.0	2	35.0	69.0	39.0	6.0	24.0
NM_001017920	0	0	0	0	0	0	0
NM_001012643	28.0	1	15.0	29.0	18.0	3.0	7.0
NM_001164471	0	0	0	0	0	0	0
NM_080656	82.0	0	21.0	82.0	22.0	26.0	26.0
NM_004297	0	0	10.0	0	0	0	0
NM_138434	0	0	0	0	0	0	0
NM_018558	0	0	0	0	0	0	0
NM_031905	147.0	11	103.0	158.0	52.0	82.0	15.0
NM_001331039	282.0	26	20.0	308.0	216.0	46.0	41.0
NM_001243476	3.0	0	44.0	3.0	2.0	0	1.0
NM_001289108	394.0	1	110.0	395.0	75.0	85.0	192.0
NM_032827	0	0	1.0	0	0	0	0
NM_005941	0	0	1.0	0	0	0	0
NM_001025579	1007.0	69	1098.0	1076.0	424.0	119.0	519.0
NM_002490	549.0	52	44.0	601.0	499.0	0	102.0
NM_030966	0	0	0	0	0	0	0
NM_001145777	121.0	8	438.0	129.0	64.0	34.0	29.0
NM_001017526	0	1	0	1	1	0	0
NM_173806	0	0	0	0	0	0	0
NM_182983	0	0	1.0	0	0	0	0
NM_014241	118.0	6	260.0	124.0	78.0	16.0	8.0
NM_001034996	407.0	23	52.0	430.0	368.0	26.0	36.0
NM_001037442	34.0	1	51.0	35.0	21.0	0	14.0
NM_001058	0	0	1.0	0	0	0	0
NM_138782	1526.0	201	3667.0	1727.0	953.0	46.0	719.0
NM_006753	133.0	4	13.0	137.0	71.0	8.0	56.0
NM_001354199	101.0	6	357.0	107.0	75.0	10.0	22.0
NM_001135147	560.0	59	1011.0	619.0	443.0	136.0	14.0
NM_001129885	0	0	4.0	0	0	0	0
NM_033070	25.0	1	6.0	26.0	18.0	0	7.0
NM_001001959	0	0	0	0	0	0	0
NM_053278	0	0	0	0	0	0	0
NM_002027	192.0	4	395.0	196.0	110.0	14.0	66.0
NM_020547	12.0	0	5.0	12.0	12.0	0	0
NM_172175	18.0	2	126.0	20.0	4.0	13.0	2.0
NM_002199	261.0	44	704.0	305.0	164.0	45.0	85.0
NM_004101	0	0	1.0	0	0	0	0
NM_001321601	0	0	0	0	0	0	0
NM_001347830	0	0	0	0	0	0	0
NM_001322828	34.0	1	67.0	35.0	16.0	10.0	9.0
NM_005171	280.0	22	128.0	302.0	130.0	49.0	112.0
NM_015634	144.0	9	66.0	153.0	127.0	4.0	18.0
NM_032627	162.0	5	92.0	167.0	80.0	51.0	27.0
NM_001278419	0	0	1.0	0	0	0	0
NM_001005496	0	0	0	0	0	0	0
NM_006340	8.0	1	70.0	9.0	4.0	2.0	1.0
NM_001289125	69.0	4	110.0	73.0	46.0	6.0	19.0
NM_006065	1.0	0	4.0	1.0	1.0	0	0
NM_001009812	3.0	0	3.0	3.0	2.0	1.0	0
NM_004778	21.0	0	0	21.0	10.0	0	11.0
NM_006646	3.0	0	9.0	3.0	1.0	0	2.0
