AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	173.0	25	8.0	198.0	180.0	3.0	15.0
NM_001142964	5.0	0	0	5.0	4.0	0	1.0
NM_015475	497.0	49	0	546.0	527.0	17.0	2.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	424.0	115	3.0	539.0	526.0	1.0	12.0
NM_001195076	18.0	0	1.0	18.0	15.0	0	3.0
NM_001350073	68.0	8	0	76.0	46.0	30.0	0
NM_001005291	3385.0	488	9.0	3873.0	3831.0	34.0	8.0
NM_138803	0	0	0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	195.0	59	6.0	254.0	247.0	3.0	4.0
NM_018210	95.0	22	1.0	117.0	95.0	18.0	4.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1522.0	101	7.0	1623.0	1222.0	390.0	11.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	262.0	38	0	300.0	203.0	90.0	7.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	44.0	5	0	49.0	43.0	6.0	0
NM_003772	164.0	0	0	164.0	145.0	19.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	41.0	2	0	43.0	39.0	4.0	0
NM_001114086	4.0	0	4.0	4.0	4.0	0	0
NM_001204375	155.0	11	0	166.0	163.0	1.0	2.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	2.0	4	0	6.0	4	2.0	0
NM_194460	208.0	26	1.0	234.0	230.0	2.0	2.0
NM_001031743	0	0	0	0	0	0	0
NM_001329941	50.0	0	0	50.0	39.0	0	11.0
NM_002178	10.0	3	0	13.0	13.0	0	0
NM_001145297	902.0	142	6.0	1044.0	1031.0	5.0	8.0
NM_152559	4.0	5	0	9.0	7.0	2	0
NM_001300901	350.0	0	53.0	350.0	349.0	0	1.0
NM_181708	82.0	0	0	82.0	81.0	0	1.0
NM_006012	517.0	87	3.0	604.0	598.0	5.0	1.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	346.0	19	4.0	365.0	259.0	101.0	5.0
NM_001136050	153.0	21	1.0	174.0	143.0	30.0	1.0
NM_000797	0	0	0	0	0	0	0
NM_014975	16.0	0	1.0	16.0	16.0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	64.0	8	2.0	72.0	45.0	23.0	4.0
NM_001731	977.0	9	0	986.0	772.0	203.0	11.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	159.0	11	4.0	170.0	140.0	30.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	305.0	1	13.0	306.0	268.0	38.0	0
NM_001324321	120.0	12	3.0	132.0	131.0	0	1.0
NM_005958	0	0	0	0	0	0	0
NM_002700	1.0	0	0	1.0	1.0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	870.0	55	0	925.0	541.0	377.0	7.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	323.0	29	7.0	352.0	331.0	20.0	1.0
NM_001330332	10.0	3	2.0	13.0	9.0	2.0	2.0
NM_004288	284.0	32	2.0	316.0	269.0	46.0	1.0
NM_001281432	150.0	44	126.0	194.0	189.0	1.0	4.0
NM_001170569	97.0	1	0	98.0	79.0	19.0	0
NM_014429	2.0	1	1.0	3.0	3.0	0	0
NM_021025	0	0	0	0	0	0	0
NM_031438	108.0	8	1.0	116.0	111.0	5.0	0
NM_014297	381.0	74	1.0	455.0	446.0	5.0	4.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	320.0	23	0	343.0	296.0	47.0	0
NM_021141	5442.0	1473	15.0	6915.0	6638.0	123.0	154.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	0	0	0	0	0
NM_015896	4.0	0	0	4.0	4.0	0	0
NM_006811	3206.0	567	2.0	3773.0	3403.0	303.0	67.0
NM_001320820	181.0	12	0	193.0	188.0	3.0	2.0
NM_001348397	639.0	90	32.0	729.0	700.0	28.0	1.0
NM_001355224	3.0	0	0	3.0	2.0	1.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	174.0	8	2.0	182.0	141.0	39.0	2.0
NM_003294	995.0	0	0	995.0	989.0	0	6.0
NM_001297573	252.0	25	18.0	277.0	225.0	51.0	1.0
NM_018489	321.0	18	9.0	339.0	319.0	19.0	1.0
