AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	107.0	15	9.0	122.0	82.0	1.0	16.0
NM_001142964	15.0	0	0	15.0	6.0	0	9.0
NM_015475	563.0	48	1.0	611.0	468.0	22.0	2.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	433.0	85	9.0	518.0	487.0	2.0	8.0
NM_001195076	21.0	0	1.0	21.0	16.0	0	5.0
NM_001350073	67.0	14	5.0	81.0	29.0	48.0	1.0
NM_001005291	1754.0	228	6.0	1982.0	1841.0	62.0	5.0
NM_138803	0	0	1.0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	208.0	73	13.0	281.0	204.0	17.0	2.0
NM_018210	83.0	15	0	98.0	75.0	16.0	5.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1657.0	119	15.0	1776.0	1210.0	468.0	23.0
NM_013369	1.0	0	0	1.0	1.0	0	0
NM_001135642	247.0	24	0	271.0	154.0	95.0	20.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	46.0	10	2.0	56.0	42.0	10.0	1.0
NM_003772	215.0	0	0	215.0	137.0	53.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	75.0	2	0	77.0	49.0	20.0	2.0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	160.0	14	1.0	174.0	158.0	1.0	4.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	9	0	9	1	0	0
NM_194460	182.0	25	0	207.0	137.0	12.0	2.0
NM_001031743	2.0	1	0	3.0	0	1.0	1.0
NM_001329941	50.0	0	0	50.0	31.0	0	11.0
NM_002178	16.0	0	0	16.0	14.0	2.0	0
NM_001145297	840.0	130	1.0	970.0	787.0	22.0	9.0
NM_152559	9.0	2	1.0	11.0	8.0	2	0
NM_001300901	438.0	1	108.0	439.0	436.0	0	3.0
NM_181708	75.0	0	0	75.0	46.0	0	1.0
NM_006012	320.0	99	0	419.0	393.0	5.0	2.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	540.0	21	25.0	561.0	104.0	170.0	3.0
NM_001136050	127.0	23	0	150.0	102.0	42.0	0
NM_000797	1.0	0	0	1.0	1.0	0	0
NM_014975	7.0	1	0	8.0	8.0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	49.0	1	1.0	50.0	24.0	21.0	3.0
NM_001731	951.0	1	0	952.0	465.0	464.0	11.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	154.0	19	3.0	173.0	115.0	54.0	1.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	391.0	11	17.0	402.0	301.0	96.0	2.0
NM_001324321	128.0	9	4.0	137.0	135.0	0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	634.0	107	1.0	741.0	380.0	313.0	9.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	296.0	22	5.0	318.0	282.0	17.0	0
NM_001330332	5.0	1	1.0	6.0	4.0	1.0	0
NM_004288	423.0	44	2.0	467.0	349.0	72.0	4.0
NM_001281432	194.0	62	108.0	256.0	142.0	0	4.0
NM_001170569	87.0	0	1.0	87.0	60.0	26.0	1.0
NM_014429	1.0	0	2.0	1.0	0	0	1.0
NM_021025	0	0	0	0	0	0	0
NM_031438	142.0	14	2.0	156.0	130.0	20.0	1.0
NM_014297	347.0	60	1.0	407.0	321.0	6.0	4.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	329.0	24	1.0	353.0	257.0	81.0	0
NM_021141	5980.0	1642	16.0	7622.0	6782.0	187.0	197.0
NM_002367	0	0	0	0	0	0	0
NM_030630	1.0	1	0	2.0	2.0	0	0
NM_015896	6.0	1	0	7.0	6.0	0	1.0
NM_006811	2481.0	430	3.0	2911.0	2352.0	466.0	36.0
NM_001320820	152.0	14	0	166.0	155.0	0	4.0
NM_001348397	555.0	88	62.0	643.0	532.0	34.0	7.0
NM_001355224	2.0	0	2.0	2.0	0	2.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	118.0	4	5.0	122.0	70.0	30.0	4.0
NM_003294	756.0	1	0	757.0	746.0	1	10.0
NM_001297573	222.0	31	46.0	253.0	174.0	66.0	8.0
NM_018489	385.0	23	20.0	408.0	360.0	39.0	1.0
NM_024759	104.0	11	7.0	115.0	79.0	6.0	24.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	411.0	78	18.0	489.0	325.0	56.0	50.0
NM_001102420	636.0	32	20.0	668.0	197.0	448.0	13.0
NM_024508	0	0	0	0	0	0	0
NM_007069	7.0	1	0	8.0	4.0	2.0	1.0
NM_016212	0	0	0	0	0	0	0
NM_001113511	524.0	104	17.0	628.0	601.0	0	27.0
NM_145719	10.0	1	0	11.0	6.0	4.0	0
NM_198517	171.0	24	20.0	195.0	175.0	0	1.0
NM_001318043	446.0	77	4.0	523.0	445.0	9.0	11.0
NM_001038707	872.0	102	5.0	974.0	285.0	579.0	46.0
NM_001037666	123.0	10	1.0	133.0	103.0	5.0	5.0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	851.0	75	4.0	926.0	755.0	114.0	13.0
NM_001353349	0	0	0	0	0	0	0
NM_007366	13.0	0	0	13.0	13.0	0	0
NM_002432	413.0	37	0	450.0	348.0	94.0	0
NM_001289984	424.0	46	21.0	470.0	340.0	106.0	3.0
NM_001017920	0	0	0	0	0	0	0
NM_001012643	63.0	0	2.0	63.0	29.0	19.0	1.0
NM_001164471	0	0	0	0	0	0	0
NM_080656	99.0	1	0	100.0	51.0	0	0
