AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	220.0	5	50.0	225.0	70.0	11.0	144.0
NM_001142964	37.0	0	2.0	37.0	11.0	0	26.0
NM_015475	54.0	3	16.0	57.0	31.0	2.0	24.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	185.0	31	432.0	216.0	198.0	14.0	4.0
NM_001195076	19.0	0	4.0	19.0	14.0	0	5.0
NM_001350073	86.0	9	27.0	95.0	33.0	51.0	11.0
NM_001005291	1251.0	123	465.0	1374.0	1135.0	39.0	200.0
NM_138803	0	0	5.0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	194.0	12	104.0	206.0	82.0	9.0	115.0
NM_018210	236.0	12	205.0	248.0	116.0	11.0	121.0
NM_015038	0	0	0	0	0	0	0
NM_004537	662.0	25	791.0	687.0	321.0	93.0	273.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	614.0	51	105.0	665.0	317.0	138.0	210.0
NM_001144954	6.0	0	16.0	6.0	0	0	6.0
NM_000729	0	0	0	0	0	0	0
NM_002561	1.0	0	2.0	1.0	0	0	1.0
NM_003772	98.0	0	0	98.0	61.0	18.0	19.0
NM_000682	0	0	0	0	0	0	0
NM_014650	63.0	1	30.0	64.0	35.0	3.0	26.0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	6.0	0	8.0	6.0	3.0	0	3.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	0	0	0	0	0	0
NM_194460	98.0	10	64.0	108.0	66.0	9.0	33.0
NM_001031743	2.0	0	0	2.0	2.0	0	0
NM_001329941	15.0	0	2.0	15.0	10.0	0	5.0
NM_002178	1.0	0	0	1.0	1.0	0	0
NM_001145297	730.0	70	149.0	800.0	485.0	20.0	295.0
NM_152559	6.0	0	7.0	6.0	4.0	2.0	0
NM_001300901	4.0	0	0	4.0	3.0	0	1.0
NM_181708	26.0	0	12.0	26.0	18.0	1.0	7.0
NM_006012	180.0	22	15.0	202.0	164.0	7.0	31.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	122.0	9	43.0	131.0	41.0	73.0	17.0
NM_001136050	36.0	6	26.0	42.0	27.0	11.0	4.0
NM_000797	2.0	0	4.0	2.0	2.0	0	0
NM_014975	3.0	0	4.0	3.0	3.0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	1.0	0	0	1.0	1.0	0	0
NM_001731	665.0	2	153.0	667.0	213.0	54.0	400.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	247.0	28	120.0	275.0	228.0	29.0	18.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	247.0	1	38.0	248.0	156.0	24.0	68.0
NM_001324321	118.0	12	416.0	130.0	128.0	2.0	0
NM_005958	0	0	1.0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	1.0	0	0	0	0
NM_001286076	446.0	14	136.0	460.0	124.0	172.0	164.0
NM_001321449	0	1	0	1	1	0	0
NM_006594	278.0	20	140.0	298.0	273.0	19.0	6.0
NM_001330332	35.0	6	39.0	41.0	29.0	6.0	6.0
NM_004288	8.0	0	10.0	8.0	6.0	0	2.0
NM_001281432	45.0	18	120.0	63.0	47.0	8.0	8.0
NM_001170569	77.0	0	30.0	77.0	16.0	16.0	45.0
NM_014429	9.0	0	16.0	9.0	5.0	0	4.0
NM_021025	20.0	0	1.0	20.0	15.0	0	5.0
NM_031438	84.0	6	24.0	90.0	53.0	6.0	31.0
NM_014297	25.0	4	11.0	29.0	25.0	3.0	1.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	3.0	0	0	0	0
NM_021133	198.0	10	28.0	208.0	125.0	26.0	57.0
NM_021141	1815.0	408	1296.0	2223.0	1733.0	129.0	361.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	0	0	0	0	0
NM_015896	4.0	0	4.0	4.0	4.0	0	0
NM_006811	1899.0	109	446.0	2008.0	871.0	148.0	989.0
NM_001320820	404.0	9	191.0	413.0	165.0	13.0	235.0
NM_001348397	60.0	5	75.0	65.0	31.0	4.0	30.0
NM_001355224	7.0	0	32.0	7.0	2.0	5.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	1.0	0	1.0	1.0	1.0	0	0
NM_001127266	268.0	5	52.0	273.0	133.0	36.0	104.0
NM_003294	20.0	3	0	23.0	17.0	3	3.0
NM_001297573	9.0	0	37.0	9.0	2.0	2.0	5.0
NM_018489	1214.0	47	1418.0	1261.0	1075.0	54.0	132.0
NM_024759	70.0	6	140.0	76.0	32.0	13.0	31.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	347.0	39	202.0	386.0	239.0	31.0	116.0
NM_001102420	2439.0	22	919.0	2461.0	171.0	557.0	1733.0
NM_024508	0	0	0	0	0	0	0
NM_007069	4.0	0	2.0	4.0	2.0	2.0	0
NM_016212	0	0	0	0	0	0	0
NM_001113511	112.0	5	734.0	117.0	97.0	0	20.0
NM_145719	13.0	0	1.0	13.0	10.0	2.0	1.0
NM_198517	11.0	2	3.0	13.0	11.0	0	2.0
NM_001318043	36.0	4	17.0	40.0	32.0	6.0	2.0
NM_001038707	328.0	4	50.0	332.0	27.0	48.0	257.0
NM_001037666	17.0	0	5.0	17.0	6.0	4.0	7.0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	584.0	28	96.0	612.0	265.0	22.0	325.0
NM_001353349	0	0	1.0	0	0	0	0
NM_007366	0	0	0	0	0	0	0
NM_002432	20.0	1	8.0	21.0	18.0	2.0	1.0
NM_001289984	100.0	3	63.0	103.0	56.0	6.0	41.0
NM_001017920	0	0	0	0	0	0	0
NM_001012643	16.0	0	14.0	16.0	12.0	1.0	3.0
NM_001164471	0	0	0	0	0	0	0
NM_080656	62.0	0	19.0	62.0	27.0	14.0	21.0
NM_004297	3.0	0	9.0	3.0	3.0	0	0
NM_138434	0	0	0	0	0	0	0
NM_018558	2.0	0	0	2.0	2.0	0	0
NM_031905	137.0	7	150.0	144.0	62.0	59.0	23.0
NM_001331039	210.0	12	22.0	222.0	157.0	40.0	25.0
NM_001243476	2.0	1	68.0	3.0	2.0	0	1.0
NM_001289108	372.0	5	122.0	377.0	118.0	79.0	180.0
NM_032827	0	0	1.0	0	0	0	0
NM_005941	0	0	2.0	0	0	0	0
NM_001025579	897.0	55	1290.0	952.0	412.0	115.0	425.0
NM_002490	502.0	46	64.0	548.0	450.0	0	98.0
NM_030966	0	0	0	0	0	0	0
NM_001145777	130.0	10	596.0	140.0	61.0	44.0	35.0
NM_001017526	0	0	0	0	0	0	0
NM_173806	0	0	1.0	0	0	0	0
NM_182983	0	0	1.0	0	0	0	0
NM_014241	93.0	7	203.0	100.0	92.0	3.0	5.0
NM_001034996	496.0	46	85.0	542.0	463.0	28.0	51.0
NM_001037442	29.0	2	50.0	31.0	15.0	2.0	14.0
NM_001058	1.0	0	2.0	1.0	0	1.0	0
NM_138782	1482.0	184	3152.0	1666.0	893.0	45.0	728.0
NM_006753	95.0	1	10.0	96.0	54.0	5.0	37.0
NM_001354199	129.0	11	472.0	140.0	85.0	14.0	41.0
NM_001135147	745.0	87	1886.0	832.0	630.0	190.0	12.0
NM_001129885	1.0	0	6.0	1.0	1.0	0	0
NM_033070	19.0	0	4.0	19.0	12.0	1.0	6.0
NM_001001959	0	0	0	0	0	0	0
NM_053278	0	0	0	0	0	0	0
NM_002027	169.0	7	423.0	176.0	118.0	10.0	48.0
NM_020547	8.0	0	3.0	8.0	8.0	0	0
NM_172175	9.0	1	147.0	10.0	4.0	4.0	2.0
NM_002199	253.0	25	656.0	278.0	144.0	53.0	81.0
NM_004101	0	0	0	0	0	0	0
NM_001321601	0	0	1.0	0	0	0	0
NM_001347830	0	0	0	0	0	0	0
NM_001322828	40.0	0	73.0	40.0	24.0	10.0	6.0
NM_005171	305.0	29	135.0	334.0	147.0	49.0	138.0
NM_015634	180.0	8	104.0	188.0	152.0	12.0	24.0
NM_032627	152.0	17	72.0	169.0	104.0	41.0	24.0
NM_001278419	0	0	1.0	0	0	0	0
NM_001005496	0	0	0	0	0	0	0
NM_006340	32.0	0	400.0	32.0	13.0	16.0	3.0
NM_001289125	78.0	4	118.0	82.0	56.0	10.0	16.0
NM_006065	1.0	1	1.0	2.0	2.0	0	0
NM_001009812	2.0	0	0	2.0	0	2.0	0
NM_004778	11.0	0	1.0	11.0	5.0	1.0	5.0
NM_006646	0	0	8.0	0	0	0	0
NM_014010	7.0	0	172.0	7.0	5.0	0	2.0
NM_032935	0	0	0	0	0	0	0
NM_001098816	0	0	40.0	0	0	0	0
NM_001099402	249.0	25	330.0	274.0	156.0	35.0	83.0
NM_001126128	4.0	0	3.0	4.0	1.0	0	3.0
NM_001031803	15.0	5	19.0	20.0	18.0	1.0	1.0
NM_013309	0	0	0	0	0	0	0
NM_003988	0	0	1.0	0	0	0	0
NM_003460	0	0	0	0	0	0	0
NM_015939	46.0	6	13.0	52.0	29.0	7.0	16.0
NM_001080505	0	0	0	0	0	0	0
NM_001330513	112.0	1	79.0	113.0	58.0	33.0	22.0
NM_001001413	0	0	0	0	0	0	0
NM_012163	35.0	1	68.0	36.0	20.0	7.0	9.0
NM_016577	1129.0	30	1454.0	1159.0	160.0	44.0	955.0
NM_001080779	170.0	28	13.0	198.0	153.0	1.0	44.0
NM_021211	270.0	0	117.0	270.0	228.0	36.0	6.0
NM_152791	27.0	3	7.0	30.0	16.0	2	12.0
NM_198956	11.0	0	0	11.0	11.0	0	0
NM_004488	1.0	0	0	1.0	1.0	0	0
NM_015950	137.0	11	31.0	148.0	138.0	7.0	3.0
NM_001265589	185.0	0	291.0	185.0	76.0	14.0	95.0
NM_001289088	185.0	6	157.0	191.0	180.0	0	11.0
NM_019078	0	0	0	0	0	0	0
NM_033337	0	0	0	0	0	0	0
NM_003041	1.0	0	2.0	1.0	1.0	0	0
NM_014051	23.0	5	13.0	28.0	11.0	10.0	7.0
NM_001004741	0	0	0	0	0	0	0
NM_032378	1455.0	10	568.0	1465.0	1292.0	66.0	107.0
NM_001005170	0	0	0	0	0	0	0
NM_002305	79.0	12	0	91.0	75.0	14.0	2.0
NM_004356	89.0	13	95.0	102.0	58.0	12.0	32.0
NM_001258283	0	0	0	0	0	0	0
NM_001136112	0	0	0	0	0	0	0
NM_052955	0	0	1.0	0	0	0	0
NM_014895	369.0	54	653.0	423.0	370.0	10.0	43.0
NM_001161425	3.0	0	3.0	3.0	3.0	0	0
NM_181501	1.0	0	14.0	1.0	1.0	0	0
NM_014712	107.0	6	56.0	113.0	89.0	0	24.0
NM_018957	8.0	3	6.0	11.0	8.0	2.0	1.0
NM_001099269	61.0	0	69.0	61.0	36.0	6.0	19.0
NM_006963	145.0	3	6.0	148.0	63.0	22.0	63.0
NM_017696	246.0	12	665.0	258.0	209.0	5.0	44.0
NM_032142	2370.0	288	2331.0	2658.0	2560.0	40.0	58.0
NM_018129	274.0	22	20.0	296.0	150.0	19.0	127.0
NM_015016	364.0	31	225.0	395.0	221.0	0	174.0
NM_003389	10.0	0	6.0	10.0	5.0	0	5.0
NM_000292	276.0	45	247.0	321.0	238.0	33.0	50.0
NM_000745	0	0	1.0	0	0	0	0
NM_000609	0	0	0	0	0	0	0
NM_016027	101.0	13	92.0	114.0	82.0	16.0	16.0
NM_032927	95.0	4	79.0	99.0	24.0	35.0	40.0
NM_144492	0	0	0	0	0	0	0
NM_014912	46.0	3	221.0	49.0	14.0	3.0	32.0
NM_001454	1.0	0	2.0	1.0	1.0	0	0
NM_003146	1020.0	130	42.0	1150.0	926.0	72.0	152.0
NM_032756	13.0	0	0	13.0	12.0	1.0	0
NM_001350065	236.0	15	470.0	251.0	196.0	14.0	41.0
NM_001190158	0	0	0	0	0	0	0
NM_182491	104.0	5	70.0	109.0	49.0	36.0	24.0
NM_002074	785.0	78	521.0	863.0	360.0	133.0	370.0
NM_021123	0	0	0	0	0	0	0
NM_178155	175.0	10	961.0	185.0	106.0	36.0	43.0
NM_199352	0	0	0	0	0	0	0
NM_001005187	0	0	0	0	0	0	0
NM_001282931	11.0	0	16.0	11.0	2.0	2.0	7.0
NM_004048	2285.0	211	390.0	2496.0	973.0	331.0	1192.0
NM_002825	0	0	0	0	0	0	0
NM_013234	396.0	36	85.0	432.0	335.0	91.0	6.0
NM_001935	7.0	0	5.0	7.0	5.0	0	2.0
NM_001282468	0	0	0	0	0	0	0
NM_001172288	0	0	0	0	0	0	0
NM_020844	12.0	0	60.0	12.0	5.0	0	7.0
NM_001282748	268.0	21	916.0	289.0	111.0	126.0	52.0
NM_004824	1130.0	44	4110.0	1174.0	705.0	152.0	317.0
NM_001348223	0	0	0	0	0	0	0
NM_138290	0	0	2.0	0	0	0	0
NM_018004	5.0	1	12.0	6.0	5.0	1.0	0
NM_031490	615.0	62	530.0	677.0	476.0	14.0	187.0
NM_001199860	90.0	8	78.0	98.0	35.0	2.0	61.0
NM_001256134	0	0	0	0	0	0	0
NM_213606	0	0	0	0	0	0	0
NM_003931	169.0	6	530.0	175.0	72.0	57.0	46.0
NM_003857	0	0	0	0	0	0	0
NM_014264	978.0	73	400.0	1051.0	851.0	107.0	93.0
NM_181599	0	0	0	0	0	0	0
NM_018665	13.0	1	8.0	14.0	12.0	0	2.0
NM_004577	50.0	1	22.0	51.0	17.0	24.0	10.0
NM_148842	86.0	23	30.0	109.0	89.0	20.0	0
NM_001288565	274.0	26	120.0	300.0	153.0	21.0	126.0
NM_005092	8.0	0	4.0	8.0	7.0	0	1.0
NM_001007530	0	0	0	0	0	0	0
NM_007128	0	0	0	0	0	0	0
NM_002559	0	0	1.0	0	0	0	0
NM_207123	1687.0	28	5820.0	1715.0	547.0	55.0	1113.0
NM_017780	105.0	11	219.0	116.0	101.0	5.0	10.0
NM_001304958	11.0	0	33.0	11.0	3.0	6.0	2.0
NM_001203	0	0	9.0	0	0	0	0
NM_006495	11.0	0	0	11.0	6.0	2.0	3.0
NM_138433	0	0	0	0	0	0	0
NM_003151	2.0	0	9.0	2.0	2.0	0	0
NM_203374	125.0	2	2.0	127.0	77.0	8.0	42.0
NM_001823	45.0	4	19.0	49.0	40.0	1.0	8.0
NM_001242844	106.0	3	133.0	109.0	65.0	23.0	21.0
NM_014819	1002.0	38	583.0	1040.0	519.0	37.0	484.0
NM_018425	1379.0	63	353.0	1442.0	600.0	25.0	817.0
NM_001190986	1.0	0	2.0	1.0	0	0	1.0
NM_001291535	0	0	0	0	0	0	0
NM_032361	46.0	31	6.0	77.0	74.0	1.0	2.0
NM_201553	0	0	2.0	0	0	0	0
NM_002276	3.0	1	0	4.0	4.0	0	0
NM_001144927	174.0	3	13.0	177.0	50.0	9.0	118.0
NM_014278	115.0	8	60.0	123.0	86.0	9.0	28.0
NM_001184889	504.0	12	214.0	516.0	237.0	135.0	144.0
NM_021005	0	0	0	0	0	0	0
NM_001002036	0	0	2.0	0	0	0	0
NM_002168	3193.0	491	329.0	3684.0	2949.0	302.0	433.0
NM_001098817	57.0	5	135.0	62.0	39.0	7.0	16.0
NM_001288780	0	0	2.0	0	0	0	0
