AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	143.0	23	6.0	166.0	128.0	2.0	6.0
NM_001142964	10.0	0	0	10.0	6.0	0	4.0
NM_015475	480.0	51	0	531.0	458.0	14.0	4.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	446.0	108	7.0	554.0	522.0	5.0	9.0
NM_001195076	16.0	0	0	16.0	15.0	0	1.0
NM_001350073	100.0	13	2.0	113.0	44.0	68.0	0
NM_001005291	2473.0	361	6.0	2834.0	2714.0	32.0	5.0
NM_138803	0	0	0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	180.0	61	3.0	241.0	202.0	12.0	3.0
NM_018210	97.0	21	0	118.0	82.0	32.0	4.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1366.0	80	9.0	1446.0	943.0	469.0	9.0
NM_013369	1.0	0	0	1.0	0	1.0	0
NM_001135642	278.0	33	1.0	311.0	201.0	86.0	18.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	56.0	9	0	65.0	54.0	7.0	0
NM_003772	156.0	0	0	156.0	113.0	30.0	2.0
NM_000682	0	0	0	0	0	0	0
NM_014650	38.0	3	0	41.0	32.0	7.0	1.0
NM_001114086	1.0	0	0	1.0	1.0	0	0
NM_001204375	191.0	15	0	206.0	198.0	2.0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	9	0	9	3	0	0
NM_194460	235.0	25	0	260.0	168.0	6.0	5.0
NM_001031743	2.0	0	0	2.0	1.0	1.0	0
NM_001329941	59.0	0	0	59.0	39.0	0	13.0
NM_002178	13.0	1	2.0	14.0	12.0	1.0	0
NM_001145297	1009.0	154	4.0	1163.0	975.0	17.0	8.0
NM_152559	4.0	2	0	6.0	3.0	2	0
NM_001300901	366.0	0	109.0	366.0	363.0	0	3.0
NM_181708	84.0	0	0	84.0	61.0	0	0
NM_006012	473.0	80	2.0	553.0	528.0	10.0	2.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	261.0	21	24.0	282.0	72.0	107.0	7.0
NM_001136050	137.0	17	0	154.0	100.0	41.0	1.0
NM_000797	0	0	0	0	0	0	0
NM_014975	7.0	4	0	11.0	11.0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	51.0	6	0	57.0	25.0	30.0	2.0
NM_001731	757.0	5	2.0	762.0	501.0	244.0	5.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	179.0	23	5.0	202.0	159.0	43.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	309.0	7	5.0	316.0	265.0	45.0	2.0
NM_001324321	138.0	13	3.0	151.0	151.0	0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	1.0	0	0	1.0	1.0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	632.0	57	1.0	689.0	346.0	279.0	9.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	319.0	30	9.0	349.0	292.0	29.0	0
NM_001330332	14.0	0	0	14.0	8.0	1.0	0
NM_004288	443.0	40	1.0	483.0	360.0	84.0	2.0
NM_001281432	122.0	51	119.0	173.0	104.0	0	1.0
NM_001170569	85.0	4	0	89.0	60.0	29.0	0
NM_014429	1.0	0	1.0	1.0	1.0	0	0
NM_021025	0	0	0	0	0	0	0
NM_031438	118.0	20	0	138.0	125.0	6.0	0
NM_014297	497.0	82	2.0	579.0	456.0	2.0	6.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	288.0	21	0	309.0	268.0	35.0	0
NM_021141	5534.0	1454	9.0	6988.0	6374.0	159.0	154.0
NM_002367	0	0	0	0	0	0	0
NM_030630	1.0	0	0	1.0	1.0	0	0
NM_015896	10.0	1	0	11.0	10.0	0	0
NM_006811	2507.0	417	2.0	2924.0	2496.0	306.0	31.0
NM_001320820	137.0	12	0	149.0	140.0	0	2.0
NM_001348397	768.0	119	48.0	887.0	723.0	29.0	15.0
NM_001355224	5.0	0	0	5.0	1.0	3.0	1.0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	126.0	5	3.0	131.0	86.0	33.0	4.0
NM_003294	1070.0	0	0	1070.0	1062.0	0	8.0
NM_001297573	235.0	24	43.0	259.0	212.0	43.0	2.0
NM_018489	334.0	21	11.0	355.0	306.0	35.0	3.0
NM_024759	79.0	12	3.0	91.0	66.0	5.0	9.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	454.0	111	27.0	565.0	445.0	35.0	53.0
NM_001102420	585.0	33	10.0	618.0	164.0	430.0	16.0
NM_024508	0	0	0	0	0	0	0
NM_007069	9.0	0	0	9.0	8.0	1.0	0
NM_016212	0	0	0	0	0	0	0
NM_001113511	505.0	89	22.0	594.0	561.0	1.0	32.0
NM_145719	15.0	1	0	16.0	10.0	5.0	0
NM_198517	273.0	49	21.0	322.0	305.0	0	2.0
NM_001318043	467.0	77	2.0	544.0	451.0	6.0	7.0
NM_001038707	672.0	84	1.0	756.0	220.0	489.0	14.0
NM_001037666	177.0	22	0	199.0	178.0	6.0	5.0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	944.0	95	1.0	1039.0	931.0	71.0	14.0
NM_001353349	0	0	0	0	0	0	0
NM_007366	5.0	1	0	6.0	6.0	0	0
NM_002432	283.0	21	3.0	304.0	245.0	52.0	4.0
NM_001289984	521.0	28	19.0	549.0	443.0	80.0	3.0
NM_001017920	1.0	0	0	1.0	0	1.0	0
NM_001012643	65.0	0	0	65.0	42.0	6.0	0
NM_001164471	0	0	0	0	0	0	0
NM_080656	75.0	0	0	75.0	46.0	0	0
NM_004297	15.0	1	2.0	16.0	10.0	4.0	0
NM_138434	0	0	0	0	0	0	0
NM_018558	0	0	0	0	0	0	0
NM_031905	118.0	10	4.0	128.0	53.0	68.0	0
NM_001331039	323.0	33	2.0	356.0	286.0	65.0	4.0
NM_001243476	89.0	9	33.0	98.0	97.0	0	1.0
NM_001289108	304.0	1	3.0	305.0	39.0	149.0	26.0
NM_032827	0	0	0	0	0	0	0
NM_005941	0	0	0	0	0	0	0
NM_001025579	305.0	24	3.0	329.0	202.0	75.0	21.0
NM_002490	584.0	52	0	636.0	634.0	0	2.0
NM_030966	0	0	0	0	0	0	0
NM_001145777	776.0	43	100.0	819.0	457.0	242.0	18.0
NM_001017526	0	0	0	0	0	0	0
NM_173806	0	0	0	0	0	0	0
NM_182983	3.0	0	1.0	3.0	3.0	0	0
NM_014241	142.0	26	2.0	168.0	150.0	5.0	1.0
NM_001034996	846.0	88	0	934.0	861.0	42.0	31.0
NM_001037442	46.0	3	4.0	49.0	49.0	0	0
NM_001058	0	0	0	0	0	0	0
NM_138782	156.0	37	13.0	193.0	182.0	0	2.0
NM_006753	454.0	24	0	478.0	397.0	4.0	2.0
NM_001354199	320.0	39	4.0	359.0	303.0	43.0	4.0
NM_001135147	834.0	109	117.0	943.0	718.0	188.0	5.0
NM_001129885	0	0	1.0	0	0	0	0
NM_033070	392.0	43	12.0	435.0	395.0	0	14.0
NM_001001959	0	0	0	0	0	0	0
NM_053278	0	0	0	0	0	0	0
NM_002027	327.0	9	9.0	336.0	299.0	2.0	6.0
NM_020547	46.0	9	7.0	55.0	54.0	0	1.0
NM_172175	0	0	1.0	0	0	0	0
NM_002199	517.0	89	4.0	606.0	489.0	87.0	7.0
NM_004101	70.0	3	0	73.0	58.0	11.0	3.0
NM_001321601	0	0	0	0	0	0	0
NM_001347830	1.0	0	0	1.0	1.0	0	0
NM_001322828	27.0	4	1.0	31.0	13.0	18.0	0
NM_005171	270.0	25	2.0	295.0	186.0	78.0	5.0
NM_015634	327.0	36	2.0	363.0	326.0	1.0	10.0
NM_032627	139.0	16	2.0	155.0	89.0	66.0	0
NM_001278419	0	0	1.0	0	0	0	0
NM_001005496	0	0	0	0	0	0	0
NM_006340	110.0	18	3.0	128.0	107.0	9.0	6.0
NM_001289125	578.0	71	44.0	649.0	448.0	180.0	6.0
NM_006065	35.0	2	3.0	37.0	30.0	1.0	1
NM_001009812	11.0	0	0	11.0	4.0	7.0	0
NM_004778	748.0	25	0	773.0	690.0	52.0	0
NM_006646	56.0	9	12.0	65.0	52.0	12.0	1.0
NM_014010	7.0	0	138.0	7.0	7.0	0	0
NM_032935	0	0	0	0	0	0	0
NM_001098816	0	0	0	0	0	0	0
NM_001099402	480.0	59	3.0	539.0	398.0	117.0	9.0
NM_001126128	7.0	2	0	9.0	6.0	0	0
NM_001031803	177.0	36	4.0	213.0	188.0	12.0	2.0
NM_013309	3.0	0	0	3.0	2.0	1.0	0
NM_003988	0	0	0	0	0	0	0
NM_003460	0	0	0	0	0	0	0
NM_015939	250.0	25	0	275.0	210.0	32.0	5.0
NM_001080505	0	0	0	0	0	0	0
NM_001330513	123.0	1	7.0	124.0	55.0	63.0	3.0
NM_001001413	0	0	0	0	0	0	0
NM_012163	7.0	1	4.0	8.0	0	7.0	0
NM_016577	207.0	63	0	270.0	222.0	32.0	5.0
NM_001080779	243.0	54	4.0	297.0	293.0	0	4.0
NM_021211	196.0	0	1.0	196.0	127.0	69.0	0
NM_152791	48.0	3	0	51.0	46.0	2.0	1.0
NM_198956	0	0	0	0	0	0	0
NM_004488	946.0	5	0	951.0	916.0	2.0	1.0
NM_015950	406.0	35	1.0	441.0	365.0	8.0	8.0
NM_001265589	1050.0	9	2.0	1059.0	781.0	84.0	10.0
NM_001289088	234.0	16	5.0	250.0	229.0	11.0	1.0
NM_019078	0	0	0	0	0	0	0
NM_033337	0	0	0	0	0	0	0
NM_003041	1.0	0	0	1.0	1.0	0	0
NM_014051	182.0	45	0	227.0	91.0	97.0	2.0
NM_001004741	0	0	0	0	0	0	0
NM_032378	872.0	13	39.0	885.0	866.0	9.0	3.0
NM_001005170	0	0	0	0	0	0	0
NM_002305	9480.0	2099	5.0	11579.0	9010.0	609.0	74.0
NM_004356	2856.0	784	1.0	3640.0	3086.0	192.0	152.0
NM_001258283	0	0	0	0	0	0	0
NM_001136112	2.0	0	0	2.0	2.0	0	0
NM_052955	0	0	0	0	0	0	0
NM_014895	107.0	17	1.0	124.0	111.0	9.0	2.0
NM_001161425	11.0	1	0	12.0	4.0	8.0	0
NM_181501	11.0	4	0	15.0	15.0	0	0
