AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	320.0	34	9.0	354.0	224.0	7.0	27.0
NM_001142964	34.0	1	0	35.0	17.0	0	18.0
NM_015475	527.0	44	0	571.0	373.0	67.0	3.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	18.0	0	1.0	18.0	18.0	0	0
NM_032773	479.0	65	2.0	544.0	419.0	6.0	6.0
NM_001195076	99.0	0	4.0	99.0	91.0	0	8.0
NM_001350073	242.0	16	15.0	258.0	66.0	189.0	0
NM_001005291	6158.0	1046	26.0	7204.0	6482.0	206.0	17.0
NM_138803	1.0	0	0	1.0	0	1.0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	249.0	27	27.0	276.0	153.0	54.0	3.0
NM_018210	200.0	21	1.0	221.0	133.0	81.0	5.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1402.0	126	15.0	1528.0	568.0	917.0	15.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	456.0	40	1.0	496.0	173.0	303.0	13.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	1	0	1	0	0	0
NM_002561	20.0	3	0	23.0	12.0	9.0	1.0
NM_003772	226.0	0	0	226.0	95.0	86.0	1.0
NM_000682	0	0	0	0	0	0	0
NM_014650	91.0	4	0	95.0	30.0	61.0	1.0
NM_001114086	1.0	0	2.0	1.0	1.0	0	0
NM_001204375	3.0	1	0	4.0	2.0	1.0	1.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	3.0	57	0	60.0	6	3.0	0
NM_194460	432.0	30	3.0	462.0	190.0	33.0	4.0
NM_001031743	2.0	0	0	2.0	0	2.0	0
NM_001329941	44.0	0	1.0	44.0	25.0	0	11.0
NM_002178	0	0	0	0	0	0	0
NM_001145297	900.0	87	3.0	987.0	673.0	47.0	5.0
NM_152559	19.0	8	1.0	27.0	17.0	3.0	0
NM_001300901	307.0	0	71.0	307.0	307.0	0	0
NM_181708	151.0	0	1.0	151.0	84.0	1.0	1.0
NM_006012	964.0	187	7.0	1151.0	983.0	17.0	4.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	1589.0	87	15.0	1676.0	76.0	644.0	3.0
NM_001136050	196.0	16	0	212.0	85.0	87.0	2.0
NM_000797	0	0	0	0	0	0	0
NM_014975	18.0	1	5.0	19.0	14.0	4.0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	167.0	11	2.0	178.0	57.0	104.0	6.0
NM_001731	771.0	1	2.0	772.0	145.0	587.0	5.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	581.0	44	5.0	625.0	254.0	366.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	719.0	32	47.0	751.0	302.0	432.0	6.0
NM_001324321	102.0	9	3.0	111.0	110.0	1.0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	1392.0	414	0	1806.0	448.0	1273.0	9.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	470.0	29	27.0	499.0	280.0	158.0	0
NM_001330332	925.0	121	137.0	1046.0	582.0	153.0	11.0
NM_004288	58.0	3	0	61.0	25.0	26.0	0
NM_001281432	722.0	27	133.0	749.0	106.0	10.0	2.0
NM_001170569	228.0	1	0	229.0	60.0	167.0	2.0
NM_014429	2.0	0	1.0	2.0	1.0	0	1.0
NM_021025	11.0	1	0	12.0	7.0	3.0	0
NM_031438	270.0	42	1.0	312.0	146.0	118.0	3.0
NM_014297	394.0	17	0	411.0	111.0	9.0	0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	296.0	68	2.0	364.0	138.0	194.0	0
NM_021141	7851.0	2141	12.0	9992.0	6345.0	1120.0	186.0
NM_002367	0	0	0	0	0	0	0
NM_030630	1.0	0	0	1.0	1.0	0	0
NM_015896	5.0	0	0	5.0	1.0	3.0	1.0
NM_006811	3634.0	341	2.0	3975.0	1848.0	1757.0	44.0
NM_001320820	66.0	4	0	70.0	54.0	3.0	3.0
NM_001348397	111.0	13	14.0	124.0	72.0	10.0	1.0
NM_001355224	7.0	0	3.0	7.0	1.0	6.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	274.0	9	12.0	283.0	118.0	99.0	5.0
NM_003294	200.0	1	0	201.0	198.0	1	2.0
NM_001297573	61.0	5	17.0	66.0	28.0	34.0	0
NM_018489	326.0	15	17.0	341.0	243.0	80.0	2.0
NM_024759	146.0	7	3.0	153.0	50.0	18.0	5.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	508.0	67	50.0	575.0	326.0	130.0	36.0
NM_001102420	1111.0	48	12.0	1159.0	131.0	973.0	11.0
NM_024508	0	0	0	0	0	0	0
NM_007069	3.0	1	0	4.0	0	3.0	0
