AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	421.0	16	54.0	437.0	134.0	19.0	284.0
NM_001142964	168.0	0	5.0	168.0	30.0	1.0	137.0
NM_015475	525.0	49	109.0	574.0	301.0	25.0	248.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	2.0	0	1.0	2.0	2.0	0	0
NM_032773	361.0	64	936.0	425.0	404.0	6.0	15.0
NM_001195076	21.0	0	3.0	21.0	15.0	0	6.0
NM_001350073	301.0	30	103.0	331.0	156.0	152.0	23.0
NM_001005291	3591.0	367	703.0	3958.0	3284.0	42.0	632.0
NM_138803	1.0	0	22.0	1.0	1.0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	171.0	14	202.0	185.0	75.0	6.0	104.0
NM_018210	397.0	23	341.0	420.0	174.0	13.0	233.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1308.0	45	1616.0	1353.0	660.0	78.0	615.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	241.0	20	56.0	261.0	116.0	32.0	113.0
NM_001144954	0	0	1.0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	20.0	3	12.0	23.0	12.0	10.0	1.0
NM_003772	183.0	0	0	183.0	109.0	8.0	66.0
NM_000682	0	0	0	0	0	0	0
NM_014650	230.0	3	75.0	233.0	120.0	14.0	99.0
NM_001114086	2.0	0	2.0	2.0	1.0	0	1.0
NM_001204375	10.0	1	11.0	11.0	2.0	0	9.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	4.0	5	0	9.0	5	4.0	0
NM_194460	326.0	32	127.0	358.0	229.0	31.0	98.0
NM_001031743	0	0	9.0	0	0	0	0
NM_001329941	43.0	0	1.0	43.0	19.0	1.0	23.0
NM_002178	2.0	0	0	2.0	1.0	1.0	0
NM_001145297	1111.0	105	248.0	1216.0	673.0	16.0	527.0
NM_152559	10.0	1	12.0	11.0	9.0	1	1.0
NM_001300901	50.0	0	20.0	50.0	30.0	0	20.0
NM_181708	86.0	0	20.0	86.0	61.0	2.0	23.0
NM_006012	415.0	65	15.0	480.0	372.0	20.0	88.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	353.0	34	126.0	387.0	135.0	202.0	50.0
NM_001136050	52.0	14	32.0	66.0	54.0	9.0	3.0
NM_000797	10.0	0	14.0	10.0	10.0	0	0
NM_014975	26.0	2	9.0	28.0	27.0	0	1.0
NM_001270616	1.0	0	1.0	1.0	0	0	1.0
NM_000417	71.0	5	98.0	76.0	29.0	7.0	40.0
NM_001731	343.0	1	11.0	344.0	111.0	29.0	204.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	569.0	58	299.0	627.0	517.0	46.0	64.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	750.0	0	137.0	750.0	427.0	49.0	274.0
NM_001324321	356.0	42	959.0	398.0	391.0	3.0	4.0
NM_005958	0	0	0	0	0	0	0
NM_002700	1.0	0	0	1.0	1.0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	878.0	38	364.0	916.0	290.0	278.0	348.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	492.0	46	277.0	538.0	500.0	26.0	12.0
NM_001330332	157.0	12	77.0	169.0	124.0	24.0	21.0
NM_004288	79.0	6	108.0	85.0	51.0	5.0	29.0
NM_001281432	70.0	18	259.0	88.0	73.0	8.0	7.0
NM_001170569	186.0	1	76.0	187.0	33.0	12.0	142.0
NM_014429	5.0	0	20.0	5.0	4.0	0	1.0
NM_021025	6.0	0	0	6.0	3.0	1.0	2.0
NM_031438	303.0	15	71.0	318.0	165.0	16.0	137.0
NM_014297	119.0	19	61.0	138.0	115.0	11.0	12.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	306.0	11	36.0	317.0	181.0	24.0	112.0
NM_021141	5076.0	1107	3806.0	6183.0	4827.0	259.0	1097.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	0	0	0	0	0
NM_015896	4.0	1	0	5.0	3.0	0	2.0
NM_006811	1817.0	111	439.0	1928.0	836.0	109.0	983.0
NM_001320820	195.0	6	153.0	201.0	69.0	11.0	121.0
NM_001348397	133.0	17	368.0	150.0	97.0	5.0	48.0
NM_001355224	17.0	0	89.0	17.0	5.0	12.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	1.0	0	1.0	1.0	0	1.0	0
NM_001127266	425.0	8	88.0	433.0	223.0	37.0	173.0
NM_003294	117.0	8	0	125.0	97.0	8	20.0
NM_001297573	106.0	3	470.0	109.0	59.0	10.0	40.0
NM_018489	1656.0	46	2776.0	1702.0	1444.0	62.0	196.0
NM_024759	200.0	8	379.0	208.0	65.0	22.0	121.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	246.0	29	149.0	275.0	177.0	19.0	79.0
NM_001102420	782.0	5	293.0	787.0	65.0	127.0	595.0
NM_024508	0	0	0	0	0	0	0
NM_007069	2.0	0	1.0	2.0	1.0	1.0	0
NM_016212	0	0	0	0	0	0	0
NM_001113511	343.0	50	1952.0	393.0	336.0	3.0	54.0
NM_145719	14.0	0	1.0	14.0	14.0	0	0
NM_198517	106.0	13	15.0	119.0	91.0	3.0	25.0
NM_001318043	197.0	31	173.0	228.0	177.0	30.0	21.0
NM_001038707	894.0	14	123.0	908.0	76.0	105.0	727.0
NM_001037666	32.0	5	1.0	37.0	28.0	2.0	7.0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	1902.0	73	307.0	1975.0	783.0	65.0	1127.0
NM_001353349	0	0	0	0	0	0	0
NM_007366	0	0	1.0	0	0	0	0
NM_002432	39.0	1	27.0	40.0	30.0	7.0	3.0
NM_001289984	539.0	33	316.0	572.0	322.0	24.0	226.0
NM_001017920	0	0	0	0	0	0	0
NM_001012643	52.0	2	26.0	54.0	31.0	1.0	22.0
NM_001164471	0	0	0	0	0	0	0
NM_080656	160.0	0	60.0	160.0	65.0	22.0	73.0
NM_004297	4.0	0	35.0	4.0	3.0	0	1.0
NM_138434	0	0	0	0	0	0	0
NM_018558	0	0	0	0	0	0	0
NM_031905	279.0	22	455.0	301.0	157.0	96.0	48.0
NM_001331039	782.0	67	58.0	849.0	623.0	97.0	129.0
NM_001243476	58.0	2	442.0	60.0	36.0	1.0	23.0
NM_001289108	596.0	7	194.0	603.0	187.0	97.0	319.0
NM_032827	4.0	0	0	4.0	2.0	1.0	1.0
NM_005941	0	0	1.0	0	0	0	0
NM_001025579	363.0	31	601.0	394.0	188.0	27.0	179.0
NM_002490	631.0	54	42.0	685.0	543.0	0	142.0
NM_030966	0	0	0	0	0	0	0
NM_001145777	2286.0	187	9560.0	2473.0	1408.0	222.0	843.0
NM_001017526	0	0	0	0	0	0	0
NM_173806	0	0	0	0	0	0	0
NM_182983	0	0	3.0	0	0	0	0
NM_014241	90.0	7	224.0	97.0	75.0	8.0	14.0
NM_001034996	978.0	103	188.0	1081.0	928.0	46.0	107.0
NM_001037442	136.0	8	365.0	144.0	80.0	5.0	59.0
NM_001058	0	0	0	0	0	0	0
NM_138782	579.0	94	1420.0	673.0	399.0	6.0	268.0
NM_006753	657.0	26	49.0	683.0	359.0	23.0	301.0
NM_001354199	744.0	96	1683.0	840.0	558.0	78.0	204.0
NM_001135147	1837.0	202	5585.0	2039.0	1594.0	392.0	53.0
NM_001129885	1.0	0	6.0	1.0	1.0	0	0
NM_033070	168.0	13	63.0	181.0	126.0	2.0	53.0
NM_001001959	0	0	0	0	0	0	0
NM_053278	0	0	0	0	0	0	0
NM_002027	462.0	12	844.0	474.0	287.0	31.0	156.0
NM_020547	53.0	4	33.0	57.0	52.0	0	5.0
NM_172175	30.0	1	271.0	31.0	9.0	15.0	7.0
NM_002199	318.0	39	741.0	357.0	203.0	42.0	112.0
NM_004101	8.0	0	1.0	8.0	2.0	1.0	5.0
NM_001321601	0	0	1.0	0	0	0	0
NM_001347830	1.0	0	4.0	1.0	1.0	0	0
NM_001322828	94.0	3	161.0	97.0	56.0	20.0	21.0
NM_005171	537.0	52	434.0	589.0	289.0	48.0	252.0
NM_015634	286.0	14	151.0	300.0	258.0	7.0	35.0
NM_032627	367.0	32	224.0	399.0	225.0	92.0	82.0
NM_001278419	0	0	2.0	0	0	0	0
NM_001005496	0	0	0	0	0	0	0
NM_006340	38.0	7	103.0	45.0	34.0	2.0	9.0
NM_001289125	412.0	37	722.0	449.0	327.0	37.0	85.0
NM_006065	4.0	0	8.0	4.0	1.0	0	3.0
NM_001009812	2.0	0	1.0	2.0	0	2.0	0
NM_004778	139.0	3	2.0	142.0	49.0	7.0	86.0
NM_006646	43.0	3	89.0	46.0	12.0	1.0	33.0
NM_014010	48.0	6	733.0	54.0	42.0	0	12.0
NM_032935	0	0	0	0	0	0	0
NM_001098816	0	0	12.0	0	0	0	0
NM_001099402	667.0	87	459.0	754.0	424.0	75.0	255.0
NM_001126128	3.0	0	5.0	3.0	0	1.0	2.0
NM_001031803	113.0	17	86.0	130.0	119.0	5.0	6.0
NM_013309	2.0	0	6.0	2.0	1.0	0	1.0
NM_003988	0	0	0	0	0	0	0
NM_003460	0	0	1.0	0	0	0	0
NM_015939	325.0	19	101.0	344.0	240.0	16.0	88.0
NM_001080505	1.0	0	0	1.0	1.0	0	0
NM_001330513	449.0	12	590.0	461.0	254.0	98.0	109.0
NM_001001413	0	0	0	0	0	0	0
NM_012163	18.0	1	40.0	19.0	8.0	6.0	5.0
NM_016577	755.0	39	1412.0	794.0	153.0	13.0	628.0
NM_001080779	286.0	59	32.0	345.0	278.0	0	67.0
NM_021211	485.0	0	159.0	485.0	418.0	63.0	4.0
NM_152791	97.0	0	24.0	97.0	61.0	3.0	33.0
NM_198956	12.0	0	0	12.0	12.0	0	0
NM_004488	15.0	0	1.0	15.0	3.0	0	12.0
NM_015950	307.0	18	32.0	325.0	304.0	15.0	6.0
NM_001265589	545.0	1	697.0	546.0	226.0	25.0	295.0
NM_001289088	461.0	22	329.0	483.0	423.0	12.0	48.0
NM_019078	2.0	0	0	2.0	2.0	0	0
NM_033337	0	0	0	0	0	0	0
NM_003041	0	0	0	0	0	0	0
NM_014051	93.0	8	47.0	101.0	38.0	30.0	33.0
NM_001004741	0	0	0	0	0	0	0
NM_032378	1446.0	18	901.0	1464.0	1317.0	50.0	97.0
NM_001005170	0	0	0	0	0	0	0
NM_002305	374.0	72	11.0	446.0	350.0	84.0	12.0
NM_004356	618.0	102	77.0	720.0	470.0	23.0	227.0
NM_001258283	0	0	0	0	0	0	0
NM_001136112	0	0	0	0	0	0	0
NM_052955	0	0	0	0	0	0	0
NM_014895	339.0	45	647.0	384.0	349.0	10.0	25.0
NM_001161425	19.0	0	11.0	19.0	11.0	8.0	0
NM_181501	1.0	0	38.0	1.0	1.0	0	0
NM_014712	634.0	52	149.0	686.0	589.0	19.0	78.0
NM_018957	100.0	20	30.0	120.0	98.0	9.0	13.0
NM_001099269	138.0	0	184.0	138.0	58.0	26.0	54.0
NM_006963	260.0	4	11.0	264.0	102.0	24.0	138.0
NM_017696	461.0	30	1266.0	491.0	401.0	2.0	88.0
NM_032142	2275.0	253	3130.0	2528.0	2431.0	36.0	61.0
NM_018129	967.0	79	44.0	1046.0	483.0	41.0	522.0
NM_015016	224.0	36	115.0	260.0	177.0	0	83.0
NM_003389	49.0	7	33.0	56.0	30.0	0	26.0
NM_000292	684.0	112	637.0	796.0	605.0	50.0	141.0
NM_000745	51.0	2	65.0	53.0	36.0	9.0	8.0
NM_000609	0	0	1.0	0	0	0	0
NM_016027	164.0	12	142.0	176.0	123.0	17.0	36.0
NM_032927	162.0	15	144.0	177.0	51.0	47.0	79.0
NM_144492	0	0	0	0	0	0	0
NM_014912	109.0	3	678.0	112.0	51.0	4.0	57.0
NM_001454	1.0	0	1.0	1.0	0	1.0	0
NM_003146	2771.0	326	94.0	3097.0	2505.0	158.0	434.0
NM_032756	309.0	0	0	309.0	208.0	52.0	49.0
NM_001350065	855.0	59	1863.0	914.0	749.0	23.0	142.0
NM_001190158	0	0	0	0	0	0	0
NM_182491	79.0	12	43.0	91.0	50.0	30.0	11.0
NM_002074	1949.0	182	1722.0	2131.0	854.0	211.0	1066.0
NM_021123	0	0	0	0	0	0	0
NM_178155	679.0	39	4157.0	718.0	437.0	101.0	180.0
NM_199352	0	0	0	0	0	0	0
NM_001005187	0	0	0	0	0	0	0
NM_001282931	141.0	1	68.0	142.0	13.0	23.0	106.0
NM_004048	3095.0	279	130.0	3374.0	1346.0	368.0	1660.0
NM_002825	0	0	0	0	0	0	0
NM_013234	875.0	126	305.0	1001.0	797.0	183.0	21.0
NM_001935	24.0	8	13.0	32.0	23.0	2.0	7.0
NM_001282468	0	0	0	0	0	0	0
NM_001172288	0	0	0	0	0	0	0
NM_020844	6.0	0	41.0	6.0	2.0	1.0	3.0
NM_001282748	198.0	28	949.0	226.0	119.0	51.0	56.0
NM_004824	1007.0	45	5351.0	1052.0	650.0	87.0	315.0
NM_001348223	0	0	0	0	0	0	0
NM_138290	2.0	0	12.0	2.0	1.0	0	1.0
NM_018004	33.0	5	54.0	38.0	19.0	7.0	12.0
NM_031490	1225.0	113	1368.0	1338.0	944.0	32.0	362.0
NM_001199860	479.0	41	541.0	520.0	164.0	13.0	343.0
NM_001256134	0	0	0	0	0	0	0
NM_213606	0	0	1.0	0	0	0	0
NM_003931	336.0	19	644.0	355.0	222.0	66.0	67.0
NM_003857	0	0	0	0	0	0	0
NM_014264	964.0	70	278.0	1034.0	876.0	52.0	106.0
NM_181599	0	0	0	0	0	0	0
NM_018665	10.0	0	9.0	10.0	10.0	0	0
NM_004577	153.0	11	127.0	164.0	76.0	57.0	31.0
NM_148842	278.0	93	78.0	371.0	331.0	40.0	0
NM_001288565	277.0	17	91.0	294.0	146.0	19.0	129.0
NM_005092	0	0	1.0	0	0	0	0
NM_001007530	0	0	0	0	0	0	0
NM_007128	0	0	0	0	0	0	0
NM_002559	0	0	2.0	0	0	0	0
NM_207123	1475.0	31	5441.0	1506.0	481.0	41.0	984.0
NM_017780	888.0	66	1631.0	954.0	822.0	43.0	89.0
NM_001304958	34.0	2	225.0	36.0	23.0	6.0	7.0
NM_001203	0	0	5.0	0	0	0	0
NM_006495	83.0	1	13.0	84.0	55.0	10.0	19.0
NM_138433	1.0	0	0	1.0	1.0	0	0
NM_003151	31.0	8	194.0	39.0	35.0	1.0	3.0
NM_203374	94.0	1	2.0	95.0	61.0	1.0	33.0
NM_001823	94.0	8	16.0	102.0	81.0	1.0	20.0
NM_001242844	143.0	1	210.0	144.0	83.0	24.0	37.0
NM_014819	1587.0	70	841.0	1657.0	837.0	47.0	773.0
NM_018425	918.0	37	294.0	955.0	366.0	13.0	576.0
NM_001190986	3.0	0	2.0	3.0	1.0	0	2.0
NM_001291535	0	0	0	0	0	0	0
NM_032361	138.0	99	28.0	237.0	215.0	1.0	21.0
NM_201553	2.0	0	0	2.0	1.0	0	1.0
NM_002276	4.0	1	0	5.0	4.0	0	1.0
NM_001144927	274.0	4	25.0	278.0	61.0	6.0	211.0
NM_014278	579.0	89	308.0	668.0	495.0	49.0	124.0
NM_001184889	997.0	25	421.0	1022.0	490.0	230.0	302.0
NM_021005	0	0	0	0	0	0	0
NM_001002036	1.0	0	6.0	1.0	1.0	0	0
NM_002168	2407.0	360	221.0	2767.0	2282.0	139.0	346.0
NM_001098817	106.0	12	390.0	118.0	90.0	3.0	25.0
NM_001288780	0	0	0	0	0	0	0
NM_001258329	1.0	0	20.0	1.0	1.0	0	0
NM_001142883	0	0	0	0	0	0	0
NM_000593	184.0	15	5.0	199.0	170.0	1.0	28.0
NM_001198784	9.0	1	3.0	10.0	4.0	2.0	4.0
NM_002147	2.0	0	0	2.0	0	0	2.0
NM_182492	118.0	12	31.0	130.0	63.0	44.0	23.0
NM_001005183	0	0	0	0	0	0	0
NM_174983	437.0	57	79.0	494.0	362.0	39.0	93.0
NM_052959	0	0	0	0	0	0	0
NM_003320	0	0	1.0	0	0	0	0
NM_144607	182.0	4	17.0	186.0	48.0	8.0	130.0
NM_000883	186.0	1	72.0	187.0	136.0	3.0	48.0
NM_001004725	0	0	0	0	0	0	0
NM_001319086	657.0	139	1325.0	796.0	750.0	26.0	20.0
NM_003462	0	0	1.0	0	0	0	0
NM_001329964	4.0	0	0	4.0	0	1.0	3.0
NM_001214909	165.0	1	10.0	166.0	126.0	11.0	29.0
NM_001080493	73.0	2	49.0	75.0	56.0	8.0	11.0
NM_001204268	0	0	0	0	0	0	0
NM_002739	1.0	0	0	1.0	1.0	0	0
NM_021156	1074.0	54	363.0	1128.0	289.0	52.0	787.0
NM_032656	1006.0	128	350.0	1134.0	854.0	36.0	244.0
NM_001289933	0	0	0	0	0	0	0
NM_016231	492.0	29	3762.0	521.0	310.0	33.0	178.0
NM_014518	112.0	6	73.0	118.0	72.0	22.0	24.0
NM_001352289	588.0	89	83.0	677.0	359.0	164.0	154.0
NM_144644	2.0	1	2.0	3.0	3.0	0	0
NM_030934	452.0	49	251.0	501.0	360.0	34.0	107.0
NM_006042	0	0	2.0	0	0	0	0
NM_001100878	32.0	3	1.0	35.0	19.0	0	16.0
NM_001198844	221.0	5	601.0	226.0	11.0	5	210.0
NM_005194	638.0	0	0	638.0	384.0	85.0	169.0
NM_001351100	968.0	127	78.0	1095.0	1018.0	65.0	12.0
NM_080746	6.0	0	0	6.0	6.0	0	0
NM_001316335	13.0	1	0	14.0	1	1.0	12.0
NM_001294335	0	0	3.0	0	0	0	0
NM_032899	99.0	0	59.0	99.0	34.0	7.0	58.0
NM_001135789	0	0	0	0	0	0	0
NM_005626	782.0	29	2447.0	811.0	477.0	29.0	305.0
NM_030821	461.0	1	295.0	462.0	84.0	92.0	286.0
NM_001013736	0	0	0	0	0	0	0
NM_015205	1018.0	74	2271.0	1092.0	464.0	16.0	612.0
NM_020823	973.0	80	2234.0	1053.0	362.0	0	691.0
NM_194283	632.0	47	319.0	679.0	395.0	49.0	235.0
NM_019098	0	0	49.0	0	0	0	0
NM_003530	8287.0	1	379.0	8288.0	7296.0	680.0	312.0
NM_001290062	3.0	0	0	3.0	2.0	0	1.0
NM_006045	22.0	0	22.0	22.0	7.0	0	15.0
NM_003802	2.0	0	1.0	2.0	2.0	0	0
NM_014646	1495.0	93	1307.0	1588.0	727.0	17.0	844.0
NM_012459	245.0	0	35.0	245.0	157.0	2.0	86.0
NM_000137	678.0	190	465.0	868.0	757.0	30.0	81.0
NM_152531	339.0	11	1369.0	350.0	194.0	19.0	137.0
NM_006401	825.0	11	1751.0	836.0	340.0	50.0	446.0
NM_001352769	0	0	23.0	0	0	0	0
NM_003914	96.0	11	27.0	107.0	89.0	10.0	8.0
NM_001195014	44.0	2	33.0	46.0	13.0	12.0	21.0
NM_001102651	67.0	1	51.0	68.0	49.0	5.0	14.0
NM_001145369	0	0	1.0	0	0	0	0
NM_052972	35.0	1	3.0	36.0	25.0	0	11.0
NM_018135	525.0	26	250.0	551.0	263.0	17.0	271.0
NM_001253790	0	0	0	0	0	0	0
NM_001034077	0	0	0	0	0	0	0
NM_025225	1.0	0	3.0	1.0	1.0	0	0
NM_152259	1057.0	77	463.0	1134.0	951.0	0	183.0
NM_012279	358.0	13	651.0	371.0	167.0	12.0	192.0
NM_024114	0	0	0	0	0	0	0
NM_025265	280.0	13	1206.0	293.0	218.0	10.0	65.0
NM_024814	1431.0	58	496.0	1489.0	545.0	78.0	866.0
NM_012384	495.0	22	204.0	517.0	191.0	12.0	314.0
NM_002153	0	0	0	0	0	0	0
NM_001040451	570.0	100	483.0	670.0	534.0	16.0	120.0
NM_024913	271.0	35	1208.0	306.0	225.0	19.0	62.0
NM_003278	6.0	0	5.0	6.0	6.0	0	0
NM_001267598	76.0	14	443.0	90.0	73.0	14.0	3.0
NM_014801	12.0	1	91.0	13.0	13.0	0	0
NM_006272	16.0	0	4.0	16.0	8.0	1.0	7.0
NM_014462	431.0	31	176.0	462.0	185.0	126.0	151.0
NM_005310	0	0	0	0	0	0	0
NM_004779	734.0	36	345.0	770.0	345.0	76.0	349.0
NM_001669	62.0	0	8.0	62.0	31.0	3.0	28.0
NM_001349660	643.0	45	2707.0	688.0	382.0	227.0	79.0
NM_001199479	162.0	4	198.0	166.0	135.0	12.0	19.0
NM_007344	433.0	23	268.0	456.0	426.0	3.0	27.0
NM_020124	0	0	0	0	0	0	0
NM_007102	0	0	0	0	0	0	0
NM_000397	305.0	22	238.0	327.0	157.0	7.0	163.0
NM_001005177	0	0	0	0	0	0	0
NM_001194	6.0	0	4.0	6.0	6.0	0	0
NM_002835	416.0	43	973.0	459.0	332.0	4.0	123.0
NM_024589	219.0	46	35.0	265.0	156.0	33.0	76.0
NM_001135691	0	0	0	0	0	0	0
NM_001257096	0	0	0	0	0	0	0
NM_170711	1801.0	286	1218.0	2087.0	1255.0	115.0	717.0
NM_003169	899.0	186	137.0	1085.0	1008.0	22.0	55.0
NM_199286	0	0	0	0	0	0	0
NM_182643	660.0	25	650.0	685.0	438.0	0	247.0
NM_020309	0	0	0	0	0	0	0
NM_001293172	0	0	0	0	0	0	0
NM_000453	0	0	1.0	0	0	0	0
NM_153213	51.0	8	20.0	59.0	45.0	0	14.0
NM_001010980	0	0	0	0	0	0	0
NM_001321685	202.0	7	96.0	209.0	131.0	15.0	63.0
NM_018348	683.0	2	107.0	685.0	394.0	67.0	224.0
NM_014606	359.0	43	733.0	402.0	291.0	38.0	73.0
NM_001256819	0	0	2.0	0	0	0	0
NM_000118	1965.0	240	494.0	2205.0	1443.0	117.0	645.0
NM_001330989	374.0	8	2231.0	382.0	85.0	36.0	261.0
NM_001277093	90.0	4	160.0	94.0	34.0	13.0	47.0
NM_001319050	809.0	31	103.0	840.0	693.0	67.0	80.0
NM_024548	552.0	14	150.0	566.0	321.0	12.0	233.0
NM_000667	0	0	0	0	0	0	0
NM_001281293	922.0	3	6.0	925.0	559.0	17.0	349.0
NM_001330348	62.0	4	163.0	66.0	56.0	6.0	4.0
NM_057090	2.0	0	1.0	2.0	0	0	2.0
NM_024616	6.0	0	5.0	6.0	1.0	0	5.0
NM_001085377	1.0	0	5.0	1.0	0	0	1.0
NM_004058	26.0	2	0	28.0	17.0	7.0	4.0
NM_198949	325.0	22	54.0	347.0	256.0	16.0	75.0
NM_152621	25.0	1	4.0	26.0	10.0	1.0	15.0
NM_001014980	6.0	1	3.0	7.0	6.0	1.0	0
NM_002242	0	0	0	0	0	0	0
NM_152336	0	0	10.0	0	0	0	0
NM_001258446	308.0	60	136.0	368.0	347.0	15.0	6.0
NM_001319193	317.0	55	97.0	372.0	318.0	3.0	51.0
NM_022373	332.0	19	467.0	351.0	204.0	69.0	78.0
NM_173565	0	0	0	0	0	0	0
NM_001346116	144.0	17	4.0	161.0	109.0	7.0	45.0
NM_000395	1498.0	131	197.0	1629.0	997.0	111.0	521.0
NM_005421	1.0	0	0	1.0	1.0	0	0
NM_001286072	670.0	74	188.0	744.0	650.0	64.0	30.0
NM_033512	41.0	0	0	41.0	13.0	0	28.0
NM_015063	0	0	2.0	0	0	0	0
NM_001143987	0	0	1.0	0	0	0	0
NM_013304	5.0	0	8.0	5.0	4.0	1.0	0
NM_000867	0	0	0	0	0	0	0
NM_003400	5805.0	823	3486.0	6628.0	5049.0	669.0	910.0
NM_001197	26.0	2	30.0	28.0	12.0	1.0	15.0
NM_001322015	195.0	78	129.0	273.0	224.0	42.0	7.0
NM_001351356	1147.0	246	435.0	1393.0	1261.0	19.0	113.0
NM_020660	0	0	0	0	0	0	0
NM_001286470	608.0	68	1458.0	676.0	496.0	78.0	102.0
NM_001316722	1.0	0	4.0	1.0	0	0	1.0
NM_014239	367.0	44	67.0	411.0	285.0	21.0	105.0
NM_001321023	0	0	0	0	0	0	0
NM_001161429	0	0	1.0	0	0	0	0
NM_174976	0	0	0	0	0	0	0
NM_001039111	3.0	0	8.0	3.0	1.0	0	2.0
NM_147164	0	0	1.0	0	0	0	0
NM_001198819	1.0	0	0	1.0	0	0	1.0
NM_001015	5498.0	65	1028.0	5563.0	5203.0	263.0	97.0
NM_000505	1.0	0	1.0	1.0	1.0	0	0
NM_001286748	1222.0	107	1857.0	1329.0	704.0	37.0	588.0
NM_207444	0	0	0	0	0	0	0
NM_001293171	0	0	0	0	0	0	0
NM_001085480	0	0	0	0	0	0	0
NM_002253	1.0	0	1.0	1.0	1.0	0	0
NM_133468	0	0	5.0	0	0	0	0
NM_006858	257.0	12	5.0	269.0	152.0	23.0	94.0
NM_001352130	5.0	0	5.0	5.0	3.0	0	2.0
NM_002947	522.0	20	55.0	542.0	347.0	109.0	86.0
NM_003105	317.0	39	163.0	356.0	223.0	2.0	131.0
NM_005581	3.0	0	1.0	3.0	3.0	0	0
NM_016256	310.0	25	30.0	335.0	256.0	5.0	74.0
NM_144980	0	0	2.0	0	0	0	0
NM_001287140	134.0	4	112.0	138.0	32.0	0	106.0
NM_001030007	1780.0	175	1430.0	1955.0	1027.0	53.0	875.0
