AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	62.0	10	2.0	72.0	68.0	0	4.0
NM_001142964	2.0	1	0	3.0	3.0	0	0
NM_015475	82.0	11	0	93.0	89.0	4.0	0
NM_001277304	0	0	0	0	0	0	0
NM_178160	1.0	0	0	1.0	1.0	0	0
NM_032773	133.0	27	0	160.0	158.0	0	2.0
NM_001195076	23.0	0	0	23.0	20.0	0	3.0
NM_001350073	41.0	8	0	49.0	18.0	31.0	0
NM_001005291	1800.0	262	0	2062.0	2003.0	54.0	5.0
NM_138803	1.0	0	0	1.0	0	1.0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	197.0	64	8.0	261.0	240.0	19.0	2.0
NM_018210	81.0	9	3.0	90.0	66.0	22.0	2.0
NM_015038	0	0	0	0	0	0	0
NM_004537	564.0	55	3.0	619.0	424.0	189.0	6.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	658.0	76	0	734.0	457.0	246.0	31.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	0	0	0	0	0	0	0
NM_003772	83.0	0	0	83.0	62.0	20.0	1.0
NM_000682	0	0	0	0	0	0	0
NM_014650	20.0	1	0	21.0	15.0	6.0	0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	0	0	0	0	0	0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	3	0	3	3	0	0
NM_194460	183.0	25	4.0	208.0	197.0	5.0	6.0
NM_001031743	0	0	0	0	0	0	0
NM_001329941	15.0	0	0	15.0	14.0	0	1.0
NM_002178	0	0	0	0	0	0	0
NM_001145297	456.0	71	0	527.0	520.0	3.0	4.0
NM_152559	14.0	1	0	15.0	12.0	1.0	2.0
NM_001300901	9.0	0	4.0	9.0	9.0	0	0
NM_181708	32.0	0	0	32.0	31.0	1.0	0
NM_006012	305.0	64	1.0	369.0	365.0	2.0	2.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	205.0	9	21.0	214.0	134.0	78.0	2.0
NM_001136050	78.0	13	0	91.0	78.0	13.0	0
NM_000797	0	0	0	0	0	0	0
NM_014975	7.0	0	0	7.0	7.0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	1.0	0	0	1.0	1.0	0	0
NM_001731	333.0	1	3.0	334.0	164.0	166.0	4.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	101.0	10	1.0	111.0	69.0	42.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	94.0	2	2.0	96.0	71.0	25.0	0
NM_001324321	48.0	5	0	53.0	53.0	0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	470.0	34	0	504.0	292.0	205.0	7.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	166.0	8	4.0	174.0	148.0	26.0	0
NM_001330332	68.0	9	15.0	77.0	71.0	6.0	0
NM_004288	18.0	4	1.0	22.0	16.0	5.0	1.0
NM_001281432	113.0	25	78.0	138.0	133.0	2.0	3.0
NM_001170569	59.0	1	0	60.0	34.0	26.0	0
NM_014429	1.0	0	2.0	1.0	1.0	0	0
NM_021025	63.0	0	0	63.0	60.0	3.0	0
NM_031438	68.0	10	0	78.0	72.0	5.0	1.0
NM_014297	45.0	7	1.0	52.0	48.0	1.0	3.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	128.0	15	0	143.0	105.0	36.0	2.0
NM_021141	2275.0	578	2.0	2853.0	2727.0	74.0	52.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	0	0	0	0	0
NM_015896	4.0	1	0	5.0	5.0	0	0
NM_006811	2820.0	423	0	3243.0	2701.0	475.0	67.0
NM_001320820	352.0	20	0	372.0	363.0	1.0	8.0
NM_001348397	28.0	10	0	38.0	36.0	1.0	1.0
NM_001355224	1.0	0	2.0	1.0	0	1.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	61.0	3	2.0	64.0	42.0	19.0	3.0
NM_003294	85.0	0	0	85.0	85.0	0	0
NM_001297573	6.0	3	1.0	9.0	5.0	4.0	0
NM_018489	199.0	13	1.0	212.0	184.0	27.0	1.0
NM_024759	37.0	2	3.0	39.0	30.0	7.0	2.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	468.0	102	11.0	570.0	474.0	47.0	49.0
NM_001102420	1687.0	69	1.0	1756.0	442.0	1294.0	20.0
NM_024508	0	0	0	0	0	0	0
NM_007069	0	0	0	0	0	0	0
