AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	160.0	16	7.0	176.0	109.0	4.0	19.0
NM_001142964	8.0	0	0	8.0	4.0	0	4.0
NM_015475	932.0	83	0	1015.0	862.0	41.0	5.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	6.0	0	0	6.0	6.0	0	0
NM_032773	349.0	101	1.0	450.0	413.0	1.0	8.0
NM_001195076	52.0	0	0	52.0	44.0	0	8.0
NM_001350073	189.0	25	8.0	214.0	89.0	118.0	2.0
NM_001005291	4381.0	825	12.0	5206.0	5032.0	60.0	15.0
NM_138803	0	0	1.0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	126.0	21	10.0	147.0	112.0	12.0	0
NM_018210	122.0	18	2.0	140.0	91.0	45.0	4.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1138.0	89	12.0	1227.0	763.0	434.0	13.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	249.0	25	0	274.0	165.0	99.0	9.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	14.0	4	0	18.0	13.0	5.0	0
NM_003772	116.0	0	0	116.0	77.0	28.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	53.0	2	0	55.0	38.0	13.0	2.0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	5.0	2	0	7.0	7.0	0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	3.0	23	0	26.0	4	3.0	0
NM_194460	469.0	52	4.0	521.0	303.0	7.0	6.0
NM_001031743	3.0	1	1.0	4.0	1.0	2.0	0
NM_001329941	34.0	0	0	34.0	21.0	0	9.0
NM_002178	0	0	0	0	0	0	0
NM_001145297	662.0	102	0	764.0	649.0	6.0	9.0
NM_152559	6.0	2	0	8.0	6.0	1	0
NM_001300901	135.0	0	48.0	135.0	134.0	0	1.0
NM_181708	78.0	0	0	78.0	50.0	0	0
NM_006012	806.0	167	3.0	973.0	939.0	12.0	0
NM_006794	0	0	0	0	0	0	0
NM_001206427	802.0	49	50.0	851.0	180.0	358.0	7.0
NM_001136050	75.0	10	0	85.0	57.0	27.0	0
NM_000797	0	0	1.0	0	0	0	0
NM_014975	18.0	0	1.0	18.0	18.0	0	0
NM_001270616	0	0	1.0	0	0	0	0
NM_000417	59.0	6	1.0	65.0	29.0	29.0	1.0
NM_001731	216.0	0	0	216.0	126.0	87.0	1.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	316.0	33	4.0	349.0	264.0	83.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	283.0	18	10.0	301.0	224.0	74.0	1.0
NM_001324321	136.0	25	0	161.0	160.0	0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	893.0	93	0	986.0	512.0	413.0	11.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	377.0	31	17.0	408.0	345.0	46.0	2.0
NM_001330332	237.0	27	50.0	264.0	195.0	35.0	5.0
NM_004288	87.0	8	1.0	95.0	69.0	14.0	0
NM_001281432	186.0	49	182.0	235.0	111.0	1.0	5.0
NM_001170569	146.0	5	0	151.0	105.0	44.0	2.0
NM_014429	3.0	0	0	3.0	3.0	0	0
NM_021025	3.0	0	0	3.0	3.0	0	0
