AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	198.0	11	4.0	209.0	195.0	0	14.0
NM_001142964	17.0	2	1.0	19.0	13.0	0	6.0
NM_015475	314.0	21	0	335.0	312.0	22.0	1.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	9.0	0	0	9.0	9.0	0	0
NM_032773	200.0	57	2.0	257.0	253.0	2.0	2.0
NM_001195076	35.0	0	1.0	35.0	32.0	0	3.0
NM_001350073	85.0	15	4.0	100.0	47.0	53.0	0
NM_001005291	3649.0	516	14.0	4165.0	4073.0	77.0	15.0
NM_138803	0	0	0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	116.0	32	5.0	148.0	134.0	13.0	1.0
NM_018210	99.0	14	3.0	113.0	81.0	29.0	3.0
NM_015038	0	0	0	0	0	0	0
NM_004537	688.0	53	2.0	741.0	408.0	330.0	3.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	220.0	26	0	246.0	138.0	102.0	6.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	10.0	1	0	11.0	8.0	2.0	1.0
NM_003772	114.0	0	0	114.0	91.0	22.0	1.0
NM_000682	0	0	0	0	0	0	0
NM_014650	44.0	3	0	47.0	29.0	18.0	0
NM_001114086	1.0	0	0	1.0	1.0	0	0
NM_001204375	8.0	0	0	8.0	8.0	0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	12	0	12	12	0	0
NM_194460	291.0	22	0	313.0	291.0	13.0	9.0
NM_001031743	0	0	0	0	0	0	0
NM_001329941	23.0	0	0	23.0	19.0	0	4.0
NM_002178	1.0	0	0	1.0	1.0	0	0
NM_001145297	543.0	70	1.0	613.0	602.0	8.0	3.0
NM_152559	7.0	2	0	9.0	8.0	1	0
NM_001300901	105.0	0	20.0	105.0	105.0	0	0
NM_181708	63.0	0	1.0	63.0	62.0	0	1.0
NM_006012	528.0	111	5.0	639.0	633.0	3.0	3.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	488.0	19	4.0	507.0	317.0	187.0	3.0
NM_001136050	81.0	17	0	98.0	77.0	21.0	0
NM_000797	0	0	0	0	0	0	0
NM_014975	6.0	1	1.0	7.0	7.0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	103.0	6	1.0	109.0	45.0	59.0	5.0
NM_001731	243.0	5	0	248.0	179.0	67.0	2.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	215.0	11	3.0	226.0	148.0	76.0	2.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	260.0	8	11.0	268.0	197.0	69.0	2.0
NM_001324321	67.0	8	0	75.0	74.0	1.0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	652.0	82	0	734.0	368.0	357.0	9.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	239.0	20	4.0	259.0	218.0	41.0	0
NM_001330332	426.0	39	70.0	465.0	399.0	57.0	9.0
NM_004288	41.0	3	0	44.0	36.0	8.0	0
NM_001281432	175.0	27	115.0	202.0	199.0	1.0	2.0
NM_001170569	84.0	3	0	87.0	64.0	23.0	0
NM_014429	1.0	0	0	1.0	1.0	0	0
NM_021025	11.0	0	0	11.0	11.0	0	0
NM_031438	142.0	14	1.0	156.0	133.0	20.0	3.0
NM_014297	133.0	15	0	148.0	144.0	2.0	2.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
