AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	552.0	18	80.0	570.0	131.0	31.0	394.0
NM_001142964	80.0	0	3.0	80.0	13.0	2.0	63.0
NM_015475	247.0	13	82.0	260.0	146.0	6.0	97.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	2.0	0	0	0	0
NM_032773	314.0	64	494.0	378.0	336.0	13.0	11.0
NM_001195076	23.0	0	1.0	23.0	19.0	0	4.0
NM_001350073	224.0	15	57.0	239.0	98.0	117.0	21.0
NM_001005291	775.0	55	294.0	830.0	666.0	26.0	132.0
NM_138803	0	0	8.0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	211.0	25	127.0	236.0	97.0	8.0	127.0
NM_018210	322.0	29	182.0	351.0	144.0	5.0	202.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1997.0	73	1906.0	2070.0	832.0	199.0	1010.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	181.0	27	29.0	208.0	103.0	43.0	58.0
NM_001144954	1.0	0	0	1.0	1.0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	60.0	6	14.0	66.0	36.0	11.0	16.0
NM_003772	211.0	0	0	211.0	132.0	19.0	57.0
NM_000682	0	0	0	0	0	0	0
NM_014650	212.0	1	40.0	213.0	109.0	11.0	92.0
NM_001114086	1.0	0	0	1.0	0	0	1.0
NM_001204375	324.0	12	54.0	336.0	116.0	5.0	213.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	1.0	3	0	4.0	2	1.0	0
NM_194460	153.0	5	71.0	158.0	90.0	12.0	51.0
NM_001031743	3.0	0	3.0	3.0	3.0	0	0
NM_001329941	109.0	0	5.0	109.0	52.0	2.0	49.0
NM_002178	8.0	0	1.0	8.0	8.0	0	0
NM_001145297	1380.0	123	179.0	1503.0	807.0	25.0	658.0
NM_152559	8.0	0	3.0	8.0	7.0	0	1.0
NM_001300901	187.0	0	33.0	187.0	135.0	0	52.0
NM_181708	115.0	4	23.0	119.0	63.0	6.0	46.0
NM_006012	418.0	65	10.0	483.0	398.0	14.0	62.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	304.0	34	105.0	338.0	125.0	176.0	37.0
NM_001136050	69.0	13	26.0	82.0	57.0	18.0	2.0
NM_000797	1.0	0	5.0	1.0	1.0	0	0
NM_014975	19.0	1	7.0	20.0	20.0	0	0
NM_001270616	0	0	1.0	0	0	0	0
NM_000417	39.0	3	47.0	42.0	12.0	9.0	17.0
NM_001731	554.0	3	31.0	557.0	166.0	61.0	326.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	315.0	32	141.0	347.0	291.0	32.0	23.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	912.0	3	194.0	915.0	513.0	87.0	301.0
NM_001324321	115.0	13	367.0	128.0	125.0	3.0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	647.0	31	106.0	678.0	183.0	222.0	250.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	431.0	24	159.0	455.0	409.0	30.0	8.0
NM_001330332	9.0	1	5.0	10.0	7.0	0	3.0
NM_004288	494.0	40	720.0	534.0	347.0	31.0	129.0
NM_001281432	106.0	28	227.0	134.0	77.0	25.0	11.0
NM_001170569	148.0	1	20.0	149.0	33.0	17.0	99.0
NM_014429	1.0	2	9.0	3.0	2	0	1.0
NM_021025	0	0	0	0	0	0	0
NM_031438	207.0	9	57.0	216.0	98.0	12.0	103.0
NM_014297	317.0	82	49.0	399.0	307.0	33.0	31.0
NM_001001917	1.0	0	0	1.0	0	0	1.0
NM_001321245	0	0	0	0	0	0	0
NM_021133	443.0	21	42.0	464.0	258.0	34.0	162.0
NM_021141	4010.0	885	1546.0	4895.0	3587.0	277.0	943.0
NM_002367	0	0	0	0	0	0	0
NM_030630	1.0	0	2.0	1.0	1.0	0	0
NM_015896	8.0	1	0	9.0	6.0	1.0	2.0
NM_006811	1866.0	112	252.0	1978.0	807.0	106.0	1033.0
NM_001320820	251.0	7	105.0	258.0	87.0	6.0	156.0
NM_001348397	1283.0	184	964.0	1467.0	933.0	58.0	437.0
NM_001355224	18.0	0	113.0	18.0	8.0	9.0	1.0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	2.0	1	2.0	3.0	2.0	0	1.0
NM_001127266	553.0	14	58.0	567.0	266.0	83.0	210.0
NM_003294	233.0	8	0	241.0	174.0	8	59.0
NM_001297573	209.0	7	812.0	216.0	91.0	27.0	97.0
NM_018489	1322.0	51	1208.0	1373.0	1127.0	58.0	183.0
NM_024759	190.0	11	271.0	201.0	82.0	21.0	89.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	370.0	65	148.0	435.0	259.0	40.0	115.0
NM_001102420	1096.0	19	549.0	1115.0	74.0	221.0	820.0
