AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	291.0	37	5.0	328.0	297.0	8.0	23.0
NM_001142964	21.0	0	0	21.0	13.0	0	8.0
NM_015475	874.0	85	0	959.0	906.0	43.0	10.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	22.0	0	0	22.0	22.0	0	0
NM_032773	654.0	135	2.0	789.0	775.0	3.0	11.0
NM_001195076	65.0	0	0	65.0	56.0	0	9.0
NM_001350073	224.0	36	17.0	260.0	100.0	158.0	2.0
NM_001005291	7955.0	1496	16.0	9451.0	9346.0	90.0	15.0
NM_138803	0	0	0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	297.0	77	19.0	374.0	338.0	30.0	6.0
NM_018210	180.0	38	2.0	218.0	162.0	44.0	12.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1506.0	149	9.0	1655.0	1178.0	468.0	9.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	587.0	80	0	667.0	422.0	218.0	27.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	1.0	0	0	1.0	1.0	0	0
NM_002561	18.0	8	0	26.0	20.0	6.0	0
NM_003772	326.0	0	0	326.0	250.0	74.0	2.0
NM_000682	0	0	0	0	0	0	0
NM_014650	125.0	7	0	132.0	87.0	44.0	1.0
NM_001114086	1.0	0	1.0	1.0	1.0	0	0
NM_001204375	4.0	0	0	4.0	3.0	1.0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	33	0	33	33	0	0
NM_194460	325.0	28	2.0	353.0	335.0	8.0	10.0
NM_001031743	5.0	0	0	5.0	4.0	1.0	0
NM_001329941	47.0	0	0	47.0	35.0	0	12.0
NM_002178	0	0	0	0	0	0	0
NM_001145297	1468.0	226	3.0	1694.0	1660.0	19.0	15.0
NM_152559	18.0	9	0	27.0	24.0	3	0
NM_001300901	292.0	0	55.0	292.0	291.0	0	1.0
NM_181708	158.0	1	1.0	159.0	157.0	0	2.0
NM_006012	1006.0	294	3.0	1300.0	1283.0	11.0	6.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	1086.0	57	17.0	1143.0	774.0	361.0	8.0
NM_001136050	215.0	33	0	248.0	190.0	57.0	1.0
NM_000797	2.0	0	1.0	2.0	1.0	0	1.0
NM_014975	22.0	1	2.0	23.0	23.0	0	0
NM_001270616	1.0	0	0	1.0	1.0	0	0
NM_000417	192.0	24	5.0	216.0	106.0	103.0	7.0
NM_001731	782.0	1	0	783.0	377.0	401.0	5.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	580.0	60	4.0	640.0	407.0	231.0	2.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	944.0	30	48.0	974.0	677.0	296.0	1.0
NM_001324321	184.0	22	2.0	206.0	204.0	1.0	1.0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	2161.0	521	0	2682.0	1360.0	1293.0	29.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	806.0	54	16.0	860.0	737.0	121.0	2.0
NM_001330332	900.0	107	170.0	1007.0	865.0	129.0	13.0
NM_004288	88.0	7	0	95.0	68.0	25.0	2.0
NM_001281432	612.0	60	295.0	672.0	664.0	3.0	5.0
NM_001170569	304.0	1	1.0	305.0	158.0	146.0	1.0
NM_014429	3.0	0	4.0	3.0	3.0	0	0
NM_021025	23.0	0	0	23.0	22.0	0	1.0
NM_031438	440.0	56	1.0	496.0	427.0	64.0	5.0
NM_014297	298.0	44	1.0	342.0	327.0	8.0	7.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	401.0	56	0	457.0	322.0	135.0	0
NM_021141	13712.0	3730	13.0	17442.0	16652.0	373.0	417.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	0	0	0	0	0
NM_015896	3.0	1	0	4.0	4.0	0	0
NM_006811	5814.0	998	2.0	6812.0	5527.0	1207.0	78.0
NM_001320820	198.0	20	1.0	218.0	213.0	0	5.0
NM_001348397	105.0	20	5.0	125.0	121.0	4.0	0
NM_001355224	6.0	0	3.0	6.0	0	6.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
