AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	668.0	24	99.0	692.0	184.0	21.0	470.0
NM_001142964	152.0	1	4.0	153.0	18.0	1.0	133.0
NM_015475	358.0	28	112.0	386.0	199.0	21.0	153.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	8.0	0	0	8.0	3.0	0	5.0
NM_032773	457.0	98	1225.0	555.0	507.0	14.0	16.0
NM_001195076	34.0	0	8.0	34.0	23.0	0	11.0
NM_001350073	373.0	28	123.0	401.0	170.0	185.0	42.0
NM_001005291	5450.0	571	1491.0	6021.0	4996.0	99.0	892.0
NM_138803	1.0	0	25.0	1.0	1.0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	311.0	33	288.0	344.0	144.0	9.0	184.0
NM_018210	510.0	34	443.0	544.0	219.0	15.0	309.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1971.0	84	1966.0	2055.0	1016.0	113.0	902.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	375.0	58	75.0	433.0	213.0	81.0	127.0
NM_001144954	0	0	3.0	0	0	0	0
NM_000729	1.0	0	1.0	1.0	0	0	1.0
NM_002561	14.0	3	9.0	17.0	14.0	1.0	2.0
NM_003772	312.0	0	0	312.0	190.0	25.0	96.0
NM_000682	0	0	0	0	0	0	0
NM_014650	308.0	11	81.0	319.0	169.0	28.0	118.0
NM_001114086	0	0	29.0	0	0	0	0
NM_001204375	14.0	1	20.0	15.0	3.0	1.0	11.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	4.0	4	0	8.0	3	4.0	0
NM_194460	274.0	12	94.0	286.0	141.0	19.0	106.0
NM_001031743	2.0	0	6.0	2.0	1.0	0	0
NM_001329941	65.0	0	1.0	65.0	24.0	0	36.0
NM_002178	0	0	0	0	0	0	0
NM_001145297	1362.0	128	375.0	1490.0	891.0	24.0	562.0
NM_152559	21.0	2	19.0	23.0	15.0	2.0	2.0
NM_001300901	96.0	0	17.0	96.0	63.0	0	33.0
NM_181708	124.0	1	47.0	125.0	69.0	5.0	49.0
NM_006012	614.0	83	22.0	697.0	563.0	27.0	93.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	373.0	40	151.0	413.0	158.0	214.0	41.0
NM_001136050	70.0	7	35.0	77.0	51.0	14.0	11.0
NM_000797	17.0	0	17.0	17.0	16.0	0	1.0
NM_014975	23.0	5	27.0	28.0	27.0	1.0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	181.0	10	345.0	191.0	57.0	32.0	94.0
NM_001731	535.0	1	13.0	536.0	177.0	27.0	326.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	662.0	64	329.0	726.0	607.0	45.0	68.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	1383.0	5	228.0	1388.0	739.0	96.0	540.0
NM_001324321	367.0	44	1321.0	411.0	396.0	3.0	6.0
NM_005958	0	0	1.0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	1435.0	55	460.0	1490.0	399.0	410.0	630.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	744.0	57	413.0	801.0	729.0	44.0	10.0
NM_001330332	368.0	46	256.0	414.0	273.0	56.0	65.0
NM_004288	66.0	8	129.0	74.0	46.0	6.0	19.0
NM_001281432	127.0	20	344.0	147.0	86.0	22.0	12.0
NM_001170569	232.0	0	106.0	232.0	58.0	32.0	141.0
NM_014429	3.0	2	25.0	5.0	5.0	0	0
NM_021025	9.0	0	0	9.0	3.0	1.0	5.0
NM_031438	380.0	15	94.0	395.0	211.0	8.0	173.0
NM_014297	151.0	41	63.0	192.0	148.0	15.0	13.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	332.0	11	47.0	343.0	193.0	27.0	122.0
NM_021141	5813.0	1255	4134.0	7068.0	5351.0	328.0	1252.0
NM_002367	0	0	0	0	0	0	0
NM_030630	1.0	0	2.0	1.0	1.0	0	0
NM_015896	6.0	0	2.0	6.0	5.0	1.0	0
NM_006811	3204.0	201	754.0	3405.0	1401.0	239.0	1700.0
NM_001320820	256.0	10	205.0	266.0	106.0	12.0	144.0
NM_001348397	180.0	21	531.0	201.0	124.0	10.0	64.0
NM_001355224	6.0	1	154.0	7.0	1.0	6.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	3.0	0	2.0	3.0	1.0	0	0
NM_001127266	658.0	13	108.0	671.0	340.0	54.0	269.0
NM_003294	175.0	7	0	182.0	139.0	7	36.0
NM_001297573	110.0	3	677.0	113.0	54.0	18.0	39.0
NM_018489	2208.0	84	3471.0	2292.0	1977.0	75.0	229.0
NM_024759	357.0	14	591.0	371.0	130.0	27.0	203.0
