AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	88.0	15	6.0	103.0	74.0	0	11.0
NM_001142964	9.0	1	0	10.0	6.0	0	4.0
NM_015475	392.0	42	0	434.0	351.0	13.0	0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	344.0	70	2.0	414.0	390.0	1.0	6.0
NM_001195076	9.0	0	0	9.0	5.0	0	4.0
NM_001350073	49.0	7	2.0	56.0	22.0	31.0	0
NM_001005291	1819.0	301	5.0	2120.0	2043.0	31.0	3.0
NM_138803	0	0	0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	160.0	43	15.0	203.0	162.0	7.0	5.0
NM_018210	54.0	6	1.0	60.0	44.0	11.0	5.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1342.0	85	12.0	1427.0	1147.0	226.0	13.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	179.0	23	0	202.0	129.0	55.0	12.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	19.0	6	1.0	25.0	21.0	3.0	0
NM_003772	159.0	0	0	159.0	120.0	27.0	1.0
NM_000682	0	0	0	0	0	0	0
NM_014650	36.0	1	0	37.0	31.0	6.0	0
NM_001114086	5.0	0	1.0	5.0	4.0	0	1.0
NM_001204375	102.0	6	3.0	108.0	99.0	3.0	2.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	4	0	4	3	0	0
NM_194460	94.0	11	3.0	105.0	68.0	5.0	6.0
NM_001031743	0	0	0	0	0	0	0
NM_001329941	43.0	0	0	43.0	31.0	0	9.0
NM_002178	8.0	0	0	8.0	5.0	1.0	0
NM_001145297	607.0	97	2.0	704.0	584.0	11.0	6.0
NM_152559	2.0	3	0	5.0	3.0	2	0
NM_001300901	268.0	0	46.0	268.0	268.0	0	0
NM_181708	74.0	0	0	74.0	50.0	0	0
NM_006012	246.0	58	1.0	304.0	291.0	1.0	1.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	416.0	20	7.0	436.0	124.0	97.0	5.0
NM_001136050	114.0	12	0	126.0	102.0	15.0	2.0
NM_000797	0	0	0	0	0	0	0
NM_014975	8.0	1	0	9.0	9.0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	49.0	5	2.0	54.0	19.0	30.0	1.0
NM_001731	916.0	5	0	921.0	575.0	338.0	6.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	117.0	16	3.0	133.0	106.0	27.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	292.0	6	13.0	298.0	245.0	47.0	2.0
NM_001324321	84.0	14	1.0	98.0	93.0	2.0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	647.0	79	2.0	726.0	394.0	279.0	11.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	274.0	26	3.0	300.0	268.0	18.0	1.0
NM_001330332	6.0	2	1.0	8.0	4.0	3.0	0
NM_004288	267.0	28	0	295.0	215.0	31.0	6.0
NM_001281432	202.0	32	76.0	234.0	113.0	0	4.0
NM_001170569	70.0	0	1.0	70.0	53.0	17.0	0
NM_014429	6.0	1	2.0	7.0	7.0	0	0
NM_021025	0	0	0	0	0	0	0
NM_031438	74.0	7	0	81.0	69.0	5.0	0
NM_014297	239.0	42	3.0	281.0	215.0	3.0	4.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	297.0	27	0	324.0	244.0	65.0	1.0
NM_021141	4394.0	1287	14.0	5681.0	5180.0	107.0	120.0
NM_002367	0	0	0	0	0	0	0
NM_030630	1.0	0	0	1.0	1.0	0	0
NM_015896	5.0	1	0	6.0	5.0	1.0	0
NM_006811	2148.0	358	1.0	2506.0	2054.0	336.0	38.0
NM_001320820	148.0	10	0	158.0	144.0	3.0	2.0
NM_001348397	365.0	63	32.0	428.0	372.0	18.0	4.0
NM_001355224	1.0	0	1.0	1.0	0	1.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	106.0	2	3.0	108.0	72.0	21.0	5.0
NM_003294	520.0	0	0	520.0	513.0	0	7.0
NM_001297573	157.0	14	27.0	171.0	125.0	39.0	2.0
NM_018489	329.0	16	8.0	345.0	321.0	22.0	1.0
NM_024759	58.0	9	9.0	67.0	48.0	6.0	5.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	404.0	88	23.0	492.0	376.0	26.0	40.0
NM_001102420	586.0	53	4.0	639.0	222.0	399.0	6.0
NM_024508	0	0	0	0	0	0	0
NM_007069	4.0	0	0	4.0	2.0	1.0	1.0
NM_016212	0	0	0	0	0	0	0
NM_001113511	379.0	79	12.0	458.0	436.0	0	22.0
NM_145719	3.0	0	0	3.0	3.0	0	0
NM_198517	132.0	29	8.0	161.0	146.0	0	2.0
NM_001318043	325.0	48	2.0	373.0	329.0	3.0	11.0
NM_001038707	701.0	68	2.0	769.0	308.0	377.0	27.0
NM_001037666	56.0	7	0	63.0	47.0	1.0	4.0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	575.0	56	1.0	631.0	541.0	66.0	6.0
NM_001353349	0	0	0	0	0	0	0
NM_007366	6.0	0	0	6.0	6.0	0	0
NM_002432	558.0	49	1.0	607.0	442.0	150.0	8.0
NM_001289984	320.0	32	13.0	352.0	277.0	53.0	5.0
NM_001017920	0	0	0	0	0	0	0
