AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	246.0	13	12.0	259.0	239.0	5.0	15.0
NM_001142964	12.0	1	0	13.0	7.0	0	6.0
NM_015475	451.0	44	1.0	495.0	448.0	42.0	5.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	552.0	71	6.0	623.0	610.0	6.0	7.0
NM_001195076	37.0	0	0	37.0	30.0	0	7.0
NM_001350073	101.0	11	6.0	112.0	24.0	88.0	0
NM_001005291	2022.0	278	10.0	2300.0	2163.0	130.0	7.0
NM_138803	1.0	0	2.0	1.0	1.0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	232.0	26	29.0	258.0	222.0	33.0	3.0
NM_018210	127.0	12	9.0	139.0	78.0	58.0	3.0
NM_015038	0	0	0	0	0	0	0
NM_004537	2443.0	203	13.0	2646.0	875.0	1753.0	18.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	300.0	12	0	312.0	88.0	221.0	3.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	67.0	7	2.0	74.0	33.0	41.0	0
NM_003772	162.0	0	0	162.0	91.0	71.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	45.0	4	1.0	49.0	18.0	31.0	0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	153.0	5	3.0	158.0	147.0	7.0	4.0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	3.0	26	0	29.0	26	3.0	0
NM_194460	308.0	13	4.0	321.0	294.0	26.0	1.0
NM_001031743	0	0	0	0	0	0	0
NM_001329941	83.0	0	2.0	83.0	69.0	0	14.0
NM_002178	12.0	2	4.0	14.0	13.0	1.0	0
NM_001145297	688.0	66	5.0	754.0	725.0	25.0	4.0
NM_152559	7.0	4	0	11.0	9.0	1	1.0
NM_001300901	466.0	0	133.0	466.0	459.0	0	7.0
NM_181708	118.0	1	0	119.0	114.0	1.0	4.0
NM_006012	591.0	79	7.0	670.0	649.0	19.0	2.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	979.0	60	60.0	1039.0	619.0	413.0	7.0
NM_001136050	138.0	18	1.0	156.0	72.0	83.0	1.0
NM_000797	0	0	0	0	0	0	0
NM_014975	27.0	2	0	29.0	25.0	4.0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	72.0	7	3.0	79.0	32.0	47.0	0
NM_001731	1563.0	2	0	1565.0	285.0	1272.0	8.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	184.0	18	8.0	202.0	89.0	112.0	1.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	387.0	27	15.0	414.0	169.0	242.0	3.0
NM_001324321	94.0	5	7.0	99.0	99.0	0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	585.0	138	1.0	723.0	211.0	509.0	3.0
NM_001321449	1.0	0	0	1.0	1.0	0	0
NM_006594	251.0	2	10.0	253.0	210.0	43.0	0
NM_001330332	19.0	1	0	20.0	9.0	11.0	0
NM_004288	498.0	16	3.0	514.0	334.0	178.0	2.0
NM_001281432	419.0	30	51.0	449.0	444.0	4.0	1.0
NM_001170569	91.0	1	0	92.0	39.0	53.0	0
NM_014429	2.0	1	3.0	3.0	3.0	0	0
NM_021025	0	0	0	0	0	0	0
NM_031438	113.0	12	1.0	125.0	78.0	46.0	1.0
NM_014297	594.0	45	1.0	639.0	626.0	8.0	5.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	259.0	59	0	318.0	180.0	138.0	0
NM_021141	4222.0	1045	10.0	5267.0	4575.0	596.0	96.0
NM_002367	0	0	0	0	0	0	0
NM_030630	1.0	0	0	1.0	1.0	0	0
NM_015896	3.0	0	0	3.0	1.0	1.0	1.0
NM_006811	2197.0	215	4.0	2412.0	1417.0	978.0	17.0
NM_001320820	71.0	5	0	76.0	71.0	2.0	3.0
NM_001348397	662.0	77	105.0	739.0	663.0	71.0	5.0
NM_001355224	7.0	0	4.0	7.0	1.0	6.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	177.0	2	4.0	179.0	87.0	88.0	4.0
NM_003294	560.0	2	0	562.0	555.0	2	5.0
NM_001297573	219.0	33	72.0	252.0	135.0	116.0	1.0
NM_018489	337.0	20	26.0	357.0	269.0	85.0	3.0
NM_024759	119.0	5	4.0	124.0	93.0	23.0	8.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	414.0	68	59.0	482.0	338.0	116.0	28.0
NM_001102420	1201.0	27	35.0	1228.0	137.0	1083.0	8.0
NM_024508	0	0	0	0	0	0	0
NM_007069	6.0	0	0	6.0	2.0	4.0	0
NM_016212	0	0	0	0	0	0	0
NM_001113511	457.0	48	48.0	505.0	475.0	0	30.0
NM_145719	20.0	1	0	21.0	14.0	7.0	0
NM_198517	264.0	24	56.0	288.0	281.0	7.0	0
NM_001318043	527.0	102	3.0	629.0	595.0	29.0	5.0
NM_001038707	1593.0	139	2.0	1732.0	259.0	1459.0	14.0
NM_001037666	178.0	16	1.0	194.0	163.0	24.0	7.0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	702.0	53	2.0	755.0	549.0	197.0	9.0
NM_001353349	0	0	0	0	0	0	0
NM_007366	3.0	0	0	3.0	3.0	0	0
NM_002432	289.0	55	1.0	344.0	163.0	180.0	1.0
NM_001289984	465.0	53	31.0	518.0	357.0	155.0	6.0
NM_001017920	0	0	0	0	0	0	0
NM_001012643	59.0	2	1.0	61.0	48.0	13.0	0
NM_001164471	0	0	0	0	0	0	0
NM_080656	224.0	0	1.0	224.0	220.0	4.0	0
NM_004297	11.0	2	2.0	13.0	7.0	6.0	0
NM_138434	0	0	0	0	0	0	0
NM_018558	0	0	0	0	0	0	0
NM_031905	358.0	6	3.0	364.0	42.0	322.0	0
NM_001331039	382.0	19	0	401.0	190.0	210.0	1.0
NM_001243476	40.0	6	79.0	46.0	44.0	1.0	1.0
NM_001289108	944.0	3	2.0	947.0	436.0	499.0	12.0
NM_032827	1.0	0	0	1.0	1.0	0	0
NM_005941	0	0	0	0	0	0	0
NM_001025579	536.0	27	9.0	563.0	201.0	340.0	22.0
NM_002490	684.0	39	0	723.0	721.0	0	2.0
NM_030966	0	0	0	0	0	0	0
NM_001145777	1066.0	106	50.0	1172.0	619.0	548.0	5.0
NM_001017526	0	0	0	0	0	0	0
NM_173806	0	0	0	0	0	0	0
NM_182983	1.0	0	5.0	1.0	0	1.0	0
NM_014241	338.0	8	0	346.0	327.0	19.0	0
NM_001034996	667.0	34	2.0	701.0	511.0	180.0	10.0
NM_001037442	26.0	3	11.0	29.0	29.0	0	0
NM_001058	0	0	0	0	0	0	0
NM_138782	119.0	26	12.0	145.0	137.0	6.0	2.0
NM_006753	552.0	19	0	571.0	559.0	10.0	2.0
NM_001354199	302.0	35	15.0	337.0	251.0	82.0	4.0
NM_001135147	863.0	51	241.0	914.0	578.0	326.0	10.0
NM_001129885	0	0	0	0	0	0	0
NM_033070	316.0	26	40.0	342.0	335.0	1.0	6.0
NM_001001959	0	0	0	0	0	0	0
NM_053278	0	0	0	0	0	0	0
NM_002027	375.0	9	10.0	384.0	383.0	1.0	0
NM_020547	76.0	7	16.0	83.0	81.0	1.0	1.0
NM_172175	4.0	1	3.0	5.0	0	5.0	0
NM_002199	602.0	66	16.0	668.0	389.0	275.0	4.0
NM_004101	84.0	1	0	85.0	44.0	38.0	3.0
NM_001321601	0	0	0	0	0	0	0
NM_001347830	3.0	0	1.0	3.0	3.0	0	0
NM_001322828	43.0	6	3.0	49.0	8.0	40.0	1.0
NM_005171	472.0	36	6.0	508.0	306.0	198.0	4.0
NM_015634	328.0	17	2.0	345.0	323.0	21.0	1.0
NM_032627	365.0	10	8.0	375.0	87.0	287.0	1.0
NM_001278419	0	0	1.0	0	0	0	0
NM_001005496	0	0	0	0	0	0	0
NM_006340	99.0	19	3.0	118.0	87.0	30.0	1.0
NM_001289125	919.0	65	48.0	984.0	379.0	595.0	10.0
NM_006065	38.0	1	4.0	39.0	32.0	7.0	0
NM_001009812	19.0	0	3.0	19.0	8.0	11.0	0
NM_004778	561.0	51	0	612.0	469.0	143.0	0
NM_006646	68.0	3	7.0	71.0	28.0	42.0	1.0
NM_014010	3.0	1	100.0	4.0	4.0	0	0
NM_032935	0	0	0	0	0	0	0
NM_001098816	0	0	0	0	0	0	0
NM_001099402	799.0	36	27.0	835.0	305.0	526.0	4.0
NM_001126128	21.0	0	0	21.0	16.0	5.0	0
NM_001031803	140.0	28	8.0	168.0	130.0	37.0	1.0
NM_013309	9.0	1	0	10.0	6.0	4.0	0
NM_003988	0	0	0	0	0	0	0
NM_003460	0	0	0	0	0	0	0
NM_015939	298.0	7	2.0	305.0	227.0	72.0	6.0
NM_001080505	1.0	0	0	1.0	0	1.0	0
NM_001330513	176.0	1	7.0	177.0	31.0	146.0	0
NM_001001413	0	0	0	0	0	0	0
NM_012163	13.0	5	6.0	18.0	3.0	15.0	0
NM_016577	209.0	33	0	242.0	152.0	88.0	2.0
NM_001080779	162.0	21	18.0	183.0	182.0	0	1.0
NM_021211	312.0	1	2.0	313.0	87.0	226.0	0
NM_152791	43.0	7	0	50.0	33.0	15.0	2.0
NM_198956	1.0	0	0	1.0	1.0	0	0
NM_004488	617.0	14	1.0	631.0	626.0	4.0	1.0
NM_015950	427.0	19	1.0	446.0	426.0	11.0	9.0
NM_001265589	2469.0	2	6.0	2471.0	2178.0	281.0	12.0
NM_001289088	212.0	8	29.0	220.0	184.0	35.0	1.0
NM_019078	0	0	0	0	0	0	0
NM_033337	0	0	0	0	0	0	0
NM_003041	0	0	0	0	0	0	0
NM_014051	290.0	55	0	345.0	110.0	235.0	0
NM_001004741	0	0	0	0	0	0	0
NM_032378	754.0	17	63.0	771.0	722.0	40.0	9.0
NM_001005170	0	0	0	0	0	0	0
NM_002305	9813.0	5033	11.0	14846.0	12682.0	2048.0	116.0
NM_004356	1976.0	310	1.0	2286.0	1546.0	687.0	53.0
NM_001258283	0	0	0	0	0	0	0
NM_001136112	0	0	0	0	0	0	0
NM_052955	0	0	0	0	0	0	0
NM_014895	104.0	10	6.0	114.0	91.0	22.0	1.0
NM_001161425	26.0	1	0	27.0	12.0	14.0	1.0
NM_181501	6.0	2	0	8.0	8.0	0	0
NM_014712	341.0	28	39.0	369.0	324.0	44.0	1.0
NM_018957	769.0	98	5.0	867.0	751.0	114.0	2.0
NM_001099269	110.0	0	1.0	110.0	35.0	75.0	0
NM_006963	591.0	153	1.0	744.0	353.0	390.0	1.0
NM_017696	198.0	22	53.0	220.0	220.0	0	0
NM_032142	353.0	59	43.0	412.0	358.0	52.0	2.0
NM_018129	241.0	20	8.0	261.0	204.0	53.0	4.0
NM_015016	201.0	43	61.0	244.0	240.0	0	4.0
NM_003389	113.0	6	4.0	119.0	115.0	0	4.0
NM_000292	324.0	56	6.0	380.0	263.0	112.0	5.0
NM_000745	84.0	7	1.0	91.0	55.0	35.0	1.0
NM_000609	8.0	0	0	8.0	8.0	0	0
