AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	187.0	14	3.0	201.0	192.0	5.0	4.0
NM_001142964	4.0	1	0	5.0	4.0	0	1.0
NM_015475	83.0	10	0	93.0	81.0	7.0	5.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	220.0	14	1.0	234.0	231.0	1.0	2.0
NM_001195076	32.0	0	1.0	32.0	30.0	0	2.0
NM_001350073	55.0	3	2.0	58.0	17.0	41.0	0
NM_001005291	1890.0	265	6.0	2155.0	2030.0	119.0	6.0
NM_138803	0	0	0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	216.0	45	35.0	261.0	208.0	53.0	0
NM_018210	89.0	8	3.0	97.0	46.0	45.0	6.0
NM_015038	0	0	0	0	0	0	0
NM_004537	1003.0	92	4.0	1095.0	431.0	653.0	11.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	883.0	52	0	935.0	267.0	652.0	16.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	0	0	0	0	0	0	0
NM_003772	78.0	0	0	78.0	47.0	31.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	27.0	3	0	30.0	10.0	18.0	2.0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	4.0	0	0	4.0	4.0	0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	10	0	10	10	0	0
NM_194460	342.0	24	3.0	366.0	332.0	28.0	6.0
NM_001031743	1.0	0	0	1.0	0	0	1.0
NM_001329941	25.0	0	0	25.0	21.0	0	4.0
NM_002178	1.0	0	0	1.0	1.0	0	0
NM_001145297	413.0	38	0	451.0	423.0	24.0	4.0
NM_152559	5.0	5	1.0	10.0	7.0	3	0
NM_001300901	22.0	0	3.0	22.0	20.0	0	2.0
NM_181708	40.0	0	1.0	40.0	40.0	0	0
NM_006012	324.0	49	5.0	373.0	358.0	15.0	0
NM_006794	0	0	0	0	0	0	0
NM_001206427	569.0	26	46.0	595.0	331.0	262.0	2.0
NM_001136050	78.0	13	0	91.0	49.0	42.0	0
NM_000797	0	0	0	0	0	0	0
NM_014975	11.0	1	0	12.0	8.0	4.0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	2.0	0	0	2.0	0	2.0	0
NM_001731	714.0	1	0	715.0	145.0	562.0	8.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	154.0	10	0	164.0	70.0	94.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	153.0	10	5.0	163.0	64.0	97.0	2.0
NM_001324321	51.0	4	0	55.0	55.0	0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	587.0	94	0	681.0	175.0	492.0	14.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	194.0	13	10.0	207.0	119.0	88.0	0
NM_001330332	132.0	20	31.0	152.0	119.0	30.0	3.0
NM_004288	17.0	1	0	18.0	12.0	6.0	0
NM_001281432	293.0	16	61.0	309.0	308.0	1.0	0
NM_001170569	73.0	1	0	74.0	27.0	47.0	0
NM_014429	3.0	0	4.0	3.0	3.0	0	0
NM_021025	92.0	0	0	92.0	69.0	23.0	0
NM_031438	98.0	10	0	108.0	72.0	35.0	1.0
NM_014297	64.0	2	0	66.0	65.0	1.0	0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	156.0	26	0	182.0	102.0	80.0	0
NM_021141	2332.0	679	4.0	3011.0	2621.0	324.0	66.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	0	0	0	0	0
NM_015896	2.0	0	0	2.0	2.0	0	0
NM_006811	2459.0	256	1.0	2715.0	1629.0	1035.0	51.0
NM_001320820	254.0	26	0	280.0	265.0	5.0	10.0
NM_001348397	33.0	3	3.0	36.0	32.0	3.0	1.0
NM_001355224	3.0	0	5.0	3.0	0	3.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	93.0	2	3.0	95.0	45.0	50.0	0
NM_003294	58.0	0	0	58.0	58.0	0	0
NM_001297573	1.0	0	4.0	1.0	1.0	0	0
NM_018489	208.0	8	5.0	216.0	167.0	47.0	2.0
NM_024759	53.0	3	1.0	56.0	41.0	13.0	2.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	474.0	77	30.0	551.0	354.0	147.0	50.0
NM_001102420	3486.0	53	2.0	3539.0	369.0	3134.0	36.0
NM_024508	0	0	0	0	0	0	0
NM_007069	2.0	1	0	3.0	1	2.0	0
NM_016212	0	0	0	0	0	0	0
NM_001113511	133.0	11	10.0	144.0	140.0	1.0	3.0
NM_145719	11.0	1	0	12.0	10.0	2.0	0
NM_198517	10.0	0	2.0	10.0	10.0	0	0
NM_001318043	96.0	10	0	106.0	102.0	2.0	2.0
NM_001038707	414.0	37	0	451.0	60.0	381.0	10.0
NM_001037666	33.0	5	0	38.0	26.0	11.0	1.0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	680.0	78	7.0	758.0	562.0	190.0	6.0
NM_001353349	0	0	0	0	0	0	0
NM_007366	0	0	4.0	0	0	0	0
NM_002432	78.0	7	0	85.0	43.0	42.0	0
NM_001289984	56.0	9	1.0	65.0	54.0	10.0	1.0
NM_001017920	0	0	0	0	0	0	0
NM_001012643	33.0	0	1.0	33.0	25.0	8.0	0
NM_001164471	0	0	0	0	0	0	0
NM_080656	188.0	0	0	188.0	187.0	1.0	0
NM_004297	2.0	1	0	3.0	2.0	1.0	0
NM_138434	0	0	0	0	0	0	0
NM_018558	0	0	0	0	0	0	0
NM_031905	217.0	6	3.0	223.0	31.0	192.0	0
NM_001331039	162.0	9	1.0	171.0	68.0	103.0	0
NM_001243476	2.0	0	6.0	2.0	2.0	0	0
NM_001289108	1254.0	3	2.0	1257.0	437.0	778.0	42.0
NM_032827	0	0	0	0	0	0	0
NM_005941	0	0	0	0	0	0	0
NM_001025579	1420.0	83	11.0	1503.0	600.0	850.0	53.0
NM_002490	1173.0	75	0	1248.0	1219.0	1.0	28.0
NM_030966	0	0	0	0	0	0	0
NM_001145777	573.0	57	28.0	630.0	329.0	286.0	15.0
NM_001017526	0	0	0	0	0	0	0
NM_173806	0	0	0	0	0	0	0
NM_182983	0	0	0	0	0	0	0
NM_014241	251.0	8	0	259.0	245.0	13.0	1.0
NM_001034996	848.0	36	2.0	884.0	742.0	106.0	36.0
NM_001037442	6.0	1	0	7.0	7.0	0	0
NM_001058	0	0	0	0	0	0	0
NM_138782	816.0	154	10.0	970.0	935.0	19.0	16.0
NM_006753	147.0	2	0	149.0	138.0	10.0	1.0
NM_001354199	109.0	13	0	122.0	80.0	36.0	6.0
