AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	60.0	9	2.0	69.0	64.0	0	5.0
NM_001142964	2.0	0	0	2.0	2.0	0	0
NM_015475	121.0	7	0	128.0	117.0	9.0	2.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	0	0	0	0	0	0	0
NM_032773	157.0	45	1.0	202.0	198.0	0	4.0
NM_001195076	9.0	0	1.0	9.0	8.0	0	1.0
NM_001350073	32.0	4	0	36.0	15.0	21.0	0
NM_001005291	685.0	124	1.0	809.0	769.0	39.0	1.0
NM_138803	0	0	0	0	0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	172.0	40	7.0	212.0	180.0	29.0	3.0
NM_018210	52.0	7	0	59.0	32.0	24.0	3.0
NM_015038	0	0	0	0	0	0	0
NM_004537	634.0	54	2.0	688.0	443.0	241.0	4.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	504.0	51	0	555.0	347.0	190.0	18.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	0	0	0	0	0	0	0
NM_003772	53.0	0	0	53.0	33.0	20.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	11.0	0	0	11.0	9.0	2.0	0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	2.0	0	0	2.0	2.0	0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	1	0	1	1	0	0
NM_194460	129.0	10	1.0	139.0	129.0	5.0	5.0
NM_001031743	0	0	1.0	0	0	0	0
NM_001329941	7.0	0	0	7.0	5.0	0	2.0
NM_002178	0	0	0	0	0	0	0
NM_001145297	443.0	66	0	509.0	499.0	8.0	2.0
NM_152559	6.0	1	0	7.0	7.0	0	0
NM_001300901	20.0	0	6.0	20.0	20.0	0	0
NM_181708	24.0	0	1.0	24.0	24.0	0	0
NM_006012	178.0	52	2.0	230.0	222.0	8.0	0
NM_006794	0	0	0	0	0	0	0
NM_001206427	255.0	16	7.0	271.0	168.0	101.0	2.0
NM_001136050	73.0	13	0	86.0	64.0	22.0	0
NM_000797	0	0	0	0	0	0	0
NM_014975	0	0	1.0	0	0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	3.0	0	0	3.0	1.0	2.0	0
NM_001731	264.0	0	0	264.0	100.0	163.0	1.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	83.0	5	1.0	88.0	46.0	42.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	124.0	5	4.0	129.0	79.0	49.0	1.0
NM_001324321	41.0	4	0	45.0	44.0	0	1.0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	387.0	44	0	431.0	187.0	242.0	2.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	222.0	15	3.0	237.0	182.0	55.0	0
NM_001330332	86.0	15	15.0	101.0	88.0	11.0	2.0
NM_004288	19.0	2	0	21.0	19.0	2.0	0
NM_001281432	72.0	6	27.0	78.0	76.0	1.0	1.0
NM_001170569	45.0	3	0	48.0	33.0	14.0	1.0
NM_014429	1.0	0	1.0	1.0	1.0	0	0
NM_021025	11.0	0	0	11.0	9.0	2.0	0
NM_031438	57.0	7	1.0	64.0	55.0	6.0	3.0
NM_014297	32.0	5	0	37.0	37.0	0	0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	113.0	12	0	125.0	85.0	38.0	2.0
NM_021141	2353.0	652	0	3005.0	2816.0	133.0	56.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	0	0	0	0	0
NM_015896	1.0	0	0	1.0	1.0	0	0
