AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	127.0	13	1.0	140.0	118.0	4.0	18.0
NM_001142964	15.0	1	0	16.0	7.0	0	9.0
NM_015475	464.0	35	0	499.0	470.0	26.0	3.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	5.0	0	0	5.0	5.0	0	0
NM_032773	291.0	78	2.0	369.0	359.0	1.0	9.0
NM_001195076	32.0	0	2.0	32.0	28.0	0	4.0
NM_001350073	104.0	16	6.0	120.0	56.0	64.0	0
NM_001005291	3062.0	739	9.0	3801.0	3748.0	48.0	5.0
NM_138803	1.0	0	0	1.0	1.0	0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	165.0	48	9.0	213.0	195.0	12.0	6.0
NM_018210	78.0	18	1.0	96.0	75.0	17.0	4.0
NM_015038	0	0	0	0	0	0	0
NM_004537	938.0	86	9.0	1024.0	849.0	163.0	12.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	243.0	40	0	283.0	195.0	73.0	15.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	1.0	0	0	1.0	1.0	0	0
NM_002561	5.0	5	0	10.0	8.0	2.0	0
NM_003772	244.0	0	0	244.0	200.0	44.0	0
NM_000682	0	0	0	0	0	0	0
NM_014650	78.0	1	0	79.0	54.0	25.0	0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	3.0	1	0	4.0	4.0	0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	0	11	0	11	11	0	0
NM_194460	129.0	16	1.0	145.0	137.0	5.0	3.0
NM_001031743	1.0	0	0	1.0	1.0	0	0
NM_001329941	29.0	0	0	29.0	16.0	0	13.0
NM_002178	1.0	0	0	1.0	1.0	0	0
NM_001145297	766.0	130	1.0	896.0	883.0	7.0	6.0
NM_152559	12.0	3	1.0	15.0	14.0	1	0
NM_001300901	207.0	0	31.0	207.0	207.0	0	0
NM_181708	71.0	1	1.0	72.0	72.0	0	0
NM_006012	387.0	135	2.0	522.0	511.0	11.0	0
NM_006794	0	0	0	0	0	0	0
NM_001206427	610.0	36	9.0	646.0	473.0	168.0	5.0
NM_001136050	110.0	17	0	127.0	105.0	22.0	0
NM_000797	0	0	0	0	0	0	0
NM_014975	10.0	0	0	10.0	10.0	0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	123.0	6	2.0	129.0	50.0	75.0	4.0
NM_001731	461.0	1	0	462.0	251.0	204.0	7.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	287.0	36	2.0	323.0	191.0	132.0	0
NM_001001918	0	0	0	0	0	0	0
NM_053042	515.0	19	23.0	534.0	401.0	132.0	1.0
NM_001324321	114.0	8	2.0	122.0	122.0	0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	1124.0	252	1.0	1376.0	776.0	584.0	16.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	387.0	22	9.0	409.0	367.0	40.0	2.0
NM_001330332	407.0	64	77.0	471.0	394.0	65.0	12.0
NM_004288	52.0	4	0	56.0	47.0	8.0	1.0
NM_001281432	338.0	55	152.0	393.0	389.0	2.0	2.0
NM_001170569	138.0	5	0	143.0	94.0	45.0	4.0
NM_014429	4.0	0	3.0	4.0	4.0	0	0
NM_021025	3.0	0	0	3.0	3.0	0	0
NM_031438	220.0	33	0	253.0	225.0	28.0	0
NM_014297	94.0	19	0	113.0	111.0	1.0	1.0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	218.0	24	1.0	242.0	170.0	72.0	0
NM_021141	7663.0	2164	8.0	9827.0	9477.0	142.0	208.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	1.0	0	0	0	0
NM_015896	1.0	1	0	2.0	2.0	0	0
NM_006811	2683.0	489	3.0	3172.0	2628.0	500.0	44.0
NM_001320820	119.0	11	0	130.0	125.0	2.0	3.0
NM_001348397	50.0	8	1.0	58.0	55.0	3.0	0
NM_001355224	5.0	0	7.0	5.0	1.0	4.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	99.0	5	2.0	104.0	75.0	27.0	2.0
NM_003294	173.0	0	0	173.0	172.0	0	1.0
NM_001297573	31.0	3	6.0	34.0	24.0	10.0	0
NM_018489	378.0	16	6.0	394.0	357.0	34.0	3.0
NM_024759	69.0	11	3.0	80.0	59.0	2.0	19.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	320.0	58	20.0	378.0	328.0	24.0	26.0
NM_001102420	417.0	25	3.0	442.0	141.0	295.0	6.0
NM_024508	0	0	0	0	0	0	0
NM_007069	5.0	0	0	5.0	3.0	2.0	0
NM_016212	0	0	0	0	0	0	0
NM_001113511	269.0	68	8.0	337.0	313.0	0	24.0
NM_145719	10.0	0	0	10.0	9.0	1.0	0
