AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	396.0	30	6.0	426.0	184.0	15.0	17.0
NM_001142964	9.0	2	0	11.0	7.0	0	4.0
NM_015475	1256.0	112	0	1368.0	840.0	186.0	7.0
NM_001277304	0	0	0	0	0	0	0
NM_178160	15.0	0	1.0	15.0	15.0	0	0
NM_032773	803.0	83	1.0	886.0	582.0	6.0	13.0
NM_001195076	110.0	0	0	110.0	105.0	0	5.0
NM_001350073	284.0	20	23.0	304.0	68.0	228.0	0
NM_001005291	5796.0	1064	29.0	6860.0	6130.0	298.0	19.0
NM_138803	3.0	0	0	3.0	0	3.0	0
NM_001003750	0	0	0	0	0	0	0
NM_032846	209.0	17	34.0	226.0	105.0	68.0	0
NM_018210	205.0	21	3.0	226.0	101.0	118.0	6.0
NM_015038	0	0	0	0	0	0	0
NM_004537	2800.0	242	26.0	3042.0	1121.0	1855.0	12.0
NM_013369	0	0	0	0	0	0	0
NM_001135642	424.0	24	1.0	448.0	126.0	315.0	5.0
NM_001144954	0	0	0	0	0	0	0
NM_000729	0	0	0	0	0	0	0
NM_002561	37.0	4	0	41.0	16.0	23.0	0
NM_003772	204.0	0	0	204.0	61.0	99.0	2.0
NM_000682	0	0	0	0	0	0	0
NM_014650	101.0	2	1.0	103.0	35.0	65.0	1.0
NM_001114086	0	0	0	0	0	0	0
NM_001204375	4.0	3	0	7.0	6.0	0	0
NM_001006117	0	0	0	0	0	0	0
NM_001077663	7.0	61	0	68.0	5	7.0	0
NM_194460	765.0	46	6.0	811.0	240.0	75.0	5.0
NM_001031743	2.0	0	0	2.0	1.0	1.0	0
NM_001329941	62.0	0	0	62.0	37.0	0	12.0
NM_002178	3.0	0	0	3.0	2.0	1.0	0
NM_001145297	779.0	116	7.0	895.0	628.0	44.0	5.0
NM_152559	15.0	10	0	25.0	6.0	10.0	1.0
NM_001300901	279.0	0	69.0	279.0	276.0	0	3.0
NM_181708	143.0	2	0	145.0	80.0	1.0	2.0
NM_006012	1082.0	177	8.0	1259.0	1052.0	33.0	5.0
NM_006794	0	0	0	0	0	0	0
NM_001206427	2817.0	193	126.0	3010.0	110.0	1383.0	12.0
NM_001136050	130.0	16	0	146.0	50.0	74.0	2.0
NM_000797	0	0	0	0	0	0	0
NM_014975	31.0	3	0	34.0	26.0	7.0	0
NM_001270616	0	0	0	0	0	0	0
NM_000417	99.0	9	1.0	108.0	23.0	72.0	3.0
NM_001731	531.0	0	1.0	531.0	77.0	432.0	6.0
NM_001002231	0	0	0	0	0	0	0
NM_001283009	586.0	44	12.0	630.0	279.0	343.0	1.0
NM_001001918	0	0	0	0	0	0	0
NM_053042	579.0	57	28.0	636.0	263.0	360.0	6.0
NM_001324321	122.0	13	5.0	135.0	135.0	0	0
NM_005958	0	0	0	0	0	0	0
NM_002700	0	0	0	0	0	0	0
NM_014587	0	0	0	0	0	0	0
NM_001286076	1398.0	313	1.0	1711.0	411.0	1235.0	17.0
NM_001321449	0	0	0	0	0	0	0
NM_006594	607.0	31	51.0	638.0	370.0	143.0	0
NM_001330332	515.0	85	86.0	600.0	350.0	122.0	9.0
NM_004288	122.0	6	0	128.0	56.0	44.0	0
NM_001281432	850.0	31	120.0	881.0	127.0	13.0	2.0
NM_001170569	262.0	3	1.0	265.0	59.0	204.0	2.0
NM_014429	6.0	1	5.0	7.0	7.0	0	0
NM_021025	16.0	1	0	17.0	9.0	6.0	1.0
NM_031438	386.0	55	2.0	441.0	204.0	181.0	6.0
NM_014297	436.0	21	0	457.0	141.0	12.0	0
NM_001001917	0	0	0	0	0	0	0
NM_001321245	0	0	0	0	0	0	0
NM_021133	415.0	102	0	517.0	229.0	238.0	0
NM_021141	10979.0	2939	14.0	13918.0	9524.0	1424.0	264.0
NM_002367	0	0	0	0	0	0	0
NM_030630	0	0	1.0	0	0	0	0
NM_015896	6.0	1	0	7.0	5.0	1.0	1.0
NM_006811	3076.0	248	2.0	3324.0	1434.0	1601.0	22.0
NM_001320820	73.0	11	0	84.0	74.0	2.0	1.0
NM_001348397	84.0	8	8.0	92.0	47.0	12.0	1.0
NM_001355224	6.0	0	6.0	6.0	0	6.0	0
NM_001330066	0	0	0	0	0	0	0
NM_001168247	0	0	0	0	0	0	0
NM_001127266	264.0	6	2.0	270.0	80.0	141.0	2.0
NM_003294	193.0	1	0	194.0	193.0	1	0
NM_001297573	47.0	8	16.0	55.0	18.0	35.0	0
NM_018489	413.0	20	8.0	433.0	321.0	89.0	3.0
NM_024759	134.0	10	4.0	144.0	48.0	22.0	4.0
NM_001101339	0	0	0	0	0	0	0
NM_001244666	351.0	61	33.0	412.0	214.0	140.0	23.0
NM_001102420	1185.0	25	12.0	1210.0	98.0	1069.0	13.0
NM_024508	0	0	0	0	0	0	0
NM_007069	6.0	0	0	6.0	2.0	4.0	0
NM_016212	0	0	0	0	0	0	0
NM_001113511	536.0	66	52.0	602.0	575.0	1.0	26.0
NM_145719	16.0	7	0	23.0	9.0	11.0	0
NM_198517	70.0	6	16.0	76.0	61.0	0	1.0
NM_001318043	641.0	73	0	714.0	295.0	46.0	7.0
NM_001038707	1283.0	95	5.0	1378.0	83.0	1191.0	8.0
NM_001037666	106.0	10	0	116.0	55.0	21.0	2.0
NM_001098409	0	0	0	0	0	0	0
NM_001184819	1874.0	162	14.0	2036.0	1313.0	589.0	11.0
NM_001353349	0	0	0	0	0	0	0
NM_007366	0	0	1.0	0	0	0	0
NM_002432	161.0	14	0	175.0	78.0	94.0	1.0
NM_001289984	385.0	50	15.0	435.0	306.0	102.0	7.0
NM_001017920	0	0	0	0	0	0	0
NM_001012643	75.0	1	1.0	76.0	20.0	23.0	1.0
NM_001164471	0	0	0	0	0	0	0
NM_080656	746.0	0	1.0	746.0	171.0	7.0	1.0
NM_004297	3.0	0	0	3.0	2.0	0	0
NM_138434	0	0	0	0	0	0	0
NM_018558	0	0	0	0	0	0	0
NM_031905	626.0	10	3.0	636.0	60.0	557.0	0
NM_001331039	775.0	42	2.0	817.0	344.0	453.0	4.0
NM_001243476	21.0	2	25.0	23.0	23.0	0	0
NM_001289108	2494.0	2	5.0	2496.0	125.0	1592.0	44.0
NM_032827	2.0	0	0	2.0	0	2.0	0
NM_005941	0	0	0	0	0	0	0
NM_001025579	738.0	34	6.0	772.0	150.0	534.0	29.0
NM_002490	1885.0	93	0	1978.0	1967.0	0	11.0
NM_030966	0	0	0	0	0	0	0
NM_001145777	9885.0	1060	402.0	10945.0	3686.0	5852.0	65.0
NM_001017526	0	0	0	0	0	0	0
NM_173806	0	0	0	0	0	0	0
NM_182983	1.0	0	0	1.0	0	1.0	0
NM_014241	256.0	7	2.0	263.0	124.0	27.0	0
NM_001034996	2697.0	136	13.0	2833.0	2474.0	338.0	17.0
NM_001037442	28.0	3	10.0	31.0	31.0	0	0
NM_001058	0	0	0	0	0	0	0
NM_138782	428.0	83	11.0	511.0	345.0	14.0	15.0
NM_006753	1298.0	34	3.0	1332.0	674.0	51.0	7.0
NM_001354199	414.0	39	6.0	453.0	284.0	143.0	7.0
NM_001135147	3565.0	219	213.0	3784.0	1490.0	1852.0	21.0
NM_001129885	0	0	0	0	0	0	0
NM_033070	372.0	16	15.0	388.0	197.0	1.0	5.0
NM_001001959	0	0	0	0	0	0	0
NM_053278	0	0	0	0	0	0	0
NM_002027	559.0	10	13.0	569.0	351.0	2.0	2.0
NM_020547	111.0	6	32.0	117.0	116.0	0	1.0
NM_172175	22.0	0	5.0	22.0	0	22.0	0
NM_002199	772.0	100	25.0	872.0	409.0	377.0	8.0
NM_004101	14.0	0	0	14.0	2.0	11.0	0
NM_001321601	0	0	0	0	0	0	0
NM_001347830	0	0	1.0	0	0	0	0
NM_001322828	79.0	10	0	89.0	12.0	75.0	1.0
NM_005171	1224.0	102	16.0	1326.0	482.0	601.0	16.0
NM_015634	549.0	48	0	597.0	327.0	24.0	2.0
NM_032627	481.0	10	7.0	491.0	102.0	387.0	1.0
NM_001278419	0	0	0	0	0	0	0
NM_001005496	0	0	0	0	0	0	0
NM_006340	95.0	11	3.0	106.0	55.0	22.0	10.0
NM_001289125	632.0	44	16.0	676.0	185.0	424.0	3.0
NM_006065	12.0	1	0	13.0	5.0	2.0	0
NM_001009812	7.0	0	2.0	7.0	0	7.0	0
NM_004778	152.0	7	0	159.0	80.0	46.0	0
NM_006646	12.0	1	11.0	13.0	3.0	10.0	0
NM_014010	19.0	2	260.0	21.0	21.0	0	0
NM_032935	0	0	0	0	0	0	0
NM_001098816	0	0	0	0	0	0	0
NM_001099402	1696.0	59	47.0	1755.0	540.0	1099.0	17.0
NM_001126128	3.0	0	0	3.0	3.0	0	0
NM_001031803	105.0	19	4.0	124.0	87.0	25.0	0
NM_013309	0	0	0	0	0	0	0
NM_003988	0	0	1.0	0	0	0	0
NM_003460	0	0	0	0	0	0	0
NM_015939	1003.0	35	0	1038.0	542.0	213.0	7.0
NM_001080505	0	0	0	0	0	0	0
NM_001330513	379.0	0	5.0	379.0	42.0	323.0	3.0
NM_001001413	0	0	0	0	0	0	0
NM_012163	6.0	1	1.0	7.0	0	7.0	0
NM_016577	1365.0	240	13.0	1605.0	676.0	662.0	14.0
NM_001080779	324.0	53	30.0	377.0	374.0	0	3.0
NM_021211	649.0	1	2.0	650.0	146.0	503.0	0
NM_152791	49.0	9	0	58.0	33.0	19.0	0
NM_198956	5.0	0	0	5.0	5.0	0	0
NM_004488	29.0	0	0	29.0	22.0	0	0
NM_015950	1858.0	68	0	1926.0	860.0	80.0	27.0
NM_001265589	1751.0	2	3.0	1753.0	423.0	366.0	11.0
NM_001289088	449.0	27	45.0	476.0	350.0	68.0	3.0
NM_019078	0	0	0	0	0	0	0
NM_033337	0	0	0	0	0	0	0
NM_003041	1.0	0	0	1.0	1.0	0	0
NM_014051	330.0	57	0	387.0	67.0	243.0	0
NM_001004741	0	0	0	0	0	0	0
NM_032378	2173.0	33	173.0	2206.0	2060.0	103.0	16.0
NM_001005170	0	0	0	0	0	0	0
NM_002305	1082.0	749	3.0	1831.0	737.0	232.0	19.0
NM_004356	1500.0	250	1.0	1750.0	878.0	676.0	34.0
NM_001258283	0	0	0	0	0	0	0
NM_001136112	0	0	0	0	0	0	0
NM_052955	0	0	0	0	0	0	0
NM_014895	236.0	33	3.0	269.0	155.0	67.0	8.0
NM_001161425	11.0	0	0	11.0	4.0	7.0	0
NM_181501	0	0	1.0	0	0	0	0
