AccNum,L24_0_8,L24_0_9,L24_1_8,L24_1_9,L24_2_8,L24_2_9,RNA_0_8,RNA_0_9,RNA_1_8,RNA_1_9,RNA_2_8,RNA_2_9,S15_0_8,S15_0_9,S15_1_8,S15_1_9,S15_2_8,S15_2_9,S24_0_8,S24_0_9,S24_1_8,S24_1_9,S24_2_8,S24_2_9,totalRPF_0_9,totalRPF_0_8,totalRPF_1_9,totalRPF_1_8,totalRPF_2_9,totalRPF_2_8
NM_017847,10.5825856292,8.65057731694,8.81792232942,10.4654035476,6.36226827878,4.74521931471,8.19563414412,12.5632580809,10.2100392885,10.0242608197,4.84305628001,6.58672956577,7.64438543541,6.38203981672,5.96615624783,8.23926201835,4.16803885235,1.68799896287,9.83289623502,8.01591023235,11.0743097434,12.3948719732,5.92076853384,5.91108473785,12.666316253,12.4482538549,15.1549277034,15.6996420063,3.43458868432,5.41143100946
NM_001003803,27.173485031,22.2716766828,40.663729661,33.2399961132,49.9529102444,51.1545497202,10.0444809039,9.28130813554,12.5395677854,11.5461433292,15.8958409449,10.7214547961,14.159320245,17.5801559766,23.0808764564,17.7740661847,24.8763738603,19.6276768294,24.2876141846,20.4092690276,36.7789552514,28.892821748,45.100728885,48.6123740094,26.330290091,27.5553390808,33.4518307894,48.3920357875,47.6845514411,40.0234336698
NM_001003800,26.3599076349,36.9554669171,8.61412341729,16.7318657497,5.91817303385,6.67663314105,19.8014737445,27.2179811704,8.95561655088,13.0451879545,6.49558739686,5.72911163378,20.9120471897,24.3116450573,6.76942670059,10.0517767368,3.64632390352,4.34265340658,25.5227774742,31.0111659218,8.80595632463,15.4844021552,6.45322129742,6.80047179945,31.8030531903,23.0465479183,15.5110865855,8.48646100845,7.71742885391,5.56104611914
NM_016649,8.00285145723,8.85448861716,14.381851179,15.9371505848,5.09653532895,4.57136335528,4.01867655882,5.08758420829,7.0517006035,10.2056127943,3.03748568823,2.33438137566,5.06779316141,5.68041493859,10.324356359,15.5593026767,4.17354242478,2.27166620989,7.30361033829,7.74265915891,18.9823446865,22.00842282,6.32382554671,3.97835885147,12.6385392437,9.29570162086,23.505011296,23.352598052,3.58502601412,5.71559464601
NM_016647,37.5008574327,50.394633364,35.7996471657,63.1887076867,11.3325309272,29.1684744816,14.5981391127,27.3506336212,16.4939769391,27.1983120245,5.14914907706,13.9484527581,25.6804558566,28.8565915158,20.4819000374,32.0923696561,4.15889841627,13.5233754231,23.0364843667,44.0066301293,30.7197147498,45.4756602693,7.0307516735,23.2693025729,29.5705535415,21.8180104159,38.4330848775,20.0823685491,19.7126566723,8.11570806894
NM_016640,54.5570209534,59.6365557456,103.754122347,118.452127459,40.2226149784,49.4547433659,27.0430527063,36.4502283141,36.2631864418,36.1022653582,16.7715141367,21.2388006133,34.5502557635,38.9207731247,55.4666088665,60.0003049186,22.6281882013,30.0233633714,55.3310275449,53.6273899576,96.0015389504,102.018890869,40.8174194378,39.6062920877,64.1980345674,60.1086186958,105.116242075,101.903537909,41.651484055,35.6894807258
NM_001304467,7.55486449349,6.64176594363,20.2685256877,11.4732793712,4.611563403,5.73695884713,6.65329517817,9.8744303781,14.1909127359,11.8640341155,3.83149855667,4.71060289888,3.50285547566,4.17516623524,7.68421409256,5.27652322142,3.6924799023,4.01964612841,7.11029559572,4.44604529344,20.8874435732,9.63176635138,6.61216763479,6.88655372096,5.31527351371,8.29900022361,10.2835933163,21.4990345547,4.97898635736,4.34656478278
NM_001080825,5.27198152698,7.07453259335,18.1790791426,13.12984912,14.5128612977,64.1247702375,2.59236235093,2.62945804412,9.89754120386,5.81529126662,7.38549519582,21.1550255465,2.20473844645,4.05134390326,10.8246253982,6.50936735291,7.90190699092,29.9083628004,5.54403293991,6.15646507104,17.6884254773,11.7036977895,15.2064895945,50.9301156805,5.57582613693,4.51761156847,13.7003676055,16.3805337583,48.8877883983,12.8742541663
NM_002223,37.7220489224,34.0841627613,10.7955028658,11.1658789673,1.94793894546,2.56954373132,34.8661887335,30.6908705655,12.6609048318,14.0280548277,2.59835017312,4.22490767131,25.8341165822,19.1378525592,7.03264531804,7.53898389625,1.03818541146,1.55768194449,43.1600292055,35.764611423,14.2420010082,14.7482709047,1.9738993856,2.42711514007,39.1504713064,45.5658892587,15.162654695,16.9974901086,2.76037067481,1.92375282
NM_001253384,32.2577865121,57.4126659195,47.1624992415,84.594598668,31.5439359712,20.5874711203,57.5837706614,79.0474684747,50.5955163445,54.4776196179,26.8516536264,26.8718879918,26.9038494259,32.128762091,32.5380267968,54.6026187934,14.342502415,16.4128995047,26.1326259719,44.0970547118,35.2082182423,72.1576164102,21.806566549,25.487323994,35.8380496362,24.986105079,64.5635919192,31.5122835254,29.1918652185,29.2316113433
NM_001145313,2.77995259426,2.67671923152,7.76005889325,7.07594191431,3.59314029869,3.90660110858,1.85141914966,2.75505619415,5.19358369909,5.16217860254,1.49588991437,3.07854335123,1.41169693369,1.68264703266,4.17827562083,3.95530565547,2.00895940447,1.85139471935,2.86554285779,3.40444824164,8.95360061953,7.76345762409,3.74095620711,3.60798351256,5.06969653278,3.61579080339,8.49606852707,11.0205015732,3.2105554214,3.0912757179
NM_018476,96.5135242505,111.647625968,43.8910097928,53.1446273904,84.5892487065,113.564780331,30.4024913073,43.0021998558,11.204185242,13.1955923763,31.7238957877,30.9210360171,80.6724296309,91.8895547685,38.7385839703,33.5168105198,67.7306313507,75.0971983038,90.1210173824,90.8663447353,49.9882037031,42.0328075233,92.4330979862,113.745645051,123.677134028,107.046778088,59.0925741863,65.020959282,108.805341022,86.8501273123
