AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	20.0	1.85287963544	12.0	3.39804890284
NM_017847	191.0	4.66446753912	115.0	8.01591023235
NM_001143986	2.0	0.0947663040634	1.0	0.055349254962
NM_001143987	0.0	-	0.0	-
NM_001143980	1.0	0.0434255450843	1.0	0.0474777291815
NM_001003803	153.0	7.89010379392	139.0	20.4092690276
NM_001003800	909.0	13.4799159406	837.0	31.0111659218
NM_016649	246.0	7.27791070982	208.0	7.74265915891
NM_016647	394.0	16.5579838764	290.0	44.0066301293
NM_016644	1.0	0.0508798766201	1.0	0.112464975508
NM_017417	0.0	-	0.0	-
NM_016642	0.0	-	0.0	-
NM_001143989	0.0	-	0.0	-
NM_016640	899.0	51.1577075254	744.0	53.6273899576
NM_001304464	208.0	12.2312959272	1.0	0.373119095214
NM_003279	4.0	0.558856794594	4.0	0.787953368775
NM_001012980	0.0	-	0.0	-
NM_001304467	204.0	5.30318451723	30.0	4.44604529344
NM_001080825	100.0	1.26691570279	66.0	6.15646507104
NM_001008781	0.0	-	0.0	-
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	3376.0	25.5273596669	3047.0	35.764611423
NM_001143981	27.0	0.626414282017	26.0	1.79649934733
NM_001253384	214.0	5.04862609121	203.0	44.0970547118
NM_001145313	77.0	0.947761117016	57.0	3.40444824164
NM_205859	0.0	-	0.0	-
NM_018476	1091.0	120.42180729	361.0	90.8663447353
NM_003363	1211.0	27.9662723781	1034.0	34.0180884631
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	291.0	3.69854427737	140.0	61.6682949035
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	187.0	2.78307274445	154.0	8.7372611026
NM_001355213	0.0	-	0.0	-
NM_001007531	4.0	0.228990058435	4.0	0.314790303655
NM_001282730	541.0	10.8708859092	313.0	24.0359165331
NM_004108	0.0	-	0.0	-
NM_004109	210.0	6.33297228169	156.0	26.743563257
NM_004106	1922.0	309.42368825	871.0	317.515772577
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	212.0	10.0302428082	185.0	16.6684595802
NM_001463	0.0	-	0.0	-
NM_004101	113.0	3.13544086573	88.0	7.44248221921
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	62.0	1.74682051979	56.0	1.93258639088
NM_007100	1147.0	298.991064558	313.0	141.811907545
NM_000334	2.0	0.0243806199307	2.0	0.0345292575865
NM_007105	11.0	0.455241001338	11.0	1.37348958278
NM_181435	1.0	0.0248681048823	1.0	0.0991097596663
NM_000339	0.0	-	0.0	-
NM_000486	3.0	0.0683024905094	2.0	0.233199434509
NM_000485	1276.0	150.440509543	670.0	117.398521947
NM_007108	2047.0	196.729869612	1177.0	313.686553619
NM_000483	96.0	12.5294313455	73.0	22.6980782922
NM_000482	0.0	-	0.0	-
NM_000481	43.0	1.85797042644	43.0	3.37561953715
NM_016643	49.0	3.20420831251	29.0	2.89225965315
NM_030615	0.0	-	0.0	-
NM_001350532	1319.0	32.9214958237	1078.0	35.3191143538
NM_001350531	158.0	3.47021429967	60.0	2.99670454424
NM_001350530	659.0	11.0739665057	615.0	32.3462698214
NM_001320272	0.0	-	0.0	-
NM_030613	1.0	0.0391867254035	1.0	0.0686474525827
NM_014177	147.0	9.11758101963	104.0	13.2464771152
NM_020992	1943.0	117.004716779	1481.0	142.333628185
NM_005802	528.0	12.0385226407	442.0	13.4016103319
NM_005258	223.0	29.7579485966	100.0	37.3119095214
NM_001012964	0.0	-	0.0	-
NM_003824	633.0	32.5024386152	348.0	52.8079561552
NM_003825	1781.0	64.1627802677	1183.0	176.976370846
NM_003826	278.0	7.11989573613	197.0	19.9612755571
NM_003827	1929.0	98.6749555594	1368.0	146.57529862
NM_003820	178.0	4.83743951208	74.0	8.26379967922
NM_003821	374.0	13.7657130022	209.0	12.2522379417
NM_003795	2227.0	120.39132806	931.0	181.145887115
NM_003823	5.0	0.411884715496	1.0	0.105365857453
NM_012181	2556.0	135.482765392	1865.0	142.871267074
NM_012180	192.0	7.1275500982	90.0	8.91987836997
NM_012183	0.0	-	0.0	-
NM_012182	1.0	0.0652127274021	1.0	0.0972856536602
NM_001018088	3594.0	23.4278197582	3456.0	30.2032144971
NM_020437	26.0	0.746688681337	13.0	1.11431513571
NM_012186	0.0	-	0.0	-
NM_020733	739.0	7.67938268869	694.0	15.9264076894
NM_020731	21.0	0.353012854218	17.0	0.748829295256
NM_020737	0.0	-	0.0	-
NM_001025780	1020.0	31.1351545285	491.0	53.8827869854
NM_001300829	1456.0	78.0899986872	807.0	85.8862561618
NM_002224	60.0	0.632125141931	54.0	0.64094934395
NM_175856	28.0	0.762906741074	28.0	1.00568906751
NM_001688	1740.0	78.797212064	1007.0	124.26898426
NM_014171	193.0	2.88455172337	118.0	36.6900443627
