AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	1.0	0.192185894497	1.0	0.58742533824
NM_017847	63.0	3.19163746403	44.0	6.36226827878
NM_001143986	0.0	-	0.0	-
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	173.0	18.5072412256	164.0	49.9529102444
NM_001003800	79.0	2.43027091307	77.0	5.91817303385
NM_016649	73.0	4.48021414687	66.0	5.09653532895
NM_016647	41.0	3.57436901925	36.0	11.3325309272
NM_016644	0.0	-	0.0	-
NM_017417	0.0	-	0.0	-
NM_016642	0.0	-	0.0	-
NM_001143989	0.0	-	0.0	-
NM_016640	289.0	34.1156399787	269.0	40.2226149784
NM_001304464	36.0	4.39153083519	0.0	-
NM_003279	0.0	-	0.0	-
NM_001012980	0.0	-	0.0	-
NM_001304467	66.0	3.55921975432	15.0	4.611563403
NM_001080825	106.0	2.78585097826	75.0	14.5128612977
NM_001008781	0.0	-	0.0	-
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	87.0	1.36466800345	80.0	1.94793894546
NM_001143981	0.0	-	0.0	-
NM_001253384	71.0	3.47473812771	70.0	31.5439359712
NM_001145313	36.0	0.919210464598	29.0	3.59314029869
NM_205859	0.0	-	0.0	-
NM_018476	342.0	78.3088404499	162.0	84.5892487065
NM_003363	350.0	16.7672863536	300.0	20.4745761046
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	79.0	2.08290384427	41.0	37.4646826833
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	3.0	0.092620794767	3.0	0.353085713146
NM_001355213	0.0	-	0.0	-
NM_001007531	5.0	0.593787345513	5.0	0.816273422864
NM_001282730	213.0	8.87874479559	132.0	21.0278358366
NM_004108	0.0	-	0.0	-
NM_004109	11.0	0.68815342318	8.0	2.84504380034
NM_004106	51.0	17.0323529544	30.0	22.6867716837
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	0.0	-	0.0	-
NM_001463	0.0	-	0.0	-
NM_004101	1.0	0.0575604880865	1.0	0.175444367688
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	0.0	-	0.0	-
NM_007100	441.0	238.472155942	138.0	129.703514683
NM_000334	0.0	-	0.0	-
NM_007105	0.0	-	0.0	-
NM_181435	0.0	-	0.0	-
NM_000339	0.0	-	0.0	-
NM_000486	36.0	1.70028640616	32.0	7.7401926921
NM_000485	259.0	63.3458520879	197.0	71.6074732758
NM_007108	1273.0	253.796227348	896.0	495.372332294
NM_000483	1.0	0.270747480999	1.0	0.645016057675
NM_000482	0.0	-	0.0	-
NM_000481	11.0	0.985978224402	11.0	1.79135647701
NM_016643	7.0	0.949570031299	2.0	0.413783886056
NM_030615	0.0	-	0.0	-
NM_001350532	95.0	4.91883966333	80.0	5.43732544486
NM_001350531	72.0	3.28046947892	31.0	3.21187523522
NM_001350530	219.0	7.63424692494	205.0	22.3669747363
NM_001320272	0.0	-	0.0	-
NM_030613	0.0	-	0.0	-
NM_014177	106.0	13.6386837332	83.0	21.9305459609
NM_020992	50.0	6.24604157115	40.0	7.9747439858
NM_005802	446.0	21.0949464383	402.0	25.285122781
NM_005258	128.0	35.4333645821	55.0	42.5710598065
NM_001012964	0.0	-	0.0	-
NM_003824	163.0	17.3621753506	117.0	36.8307255134
NM_003825	507.0	37.8906025065	399.0	123.824827902
NM_003826	408.0	21.6767065326	323.0	67.8936071443
NM_003827	2403.0	254.995654568	1894.0	420.977574831
NM_003820	50.0	2.81883624177	17.0	3.9382318451
NM_003821	101.0	7.71174710967	69.0	8.39117008117
NM_003795	1893.0	212.290177009	1110.0	448.028945092
NM_003823	1.0	0.170887371124	1.0	0.218576870043
NM_012181	2722.0	299.306136463	1936.0	307.663311452
NM_012180	190.0	14.6317727636	126.0	25.9054574164
NM_012183	0.0	-	0.0	-
NM_012182	0.0	-	0.0	-
NM_001018088	448.0	6.05809545865	431.0	7.81377677804
NM_020437	0.0	-	0.0	-
NM_012186	1.0	0.0996339796307	1.0	0.205598868384
NM_020733	3.0	0.0646706794392	2.0	0.0952122111184
NM_020731	10.0	0.348718928708	8.0	0.731018198698
NM_020737	0.0	-	0.0	-
NM_001025780	92.0	5.82563107336	57.0	12.9762053956
NM_001300829	631.0	70.2049439189	522.0	115.245754949
NM_002224	15.0	0.327829000634	14.0	0.344716665554
NM_175856	3.0	0.169566077018	3.0	0.223527648526
NM_001688	548.0	51.480938924	377.0	96.5114688009
NM_014171	216.0	6.69698104745	151.0	97.3974247089
NM_001199973	0.0	-	0.0	-
NM_001867	646.0	313.278118469	232.0	238.494687325
NM_144646	0.0	-	0.0	-
NM_144647	0.0	-	0.0	-
NM_144644	0.0	-	0.0	-
NM_144645	0.0	-	0.0	-
NM_144642	0.0	-	0.0	-
NM_144643	142.0	9.1742185722	79.0	7.54359853809
NM_001161546	1.0	0.0607120620266	1.0	0.0647555490973
NM_144641	15.0	1.34757565076	15.0	2.14537949618
NM_133447	0.0	-	0.0	-
NM_001008783	0.0	-	0.0	-
NM_000159	327.0	34.2759409257	314.0	47.0582557977
NM_000158	98.0	6.24160746613	84.0	7.86130523778
NM_144648	0.0	-	0.0	-
NM_144649	3.0	0.28453855884	2.0	0.47502987641
NM_021020	0.0	-	0.0	-
NM_021021	100.0	3.96733494771	87.0	10.6194294913
NM_021023	0.0	-	0.0	-
NM_001347869	18.0	1.25317405491	5.0	1.31583275766
NM_021025	9.0	1.18980189071	8.0	1.80251062693
NM_021026	0.0	-	0.0	-
NM_021027	0.0	-	0.0	-
NM_015225	0.0	-	0.0	-
NM_175068	0.0	-	0.0	-
NM_001143679	179.0	28.8173813565	154.0	35.801810014
NM_152694	0.0	-	0.0	-
NM_173536	0.0	-	0.0	-
NM_173537	0.0	-	0.0	-
NM_173535	0.0	-	0.0	-
NM_001297658	142.0	13.7052507277	75.0	14.9526449734
NM_001286495	66.0	3.08033679376	66.0	4.00576393014
NM_023009	53.0	6.697100143	38.0	12.7555216303
NM_173531	52.0	2.29608400665	31.0	3.75606035795
NM_001286499	41.0	2.98281292281	32.0	3.57441835696
NM_001297656	1177.0	77.4884167326	1142.0	111.806622712
NM_001297650	1.0	0.0424919082128	1.0	0.0449396433626
NM_173538	0.0	-	0.0	-
NM_006885	47.0	0.577550799494	47.0	0.834829098405
NM_001001952	0.0	-	0.0	-
NM_001001953	0.0	-	0.0	-
NM_002226	0.0	-	0.0	-
NM_001001957	19.0	3.96838450722	7.0	1.4620363974
NM_001001954	0.0	-	0.0	-
NM_001001955	0.0	-	0.0	-
NM_001282864	0.0	-	0.0	-
NM_001001958	0.0	-	0.0	-
NM_001001959	0.0	-	0.0	-
NM_152695	26.0	1.26428868068	21.0	2.6620893941
NM_015259	2.0	0.119512512049	2.0	0.43426823685
NM_001282862	1.0	0.0604332252445	1.0	0.13426864874
NM_001170700	0.0	-	0.0	-
NM_001319119	152.0	7.40765108014	136.0	18.9569126103
NM_001193653	130.0	10.5984051112	90.0	31.4959968588
NM_012184	0.0	-	0.0	-
NM_006272	16.0	2.78237763734	4.0	2.82974786593
NM_182976	459.0	9.30038860124	352.0	39.7232530613
NM_006270	6.0	1.20106438326	4.0	1.20167375128
NM_006271	2.0	0.664561998816	0.0	-
NM_003356	2.0	0.162783433937	1.0	0.210196926143
NM_003357	0.0	-	0.0	-
NM_006274	0.0	-	0.0	-
NM_003355	5017.0	601.597777506	958.0	203.317384167
NM_001002030	146.0	12.3201100439	116.0	25.2709602464
NM_001170704	201.0	3.44019750636	144.0	36.5791345758
NM_003358	332.0	16.3331184774	251.0	41.8068382496
NM_003359	23.0	1.42085227353	18.0	2.39242319574
NM_001002034	25.0	2.11594032642	13.0	3.28958189414
NM_001145006	0.0	-	0.0	-
NM_001002036	0.0	-	0.0	-
NM_001042507	0.0	-	0.0	-
NM_001324080	0.0	-	0.0	-
NM_004813	188.0	19.4478426446	167.0	32.6029778232
NM_004814	318.0	38.6485360469	262.0	48.1491875008
NM_004815	0.0	-	0.0	-
NM_020199	174.0	15.0562187527	150.0	37.1005476783
NM_004817	306.0	12.7823753601	290.0	16.0197942788
NM_004818	318.0	19.2118832385	275.0	22.0373939315
NM_020196	500.0	37.170416883	479.0	36.815647834
NM_020195	57.0	9.13921208608	53.0	11.8603973054
NM_001330724	0.0	-	0.0	-
NM_014314	38.0	1.57700729997	31.0	2.20252783409
NM_020191	369.0	64.9120705315	346.0	63.0579133171
NM_001356505	0.0	-	0.0	-
NM_001303098	0.0	-	0.0	-
NM_032968	0.0	-	0.0	-
NM_005663	163.0	13.0357013471	150.0	18.2754549675
NM_001278267	0.0	-	0.0	-
NM_032961	0.0	-	0.0	-
NM_001100817	0.0	-	0.0	-
NM_001199654	1.0	0.174977760327	1.0	0.31630595136
NM_032965	0.0	-	0.0	-
NM_001303095	72.0	5.21887395618	49.0	9.10675213632
NM_001303096	265.0	19.1450776416	203.0	17.4129106782
NM_014313	563.0	48.2719706273	397.0	165.31190025
NM_003688	4.0	0.0951663035914	4.0	0.285430099275
NM_003689	103.0	7.76235819236	102.0	18.6409640668
NM_014310	0.0	-	0.0	-
NM_003680	1318.0	83.4584973336	1103.0	137.17991793
NM_003681	240.0	6.41782675459	206.0	43.3005667855
NM_003682	79.0	2.59185807484	73.0	2.9143140567
NM_005667	3.0	0.169226847941	3.0	0.287718533015
NM_003684	226.0	15.8742813112	174.0	24.5659763768
NM_003685	606.0	36.8028300526	533.0	49.2513244263
NM_003687	6.0	0.51601284614	6.0	1.19259766555
NM_006416	60.0	6.21327115368	56.0	10.9003897084
NM_006417	13.0	1.48660131948	11.0	1.62631014991
NM_003175	0.0	-	0.0	-
NM_003172	162.0	30.6565062426	146.0	31.9122230262
NM_001324229	38.0	3.19703611195	14.0	3.79046473399
NM_006411	176.0	15.3912205592	140.0	32.4324975479
NM_001128844	488.0	16.6930602878	443.0	17.685494892
NM_001127325	132.0	22.6158755222	88.0	27.3097364797
NM_001127322	491.0	8.28158285775	386.0	132.268605327
NM_001127323	0.0	-	0.0	-
NM_006418	1.0	0.0676173051211	1.0	0.128750759066
NM_006419	0.0	-	0.0	-
NM_001308174	12.0	1.18070735981	10.0	1.27999295492
NM_002460	1.0	0.037051795316	1.0	0.14555672098
NM_002889	0.0	-	0.0	-
NM_001098398	1667.0	58.0698872312	1549.0	82.5860997411
NM_001257360	48.0	2.3056694707	41.0	3.06529221954
NM_002887	323.0	29.8185674034	286.0	28.4665785696
NM_002886	717.0	16.8213256967	466.0	166.624474203
NM_002881	26.0	2.26968056385	21.0	6.67451398811
NM_001346791	88.0	4.12467166969	60.0	40.6958584842
NM_024298	108.0	8.20180479955	76.0	10.5711722602
NM_024299	715.0	172.944930464	174.0	99.5456086227
NM_001323684	2.0	0.158725302492	0.0	-
NM_024292	475.0	180.641780314	243.0	216.045513588
NM_024293	347.0	14.7574003525	334.0	40.3941306119
NM_024294	299.0	13.3247006505	202.0	44.4478623824
NM_002014	317.0	16.724899125	279.0	39.9040586289
NM_024297	205.0	19.8634547363	114.0	18.5649671254
