AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	23.0	3.22490163694	15.0	6.42852092611
NM_017847	179.0	6.61596445209	118.0	12.4482538549
NM_001143986	1.0	0.0717125840363	1.0	0.0837689754188
NM_001143987	0.0	-	0.0	-
NM_001143980	1.0	0.0657228976471	1.0	0.0718557229266
NM_001003803	141.0	11.0047915951	124.0	27.5553390808
NM_001003800	444.0	9.96500899668	411.0	23.0465479183
NM_016649	194.0	8.68649892304	165.0	9.29570162086
NM_016647	122.0	7.75965635463	95.0	21.8180104159
NM_016644	2.0	0.154009485289	0.0	-
NM_017417	0.0	-	0.0	-
NM_016642	0.0	-	0.0	-
NM_001143989	0.0	-	0.0	-
NM_016640	601.0	51.7603589209	551.0	60.1086186958
NM_001304464	128.0	11.3917522864	0.0	-
NM_003279	12.0	2.53742499991	12.0	3.57761164584
NM_001012980	0.0	-	0.0	-
NM_001304467	140.0	5.50815344926	37.0	8.29900022361
NM_001080825	39.0	0.747797054734	32.0	4.51761156847
NM_001008781	0.0	-	0.0	-
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	2781.0	31.8255466884	2565.0	45.5658892587
NM_001143981	10.0	0.351131111302	9.0	0.941169076764
NM_001253384	82.0	2.9278222755	76.0	24.986105079
NM_001145313	48.0	0.894171500615	40.0	3.61579080339
NM_205859	0.0	-	0.0	-
NM_018476	588.0	98.226606522	281.0	107.046778088
NM_003363	923.0	32.2599407407	834.0	41.526644721
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	177.0	3.40472879613	89.0	59.3328672143
NM_205853	1.0	0.197529312407	0.0	-
NM_205852	1.0	0.0474460852537	1.0	0.2060069653
NM_001282735	173.0	3.89673147081	140.0	12.0213724653
NM_001355213	0.0	-	0.0	-
NM_001007531	5.0	0.433209593095	5.0	0.595528820285
NM_001282730	404.0	12.2862815149	246.0	28.5905744239
NM_004108	1.0	0.13623355605	0.0	-
NM_004109	117.0	5.34005313571	98.0	25.4268272739
NM_004106	1271.0	309.682846319	773.0	426.479408198
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	149.0	10.6692349294	134.0	18.2725837233
NM_001463	1.0	0.0520415138218	1.0	0.147238107101
NM_004101	85.0	3.56952576358	69.0	8.83193061635
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	24.0	1.02338550485	24.0	1.25352660496
NM_007100	735.0	289.970324733	249.0	170.741515798
NM_000334	0.0	-	0.0	-
NM_007105	3.0	0.187906309802	3.0	0.566924680098
NM_181435	1.0	0.037636923352	1.0	0.149998821609
NM_000339	0.0	-	0.0	-
NM_000486	0.0	-	0.0	-
NM_000485	632.0	112.772348261	357.0	94.6732893958
NM_007108	1024.0	148.944284439	546.0	220.233563963
NM_000483	12.0	2.37035174889	10.0	4.70584538382
NM_000482	0.0	-	0.0	-
NM_000481	37.0	2.41959952024	37.0	4.39600506894
NM_016643	14.0	1.38555612538	8.0	1.2075376834
NM_030615	0.0	-	0.0	-
NM_001350532	912.0	34.4509360691	806.0	39.9666281709
NM_001350531	113.0	3.75620317825	50.0	3.77949786732
NM_001350530	560.0	14.2422053156	531.0	42.2683246565
NM_001320272	0.0	-	0.0	-
NM_030613	0.0	-	0.0	-
NM_014177	105.0	9.85650666116	78.0	15.0360264553
NM_020992	1702.0	155.117768737	1511.0	219.780091589
NM_005802	489.0	16.8740586667	431.0	19.7780473005
NM_005258	87.0	17.5706894541	41.0	23.1527592884
NM_001012964	0.0	-	0.0	-
NM_003824	306.0	23.779629701	209.0	47.999622915
