AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	5.0	0.397443227243	3.0	0.728882489961
NM_017847	174.0	3.64590912843	99.0	5.92076853384
NM_001143986	0.0	-	0.0	-
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	376.0	16.6366934511	358.0	45.100728885
NM_001003800	212.0	2.69741051148	203.0	6.45322129742
NM_016649	237.0	6.01600025297	198.0	6.32382554671
NM_016647	67.0	2.41587199853	54.0	7.0307516735
NM_016644	0.0	-	0.0	-
NM_017417	0.0	-	0.0	-
NM_016642	0.0	-	0.0	-
NM_001143989	0.0	-	0.0	-
NM_016640	766.0	37.3996929299	660.0	40.8174194378
NM_001304464	137.0	6.91222059701	0.0	-
NM_003279	0.0	-	0.0	-
NM_001012980	0.0	-	0.0	-
NM_001304467	189.0	4.2155695485	52.0	6.61216763479
NM_001080825	264.0	2.86972003504	190.0	15.2064895945
NM_001008781	0.0	-	0.0	-
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	212.0	1.37539424951	196.0	1.9738993856
NM_001143981	0.0	-	0.0	-
NM_001253384	127.0	2.57069787682	117.0	21.806566549
NM_001145313	83.0	0.876544841744	73.0	3.74095620711
NM_205859	0.0	-	0.0	-
NM_018476	1108.0	104.932020272	428.0	92.4330979862
NM_003363	1014.0	20.0916812184	848.0	23.937186503
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	188.0	2.0501402229	69.0	26.077795752
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	10.0	0.127694101166	9.0	0.438111836542
NM_001355213	0.0	-	0.0	-
NM_001007531	13.0	0.638539654262	13.0	0.877793966405
NM_001282730	563.0	9.70652888849	318.0	20.9522831013
NM_004108	0.0	-	0.0	-
NM_004109	44.0	1.13848903662	27.0	3.97142459395
NM_004106	104.0	14.3655215619	60.0	18.7666296266
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	2.0	0.081188303208	1.0	0.0773057186323
NM_001463	0.0	-	0.0	-
NM_004101	0.0	-	0.0	-
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	0.0	-	0.0	-
NM_007100	1063.0	237.747489657	304.0	118.176147706
NM_000334	0.0	-	0.0	-
NM_007105	0.0	-	0.0	-
NM_181435	0.0	-	0.0	-
NM_000339	0.0	-	0.0	-
NM_000486	88.0	1.71903944031	66.0	6.60281785024
NM_000485	581.0	58.773037654	303.0	45.5531421351
NM_007108	2589.0	213.487472575	1632.0	373.18783486
NM_000483	2.0	0.223963892663	0.0	-
NM_000482	0.0	-	0.0	-
NM_000481	17.0	0.630241717024	17.0	1.14504311954
NM_016643	27.0	1.51487329872	11.0	0.941282209258
NM_030615	0.0	-	0.0	-
NM_001350532	217.0	4.64710389193	177.0	4.97567716288
NM_001350531	211.0	3.97621214284	80.0	3.42823470344
NM_001350530	752.0	10.8423523198	705.0	31.8145723645
NM_001320272	0.0	-	0.0	-
NM_030613	0.0	-	0.0	-
NM_014177	262.0	13.9428473178	181.0	19.7803290984
NM_020992	106.0	5.47676767141	98.0	8.08102445436
NM_005802	1171.0	22.9078352081	1052.0	27.3677025166
NM_005258	297.0	34.0049749594	127.0	40.6573511263
NM_001012964	0.0	-	0.0	-
NM_003824	343.0	15.1110360142	227.0	29.5551968497
NM_003825	1169.0	36.1344667344	792.0	101.6584786
NM_003826	1176.0	25.841876317	824.0	71.6369619101
NM_003827	5713.0	250.741846504	4126.0	379.307821172
NM_003820	125.0	2.91469718922	33.0	3.16191277335
NM_003821	254.0	8.02137294949	175.0	8.80227775924
NM_003795	4676.0	216.888924195	2214.0	369.610497486
NM_003823	1.0	0.0706795141781	0.0	-
NM_012181	6332.0	287.973147499	4111.0	270.210002108
NM_012180	523.0	16.6582211206	282.0	23.9802339197
NM_012183	0.0	-	0.0	-
NM_012182	1.0	0.055952596899	0.0	-
NM_001018088	1348.0	7.53930959197	1298.0	9.73289435663
NM_020437	0.0	-	0.0	-
NM_012186	0.0	-	0.0	-
NM_020733	3.0	0.026747981283	3.0	0.0590700715454
NM_020731	31.0	0.447116608683	26.0	0.982641579059
NM_020737	0.0	-	0.0	-
NM_001025780	229.0	5.99755473293	139.0	13.0879384126
NM_001300829	1570.0	72.2472925788	1021.0	93.2317343312
NM_002224	22.0	0.198866842572	21.0	0.213863724599
NM_175856	6.0	0.140266046178	6.0	0.184903372312
NM_001688	1462.0	56.8063467093	831.0	87.9877446248
NM_014171	667.0	8.55332037859	435.0	116.049525853
NM_001199973	0.0	-	0.0	-
NM_001867	1725.0	345.995324473	436.0	185.37911328
NM_144646	1.0	0.0579381397272	1.0	0.170072580991
NM_144647	0.0	-	0.0	-
NM_144644	0.0	-	0.0	-
NM_144645	1.0	0.0899062102155	1.0	0.230606889479
NM_144642	0.0	-	0.0	-
NM_144643	426.0	11.3834505273	254.0	10.0315670413
NM_001161546	0.0	-	0.0	-
NM_144641	12.0	0.445888969735	12.0	0.709868164136
NM_133447	0.0	-	0.0	-
NM_001008783	0.0	-	0.0	-
NM_000159	777.0	33.6857513576	706.0	43.761728357
NM_000158	279.0	7.3495063073	243.0	9.40600561726
NM_144648	0.0	-	0.0	-
NM_144649	4.0	0.156914635033	2.0	0.196473739773
NM_021020	0.0	-	0.0	-
NM_021021	261.0	4.28275235107	207.0	10.4504710249
NM_021023	0.0	-	0.0	-
NM_001347869	59.0	1.69892610006	19.0	2.06808258485
NM_021025	21.0	1.14824622665	13.0	1.21147591939
NM_021026	0.0	-	0.0	-
NM_021027	0.0	-	0.0	-
NM_015225	0.0	-	0.0	-
NM_175068	2.0	0.071484097089	2.0	0.100597460106
NM_001143679	323.0	21.507384141	302.0	29.0385410371
NM_152694	0.0	-	0.0	-
NM_173536	2.0	0.0241237703533	1.0	0.0583940192244
NM_173537	0.0	-	0.0	-
NM_173535	0.0	-	0.0	-
NM_001297658	337.0	13.4527827389	101.0	8.32840275398
NM_001286495	164.0	3.16578708338	164.0	4.11688609336
NM_023009	121.0	6.32382554671	95.0	13.1893021993
NM_173531	143.0	2.61158433092	99.0	4.96123330184
NM_001286499	106.0	3.18956613373	69.0	3.18777808852
NM_001297656	3077.0	83.7859904004	2957.0	119.739195712
NM_001297650	2.0	0.0351495538754	2.0	0.0371743346428
NM_173538	0.0	-	0.0	-
NM_006885	44.0	0.223629243589	44.0	0.3232481021
NM_001001952	0.0	-	0.0	-
NM_001001953	0.0	-	0.0	-
NM_002226	0.0	-	0.0	-
NM_001001957	24.0	2.07326574922	12.0	1.03663287461
NM_001001954	0.0	-	0.0	-
NM_001001955	0.0	-	0.0	-
NM_001282864	1.0	0.0250106736751	1.0	0.0507679346242
NM_001001958	0.0	-	0.0	-
NM_001001959	1.0	0.0842464797479	1.0	0.0842464797479
NM_152695	38.0	0.764258161438	33.0	1.730218165
NM_015259	13.0	0.321299698875	12.0	1.07768764192
NM_001282862	0.0	-	0.0	-
NM_001170700	0.0	-	0.0	-
NM_001319119	373.0	7.5184678767	294.0	16.9496063767
NM_001193653	291.0	9.81236601108	205.0	29.6722375346
NM_012184	1.0	0.0394943584304	0.0	-
NM_006272	31.0	2.22967401334	12.0	3.51117586562
NM_182976	1321.0	11.0706931685	974.0	45.4615969496
NM_006270	9.0	0.745145588115	8.0	0.9940315236
NM_006271	5.0	0.687161943398	1.0	0.286438031143
NM_003356	16.0	0.538621617324	10.0	0.869380605705
NM_003357	0.0	-	0.0	-
NM_006274	0.0	-	0.0	-
NM_003355	12297.0	609.880688733	1808.0	158.705149126
NM_001002030	428.0	14.9378841551	320.0	28.8334971746
NM_001170704	431.0	3.05104193162	323.0	33.9357180912
NM_003358	710.0	14.4468433703	578.0	39.8185121267
NM_003359	80.0	2.04406482318	54.0	2.96853959548
NM_001002034	55.0	1.92534997348	34.0	3.55844169458
NM_001145006	0.0	-	0.0	-
NM_001002036	0.0	-	0.0	-
NM_001042507	0.0	-	0.0	-
NM_001324080	0.0	-	0.0	-
NM_004813	258.0	11.0386731813	217.0	17.5220178398
NM_004814	973.0	48.9105284643	701.0	53.2830745362
NM_004815	2.0	0.017908267824	2.0	0.0431245847204
NM_020199	444.0	15.8903412805	379.0	38.7714335011
NM_004817	800.0	13.8217716615	735.0	16.7930608938
NM_004818	942.0	23.5384200248	734.0	24.3280437413
NM_020196	1282.0	39.4184043083	1176.0	37.3841785505
NM_020195	112.0	7.42737770437	90.0	8.33008559956
NM_001330724	0.0	-	0.0	-
NM_014314	78.0	1.33883882092	70.0	2.057033377
NM_020191	938.0	68.2473073667	844.0	63.6193942854
NM_001356505	1.0	0.0153998941475	0.0	-
NM_001303098	1.0	0.0338874383046	1.0	0.0753784292481
NM_032968	0.0	-	0.0	-
NM_005663	317.0	10.4855121246	273.0	13.7569821068
NM_001278267	0.0	-	0.0	-
NM_032961	0.0	-	0.0	-
NM_001100817	0.0	-	0.0	-
