AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	16.0	1.64268168319	5.0	1.56904212112
NM_017847	174.0	4.70905947481	137.0	10.5825856292
NM_001143986	0.0	-	0.0	-
NM_001143987	0.0	-	0.0	-
NM_001143980	1.0	0.0481239756	1.0	0.0526145860976
NM_001003803	189.0	10.8011328845	167.0	27.173485031
NM_001003800	697.0	11.4543987665	642.0	26.3599076349
NM_016649	202.0	6.62276286349	194.0	8.00285145723
NM_016647	263.0	12.248508318	223.0	37.5008574327
NM_016644	0.0	-	0.0	-
NM_017417	0.0	-	0.0	-
NM_016642	0.0	-	0.0	-
NM_001143989	0.0	-	0.0	-
NM_016640	758.0	47.8009808307	683.0	54.5570209534
NM_001304464	109.0	7.10316423289	0.0	-
NM_003279	3.0	0.464491764491	3.0	0.654904537513
NM_001012980	0.0	-	0.0	-
NM_001304467	129.0	3.71631484689	46.0	7.55486449349
NM_001080825	66.0	0.926633237764	51.0	5.27198152698
NM_001008781	0.0	-	0.0	-
NM_017419	0.0	-	0.0	-
NM_001040	2.0	0.159878135769	2.0	0.174424533564
NM_002223	3179.0	26.6385270194	2900.0	37.7220489224
NM_001143981	10.0	0.25710712153	10.0	0.765719902248
NM_001253384	137.0	3.58175784377	134.0	32.2577865121
NM_001145313	45.0	0.613814149325	42.0	2.77995259426
NM_205859	0.0	-	0.0	-
NM_018476	676.0	82.6881557363	346.0	96.5135242505
NM_003363	1071.0	27.4091855116	980.0	35.7298886337
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	167.0	2.35217984239	91.0	44.4213258292
NM_205853	1.0	0.144635981536	0.0	-
NM_205852	2.0	0.0694824583457	2.0	0.301687068783
NM_001282735	229.0	3.7768927567	200.0	12.5747919546
NM_001355213	0.0	-	0.0	-
NM_001007531	11.0	0.697855557121	11.0	0.959334934603
NM_001282730	482.0	10.7332422218	348.0	29.6150051879
NM_004108	2.0	0.199507342554	2.0	0.223863334479
NM_004109	147.0	4.91271812656	125.0	23.7476645359
NM_004106	1907.0	340.225677562	1154.0	466.196680623
NM_001291976	0.0	-	0.0	-
NM_130759	1.0	0.0238767279301	1.0	0.114483855092
NM_181776	0.0	-	0.0	-
NM_001462	205.0	10.7484456791	189.0	18.8712975113
NM_001463	0.0	-	0.0	-
NM_004101	120.0	3.68992582816	106.0	9.93475629973
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	54.0	1.68603495681	54.0	2.06519406933
NM_007100	874.0	252.477361895	405.0	203.347858898
NM_000334	1.0	0.013509241581	1.0	0.0191325767628
NM_007105	10.0	0.458632581729	9.0	1.245349967
NM_181435	0.0	-	0.0	-
NM_000339	0.0	-	0.0	-
NM_000486	0.0	-	0.0	-
NM_000485	959.0	125.299387469	693.0	134.566600302
NM_007108	1769.0	188.406774166	1234.0	364.460795759
NM_000483	11.0	1.59099579689	8.0	2.75659164809
NM_000482	0.0	-	0.0	-
NM_000481	41.0	1.96322654501	40.0	3.47985579338
NM_016643	39.0	2.82621690106	28.0	3.09466420871
NM_030615	0.0	-	0.0	-
NM_001350532	1081.0	29.9003779153	958.0	34.783459386
NM_001350531	127.0	3.09114336993	58.0	3.2102354705
NM_001350530	538.0	10.0188133575	503.0	29.3179293319
NM_001320272	0.0	-	0.0	-
NM_030613	0.0	-	0.0	-
NM_014177	133.0	9.14176718498	108.0	15.2442839334
NM_020992	2506.0	167.235262109	2120.0	225.789915903
NM_005802	502.0	12.6840868754	465.0	15.6244194394
NM_005258	137.0	20.2597887572	70.0	28.944212305
NM_001012964	0.0	-	0.0	-
NM_003824	458.0	26.0611714987	352.0	59.1941785485
NM_003825	2137.0	85.317868407	1745.0	289.295841653
NM_003826	230.0	6.52789098899	190.0	21.334962516
NM_003827	2138.0	121.198887147	1830.0	217.291130504
NM_003820	136.0	4.09591252596	74.0	9.15790218301
NM_003821	289.0	11.7880283272	229.0	14.8771875499
NM_003795	1804.0	108.075621303	1079.0	232.657180679
NM_003823	4.0	0.365158893643	3.0	0.350297775879
NM_012181	2211.0	129.875778899	1804.0	153.150638884
NM_012180	147.0	6.04745442423	98.0	10.7636289509
NM_012183	0.0	-	0.0	-
NM_012182	0.0	-	0.0	-
NM_001018088	2983.0	21.5488091189	2940.0	28.4736395505
NM_020437	14.0	0.445564391051	6.0	0.569943948862
NM_012186	0.0	-	0.0	-
NM_020733	565.0	6.50648659402	541.0	13.7585239078
NM_020731	14.0	0.26080473985	13.0	0.634590368988
NM_020737	0.0	-	0.0	-
NM_001025780	850.0	28.7531876672	564.0	68.5904863025
NM_001300829	1006.0	59.7927104412	774.0	91.2866599973
NM_002224	113.0	1.31930885295	108.0	1.42059382463
NM_175856	40.0	1.20778500045	39.0	1.55233884147
NM_001688	1233.0	61.8786599025	958.0	131.013185547
NM_014171	167.0	2.76600978638	117.0	40.3151528534
NM_001199973	1.0	0.039653866318	0.0	-
NM_001867	1204.0	311.914779286	446.0	244.927475107
NM_144646	18.0	1.34699315097	16.0	3.51465435132
NM_144647	0.0	-	0.0	-
NM_144644	0.0	-	0.0	-
NM_144645	2.0	0.232245882246	1.0	0.297852063671
NM_144642	0.0	-	0.0	-
NM_144643	311.0	10.7337889027	227.0	11.5794853084
NM_001161546	18.0	0.583793709539	18.0	0.622674983501
NM_144641	166.0	7.96676316321	162.0	12.377695759
NM_133447	1.0	0.0334198512011	1.0	0.0637868303324
NM_001008783	10.0	0.438783314771	10.0	0.8428427701
NM_000159	329.0	18.4225376779	313.0	25.0589251017
NM_000158	923.0	31.4039299735	852.0	42.595810915
NM_144648	0.0	-	0.0	-
NM_144649	125.0	6.33347132025	79.0	10.0237434568
NM_021020	0.0	-	0.0	-
NM_021021	807.0	17.1034737378	712.0	46.4273450489
NM_021023	12.0	0.771509491753	12.0	1.27419493099
NM_001347869	124.0	4.61182158268	58.0	8.15399809506
NM_021025	0.0	-	0.0	-
NM_021026	0.0	-	0.0	-
NM_021027	0.0	-	0.0	-
NM_015225	7.0	0.0586473908444	7.0	0.0796457768185
NM_175068	2.0	0.0923289234147	2.0	0.129931768995
NM_001143679	1081.0	92.9692011527	962.0	119.473409398
NM_152694	2.0	0.079637183187	2.0	0.147674552576
NM_173536	0.0	-	0.0	-
NM_173537	0.0	-	0.0	-
NM_173535	0.0	-	0.0	-
NM_001297658	193.0	9.9510262563	142.0	15.1236641784
NM_001286495	147.0	3.66508056025	146.0	4.73375955067
NM_023009	309.0	20.8584160286	232.0	41.6020310972
NM_173531	153.0	3.60900748827	113.0	7.31410574031
NM_001286499	55.0	2.13755240681	43.0	2.56587669111
NM_001297656	1517.0	53.3528750929	1470.0	76.8830639351
NM_001297650	0.0	-	0.0	-
NM_173538	0.0	-	0.0	-
NM_006885	236.0	1.54923127925	233.0	2.21089218104
NM_001001952	0.0	-	0.0	-
NM_001001953	0.0	-	0.0	-
NM_002226	43.0	0.777018699777	41.0	1.16304139148
NM_001001957	7.0	0.781034300293	3.0	0.33472898584
NM_001001954	0.0	-	0.0	-
NM_001001955	0.0	-	0.0	-
NM_001282864	33.0	1.06602567641	27.0	1.77044155757
NM_001001958	0.0	-	0.0	-
NM_001001959	0.0	-	0.0	-
NM_152695	46.0	1.19493052595	40.0	2.70878948078
NM_015259	145.0	4.62874551263	135.0	15.6593510702
NM_001282862	16.0	0.516544423954	16.0	1.14764223717
NM_001170700	0.0	-	0.0	-
NM_001319119	359.0	9.34637712684	312.0	23.2324609663
NM_001193653	689.0	30.0073958867	492.0	91.9792521728
NM_012184	0.0	-	0.0	-
NM_006272	48.0	4.45912093912	22.0	8.31423609989
NM_182976	543.0	5.87760182558	447.0	26.9476928823
NM_006270	112.0	11.9769154365	105.0	16.8510825063
NM_006271	1.0	0.177507795521	0.0	-
NM_003356	0.0	-	0.0	-
NM_003357	0.0	-	0.0	-
NM_006274	2.0	0.308303013273	1.0	0.355015591042
NM_003355	1615.0	103.453829478	675.0	76.5287641013
NM_001002030	649.0	29.2562292519	576.0	67.034467098
NM_001170704	355.0	3.2458436387	265.0	35.9607491544
NM_003358	158.0	4.15240818177	130.0	11.5672168524
NM_003359	392.0	12.9365681288	305.0	21.6559510536
NM_001002034	37.0	1.67292724269	22.0	2.97393829727
NM_001145006	0.0	-	0.0	-
NM_001002036	0.0	-	0.0	-
NM_001042507	0.0	-	0.0	-
NM_001324080	0.0	-	0.0	-
NM_004813	211.0	11.6602526435	185.0	19.2940965874
NM_004814	858.0	55.70640579	738.0	72.4529304825
NM_004815	1.0	0.0115651673291	1.0	0.0278498760009
NM_020199	537.0	24.8229204734	459.0	60.6476070397
NM_004817	2331.0	52.0168843995	2230.0	65.8075499869
NM_004818	877.0	28.3044248495	791.0	33.862260559
NM_020196	1143.0	45.3926545035	1108.0	45.4934231456
NM_020195	199.0	17.0450743114	178.0	21.2791998141
NM_001330724	0.0	-	0.0	-
NM_014314	202.0	4.47830222224	185.0	7.02171765652
NM_020191	631.0	59.2980453391	589.0	57.3443604689
NM_001356505	16.0	0.318248271766	0.0	-
NM_001303098	1.0	0.043769045471	0.0	-
NM_032968	0.0	-	0.0	-
NM_005663	447.0	19.0970481569	418.0	27.2060281269
NM_001278267	0.0	-	0.0	-
NM_032961	0.0	-	0.0	-
NM_001100817	0.0	-	0.0	-
NM_001199654	29.0	2.7107706433	29.0	4.90023923982
NM_032965	0.0	-	0.0	-
NM_001303095	177.0	6.85376959438	128.0	12.7083547166
NM_001303096	638.0	24.6231640865	529.0	24.2405756434
NM_014313	1204.0	55.1474001606	882.0	196.197793536
NM_003688	71.0	0.902388352014	64.0	2.43967330243
NM_003689	519.0	20.8946805078	505.0	49.302790206
NM_014310	1.0	0.0354776684184	1.0	0.131634994431
NM_003680	3439.0	116.332014573	3051.0	202.707191415
NM_003681	680.0	9.71398845236	575.0	64.56633393
NM_003682	1712.0	30.0054267759	1639.0	34.9546024382
NM_005667	10.0	0.301342185023	10.0	0.512340284449
NM_003684	480.0	18.0110400922	386.0	29.1128021375
NM_003685	2205.0	71.5367339507	2051.0	101.243765092
NM_003687	7.0	0.321602358944	6.0	0.637097465496
NM_006416	342.0	18.9193880611	311.0	32.3389793864
NM_006417	148.0	9.04117341822	119.0	9.3987386024
NM_003175	0.0	-	0.0	-
NM_003172	264.0	26.6884587368	244.0	28.4908857715
NM_001324229	67.0	3.01127674601	25.0	3.61589953839
NM_006411	581.0	27.1424126466	487.0	60.268896799
NM_001128844	2242.0	40.9697836516	2096.0	44.7009436915
NM_001127325	372.0	34.0482140284	268.0	44.4305361393
NM_001127322	840.0	7.56873095652	660.0	120.816243327
NM_001127323	0.0	-	0.0	-
NM_006418	0.0	-	0.0	-
NM_006419	0.0	-	0.0	-
NM_001308174	511.0	26.8592478593	464.0	31.7276190469
NM_002460	15.0	0.296901531461	15.0	1.16636759446
NM_002889	0.0	-	0.0	-
NM_001098398	6250.0	116.307393377	5968.0	169.979393587
NM_001257360	1080.0	27.7135071752	1001.0	39.9791932462
NM_002887	972.0	47.9360715082	888.0	47.21653652
NM_002886	910.0	11.4049760836	670.0	127.979261706
NM_002881	604.0	28.1669778177	436.0	74.0284684625
NM_001346791	244.0	6.1095392666	138.0	50.0022990187
NM_024298	1962.0	79.596981577	1647.0	122.381304791
NM_024299	734.0	94.8439813922	347.0	106.050874775
NM_001323684	172.0	7.29216584351	124.0	21.2593726616
NM_024292	714.0	145.055676696	412.0	195.680755776
NM_024293	595.0	13.5179013512	583.0	37.6662405665
NM_024294	549.0	13.0698480845	406.0	47.7240691182
NM_002014	1065.0	30.0168956227	922.0	70.4458980851
NM_024297	568.0	29.4009377253	438.0	38.1044209376
NM_003433	65.0	2.26116000827	49.0	2.43589905537
NM_001077269	1758.0	39.8715574292	1622.0	113.110503132
NM_032505	111.0	2.49974348353	103.0	6.01344515259
NM_032504	0.0	-	0.0	-
NM_032501	1165.0	33.3615343777	1092.0	55.6232253861
NM_001469	2480.0	115.652491702	2166.0	124.799038114
NM_001081552	0.0	-	0.0	-
NM_005250	0.0	-	0.0	-
NM_032508	113.0	4.23557705331	76.0	7.61007779773
NM_001355219	0.0	-	0.0	-
NM_031963	0.0	-	0.0	-
NM_002010	0.0	-	0.0	-
NM_001004195	0.0	-	0.0	-
NM_004104	15206.0	189.56195578	14928.0	208.864491069
NM_001077268	166.0	7.70038656822	156.0	11.6162304832
NM_001303115	1286.0	70.1839362701	1272.0	107.72627313
NM_002087	9876.0	443.871181248	9156.0	541.75379193
NM_002086	2769.0	88.3930780999	1901.0	306.484308342
NM_002081	59.0	1.68772061905	57.0	3.58381570707
NM_002080	749.0	32.0772880886	696.0	56.756367251
NM_001010893	27.0	2.16163251676	27.0	2.16163251676
NM_003014	1.0	0.0354657351293	1.0	0.101286868914
NM_001104595	117.0	3.54495309573	82.0	8.05032560916
NM_001282136	1.0	0.0198867654733	1.0	0.0910532215367
NM_002089	131.0	11.4817885292	65.0	21.1530122996
NM_002088	65.0	1.93987432354	58.0	2.07798116592
NM_001329684	177.0	13.0783564159	128.0	29.4036442463
NM_001288726	358.0	13.6765897584	279.0	18.2945627615
NM_006536	1.0	0.0249443176105	1.0	0.0372315079589
NM_014008	495.0	22.5065188086	434.0	24.289171791
NM_014009	0.0	-	0.0	-
NM_001284223	0.0	-	0.0	-
NM_014007	150.0	2.64834972889	124.0	9.31233204195
NM_001461	185.0	7.41685614061	168.0	11.0573395322
NM_014002	199.0	6.03986369527	127.0	6.22539892074
NM_014003	867.0	20.5245082348	806.0	23.068496801
NM_014000	13086.0	251.509844193	12270.0	379.954263354
NM_001282187	301.0	11.1008495251	192.0	19.9649004572
NM_015351	42.0	0.848852689795	31.0	4.88584237179
NM_018230	1239.0	31.3284657646	1174.0	35.6629577221
NM_001319240	15.0	0.639286361396	8.0	0.715451267444
NM_015352	345.0	6.97004647176	326.0	29.4544297823
NM_015355	718.0	16.8272182101	672.0	31.9168611363
NM_015354	2005.0	37.1214151417	1924.0	38.6411141253
NM_005006	2350.0	71.3455605436	2181.0	105.294795882
NM_000330	0.0	-	0.0	-
NM_005642	1160.0	53.2941051965	880.0	88.3684522617
NM_018238	292.0	10.5259391855	269.0	22.3508751892
NM_006532	431.0	11.2849467997	381.0	21.5286705442
NM_000333	291.0	4.24677266256	270.0	10.6266145001
NM_002229	1354.0	78.6152311402	926.0	93.5221244058
NM_002228	118.0	3.74416984763	63.0	6.66937422087
NM_002559	0.0	-	0.0	-
NM_002558	1960.0	72.1584063748	1582.0	139.004579595
NM_133372	1443.0	23.0041407421	1360.0	40.9591252596
NM_001009954	240.0	5.79604015792	203.0	6.32513150104
NM_001080495	1783.0	17.7860795886	1698.0	20.1006503487
NM_002221	498.0	8.52141123153	430.0	15.9588317958
NM_001080448	0.0	-	0.0	-
NM_002551	0.0	-	0.0	-
NM_002550	1.0	0.111223238966	1.0	0.111223238966
NM_002557	1.0	0.0470292732112	1.0	0.0517622143051
NM_002556	1561.0	32.380732495	1462.0	63.5943646241
NM_001113756	283.0	16.1906757692	235.0	17.1002851462
NM_001317946	1394.0	83.4181867038	1201.0	106.863287998
NM_001039469	698.0	15.5628805491	614.0	27.3510490711
NM_001004063	0.0	-	0.0	-
NM_007001	76.0	4.92829761439	63.0	6.55098296252
NM_001004064	0.0	-	0.0	-
NM_001004067	71.0	1.73452589627	71.0	2.04039623012
NM_001323027	18.0	0.800132103588	13.0	1.02906546322
NM_003019	2.0	0.164364194138	2.0	0.186949699538
NM_000488	0.0	-	0.0	-
NM_001039465	2131.0	136.094398958	1577.0	203.026004104
NM_001039464	2.0	0.0480362781501	2.0	0.053091455458
NM_000487	614.0	15.0034607535	498.0	34.3195660188
NM_001256369	0.0	-	0.0	-
NM_001291978	812.0	23.4246183305	749.0	30.6815397335
NM_001163560	1.0	0.0559658336197	0.0	-
NM_000338	0.0	-	0.0	-
NM_005686	101.0	2.61463360778	83.0	4.68244480192
NM_005687	729.0	30.994149461	638.0	38.0059233244
NM_005684	0.0	-	0.0	-
