AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	23.0	2.44856355138	7.0	2.27778511528
NM_017847	153.0	4.29364832819	108.0	8.65057731694
NM_001143986	1.0	0.0544490465805	1.0	0.0636030747723
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	143.0	8.47410137198	132.0	22.2716766828
NM_001003800	931.0	15.8649721371	868.0	36.9554669171
NM_016649	220.0	7.47929440839	207.0	8.85448861716
NM_016647	342.0	16.5159542635	289.0	50.394633364
NM_016644	3.0	0.175401634546	1.0	0.12923603491
NM_017417	1.0	0.0512101571586	1.0	0.0571231376873
NM_016642	0.0	-	0.0	-
NM_001143989	0.0	-	0.0	-
NM_016640	815.0	53.2936326016	720.0	59.6365557456
NM_001304464	127.0	8.58181586079	0.0	-
NM_003279	2.0	0.321097461185	2.0	0.45272747633
NM_001012980	0.0	-	0.0	-
NM_001304467	152.0	4.54063393473	39.0	6.64176594363
NM_001080825	95.0	1.38304928438	66.0	7.07453259335
NM_001008781	0.0	-	0.0	-
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	2778.0	24.1380416763	2527.0	34.0841627613
NM_001143981	26.0	0.693166501798	21.0	1.66739825432
NM_001253384	232.0	6.28946566918	230.0	57.4126659195
NM_001145313	51.0	0.721347731205	39.0	2.67671923152
NM_205859	0.0	-	0.0	-
NM_018476	781.0	99.0598705356	386.0	111.647625968
NM_003363	1008.0	26.7496007325	900.0	34.0250058714
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	163.0	2.38062927357	99.0	50.1112725362
NM_205853	0.0	-	0.0	-
NM_205852	0.0	-	0.0	-
NM_001282735	154.0	2.63372244207	143.0	9.3230274486
NM_001355213	0.0	-	0.0	-
NM_001007531	10.0	0.657844076616	10.0	0.904331559418
NM_001282730	450.0	10.3907409694	297.0	26.2083168712
NM_004108	0.0	-	0.0	-
NM_004109	145.0	5.02484450154	111.0	21.8667371067
NM_004106	1466.0	271.206739412	736.0	308.312615144
NM_001291976	0.0	-	0.0	-
NM_130759	1.0	0.0247585338618	1.0	0.118711927832
NM_181776	0.0	-	0.0	-
NM_001462	181.0	9.84057537622	162.0	16.7727813034
NM_001463	0.0	-	0.0	-
NM_004101	73.0	2.32760543714	58.0	5.63675889862
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	50.0	1.6187990159	49.0	1.94318120825
NM_007100	903.0	270.488542567	284.0	147.860793769
NM_000334	5.0	0.0700407979075	5.0	0.0991958678403
NM_007105	6.0	0.285342371988	6.0	0.860895161682
NM_181435	0.0	-	0.0	-
NM_000339	0.0	-	0.0	-
NM_000486	5.0	0.130813215522	4.0	0.53594943889
NM_000485	1043.0	141.307353174	782.0	157.456615262
NM_007108	1750.0	193.266615842	1209.0	370.264498067
NM_000483	85.0	12.7480977645	66.0	23.5817753112
NM_000482	0.0	-	0.0	-
NM_000481	55.0	2.73085953876	55.0	4.9615121323
NM_016643	37.0	2.78030677989	22.0	2.52132188862
NM_030615	0.0	-	0.0	-
NM_001350532	1121.0	32.1519049011	945.0	35.5786270073
NM_001350531	119.0	3.00339533206	40.0	2.29572043115
NM_001350530	513.0	9.90607217922	475.0	28.7084027797
NM_001320272	0.0	-	0.0	-
NM_030613	0.0	-	0.0	-
NM_014177	103.0	7.34117966751	86.0	12.5872783881
NM_020992	1703.0	117.845105357	1392.0	153.729788144
NM_005802	454.0	11.8949181002	401.0	13.9715767683
NM_005258	142.0	21.7747312002	66.0	28.2981303734
NM_001012964	0.0	-	0.0	-
NM_003824	540.0	31.8619482936	368.0	64.1703289894
NM_003825	1262.0	52.2450250448	1005.0	172.76785214
NM_003826	239.0	7.03384948655	196.0	22.8215147653
NM_003827	1692.0	99.4583849047	1381.0	170.033580768
NM_003820	116.0	3.6225956932	47.0	6.03131833343
NM_003821	271.0	11.4620614234	183.0	12.3278277589
NM_003795	1811.0	112.501877558	947.0	211.736196729
NM_003823	7.0	0.662628397173	5.0	0.605391392766
NM_012181	2145.0	130.652231459	1771.0	155.901736779
NM_012180	112.0	4.77774981653	72.0	8.20002641502
NM_012183	0.0	-	0.0	-
NM_012182	1.0	0.0749374129771	0.0	-
NM_001018088	3059.0	22.9139314913	2946.0	29.5854723599
NM_020437	15.0	0.495021214308	10.0	0.98498815796
NM_012186	0.0	-	0.0	-
NM_020733	596.0	7.11695899716	580.0	15.2951127857
NM_020731	18.0	0.347704300283	15.0	0.759261705094
NM_020737	0.0	-	0.0	-
NM_001025780	776.0	27.2194225133	472.0	59.5219141544
NM_001300829	1085.0	66.8698133055	825.0	100.895179603
NM_002224	77.0	0.932199511249	75.0	1.0229573871
NM_175856	21.0	0.657504981731	20.0	0.825471389457
NM_001688	1234.0	64.2159771292	832.0	117.983951185
NM_014171	169.0	2.90251222984	106.0	37.8737603482
NM_001199973	0.0	-	0.0	-
NM_001867	1600.0	429.813014383	569.0	324.014932649
NM_144646	23.0	1.78472304278	17.0	3.87223469598
NM_144647	0.0	-	0.0	-
NM_144644	0.0	-	0.0	-
NM_144645	2.0	0.240823095889	0.0	-
NM_144642	0.0	-	0.0	-
NM_144643	252.0	9.01868699	159.0	8.41028350258
NM_001161546	15.0	0.504461791142	15.0	0.538059476051
NM_144641	236.0	11.7445379089	234.0	18.5391901557
NM_133447	0.0	-	0.0	-
NM_001008783	13.0	0.591484774006	13.0	1.13616140043
NM_000159	476.0	27.6382550791	454.0	37.6898202219
NM_000158	1385.0	48.8632315147	1237.0	64.1279132314
NM_144648	0.0	-	0.0	-
NM_144649	120.0	6.30468153005	64.0	8.42040418068
NM_021020	0.0	-	0.0	-
NM_021021	571.0	12.5486501386	521.0	35.2274892783
NM_021023	21.0	1.40000450988	21.0	2.31219274542
NM_001347869	113.0	4.35792115178	39.0	5.68535164775
NM_021025	0.0	-	0.0	-
NM_021026	0.0	-	0.0	-
NM_021027	0.0	-	0.0	-
NM_015225	10.0	0.0868761903326	10.0	0.117981747635
NM_175068	2.0	0.0957387789261	2.0	0.13473035802
NM_001143679	1121.0	99.969870704	998.0	128.521811734
NM_152694	3.0	0.123867468505	2.0	0.153128411111
NM_173536	0.0	-	0.0	-
NM_173537	0.0	-	0.0	-
NM_173535	0.0	-	0.0	-
NM_001297658	178.0	9.51657507334	128.0	14.136072473
NM_001286495	115.0	2.97313167093	113.0	3.79911022918
NM_023009	293.0	20.5088155322	220.0	40.9071612541
NM_173531	137.0	3.3509429347	93.0	6.24188628276
NM_001286499	77.0	3.10309391304	54.0	3.34126713006
NM_001297656	1379.0	50.2905778355	1338.0	72.5637258154
NM_001297650	2.0	0.0470758602943	2.0	0.0497876527931
NM_173538	0.0	-	0.0	-
NM_006885	230.0	1.56560501013	224.0	2.20399078109
NM_001001952	0.0	-	0.0	-
NM_001001953	0.0	-	0.0	-
NM_002226	48.0	0.899403068657	48.0	1.41189585838
NM_001001957	4.0	0.462788086915	0.0	-
NM_001001954	0.0	-	0.0	-
NM_001001955	0.0	-	0.0	-
NM_001282864	39.0	1.30637675729	34.0	2.31178190805
NM_001001958	0.0	-	0.0	-
NM_001001959	0.0	-	0.0	-
NM_152695	54.0	1.45455014014	47.0	3.30037457937
NM_015259	256.0	8.47393990209	236.0	28.3858633509
NM_001282862	28.0	0.937337169302	27.0	2.00816973429
NM_001170700	0.0	-	0.0	-
NM_001319119	401.0	10.8253846664	355.0	27.4106344382
NM_001193653	866.0	39.1090341479	598.0	115.924723314
NM_012184	1.0	0.0528948647961	0.0	-
NM_006272	51.0	4.91279115613	15.0	5.87815513621
NM_182976	567.0	6.36404883457	452.0	28.2554750493
NM_006270	95.0	10.5341786265	85.0	14.1451495744
NM_006271	0.0	-	0.0	-
NM_003356	1.0	0.0450860558901	1.0	0.116436299823
NM_003357	0.0	-	0.0	-
NM_006274	0.0	-	0.0	-
NM_003355	1241.0	82.4320192875	397.0	46.6725517815
NM_001002030	581.0	27.1581322339	498.0	60.0973238363
NM_001170704	295.0	2.79686413739	220.0	30.9567706787
NM_003358	116.0	3.16119330057	82.0	7.5657065095
NM_003359	324.0	11.0873596597	225.0	16.5657099293
NM_001002034	57.0	2.67239282822	36.0	5.04617010155
NM_001145006	0.0	-	0.0	-
NM_001002036	0.0	-	0.0	-
NM_001042507	0.0	-	0.0	-
NM_001324080	0.0	-	0.0	-
NM_004813	316.0	18.1076753819	263.0	28.4418984128
NM_004814	894.0	60.1873860019	749.0	76.2485386077
NM_004815	4.0	0.0479691501738	4.0	0.115513666702
NM_020199	578.0	27.7048970795	460.0	63.0244302575
NM_004817	1777.0	41.1187215224	1677.0	51.3161462748
NM_004818	1034.0	34.6039274079	920.0	40.8392166833
NM_020196	1096.0	45.133604273	1056.0	44.9596463876
NM_020195	254.0	22.559509444	217.0	26.8995575519
NM_001330724	0.0	-	0.0	-
NM_014314	162.0	3.72414992776	146.0	5.74611882214
NM_020191	553.0	53.8872799466	526.0	53.1020485602
NM_001356505	19.0	0.391877009081	0.0	-
NM_001303098	4.0	0.181542026623	2.0	0.201908929887
NM_032968	0.0	-	0.0	-
NM_005663	572.0	25.3398979438	533.0	35.9721323391
NM_001278267	0.0	-	0.0	-
NM_032961	0.0	-	0.0	-
NM_001100817	0.0	-	0.0	-
NM_001199654	18.0	1.74468647128	18.0	3.15385631347
NM_032965	0.0	-	0.0	-
NM_001303095	166.0	6.66521916951	111.0	11.4275321038
NM_001303096	809.0	32.3758973633	653.0	31.0277690802
NM_014313	1171.0	55.6167444656	742.0	171.151043599
NM_003688	83.0	1.09386401872	73.0	2.88552387706
NM_003689	433.0	18.0761687041	426.0	43.1260648494
NM_014310	0.0	-	0.0	-
NM_003680	3004.0	105.370032513	2628.0	181.051622925
NM_003681	856.0	12.6798042022	746.0	86.8614796678
NM_003682	1605.0	29.1689769417	1513.0	33.4591153342
NM_005667	13.0	0.406212607012	13.0	0.690640384809
NM_003684	523.0	20.3492944961	398.0	31.1264712749
NM_003685	2385.0	80.2341046146	2242.0	114.759420864
NM_003687	11.0	0.524039451359	8.0	0.88083533159
NM_006416	307.0	17.6104099994	280.0	30.1907612913
NM_006417	170.0	10.7686712287	141.0	11.5476027417
NM_003175	0.0	-	0.0	-
NM_003172	275.0	28.8271941723	249.0	30.1484913598
NM_001324229	70.0	3.26230093237	33.0	4.94926148506
NM_006411	393.0	19.0377219383	328.0	42.090902412
NM_001128844	2528.0	47.9021762615	2364.0	52.2784855585
NM_001127325	462.0	43.8473634692	350.0	60.1679087056
NM_001127322	671.0	6.26926192044	502.0	95.2873439893
NM_001127323	0.0	-	0.0	-
NM_006418	0.0	-	0.0	-
NM_006419	0.0	-	0.0	-
NM_001308174	834.0	45.4557795289	755.0	53.5323816977
NM_002460	12.0	0.246293265704	11.0	0.886925177632
NM_002889	0.0	-	0.0	-
NM_001098398	5722.0	110.414286732	5429.0	160.338351908
NM_001257360	953.0	25.3577518407	852.0	35.2849621495
NM_002887	1053.0	53.8486299658	938.0	51.7170938127
NM_002886	836.0	10.8644908007	566.0	112.106641326
NM_002881	595.0	28.7720225088	406.0	71.4806382071
NM_001346791	232.0	6.02360841695	130.0	48.8432272143
NM_024298	2377.0	99.9946789201	1924.0	148.243841414
NM_024299	528.0	70.7453259335	208.0	65.9171205536
NM_001323684	160.0	7.03393232222	105.0	18.6667267984
NM_024292	717.0	151.044802558	398.0	196.012643434
NM_024293	731.0	17.2210566958	712.0	47.6995000612
NM_024294	576.0	14.2190568678	404.0	49.2428193485
NM_002014	1235.0	36.093852348	1043.0	82.634082617
NM_024297	584.0	31.3455436189	415.0	37.436864271
NM_003433	70.0	2.52502737953	44.0	2.26811983191
NM_001077269	1318.0	30.996299749	1219.0	88.1466684295
NM_032505	90.0	2.10167272491	86.0	5.20636597779
NM_032504	2.0	0.0161235342182	2.0	0.0223654874775
NM_032501	1177.0	34.9499586836	1096.0	57.8887533067
NM_001469	2460.0	118.956597263	2205.0	131.73812929
NM_001081552	0.0	-	0.0	-
NM_005250	0.0	-	0.0	-
NM_032508	76.0	2.9539140066	51.0	5.29536368681
NM_001355219	0.0	-	0.0	-
NM_031963	0.0	-	0.0	-
NM_002010	0.0	-	0.0	-
NM_001004195	0.0	-	0.0	-
NM_004104	15661.0	202.444413471	15251.0	221.264336262
NM_001077268	178.0	8.56198681257	153.0	11.8135973776
NM_001303115	987.0	55.8552523922	966.0	84.8324017875
NM_002087	12355.0	575.796114564	11530.0	707.417168464
NM_002086	2511.0	83.1174339615	1497.0	250.263803125
NM_002081	71.0	2.10599340013	66.0	4.30293574551
NM_002080	802.0	35.6156034923	718.0	60.7127503582
NM_001010893	23.0	1.90939617864	23.0	1.90939617864
NM_003014	1.0	0.03677554172	1.0	0.105027555748
NM_001104595	108.0	3.39311437863	78.0	7.94043526222
NM_001282136	1.0	0.0206212156797	0.0	-
NM_002089	138.0	12.5420187894	58.0	19.5720795091
NM_002088	89.0	2.75423096872	81.0	3.00918400551
NM_001329684	182.0	13.9444504325	126.0	30.0131685778
NM_001288726	281.0	11.1314368243	206.0	14.0066786194
NM_006536	0.0	-	0.0	-
NM_014008	546.0	25.7422131528	465.0	26.9852249327
NM_014009	1.0	0.0458999519452	0.0	-
NM_001284223	0.0	-	0.0	-
NM_014007	119.0	2.17861831522	99.0	7.70942654403
NM_001461	85.0	3.53359820166	73.0	4.98212175028
NM_014002	224.0	7.04972526181	134.0	6.81111755532
NM_014003	1006.0	24.6945863599	922.0	27.3630993654
NM_014000	8731.0	174.005178344	8251.0	264.937515224
NM_001282187	274.0	10.4782895545	151.0	16.2814462678
NM_015351	36.0	0.754459014608	23.0	3.75885615437
NM_018230	1133.0	29.7062507697	1051.0	33.1056477948
NM_001319240	12.0	0.530316987228	7.0	0.649139778401
NM_015352	387.0	8.10732636549	367.0	34.3834298122
NM_015355	700.0	17.0112424702	612.0	30.1406376336
NM_015354	2155.0	41.3720969842	2042.0	42.5255973066
NM_005006	2431.0	76.5304317685	2250.0	112.637725481
NM_000330	0.0	-	0.0	-
NM_005642	992.0	47.2588305226	673.0	70.077686061
NM_018238	277.0	10.3539934676	240.0	20.6777655855
NM_006532	435.0	11.8103186509	370.0	21.6792409686
NM_000333	225.0	3.40485525883	214.0	8.73363520126
NM_002229	1917.0	115.414468705	1046.0	109.543137038
NM_002228	423.0	13.9175892208	104.0	11.4163687706
NM_002559	0.0	-	0.0	-
NM_002558	1312.0	50.0858224232	1016.0	92.5691870851
NM_133372	1384.0	22.8784125761	1289.0	40.254533177
NM_001009954	251.0	6.28556002495	211.0	6.81720084148
NM_001080495	1914.0	19.7979824136	1812.0	22.2423530018
NM_002221	421.0	7.46989315314	347.0	13.354026357
NM_001080448	0.0	-	0.0	-
NM_002551	0.0	-	0.0	-
NM_002550	0.0	-	0.0	-
NM_002557	0.0	-	0.0	-
NM_002556	1381.0	29.704863215	1270.0	57.2829128002
NM_001113756	380.0	22.5430279451	299.0	22.5609192371
NM_001317946	1308.0	81.1625770022	1119.0	103.244214441
NM_001039469	706.0	16.3226013928	615.0	28.4073580917
NM_001004063	0.0	-	0.0	-
NM_007001	63.0	4.23617600776	59.0	6.36162470067
NM_001004064	0.0	-	0.0	-
NM_001004067	44.0	1.11461588588	44.0	1.31116984559
NM_001323027	23.0	1.06014956462	17.0	1.39539989044
NM_003019	4.0	0.340868855911	4.0	0.387708104729
NM_000488	0.0	-	0.0	-
NM_001039465	1867.0	123.637789758	1234.0	164.7347594
NM_001039464	2.0	0.049810335095	2.0	0.0550522082244
NM_000487	669.0	16.9511554164	553.0	39.5173386275
NM_001256369	0.0	-	0.0	-
NM_001291978	1003.0	30.0031974255	918.0	38.9931326029
NM_001163560	0.0	-	0.0	-
NM_000338	0.0	-	0.0	-
NM_005686	149.0	3.99968552529	120.0	7.0198192959
NM_005687	805.0	35.4893616349	700.0	43.239310663
NM_005684	0.0	-	0.0	-
NM_001348913	124.0	6.23614397708	97.0	9.42699333045
NM_005683	5.0	0.142807844218	5.0	0.569446278821
NM_005680	270.0	12.8404067395	221.0	13.6744451064
NM_001318966	342.0	20.6244459197	318.0	22.7689011131
NM_033108	0.0	-	0.0	-
NM_033109	296.0	7.01555840406	265.0	12.3186337867
NM_001130009	262.0	4.15030797012	230.0	9.22139628629
NM_000484	7464.0	224.626102071	6991.0	330.459055584
NM_018050	148.0	7.04457355636	125.0	10.5453014596
NM_018053	108.0	4.38634399615	100.0	9.20317218296
NM_018052	603.0	21.171551823	495.0	23.0396655339
NM_001177701	198.0	19.7518884449	116.0	22.6073217859
NM_001130002	1.0	0.0711807848526	0.0	-
NM_033102	1600.0	51.7249842855	923.0	60.7190082717
NM_033103	0.0	-	0.0	-
NM_033104	1259.0	10.6359998522	977.0	39.3005926293
NM_018058	0.0	-	0.0	-
NM_033106	0.0	-	0.0	-
NM_033107	217.0	3.14577164688	164.0	15.4044024291
NM_002592	4508.0	363.7463132	3327.0	462.790294873
NM_001206651	1191.0	20.1448668735	989.0	91.2498016816
NM_001199085	0.0	-	0.0	-
NM_001300761	3.0	0.143860112544	3.0	0.217796186322
NM_001349205	1138.0	21.1673586487	1054.0	41.4375061317
NM_001242853	0.0	-	0.0	-
NM_004586	1387.0	19.6687187854	1339.0	65.8559626313
NM_001287045	506.0	24.0012342213	398.0	35.8146558373
NM_001199206	0.0	-	0.0	-
NM_006542	0.0	-	0.0	-
NM_005641	511.0	20.2279193728	447.0	24.0276093577
NM_001001557	0.0	-	0.0	-
NM_001353361	3.0	0.0833336017786	3.0	0.245142792676
NM_013237	190.0	16.3184605274	119.0	19.7131948159
NM_001353366	275.0	4.94519136871	249.0	10.5274894423
NM_016034	464.0	33.5743415537	410.0	50.3106746002
NM_001300813	736.0	16.6397006933	711.0	19.9477162983
NM_001012968	1194.0	31.7471839803	727.0	105.980785844
NM_001256182	600.0	6.99288043067	470.0	6.42978380891
NM_001324188	2.0	0.0350316198441	2.0	0.101658470975
NM_004322	186.0	16.6144326056	130.0	28.0342783419
NM_080817	7.0	0.228526664298	4.0	0.432576401715
NM_001142353	307.0	9.51671149952	290.0	20.093009382
NM_018292	165.0	4.38078147475	121.0	8.33609070546
NM_033360	308.0	5.71825015187	191.0	36.6363753279
NM_134442	569.0	6.09432475202	385.0	41.0267728367
NM_079834	476.0	19.3467785554	400.0	63.3818466861
NM_001270399	994.0	43.8924407998	587.0	47.3295526609
NM_012377	0.0	-	0.0	-
NM_012374	0.0	-	0.0	-
NM_012375	0.0	-	0.0	-
NM_000138	945.0	8.83457313632	911.0	11.5602353205
NM_001270393	23.0	1.25985709783	14.0	6.45852994713
NM_012378	0.0	-	0.0	-
NM_001270396	0.0	-	0.0	-
NM_005647	321.0	6.14105215333	206.0	12.9888922837
NM_014911	555.0	2.85352435792	362.0	13.7140658916
NM_014912	23.0	0.428175509496	17.0	0.886348428265
NM_014913	612.0	12.4210535635	533.0	17.1598511158
NM_014915	109.0	1.75798373258	92.0	1.95961407931
NM_014916	119.0	1.4545230384	113.0	2.73818848965
NM_001323949	661.0	21.8007740989	407.0	32.1059235297
NM_005022	9798.0	784.799597698	5295.0	1368.60960969
NM_005023	207.0	8.29925665766	151.0	14.5585419009
NM_005021	1845.0	62.4135673915	1652.0	68.7287855789
NM_005027	283.0	7.80167246747	200.0	9.99850805062
NM_005024	128.0	6.59195089416	114.0	10.4388945987
NM_005025	160.0	9.15884276721	136.0	12.0595143816
NM_001005333	3211.0	120.559912173	3016.0	131.636884459
NM_001185098	0.0	-	0.0	-
NM_004328	186.0	12.2285420982	161.0	13.9704153737
NM_001185095	43.0	1.33751023555	24.0	4.94163550434
NM_001005338	0.0	-	0.0	-
NM_001005339	900.0	108.849908164	701.0	140.371636555
NM_177400	1.0	0.107295079032	0.0	-
NM_177401	893.0	25.7408334251	679.0	52.7630223719
NM_022778	643.0	17.6371198691	564.0	26.9393615731
NM_001163857	0.0	-	0.0	-
NM_001287435	960.0	39.8937050978	659.0	69.6143949436
NM_020899	224.0	4.12163338262	177.0	6.36162470067
NM_012188	0.0	-	0.0	-
NM_014371	641.0	31.6687268084	557.0	31.3749937363
NM_001002814	738.0	10.2709088498	700.0	19.8685306006
NM_001042693	2.0	0.292336057576	1.0	0.190809224317
NM_130773	1.0	0.0203449359013	1.0	0.0278841330103
NM_022917	659.0	14.8466719074	586.0	18.6194535666
NM_001316951	244.0	12.0439816118	175.0	18.703220888
NM_001042697	139.0	7.57218848489	73.0	18.8684610968
NM_001206977	0.0	-	0.0	-
NM_001856	0.0	-	0.0	-
