AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	344.0	7.58312063359	197.0	12.3948719732
NM_001143986	0.0	-	0.0	-
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	247.0	11.4976491825	218.0	28.892821748
NM_001003800	516.0	6.90706935516	463.0	15.4844021552
NM_016649	770.0	20.5628428091	655.0	22.00842282
NM_016647	485.0	18.3981343789	332.0	45.4756602693
NM_016644	0.0	-	0.0	-
NM_017417	0.0	-	0.0	-
NM_016642	0.0	-	0.0	-
NM_001143989	0.0	-	0.0	-
NM_016640	1856.0	95.3345167092	1568.0	102.018890869
NM_001304464	479.0	25.4252637416	0.0	-
NM_003279	0.0	-	0.0	-
NM_001012980	0.0	-	0.0	-
NM_001304467	438.0	10.2778315534	72.0	9.63176635138
NM_001080825	200.0	2.28717043852	139.0	11.7036977895
NM_001008781	0.0	-	0.0	-
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	1545.0	10.5451499005	1392.0	14.7482709047
NM_001143981	0.0	-	0.0	-
NM_001253384	405.0	8.62452671372	368.0	72.1576164102
NM_001145313	185.0	2.05542060075	144.0	7.76345762409
NM_205859	0.0	-	0.0	-
NM_018476	618.0	61.5729100688	185.0	42.0328075233
NM_003363	1328.0	27.6827562999	1127.0	33.4683342712
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	448.0	5.13968688017	187.0	74.3526284432
NM_205853	0.0	-	0.0	-
NM_205852	1.0	0.0282976111916	0.0	-
NM_001282735	17.0	0.228377170253	14.0	0.716974060543
NM_001355213	0.0	-	0.0	-
NM_001007531	17.0	0.878468862473	17.0	1.20762220797
NM_001282730	658.0	11.9347789816	319.0	22.1119909115
NM_004108	0.0	-	0.0	-
NM_004109	193.0	5.25371386483	127.0	19.6525635058
NM_004106	141.0	20.4899124285	59.0	19.4142212568
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	31.0	1.32390887566	25.0	2.03322087989
NM_001463	0.0	-	0.0	-
NM_004101	13.0	0.325599956128	9.0	0.687065999732
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	1.0	0.0254318181719	1.0	0.0311509793132
NM_007100	2035.0	478.828530635	478.0	195.486635638
NM_000334	0.0	-	0.0	-
NM_007105	3.0	0.112070356633	3.0	0.338123031364
NM_181435	0.0	-	0.0	-
NM_000339	0.0	-	0.0	-
NM_000486	91.0	1.87015452188	71.0	7.47268473973
NM_000485	2845.0	302.773043562	1310.0	207.195317599
NM_007108	2972.0	257.823251414	1662.0	399.826222533
NM_000483	29.0	3.41648045134	18.0	5.05195588038
NM_000482	0.0	-	0.0	-
NM_000481	98.0	3.82223364973	98.0	6.94435519531
NM_016643	84.0	4.95820824549	30.0	2.70073113102
NM_030615	0.0	-	0.0	-
NM_001350532	1017.0	22.9127138552	828.0	24.4873729243
NM_001350531	392.0	7.77152215763	158.0	7.12312519407
NM_001350530	668.0	10.1324639664	625.0	29.6722118458
NM_001320272	0.0	-	0.0	-
NM_030613	0.0	-	0.0	-
NM_014177	477.0	26.7055477405	281.0	32.3068182605
NM_020992	850.0	46.2030142225	697.0	60.4652780067
NM_005802	830.0	17.0819787856	697.0	19.0760437306
NM_005258	401.0	48.3017997708	139.0	46.8147911582
NM_001012964	0.0	-	0.0	-
NM_003824	645.0	29.8946013105	341.0	46.7084341923
NM_003825	1394.0	45.3317873734	839.0	113.295670946
NM_003826	464.0	10.7267370079	346.0	31.6460111698
NM_003827	2350.0	108.508407216	1561.0	150.972695042
NM_003820	69.0	1.69264331553	15.0	1.51202904871
NM_003821	241.0	8.00691034504	157.0	8.3078682962
NM_003795	2905.0	141.756159746	1228.0	215.67409194
NM_003823	1.0	0.0743577921788	1.0	0.0951088039496
NM_012181	2165.0	103.586203999	1717.0	118.729098384
NM_012180	200.0	6.70177526075	99.0	8.85671015279
NM_012183	0.0	-	0.0	-
NM_012182	0.0	-	0.0	-
NM_001018088	2494.0	14.6747619496	2386.0	18.8222131368
NM_020437	2.0	0.0518462118723	2.0	0.154744594534
NM_012186	0.0	-	0.0	-
NM_020733	19.0	0.178219937676	18.0	0.372865050506
NM_020731	20.0	0.303474381507	19.0	0.755454513594
NM_020737	0.0	-	0.0	-
NM_001025780	396.0	10.9110577436	210.0	20.8021712722
NM_001300829	1665.0	80.6063197261	849.0	81.5602675856
NM_002224	32.0	0.304314472254	30.0	0.321419348677
NM_175856	9.0	0.221348582388	8.0	0.259368063319
NM_001688	3400.0	138.982889046	1698.0	189.143655568
