AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	0.0	-	0.0	-
NM_017847	87.0	2.83608386539	51.0	4.74521931471
NM_001143986	0.0	-	0.0	-
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	273.0	18.7925208728	261.0	51.1545497202
NM_001003800	148.0	2.92965260243	135.0	6.67663314105
NM_016649	101.0	3.98863318714	92.0	4.57136335528
NM_016647	175.0	9.81703616539	144.0	29.1684744816
NM_016644	0.0	-	0.0	-
NM_017417	0.0	-	0.0	-
NM_016642	0.0	-	0.0	-
NM_001143989	0.0	-	0.0	-
NM_016640	591.0	44.8921052569	514.0	49.4547433659
NM_001304464	62.0	4.86667043074	0.0	-
NM_003279	0.0	-	0.0	-
NM_001012980	0.0	-	0.0	-
NM_001304467	132.0	4.58048653233	29.0	5.73695884713
NM_001080825	665.0	11.2460619891	515.0	64.1247702375
NM_001008781	0.0	-	0.0	-
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	180.0	1.81679979933	164.0	2.56954373132
NM_001143981	0.0	-	0.0	-
NM_001253384	73.0	2.29886465393	71.0	20.5874711203
NM_001145313	59.0	0.969373810998	49.0	3.90660110858
NM_205859	0.0	-	0.0	-
NM_018476	739.0	108.881961817	338.0	113.564780331
NM_003363	476.0	14.6733238032	406.0	17.8298015622
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	88.0	1.4929718326	46.0	27.0472331854
NM_205853	0.0	-	0.0	-
NM_205852	1.0	0.041846589557	0.0	-
NM_001282735	6.0	0.119196996063	6.0	0.454398566388
NM_001355213	0.0	-	0.0	-
NM_001007531	3.0	0.229249818241	3.0	0.315147392817
NM_001282730	381.0	10.2193613802	204.0	20.9111359631
NM_004108	0.0	-	0.0	-
NM_004109	28.0	1.12713888449	18.0	4.11906159909
NM_004106	111.0	23.8536181437	57.0	27.7365929518
NM_001291976	1.0	0.0420683667789	1.0	0.078397777349
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	4.0	0.252619391955	3.0	0.360807952572
NM_001463	0.0	-	0.0	-
NM_004101	0.0	-	0.0	-
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	0.0	-	0.0	-
NM_007100	726.0	252.616969577	220.0	133.052227844
NM_000334	1.0	0.0162721844081	1.0	0.0230456177292
NM_007105	2.0	0.110486645764	2.0	0.333344880067
NM_181435	0.0	-	0.0	-
NM_000339	0.0	-	0.0	-
NM_000486	16.0	0.486257570923	13.0	2.0233544007
NM_000485	452.0	71.135053886	318.0	74.3782669965
NM_007108	2054.0	263.502056741	1378.0	490.229866226
NM_000483	5.0	0.871086414989	5.0	2.07523528277
NM_000482	0.0	-	0.0	-
NM_000481	24.0	1.38424413412	24.0	2.51493860011
NM_016643	8.0	0.698305975562	5.0	0.665641505793
NM_030615	0.0	-	0.0	-
NM_001350532	166.0	5.53062179557	138.0	6.03533302484
NM_001350531	129.0	3.78198695992	38.0	2.53342108851
NM_001350530	466.0	10.4528523625	432.0	30.3294087893
NM_001320272	0.0	-	0.0	-
NM_030613	0.0	-	0.0	-
NM_014177	109.0	9.02443254517	86.0	14.6216577514
NM_020992	85.0	6.83251515251	77.0	9.87811994597
NM_005802	712.0	21.6695740008	646.0	26.1455837958
NM_005258	189.0	33.6659627892	92.0	45.8211950435
NM_001012964	0.0	-	0.0	-
