AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	5.0	0.589452338789	2.0	0.720675657067
NM_017847	290.0	9.01214528036	177.0	15.6996420063
NM_001143986	2.0	0.120591145804	1.0	0.0704325249489
NM_001143987	0.0	-	0.0	-
NM_001143980	0.0	-	0.0	-
NM_001003803	274.0	17.9805646862	259.0	48.3920357875
NM_001003800	189.0	3.56653576421	180.0	8.48646100845
NM_016649	598.0	22.5130470185	493.0	23.352598052
NM_016647	137.0	7.326444754	104.0	20.0823685491
NM_016644	0.0	-	0.0	-
NM_017417	0.0	-	0.0	-
NM_016642	0.0	-	0.0	-
NM_001143989	0.0	-	0.0	-
NM_016640	1216.0	88.0534620998	1111.0	101.903537909
NM_001304464	211.0	15.7889435672	0.0	-
NM_003279	2.0	0.355575654588	2.0	0.501339587525
NM_001012980	0.0	-	0.0	-
NM_001304467	321.0	10.6187423045	114.0	21.4990345547
NM_001080825	211.0	3.40166587107	138.0	16.3805337583
NM_001008781	0.0	-	0.0	-
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	1212.0	11.6618528641	1138.0	16.9974901086
NM_001143981	0.0	-	0.0	-
NM_001253384	132.0	3.96273329311	114.0	31.5122835254
NM_001145313	160.0	2.50604937412	145.0	11.0205015732
NM_205859	0.0	-	0.0	-
NM_018476	416.0	58.4299075651	203.0	65.020959282
NM_003363	988.0	29.0341330734	862.0	36.087609251
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	387.0	6.25907674591	172.0	96.4103879009
NM_205853	0.0	-	0.0	-
NM_205852	1.0	0.0398924251688	1.0	0.173209599982
NM_001282735	15.0	0.284076748914	11.0	0.794161368073
NM_001355213	0.0	-	0.0	-
NM_001007531	5.0	0.364240404294	5.0	0.500717578111
NM_001282730	645.0	16.4925901161	360.0	35.1787439382
NM_004108	0.0	-	0.0	-
NM_004109	101.0	3.87588733728	79.0	17.2338870641
NM_004106	107.0	21.9202463814	59.0	27.369107712
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	34.0	2.04699122485	29.0	3.32493541783
NM_001463	0.0	-	0.0	-
NM_004101	11.0	0.388395629705	7.0	0.753346286854
NM_000331	1.0	0.169808569968	1.0	0.328112494274
NM_007102	0.0	-	0.0	-
NM_007101	3.0	0.107557160545	3.0	0.131744842641
NM_007100	1163.0	385.776692001	375.0	216.20269712
NM_000334	6.0	0.0930738068319	6.0	0.13181656003
NM_007105	0.0	-	0.0	-
NM_181435	1.0	0.0316449321451	0.0	-
NM_000339	0.0	-	0.0	-
NM_000486	41.0	1.18784731416	29.0	4.30285759955
NM_000485	1220.0	183.035542345	568.0	126.647797237
NM_007108	1633.0	199.710143901	739.0	250.625557916
NM_000483	2.0	0.332163265809	2.0	0.79133013325
NM_000482	0.0	-	0.0	-
NM_000481	77.0	4.23372402353	77.0	7.69196394374
NM_016643	43.0	3.57811748911	13.0	1.64984867404
NM_030615	0.0	-	0.0	-
NM_001350532	825.0	26.2029501756	739.0	30.8103733389
NM_001350531	288.0	8.04920844679	110.0	6.99112133469
NM_001350530	1096.0	23.4363418199	1058.0	70.8102675454
NM_001320272	0.0	-	0.0	-
NM_030613	0.0	-	0.0	-
NM_014177	372.0	29.3607209022	267.0	43.275270781
NM_020992	537.0	41.1496677708	488.0	59.6806798676
NM_005802	986.0	28.6073523225	868.0	33.4900595972
NM_005258	230.0	39.0559710926	122.0	57.9253657539
NM_001012964	0.0	-	0.0	-
NM_003824	293.0	19.1443812971	212.0	40.9371358885
NM_003825	1543.0	70.7370036075	1092.0	207.880932929
NM_003826	360.0	11.7325608989	293.0	37.7790612816
NM_003827	1830.0	119.120711833	1454.0	198.244238855
NM_003820	60.0	2.07495304862	16.0	2.27368094624
NM_003821	174.0	8.14962893902	120.0	8.95183071255
NM_003795	1998.0	137.445950996	972.0	240.66145623
NM_003823	0.0	-	0.0	-
NM_012181	1540.0	103.873652366	1282.0	124.97281829
NM_012180	239.0	11.2901166534	130.0	16.3953711983
NM_012183	0.0	-	0.0	-
NM_012182	0.0	-	0.0	-
NM_001018088	2450.0	20.3226980302	2377.0	26.4344387058
NM_020437	1.0	0.0365449774788	1.0	0.109075234583
NM_012186	0.0	-	0.0	-
NM_020733	25.0	0.330585163792	23.0	0.671657197035
NM_020731	20.0	0.427821591474	18.0	1.00894591989
NM_020737	0.0	-	0.0	-
NM_001025780	366.0	14.2165238376	236.0	32.9565726083
NM_001300829	788.0	53.7801162261	465.0	62.9744768792
NM_002224	42.0	0.563070250943	40.0	0.604159233469
NM_175856	11.0	0.381388492056	10.0	0.457053644346
NM_001688	2418.0	139.341146176	1453.0	228.170960561
NM_014171	247.0	4.697636988	172.0	68.0543914595
NM_001199973	0.0	-	0.0	-
NM_001867	2451.0	729.118363536	597.0	376.46294636
NM_144646	0.0	-	0.0	-
NM_144647	0.0	-	0.0	-
NM_144644	1.0	0.0981942501113	0.0	-
NM_144645	1.0	0.13334087047	1.0	0.342015566066
NM_144642	0.0	-	0.0	-
NM_144643	431.0	17.0810746242	246.0	14.4093292478
NM_001161546	2.0	0.0744838575129	2.0	0.0794445606215
NM_144641	38.0	2.09412535035	36.0	3.15843940141
NM_133447	1.0	0.0383751221513	0.0	-
NM_001008783	1.0	0.0503843156002	1.0	0.0967813832032
NM_000159	730.0	46.9376859175	581.0	53.4120801328
