AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	93.0	7.35978254007	46.0	11.1268192127
NM_017847	446.0	9.30397185484	211.0	12.5632580809
NM_001143986	1.0	0.0404751781511	1.0	0.0472799056006
NM_001143987	0.0	-	0.0	-
NM_001143980	13.0	0.482229142153	13.0	0.527227570088
NM_001003803	119.0	5.24207304584	74.0	9.28130813554
NM_001003800	1456.0	18.4437614793	860.0	27.2179811704
NM_016649	204.0	5.15545030361	160.0	5.08758420829
NM_016647	613.0	22.0057679713	211.0	27.3506336212
NM_016644	7.0	0.304234815023	4.0	0.384274977435
NM_017417	2.0	0.0761350423676	2.0	0.0849259746368
NM_016642	3.0	0.0207986414043	3.0	0.0221154170687
NM_001143989	0.0	-	0.0	-
NM_016640	685.0	33.2971280163	592.0	36.4502283141
NM_001304464	259.0	13.009892986	1.0	0.318722187167
NM_003279	5.0	0.596726561876	5.0	0.841347388483
NM_001012980	0.0	-	0.0	-
NM_001304467	346.0	7.68329469227	78.0	9.8744303781
NM_001080825	173.0	1.87222760144	33.0	2.62945804412
NM_001008781	0.0	-	0.0	-
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	3997.0	25.8168011155	3061.0	30.6908705655
NM_001143981	14.0	0.277453842522	10.0	0.590226272531
NM_001253384	476.0	9.59248675385	426.0	79.0474684747
NM_001145313	231.0	2.42876202264	54.0	2.75505619415
NM_205859	0.0	-	0.0	-
NM_018476	583.0	54.9684848667	200.0	43.0021998558
NM_003363	453.0	8.93621200256	385.0	10.8196925052
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	140.0	1.51995485998	27.0	10.1592697159
NM_205853	0.0	-	0.0	-
NM_205852	25.0	0.669474116371	17.0	1.97662472299
NM_001282735	123.0	1.56369801353	85.0	4.11944150676
NM_001355213	0.0	-	0.0	-
NM_001007531	2.0	0.0978028372172	1.0	0.067224282653
NM_001282730	517.0	8.87407382156	225.0	14.7592296115
NM_004108	0.0	-	0.0	-
NM_004109	224.0	5.7703363965	89.0	13.0331532212
NM_004106	216.0	29.7042606923	94.0	29.2711525915
NM_001291976	0.0	-	0.0	-
NM_130759	5.0	0.0920223706153	5.0	0.441227783537
NM_181776	0.0	-	0.0	-
NM_001462	153.0	6.18346401407	96.0	7.38855979341
NM_001463	0.0	-	0.0	-
NM_004101	45.0	1.06658999642	23.0	1.66160500243
NM_000331	0.0	-	0.0	-
NM_007102	0.0	-	0.0	-
NM_007101	15.0	0.361004550166	15.0	0.442188018104
NM_007100	504.0	112.225138341	253.0	97.9160090717
NM_000334	3.0	0.031239266263	2.0	0.0294952486763
NM_007105	4.0	0.141407842936	2.0	0.213317999285
NM_181435	64.0	1.3595259003	28.0	2.37049626705
NM_000339	0.0	-	0.0	-
NM_000486	2.0	0.0388964621811	1.0	0.0996006834895
NM_000485	856.0	86.2090198447	500.0	74.838082622
NM_007108	803.0	65.9223723789	576.0	131.131414149
NM_000483	16.0	1.78379495698	7.0	1.85921275847
NM_000482	0.0	-	0.0	-
NM_000481	82.0	3.02655809884	49.0	3.28583640977
NM_016643	55.0	3.07221902063	43.0	3.66330061036
NM_030615	0.0	-	0.0	-
NM_001350532	1485.0	31.6611028923	1242.0	34.7598153917
NM_001350531	204.0	3.82731490683	87.0	3.71173318755
NM_001350530	866.0	12.4308407969	337.0	15.1406252925
NM_001320272	0.0	-	0.0	-
NM_030613	3.0	0.100421117456	2.0	0.117278726879
NM_014177	167.0	8.84796893122	95.0	10.3360709292
NM_020992	309.0	15.8947561632	212.0	17.4041630689
NM_005802	940.0	18.3076223973	789.0	20.4350893712
NM_005258	256.0	29.1811842612	71.0	22.6292752888
NM_001012964	0.0	-	0.0	-
NM_003824	614.0	26.9305627872	248.0	32.1467162941
NM_003825	1544.0	47.5150698717	596.0	76.1625754804
NM_003826	489.0	10.6979981504	170.0	14.7141712606
NM_003827	629.0	27.4846479627	412.0	37.7082803871
NM_003820	504.0	11.7001358168	265.0	25.2789340349
NM_003821	316.0	9.93525487113	231.0	11.5676712477
