AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	25.0	1.19879022822	16.0	2.34506202739
NM_017847	536.0	6.77515867052	283.0	10.2100392885
NM_001143986	2.0	0.0490501021666	2.0	0.0572964544215
NM_001143987	0.0	-	0.0	-
NM_001143980	22.0	0.494485922709	22.0	0.540628072184
NM_001003803	226.0	6.03233841844	165.0	12.5395677854
NM_001003800	834.0	6.40140529111	467.0	8.95561655088
NM_016649	496.0	7.5952008947	366.0	7.0517006035
NM_016647	597.0	12.9858845572	210.0	16.4939769391
NM_016644	1.0	0.0263349211633	0.0	-
NM_017417	3.0	0.069198551628	3.0	0.0771885620302
NM_016642	1.0	0.00420082765293	1.0	0.00446678481409
NM_001143989	0.0	-	0.0	-
NM_016640	1156.0	34.0482809671	972.0	36.2631864418
NM_001304464	371.0	11.2919519502	0.0	-
NM_003279	1.0	0.0723146880694	1.0	0.101959218582
NM_001012980	0.0	-	0.0	-
NM_001304467	902.0	12.1366570828	185.0	14.1909127359
NM_001080825	946.0	6.20332919257	205.0	9.89754120386
NM_001008781	0.0	-	0.0	-
NM_017419	0.0	-	0.0	-
NM_001040	0.0	-	0.0	-
NM_002223	2568.0	10.0504255752	2084.0	12.6609048318
NM_001143981	0.0	-	0.0	-
NM_001253384	548.0	6.69153826215	450.0	50.5955163445
NM_001145313	530.0	3.3765252736	168.0	5.19358369909
NM_205859	0.0	-	0.0	-
NM_018476	231.0	13.1970950057	86.0	11.204185242
NM_003363	917.0	10.9608882188	803.0	13.6738523402
NM_144585	0.0	-	0.0	-
NM_205856	0.0	-	0.0	-
NM_207118	189.0	1.24332770328	49.0	11.1716149361
NM_205853	0.0	-	0.0	-
NM_205852	11.0	0.178487422843	6.0	0.422715043565
NM_001282735	16.0	0.12325056174	11.0	0.323022855294
NM_001355213	0.0	-	0.0	-
NM_001007531	10.0	0.296307476386	10.0	0.407330873245
NM_001282730	930.0	9.67245224816	431.0	17.1308768442
NM_004108	0.0	-	0.0	-
NM_004109	133.0	2.07599310381	47.0	4.17040760548
NM_004106	40.0	3.33308308462	19.0	3.58497988096
NM_001291976	0.0	-	0.0	-
NM_130759	0.0	-	0.0	-
NM_181776	0.0	-	0.0	-
NM_001462	32.0	0.783630871412	18.0	0.839425612079
NM_001463	0.0	-	0.0	-
NM_004101	16.0	0.229787355265	7.0	0.306421438246
NM_000331	1.0	0.0690691480719	1.0	0.133458814567
NM_007102	0.0	-	0.0	-
NM_007101	0.0	-	0.0	-
NM_007100	709.0	95.6592562353	336.0	78.7940841205
NM_000334	21.0	0.132501262534	18.0	0.160848021476
NM_007105	1.0	0.0214207492715	1.0	0.0646276936684
NM_181435	37.0	0.476244954335	17.0	0.872069941437
NM_000339	0.0	-	0.0	-
NM_000486	98.0	1.15485466676	28.0	1.68982410798
