UCSC_ID,Total-Ribo-Seq_for_Rpl10a_1,Total-Ribo-Seq_for_Rpl10a_2,Rpl10a-Ribo-Seq_1,Rpl10a-Ribo-Seq_2,Total-Ribo-Seq_for_Rps25_1,Total-Ribo-Seq_for_Rps25_2,Rps25-Ribo-Seq_1,Rps25-Ribo-Seq_2,Total-Ribo-Seq_for_Rpl22_1,Total-Ribo-Seq_for_Rpl22_2,Rpl22-Ribo-Seq_1,Rpl22-Ribo-Seq_2
uc009avm.1,0.2,0.1,9.6,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uc012gyf.1,0.2,0.8,7.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uc033hyx.1,0.7,0.1,12.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uc007wrm.2,0.5,0.3,2.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uc008emr.1,0.7,0.7,4.2,8.7,2.9,2.4,6.1,6.5,0.0,0.0,0.0,0.0
uc009ser.2,0.2,1.1,4.1,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uc008qxu.1,0.5,0.7,4.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uc009uhg.1,0.5,1.0,3.7,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uc012dqg.1,0.9,0.6,3.8,7.4,0.0,0.0,0.0,0.0,3.4,1.7,7.4,6.6
uc007gfm.1,1.0,0.7,7.6,5.2,0.0,0.0,0.0,0.0,4.8,6.8,1.7,3.6
uc008ove.1,2.0,1.9,7.5,17.0,0.0,0.0,0.0,0.0,8.8,8.3,11.3,10.3
uc029tgs.1,6.9,2.3,25.9,29.3,11.6,19.2,22.8,6.1,0.0,0.0,0.0,0.0
uc007jhm.1,0.9,0.9,7.8,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uc012fxo.1,6.9,4.5,59.1,10.9,17.8,16.6,31.1,9.9,4.9,4.7,3.0,7.9
uc009bja.1,0.7,2.0,8.9,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uc009bjp.2,1.0,1.2,7.6,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
