"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"uc009dsm.2",3101.37848260575,1.55874840294002,0.158809365538524,9.81521711678836,9.68293204409968e-23,5.09709542801407e-19
"uc009jsd.1",629.211494629989,0.573383160841916,0.198787480078167,2.88440278339687,0.00392156819143586,0.0468098298406312
"uc007hnk.2",75063.974175547,0.997927359359625,0.407823590100827,2.44695839961809,0.0144067466405955,0.107876407277517
"uc009qsi.1",800.184403151233,1.00640796263173,0.15933146349507,6.31644209219777,2.67653674233723e-10,3.52232235291579e-07
"uc007pwj.1",475.173185166384,0.582718573163355,0.217762619252392,2.67593480994996,0.00745211386239589,0.0714534196204954
"uc008oas.1",493.814224298968,0.259185600680162,0.20906670121198,1.2397268392223,0.215076446484129,0.48857732139882
"uc007vax.2",228.626764343659,0.579351111708579,0.278092339598552,2.08330482078333,0.0372234476053776,0.181935216522477
"uc007ujw.2",291.089844629352,0.277570661996941,0.263316298831565,1.05413399485193,0.291821574112654,0.565176146478665
"uc009bez.3",290.389048162674,0.824515776136013,0.290651429022725,2.83678555756059,0.00455702075584348,0.0516986147818105
"uc029wdl.1",222.67833238688,0.620233216886146,0.292066983233601,2.12359921693056,0.0337036710932466,0.1725830713448
"uc008bqp.2",29353.256432993,0.0401816351690308,0.105489192014011,0.380907602019495,0.703271811389125,0.868611641283987
"uc008hgg.2",658.628773315443,0.251751020683383,0.227471149840678,1.10673824289239,0.268407115863181,0.544048924876314
"uc009mbm.1",732.26273244512,0.620896398466188,0.198789232579255,3.1233904895661,0.00178780381310341,0.0286920709517572
"uc008key.1",504.029765280598,0.951349759973729,0.222154439899922,4.28238013339864,1.84904744071051e-05,0.0013904836754143
"uc009ilj.2",1044.24574848681,0.627331081794504,0.195495364837888,3.20893071973706,0.00133229590599862,0.0232595474619709
"uc009bdh.2",1455.48154446965,0.720392291638094,0.166064895270539,4.33801671608253,1.43774222302641e-05,0.00114670834272894
"uc007qyw.1",2215.48515995169,0.68748659286849,0.182041681720618,3.77653395843479,0.000159025886722197,0.00697593556421369
"uc029qyg.1",194.519310087665,0.534439981846135,0.294978313184254,1.81179414878648,0.070018009560491,0.259377060046745
"uc009kau.2",230.762055459042,0.880570145872734,0.348376598523,2.52763862327739,0.0114832481236866,0.0924278564573188
"uc008irr.1",210.392257123547,0.486450999002433,0.309742727569433,1.5705001464268,0.116298800359972,0.343737723242499
"uc007zej.1",924.729190373624,1.017429421037,0.200799527334888,5.06689151384384,4.04364580560528e-07,8.81644023272716e-05
"uc008eki.2",523.220741246377,0.886590855864732,0.167361816477455,5.29745000696837,1.1743104155346e-07,3.63621766316126e-05
"uc007dwu.1",837.395460507301,0.689602402006622,0.638112410900548,1.08069109803617,0.279834544232408,0.55440310155792
"uc008cfg.1",797.673081834633,0.500880900753159,0.263970338200006,1.89748933220538,0.057763385413392,0.232289122090218
"uc008xdo.1",1152.68917767578,0.52632590916037,0.198222011137782,2.65523443203553,0.00792533092986968,0.0740236708925782
"uc007rtj.1",295.089274599828,0.669706416561637,0.233739520608982,2.86518263927638,0.00416768790867171,0.0489703329268926
"uc007dww.1",1182.6356177296,0.433157674872399,0.718442052885649,0.602912473083396,0.546566917826425,0.781191489394054
"uc009usl.1",2423.13396395146,0.2676815466152,0.21659815315136,1.23584408602109,0.216516524148613,0.489610214667356
"uc009aez.1",177.945699040075,0.240314980325669,0.259892280411896,0.924671482911305,0.355136817416924,0.625230838422305
"uc007bvp.1",42009.3978135952,0.57059920903866,0.145490599446997,3.92189743672431,8.78543896854207e-05,0.00453397556180446
