UCSC_ID	RPKM
uc009avm.1	0.2
uc012gyf.1	0.2
uc033hyx.1	0.7
uc007wrm.2	0.5
uc008emr.1	0.7
uc009ser.2	0.2
uc008qxu.1	0.5
uc009uhg.1	0.5
uc012dqg.1	0.9
uc007gfm.1	1.0
uc008ove.1	2.0
uc029tgs.1	6.9
uc007jhm.1	0.9
uc012fxo.1	6.9
uc009bja.1	0.7
uc009bjp.2	1.0
uc007fhi.1	17.4
uc012ftk.1	2.0
uc007qpc.1	1.4
uc009ucs.1	1.1
uc012dny.1	1.9
uc007vde.1	5.7
uc008qcu.2	0.4
uc007uhf.2	0.9
uc008pnx.1	3.1
uc009dsm.2	24.5
uc007ztn.2	3.3
uc009ezj.1	3.1
uc009jsd.1	19.4
uc007lie.1	3.5
uc007krg.2	2.2
uc007hnk.2	429.5
uc007vjf.2	3.0
uc007jxo.1	1.0
uc008xue.1	1.6
uc029svv.1	0.7
uc008qlo.2	4.4
uc009cex.2	5.8
uc009hcn.2	4.4
uc008uzd.1	72.3
uc008ijz.1	4.6
uc008ewv.2	1.6
uc007rjr.1	1.3
uc007lfc.2	2.0
uc009iif.1	2.0
uc008rwe.2	1.6
uc008qgt.1	1.9
uc008gow.1	2.1
uc008ree.2	1.9
uc007kmj.1	4.5
uc008plk.1	1.2
uc008cfp.1	7.2
uc007zad.1	2.8
uc007ktd.1	2.6
uc009kap.2	5.4
uc007brq.3	8.4
uc008lts.3	10.6
uc007uhn.1	3.8
uc007htz.2	7.1
uc008rtw.1	1.6
uc009pxw.1	12.2
uc009mka.2	6.6
uc009cin.2	3.1
uc011xyi.1	3.2
uc009gjk.1	9.4
uc009qsi.1	41.5
uc009ifu.2	9.2
uc008ptk.1	5.6
uc009una.1	1.7
uc009jgj.1	3.4
uc012gcr.1	23.9
uc007lyt.2	1.0
uc012cfb.1	2.3
uc007yge.2	6.9
uc009cxv.1	2.2
uc007rva.2	7.7
uc007mow.1	2.8
uc008elt.1	31.3
uc009nko.1	3.1
uc008emc.2	7.0
uc009gmf.2	1.8
uc007igf.2	3.2
uc008bel.2	2.1
uc007pwj.1	23.9
uc009qvg.2	1.5
uc007ohp.2	4.7
uc008oas.1	23.5
uc008rfz.1	2.2
uc007hjt.2	7.6
uc007vax.2	11.0
uc007ujw.2	18.5
uc009tnu.2	3.2
uc009bez.3	11.6
uc008wie.1	37.5
uc007nhy.1	2.5
uc007rxb.1	3.5
uc007ror.2	2.1
uc029wdl.1	11.5
uc008xmh.1	6.7
uc008qwg.2	6.4
uc007pcp.1	6.1
uc008sca.3	2.0
uc007kwl.1	4.5
uc008bqp.2	2170.6
uc008hgg.2	18.3
uc009ijj.2	5.9
uc009ayk.2	10.3
uc009mbm.1	50.0
uc008ubs.1	49.5
uc008key.1	18.0
uc009fmy.2	379.5
uc007nky.2	9.9
uc008jms.2	2.9
uc009ilj.2	60.2
uc009kvc.2	10.2
uc007vfn.1	2.7
uc009bdh.2	60.6
uc007qyw.1	153.0
uc029qyg.1	10.0
uc011zae.1	9.1
uc009kvb.2	18.3
uc009kau.2	11.4
uc009bgh.2	12.2
uc008ton.2	8.5
uc008irr.1	18.3
uc007zej.1	49.7
uc007bzs.2	2.7
uc008eki.2	34.6
uc007iik.1	7.4
uc007xqi.2	6.0
uc007dwu.1	46.2
uc008cfg.1	38.8
uc008dph.2	5.4
uc008ggw.1	7.5
uc033hrk.1	47.8
uc007nfn.2	9.3
uc008zhu.1	3.6
uc007mfm.1	7.7
uc008xdo.1	63.6
uc007rtj.1	12.3
uc007cny.2	101.9
uc008dkh.1	18.5
uc008jbb.1	4.5
uc007dww.1	86.7
uc009ikd.1	10.0
uc008dzc.1	7.4
uc009psz.2	2.1
uc008npr.1	4.3
uc009gns.1	7.7
uc007qnd.1	7.2
uc008xfb.2	3.1
uc008arp.2	2.8
uc007zgo.2	1.8
uc009usl.1	109.3
uc029swd.1	3.7
uc009lnz.1	13.4
uc007ixk.2	13.0
uc009aez.1	10.7
uc007oft.1	106.6
uc007bvp.1	1327.1
uc008gyz.1	15.5
uc008rwm.2	3.6
uc008off.1	292.0
uc009kem.2	15.1
uc009qwl.1	30.5
uc007kix.1	14.7
uc009efz.1	18.4
uc008mjs.1	16.9
uc008rmw.2	2.1
uc033iwc.1	36.6
uc009qah.3	245.3
uc009gdn.1	7.0
uc007cru.1	49.0
uc008jkg.2	4.5
uc007uvh.2	5.7
uc009rxm.3	21.3
uc007eyv.2	8.6
