UCSC_ID	RPKM
uc009avm.1	9.6
uc012gyf.1	7.3
uc033hyx.1	12.2
uc007wrm.2	2.0
uc008emr.1	4.2
uc009ser.2	4.1
uc008qxu.1	4.0
uc009uhg.1	3.7
uc012dqg.1	3.8
uc007gfm.1	7.6
uc008ove.1	7.5
uc029tgs.1	25.9
uc007jhm.1	7.8
uc012fxo.1	59.1
uc009bja.1	8.9
uc009bjp.2	7.6
uc007fhi.1	65.5
uc012ftk.1	3.7
uc007qpc.1	7.6
uc009ucs.1	5.8
uc012dny.1	6.6
uc007vde.1	17.1
uc008qcu.2	9.7
uc007uhf.2	6.4
uc008pnx.1	10.7
uc009dsm.2	116.7
uc007ztn.2	11.3
uc009ezj.1	17.5
uc009jsd.1	74.8
uc007lie.1	16.3
uc007krg.2	6.3
uc007hnk.2	2861.1
uc007vjf.2	5.6
uc007jxo.1	9.9
uc008xue.1	7.4
uc029svv.1	6.2
uc008qlo.2	13.0
uc009cex.2	10.5
uc009hcn.2	17.3
uc008uzd.1	254.1
uc008ijz.1	10.0
uc008ewv.2	5.9
uc007rjr.1	9.4
uc007lfc.2	6.6
uc009iif.1	9.7
uc008rwe.2	5.8
uc008qgt.1	6.4
uc008gow.1	5.0
uc008ree.2	5.1
uc007kmj.1	16.1
uc008plk.1	6.5
uc008cfp.1	10.9
uc007zad.1	5.8
uc007ktd.1	14.3
uc009kap.2	12.6
uc007brq.3	15.8
uc008lts.3	12.5
uc007uhn.1	5.6
uc007htz.2	23.0
uc008rtw.1	4.1
uc009pxw.1	23.8
uc009mka.2	15.7
uc009cin.2	12.0
uc011xyi.1	8.9
uc009gjk.1	34.8
uc009qsi.1	144.9
uc009ifu.2	19.9
uc008ptk.1	21.4
uc009una.1	4.1
uc009jgj.1	6.8
uc012gcr.1	74.8
uc007lyt.2	4.7
uc012cfb.1	6.6
uc007yge.2	19.1
uc009cxv.1	4.2
uc007rva.2	13.9
uc007mow.1	9.5
uc008elt.1	33.2
uc009nko.1	8.0
uc008emc.2	15.8
uc009gmf.2	5.5
uc007igf.2	9.3
uc008bel.2	5.4
uc007pwj.1	53.2
uc009qvg.2	4.6
uc007ohp.2	16.7
uc008oas.1	55.3
uc008rfz.1	4.8
uc007hjt.2	21.0
uc007vax.2	26.7
uc007ujw.2	47.0
uc009tnu.2	9.4
uc009bez.3	43.1
uc008wie.1	117.7
uc007nhy.1	8.3
uc007rxb.1	8.0
uc007ror.2	7.7
uc029wdl.1	27.3
uc008xmh.1	13.5
uc008qwg.2	20.7
uc007pcp.1	10.5
uc008sca.3	6.3
uc007kwl.1	7.0
uc008bqp.2	5204.0
uc008hgg.2	65.9
uc009ijj.2	13.7
uc009ayk.2	25.3
uc009mbm.1	87.4
uc008ubs.1	95.2
uc008key.1	30.9
uc009fmy.2	626.3
uc007nky.2	25.8
uc008jms.2	7.7
uc009ilj.2	98.2
uc009kvc.2	15.6
uc007vfn.1	11.1
uc009bdh.2	191.1
uc007qyw.1	307.8
uc029qyg.1	22.1
uc011zae.1	18.0
uc009kvb.2	32.3
uc009kau.2	17.9
uc009bgh.2	26.0
uc008ton.2	27.5
uc008irr.1	25.5
uc007zej.1	91.7
uc007bzs.2	5.3
uc008eki.2	75.1
uc007iik.1	14.1
uc007xqi.2	17.6
uc007dwu.1	111.5
uc008cfg.1	60.2
uc008dph.2	17.4
uc008ggw.1	11.9
uc033hrk.1	84.8
uc007nfn.2	22.8
uc008zhu.1	8.0
uc007mfm.1	14.3
uc008xdo.1	109.3
uc007rtj.1	31.5
uc007cny.2	310.1
uc008dkh.1	30.0
uc008jbb.1	8.2
uc007dww.1	210.1
uc009ikd.1	15.0
uc008dzc.1	19.4
uc009psz.2	4.5
uc008npr.1	8.9
uc009gns.1	12.1
uc007qnd.1	13.9
uc008xfb.2	5.2
uc008arp.2	7.1
uc007zgo.2	5.9
uc009usl.1	340.3
uc029swd.1	7.3
uc009lnz.1	27.7
uc007ixk.2	16.2
uc009aez.1	30.4
uc007oft.1	200.8
uc007bvp.1	3313.5
uc008gyz.1	32.4
uc008rwm.2	8.3
uc008off.1	696.3
uc009kem.2	24.3
uc009qwl.1	64.5
uc007kix.1	31.3
uc009efz.1	37.2
uc008mjs.1	33.6
uc008rmw.2	5.4
uc033iwc.1	61.6
uc009qah.3	471.9
uc009gdn.1	16.0
uc007cru.1	60.6
uc008jkg.2	7.4
uc007uvh.2	9.7
uc009rxm.3	34.2
uc007eyv.2	14.4
uc007ouf.1	63.5
uc007nyz.2	8.8
uc007yde.1	208.2
uc008cfi.2	45.7
uc007agb.1	16.4
uc009djc.1	3431.3
uc007irl.1	15.6
uc007hcx.2	32.7
uc009mue.1	14.5
uc007obp.1	720.6
uc007hsu.2	19.0
uc007iyw.2	50.5
uc007ujs.2	22.6
uc009oej.1	13.1
uc007ayp.1	27.1
uc012gxt.1	14.6
uc008yki.2	407.7
uc008fns.1	16.7
uc008svg.2	32.6
uc008iig.2	10.8
uc007fdf.2	7.5
uc007umo.2	6.9
uc007uko.1	26.0
uc009ucg.1	27.1
uc009les.1	107.2
uc008llr.1	55.2
uc007vad.1	15.3
uc007nvk.2	9.9
uc009rvn.2	22.9
uc008dzo.2	77.5
uc007fdo.2	34.4
uc008bub.1	5.2
uc008egu.1	29.3
uc009krq.1	20.6
uc009ffc.2	122.2
uc008tva.2	39.9
uc007thh.2	61.4
uc007leu.2	4331.9
uc009awf.1	0.4
uc009vfb.1	77.8
uc008vdy.1	0.3
uc033icw.1	0.8
uc008sje.2	14.4
uc033icu.1	0.8
uc009nci.1	9.2
uc008uhy.2	2.2
uc007cee.1	2.1
uc007cnv.3	0.8
uc007nzv.2	1.5
uc009szl.1	0.9
uc009ous.1	2.2
uc009mqv.1	8.8
uc009mwv.1	2.1
uc007jfi.1	1.6
uc011ypq.1	1.0
uc033icx.1	1.0
uc007lex.1	2.0
uc008lko.2	1.7
uc008nth.2	5.5
uc009guh.1	12.9
uc008zzl.1	2.4
uc008hio.1	1.4
uc033ivj.1	2.6
uc012fgp.1	3.6
uc007fzo.2	5.3
uc008hnl.2	3.3
uc008hni.2	12.6
uc007tav.1	0.6
uc008jco.1	14.0
uc012cjs.1	11.6
uc007rwz.1	2.1
uc007yhx.1	2.3
uc029wre.1	1.8
uc029spb.1	26.1
uc029sdt.2	74.5
uc008gaf.2	3.6
