UCSC_ID	RPKM
uc008ijz.1	1.2
uc008vll.1	0.8
uc007fhi.1	4.5
uc012atr.1	1.4
uc008upx.1	0.5
uc007vde.1	2.9
uc007ujt.1	1.2
uc008hen.2	1.4
uc009una.1	1.0
uc007tht.1	2.3
uc009rmo.2	2.1
uc009emr.2	2.2
uc007jym.2	5.3
uc007ilt.2	48.1
uc008cue.1	1.6
uc007xgo.2	7.3
uc009ugo.2	2.5
uc009dsm.2	37.2
uc008etc.1	3.8
uc008qlo.2	5.4
uc007pcp.1	5.5
uc007bqz.2	9.4
uc008qcx.1	3.8
uc009bcm.1	2.7
uc008sca.3	5.3
uc007tkk.2	2.2
uc007bbk.2	15.5
uc007ztn.2	6.3
uc007htz.2	9.3
uc009iah.3	91.8
uc009ktx.2	11.5
uc012ejc.1	3.0
uc009rgj.1	9.4
uc009clp.2	2.7
uc009jbf.1	3.1
uc007zhg.2	7.4
uc007cng.2	8.9
uc007qzf.1	2.7
uc007gwv.1	2.1
uc008rwm.2	6.1
uc008enl.2	20.7
uc008egh.1	2.8
uc009mue.1	8.6
uc008jjr.2	3.3
uc007ehf.2	9.4
uc008jkh.1	9.3
uc008mqj.1	32.0
uc007fdo.2	28.9
uc009afn.2	17.2
uc009ifu.2	10.4
uc007nzd.2	13.3
uc007yge.2	6.0
uc007uxc.1	7.5
uc007igw.2	2.4
uc007nzr.2	9.7
uc009kap.2	5.6
uc007ixk.2	7.6
uc009pbl.1	25.6
uc009aiz.1	7.0
uc008zer.1	12.1
uc007fxi.1	7.4
uc008rkz.1	14.2
uc008xvc.1	3.5
uc007zej.1	65.8
uc007nyz.2	4.9
uc009qsi.1	45.3
uc009dmk.1	11.8
uc008chm.2	13.0
uc007hnk.2	1101.6
uc011xpt.1	11.1
uc007ofo.2	6.4
uc009bgh.2	15.5
uc008fug.2	5.6
uc008von.1	7.3
uc008lzr.2	7.5
uc007gkk.1	5.8
uc009kvb.2	14.1
uc009jkj.1	5.2
uc008jev.1	8.9
uc008eki.2	52.4
uc009rzu.1	6.4
uc007ful.1	20.3
uc007yht.1	5.0
uc007dkk.1	18.0
uc008jyc.1	11.2
uc008iig.2	8.6
uc008drz.2	34.4
uc008kck.2	16.6
