UCSC_ID	RPKM
uc008ijz.1	9.2
uc008vll.1	3.6
uc007fhi.1	29.6
uc012atr.1	2.5
uc008upx.1	7.0
uc007vde.1	13.8
uc007ujt.1	5.6
uc008hen.2	3.6
uc009una.1	5.7
uc007tht.1	8.5
uc009rmo.2	8.9
uc009emr.2	5.0
uc007jym.2	9.4
uc007ilt.2	154.5
uc008cue.1	7.6
uc007xgo.2	20.4
uc009ugo.2	10.9
uc009dsm.2	126.9
uc008etc.1	9.1
uc008qlo.2	12.6
uc007pcp.1	11.8
uc007bqz.2	28.9
uc008qcx.1	12.3
uc009bcm.1	9.0
uc008sca.3	10.5
uc007tkk.2	7.9
uc007bbk.2	43.9
uc007ztn.2	13.5
uc007htz.2	26.6
uc009iah.3	252.3
uc009ktx.2	26.6
uc012ejc.1	9.2
uc009rgj.1	13.6
uc009clp.2	4.4
uc009jbf.1	6.3
uc007zhg.2	22.1
uc007cng.2	23.3
uc007qzf.1	5.1
uc007gwv.1	4.7
uc008rwm.2	10.8
uc008enl.2	31.5
uc008egh.1	5.1
uc009mue.1	22.4
uc008jjr.2	9.0
uc007ehf.2	14.5
uc008jkh.1	18.1
uc008mqj.1	73.5
uc007fdo.2	71.0
uc009afn.2	37.6
uc009ifu.2	16.9
uc007nzd.2	25.7
uc007yge.2	14.9
uc007uxc.1	12.5
uc007igw.2	6.6
uc007nzr.2	20.1
uc009kap.2	9.8
uc007ixk.2	21.0
uc009pbl.1	46.4
uc009aiz.1	13.9
uc008zer.1	24.7
uc007fxi.1	16.6
uc008rkz.1	30.2
uc008xvc.1	6.3
uc007zej.1	113.2
uc007nyz.2	12.3
uc009qsi.1	97.7
uc009dmk.1	24.4
uc008chm.2	30.4
uc007hnk.2	3434.3
uc011xpt.1	18.2
uc007ofo.2	13.4
uc009bgh.2	26.7
uc008fug.2	10.0
uc008von.1	11.3
uc008lzr.2	16.9
uc007gkk.1	10.9
uc009kvb.2	22.6
uc009jkj.1	9.9
uc008jev.1	15.2
uc008eki.2	94.5
uc009rzu.1	13.8
uc007ful.1	37.4
uc007yht.1	10.4
uc007dkk.1	33.4
uc008jyc.1	18.7
uc008iig.2	12.5
uc008drz.2	60.5
uc008kck.2	31.3
uc008dpa.1	11.1
uc008ifm.1	14.9
uc007cyb.2	92.4
uc007nvk.2	9.2
uc011xth.1	157.0
uc007zpx.1	23.3
uc007dbp.1	10.4
uc008jen.2	37.0
uc009iko.1	9.3
uc007ilc.2	48.7
uc009esn.2	27.8
uc009tmv.1	8.4
uc009ele.2	34.6
