UCSC_ID	RPKM
uc008rqt.1	31.1
uc007ghy.1	5.1
uc007evg.1	98.0
uc009qdd.1	19.6
uc008gxy.1	58.8
uc009vff.1	4.8
uc009jay.1	147.6
uc008zot.1	7.0
uc009ezp.2	5.3
uc009dnk.1	0.2
uc008qxs.1	6.7
uc008okf.2	6.2
uc009tji.1	6.7
uc008yil.1	16.4
uc009sat.2	8.7
uc009qxc.1	6.5
uc009bll.2	9.3
uc009vfb.1	457.3
uc007cnv.3	4.8
uc007gfm.1	4.8
uc029sdt.2	6.2
uc007ygh.1	11.0
uc007oys.1	8.7
uc012eyt.1	8.9
uc009dod.1	7.1
uc009bft.2	32.2
uc029qyg.1	25.9
uc008kvt.1	8.5
uc009ktw.2	12.9
uc008rzi.1	6.8
uc009gbj.2	12.8
uc008gqd.1	21.2
uc029uis.2	4.5
uc029wdl.1	26.7
uc009oty.1	124.5
uc007ucz.1	5.7
uc007qfc.2	12.3
uc008uzj.2	8.2
uc007uwj.1	10.8
uc009tia.1	6.0
uc007qck.2	9.0
uc008phn.2	8.7
uc012axd.2	15.5
uc012eyu.1	6.9
uc009aac.1	6.0
uc008sfa.1	34.7
uc007eme.1	7.1
uc007rch.2	6.4
uc009ovf.1	7.3
uc029wwy.2	13.5
uc007cxz.1	10.9
uc009mbi.2	6.6
uc009ucg.1	20.4
uc008bxf.1	5.3
uc008qlq.2	25.0
uc009czr.2	9.3
uc009mka.2	9.6
uc009omu.1	8.9
uc009epg.1	49.6
uc009lhh.1	6.0
uc007zrp.2	20.9
uc007gxt.2	10.9
uc008rbt.2	11.8
uc007lxr.1	11.2
uc008iqz.1	8.6
uc007uyq.2	5.4
uc008faz.1	6.8
uc007hkl.1	7.7
uc009dvn.1	9.2
uc007mwb.2	6.0
uc007ben.1	13.0
uc009lfl.2	6.8
uc007ksr.1	5.0
uc008wjb.2	18.1
uc009tws.2	8.7
uc008tvu.1	83.0
uc007dey.1	15.7
uc007zmx.1	8.1
uc009bgx.1	5.4
uc008oed.1	12.5
uc008cch.1	5.8
uc012gcx.1	9.4
uc011zml.1	6.9
uc008mhl.2	45.1
uc008xae.2	5.0
uc007yht.1	7.1
uc009lxq.1	9.0
uc009lgv.2	16.1
uc008uny.1	29.6
uc033fsn.1	29.8
uc008nqh.1	9.6
uc008sro.2	6.2
uc009nyr.3	7.5
uc008gji.1	11.1
uc008gmt.2	11.9
uc029rkw.1	11.2
uc007vmh.2	5.6
uc007dyz.1	9.6
uc008eez.1	6.0
uc007hdn.1	7.6
uc007ihw.1	9.8
uc009qms.1	5.9
uc009ayn.1	14.8
uc009rtv.1	19.8
uc007dft.2	6.9
uc012gme.1	10.6
uc009naw.1	10.8
uc009cbl.2	7.9
uc008gwv.2	8.3
uc007kir.2	8.4
uc007kfi.2	39.8
uc008nki.1	22.1
uc007vbe.2	7.6
uc009bce.1	13.4
uc007zdh.2	13.5
uc008mej.2	7.9
uc007xyh.2	5.8
uc011xml.1	5.4
uc007nbj.2	6.8
uc007bgx.1	7.0
uc009jrx.2	5.6
uc007ete.1	19.2
uc008goj.2	12.7
uc009ouj.1	7.2
uc009alt.1	20.5
uc008qui.2	137.8
uc008ssr.2	6.1
uc009nve.2	18.9
uc008nzp.1	12.6
uc007jip.2	27.3
uc009nes.2	9.2
uc012gnz.1	5.6
uc007dix.2	11.0
uc009nwy.1	47.1
uc007plk.1	66.5
uc008usl.2	9.2
uc007sxy.2	5.9
uc009bik.2	58.6
uc008wwv.1	5.2
uc008lou.2	6.0
uc009lub.2	19.0
uc009gxn.1	89.4
uc009kzx.3	8.1
uc009qac.1	8.5
uc009nfm.1	31.4
uc029xhv.1	7.9
uc007iik.1	7.9
uc009pws.2	10.6
uc007rbk.2	10.2
uc008hgg.2	100.6
uc008luf.1	5.1
uc009nxv.2	23.5
uc007uae.1	25.8
uc007swt.1	44.8
uc007rjg.1	5.5
uc009ktx.2	12.2
uc007fcx.1	12.7
uc007ndu.2	10.5
uc009klo.2	14.4
uc008woc.1	10.6
uc009lcn.2	14.7
uc012gyn.1	9.1
uc009lwq.1	10.8
uc008jqy.1	9.6
uc007hjx.1	6.7
uc009jih.2	17.5
uc008ecb.1	21.1
uc007wpd.1	13.8
