UCSC_ID	RPKM
uc008rqt.1	55.3
uc007ghy.1	10.0
uc007evg.1	168.2
uc009qdd.1	31.2
uc008gxy.1	117.6
uc009vff.1	8.8
uc009jay.1	294.1
uc008zot.1	14.9
uc009ezp.2	14.5
uc009dnk.1	0.1
uc008qxs.1	2.1
uc008okf.2	2.3
uc009tji.1	3.6
uc008yil.1	7.7
uc009sat.2	5.7
uc009qxc.1	3.4
uc009bll.2	4.7
uc009vfb.1	22.6
uc007cnv.3	1.4
uc007gfm.1	1.7
uc029sdt.2	2.9
uc007ygh.1	5.9
uc007oys.1	6.3
uc012eyt.1	4.1
uc009dod.1	2.9
uc009bft.2	16.8
uc029qyg.1	14.7
uc008kvt.1	5.0
uc009ktw.2	5.9
uc008rzi.1	4.0
uc009gbj.2	5.0
uc008gqd.1	16.1
uc029uis.2	1.9
uc029wdl.1	16.2
uc009oty.1	64.6
uc007ucz.1	3.3
uc007qfc.2	3.8
uc008uzj.2	6.2
uc007uwj.1	8.1
uc009tia.1	3.1
uc007qck.2	4.8
uc008phn.2	4.7
uc012axd.2	8.5
uc012eyu.1	3.2
uc009aac.1	5.3
uc008sfa.1	18.8
uc007eme.1	4.5
uc007rch.2	4.4
uc009ovf.1	4.7
uc029wwy.2	7.6
uc007cxz.1	5.4
uc009mbi.2	2.8
uc009ucg.1	14.3
uc008bxf.1	4.2
uc008qlq.2	14.0
uc009czr.2	4.3
uc009mka.2	5.4
uc009omu.1	4.3
uc009epg.1	21.6
uc009lhh.1	3.3
uc007zrp.2	14.8
uc007gxt.2	6.8
uc008rbt.2	6.4
uc007lxr.1	7.9
uc008iqz.1	2.6
uc007uyq.2	3.6
uc008faz.1	3.5
uc007hkl.1	4.7
uc009dvn.1	7.1
uc007mwb.2	3.2
uc007ben.1	10.5
uc009lfl.2	4.2
uc007ksr.1	3.1
uc008wjb.2	10.3
uc009tws.2	5.3
uc008tvu.1	46.2
uc007dey.1	9.1
uc007zmx.1	5.0
uc009bgx.1	4.6
uc008oed.1	9.2
uc008cch.1	4.8
uc012gcx.1	6.5
uc011zml.1	5.1
uc008mhl.2	26.9
uc008xae.2	2.5
uc007yht.1	4.1
uc009lxq.1	5.4
uc009lgv.2	9.9
uc008uny.1	16.9
uc033fsn.1	19.2
uc008nqh.1	5.5
uc008sro.2	4.4
uc009nyr.3	5.1
uc008gji.1	7.2
uc008gmt.2	7.6
uc029rkw.1	6.7
uc007vmh.2	3.2
uc007dyz.1	5.7
uc008eez.1	3.6
uc007hdn.1	6.4
uc007ihw.1	8.0
uc009qms.1	3.6
uc009ayn.1	8.0
uc009rtv.1	13.4
uc007dft.2	4.9
uc012gme.1	6.4
uc009naw.1	6.6
uc009cbl.2	4.5
uc008gwv.2	5.1
uc007kir.2	5.7
uc007kfi.2	25.5
uc008nki.1	13.7
uc007vbe.2	4.6
uc009bce.1	8.2
uc007zdh.2	7.7
uc008mej.2	5.3
uc007xyh.2	3.9
uc011xml.1	3.4
uc007nbj.2	4.3
uc007bgx.1	3.8
uc009jrx.2	3.1
uc007ete.1	12.2
uc008goj.2	8.4
uc009ouj.1	2.3
uc009alt.1	13.7
uc008qui.2	88.6
uc008ssr.2	4.7
uc009nve.2	12.5
uc008nzp.1	8.4
uc007jip.2	20.3
uc009nes.2	6.7
uc012gnz.1	3.5
uc007dix.2	7.5
uc009nwy.1	29.9
uc007plk.1	42.8
uc008usl.2	5.2
uc007sxy.2	3.9
uc009bik.2	37.9
uc008wwv.1	2.8
uc008lou.2	3.7
uc009lub.2	15.2
uc009gxn.1	64.4
uc009kzx.3	5.6
uc009qac.1	5.2
uc009nfm.1	23.6
uc029xhv.1	5.2
uc007iik.1	5.8
uc009pws.2	6.3
uc007rbk.2	5.3
uc008hgg.2	59.1
uc008luf.1	3.4
uc009nxv.2	15.1
uc007uae.1	18.4
uc007swt.1	26.2
uc007rjg.1	3.5
uc009ktx.2	6.9
uc007fcx.1	7.8
uc007ndu.2	6.9
uc009klo.2	8.9
uc008woc.1	10.7
uc009lcn.2	10.8
uc012gyn.1	5.3
uc009lwq.1	7.5
uc008jqy.1	7.3
uc007hjx.1	4.6
uc009jih.2	11.4
uc008ecb.1	12.8
uc007wpd.1	9.9
uc009kxd.1	25.0
uc009gtf.2	4.1
uc009nlw.1	5.7
uc007eus.1	13.1
uc007bee.2	79.3
uc008azv.1	6.2
uc008mdq.1	6.3
uc033gmt.1	8.2
uc007rva.2	13.1
uc007ikh.2	8.7
uc007irb.2	4.4
uc009kua.1	34.0
uc009uug.2	212.2
uc008qit.2	4.9
uc009etd.1	10.0
uc008ika.2	9.3
uc008ynu.1	3.5
uc007mgz.2	4.3
uc008wkt.1	14.5
uc009qws.1	27.5
uc012cqp.1	6.3
uc008zli.2	144.5
uc007qxp.1	7.3
uc007sya.1	20.4
uc007lah.1	21.8
uc011zfw.1	10.4
uc009mid.2	11.1
uc012gbb.1	7.2
uc007usi.2	7.5
uc007bgl.2	6.6
uc008rnp.1	5.8
uc007grx.2	22.6
uc009lux.1	114.7
uc029wti.1	4.7
uc007pbo.1	23.9
uc007udf.1	28.1
uc008jaa.2	15.6
uc007gxo.1	21.3
uc007irl.1	3.7
uc008sgs.2	4.9
uc008xqq.1	11.7
uc007nmv.2	3.8
uc008fvj.1	3.3
uc009rih.1	12.0
uc009ltm.2	12.7
uc007loj.1	5.9
uc009axk.2	9.9
uc007fvj.1	5.8
uc009oua.2	24.5
uc007idj.2	9.1
uc008mll.2	5.4
uc008tnk.1	33.2
uc008vqd.1	10.0
uc009nzv.2	60.0
uc008mhf.2	36.5
uc008xgk.1	19.0
uc007kzw.1	13.1
uc008tuq.1	5.8
uc029wfs.1	7.7
uc007ull.1	15.5
uc008szp.1	8.0
uc008jcb.1	55.6
uc007rca.1	6.8
uc008zoo.1	17.5
uc012aee.1	9.6
uc008ucm.1	5.2
uc007blv.2	13.3
uc009myz.3	62.9
uc007osc.1	8.8
uc008sxh.2	10.7
uc008zuc.3	11.8
uc007vkh.1	22.6
uc007vck.2	21.4
uc007igp.1	15.4
uc009sue.1	41.3
uc009kvg.2	9.8
uc007nck.2	13.1
uc007oju.2	7.0
uc009lsz.2	7.5
uc009npt.2	10.3
uc009ekv.3	3.5
uc009lha.1	17.2
uc008sqi.2	3.2
uc007qzz.1	8.0
uc007yla.1	5.7
uc009hdl.2	40.9
uc008cis.1	28.1
uc008dtg.2	41.2
uc009fdn.1	4.5
uc007qoj.2	3.9
uc009pxp.1	23.1
uc008kej.2	33.7
uc012cgu.1	4.9
uc009ekl.2	5.3
uc008hdu.1	18.1
uc009oiu.2	12.1
uc009nud.1	6.8
uc008egq.2	13.7
uc007ayr.1	14.5
uc007xrc.2	7.0
uc008jsu.1	4.0
uc008oze.1	21.2
uc007ypp.1	12.5
uc007nqf.2	14.9
uc007zwm.2	12.1
uc007rdo.2	4.6
uc009nmi.2	9.3
